name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Al Horford,4,8,1,0,0,1,16.0,True
Al Horford,2,0,1,0,0,1,18.0,True
Al Horford,2,9,1,0,0,1,10.6,True
Al Horford,2,0,1,0,0,1,20.0,True
Al Horford,1,8,1,0,0,1,24.0,True
Al Horford,1,5,1,0,0,1,10.0,True
Al Horford,4,3,1,0,0,1,24.0,True
Al Horford,3,9,1,0,0,1,24.0,True
Al Horford,2,2,1,0,0,1,20.1,True
Al Horford,1,7,1,0,0,1,15.8,True
Al Horford,4,2,1,0,0,1,24.0,True
Al Horford,1,11,1,0,0,1,24.0,True
Al Horford,4,9,1,0,0,1,8.3,True
Al Horford,4,8,1,0,0,1,24.0,True
Al Horford,4,8,1,0,0,1,24.0,True
Al Horford,3,9,1,0,0,1,13.7,True
Al Horford,2,0,1,0,0,1,0.0,True
Al Horford,2,2,1,0,0,1,16.0,True
Al Horford,1,11,1,0,0,1,12.0,True
Al Horford,1,7,1,0,0,1,24.0,True
Al Horford,4,6,1,0,0,1,0.0,True
Al Horford,4,10,1,0,0,1,11.0,True
Al Horford,2,10,1,0,0,1,24.0,True
Al Horford,2,9,0,0,0,1,14.8,True
Al Horford,3,11,1,1,9,6,19.2,True
Al Horford,2,2,1,0,4,0,18.5,True
Al Horford,3,9,1,0,9,4,0.0,True
Al Horford,3,4,1,0,0,1,18.6,True
Al Horford,4,9,1,1,-16,9,0.0,True
Al Horford,4,6,1,1,-16,4,14.0,True
Al Horford,4,11,1,1,-7,14,15.4,True
Al Horford,3,7,1,1,10,0,6.2,True
Al Horford,2,0,1,2,18,11,14.9,True
Al Horford,2,6,1,1,12,-3,7.3,True
Al Horford,1,8,0,0,2,7,13.9,True
Al Horford,1,10,1,1,18,-2,12.9,True
Al Horford,1,10,1,0,0,1,11.1,True
Al Horford,1,1,0,0,0,1,17.0,True
Al Horford,4,5,1,0,0,1,11.4,True
Al Horford,4,0,1,0,0,1,6.6,True
Al Horford,3,2,1,0,0,1,17.8,True
Al Horford,1,8,1,0,6,7,11.7,True
Al Horford,1,7,1,0,6,-6,18.5,True
Al Horford,2,7,1,0,4,3,11.4,True
Al Horford,3,9,1,3,6,31,13.5,True
Al Horford,3,6,1,3,12,36,8.3,True
Al Horford,2,9,0,7,-7,78,8.9,True
Al Horford,4,11,0,6,7,66,13.0,True
Al Horford,4,9,1,4,20,41,4.8,True
Al Horford,4,8,1,4,23,44,3.7,True
Al Horford,3,8,0,4,6,48,16.1,True
Al Horford,4,9,0,7,-2,72,7.8,True
Al Horford,3,1,1,4,6,41,10.6,True
Al Horford,1,10,1,4,23,36,0.0,True
Al Horford,4,5,1,4,18,37,9.5,True
Al Horford,2,10,0,5,51,26,2.0,True
Al Horford,4,6,1,6,58,25,14.6,True
Al Horford,2,7,1,9,0,91,5.0,True
Al Horford,2,10,0,6,23,61,11.5,True
Al Horford,4,6,0,4,34,36,11.7,True
Al Horford,4,8,1,3,29,15,13.6,True
Al Horford,2,10,0,8,70,41,11.2,True
Al Horford,2,11,0,3,-34,1,14.4,True
Al Horford,4,2,1,4,42,20,4.9,True
Al Horford,1,6,1,7,36,67,14.4,True
Al Horford,3,10,0,3,26,25,5.6,True
Al Horford,1,0,0,6,48,42,0.0,True
Al Horford,3,5,1,4,43,15,14.6,True
Al Horford,1,4,1,1,10,3,10.0,True
Al Horford,1,9,0,2,21,14,11.9,True
Al Horford,1,5,0,2,21,6,2.8,True
Al Horford,3,11,1,2,18,11,7.2,True
Al Horford,4,10,0,2,0,26,7.3,True
Al Horford,4,9,1,0,7,-2,2.2,True
Al Horford,3,8,1,1,18,-2,12.5,True
Al Horford,4,7,1,1,13,0,14.3,True
Al Horford,1,7,1,1,18,3,17.9,True
Al Horford,3,1,0,2,24,12,17.8,True
Al Horford,3,0,1,1,15,1,4.0,True
Al Horford,4,10,0,1,13,6,9.1,True
Al Horford,3,11,1,2,20,11,4.0,True
Al Horford,1,6,0,2,-7,23,14.0,True
Al Horford,4,10,1,1,13,11,7.0,True
Al Horford,1,5,1,0,1,0,15.2,True
Al Horford,2,0,0,2,18,9,6.2,True
Al Horford,4,10,0,1,-10,1,5.6,True
Al Horford,1,10,1,1,18,3,20.6,True
Al Horford,2,8,1,2,-21,9,0.0,True
Al Horford,1,8,0,1,-10,-6,8.8,True
Al Horford,1,8,1,1,-13,3,6.3,True
Al Horford,1,7,0,0,-7,7,13.9,True
Al Horford,3,8,0,1,13,3,14.7,True
Al Horford,1,6,1,1,-11,-2,6.2,True
Al Horford,3,8,1,1,2,15,19.9,True
Al Horford,2,1,1,0,0,1,16.5,True
Al Horford,3,8,1,0,0,1,8.9,True
Al Horford,3,9,1,0,0,1,16.0,True
Al Horford,2,8,1,0,0,1,9.9,True
Al Horford,1,9,0,0,0,1,12.3,True
Al Horford,3,11,1,0,0,1,14.0,True
Al Horford,3,10,1,0,0,1,16.6,True
Al Horford,3,8,1,0,0,1,16.7,True
Al Horford,2,2,1,0,0,1,13.0,True
Al Horford,4,2,1,0,0,1,17.3,True
Al Horford,2,6,1,0,0,1,10.0,True
Al Horford,4,5,1,0,0,1,7.3,True
Al Horford,2,6,1,0,0,1,12.9,True
Al Horford,4,9,1,0,0,1,8.3,True
Al Horford,3,2,1,0,0,1,15.3,True
Al Horford,2,9,1,0,0,1,20.2,True
Al Horford,1,10,1,0,0,1,9.1,True
Al Horford,4,11,1,0,0,1,10.9,True
Al Horford,1,10,1,0,0,1,18.4,True
Al Horford,2,10,1,0,0,1,6.2,True
Al Horford,1,1,1,0,0,1,16.5,True
Al Horford,2,0,1,0,0,1,2.7,True
Al Horford,3,8,1,0,0,1,0.0,True
Al Horford,2,0,1,0,0,1,19.2,True
Al Horford,3,5,0,0,0,1,14.7,True
Al Horford,3,7,1,1,6,11,11.9,True
Al Horford,2,7,1,0,0,1,21.4,True
Al Horford,1,3,1,0,0,1,21.2,True
Al Horford,2,9,1,0,0,1,15.4,True
Al Horford,3,7,1,0,0,1,18.6,True
Al Horford,4,0,1,0,0,1,15.3,True
Al Horford,3,8,1,11,0,119,6.5,True
Al Horford,2,6,0,9,4,93,8.8,True
Al Horford,3,6,1,12,-37,123,13.8,True
Al Horford,1,10,1,7,-4,74,9.1,True
Al Horford,3,11,0,6,2,61,12.1,True
Al Horford,2,10,0,5,2,50,6.0,True
Al Horford,1,4,0,5,48,34,0.3,True
Al Horford,1,5,1,1,-4,12,12.1,True
Al Horford,1,8,1,1,2,15,3.9,True
Al Horford,3,0,1,4,-5,45,10.1,True
Al Horford,2,11,0,7,69,23,8.8,True
Al Horford,3,9,1,10,-52,89,11.0,True
Al Horford,1,8,1,4,13,47,19.0,True
Al Horford,3,5,1,6,40,55,7.9,True
Al Horford,2,9,0,11,32,107,14.0,True
Al Horford,1,9,0,6,64,11,11.0,True
Al Horford,1,8,0,9,47,85,9.4,True
Al Horford,4,3,1,5,56,15,11.0,True
Al Horford,1,8,0,5,0,55,15.0,True
Al Horford,3,11,0,4,34,31,4.7,True
Al Horford,2,8,0,6,9,67,10.0,True
Al Horford,2,0,0,6,61,30,13.1,True
Al Horford,3,6,0,5,-5,53,0.0,True
Al Horford,4,9,0,4,39,28,9.1,True
Al Horford,4,9,0,5,-5,58,15.9,True
Al Horford,3,6,0,4,-16,47,15.3,True
Al Horford,1,11,1,4,-35,30,15.4,True
Al Horford,4,8,0,5,54,3,22.5,True
Al Horford,2,8,0,5,2,53,10.6,True
Al Horford,4,10,1,4,1,47,4.0,True
