name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Andre Drummond,1,4,0,0,0,1,20.4,True
Andre Drummond,2,11,1,0,0,1,24.0,True
Andre Drummond,3,2,1,0,0,1,13.2,True
Andre Drummond,3,10,1,0,0,1,24.0,True
Andre Drummond,1,10,1,0,0,1,19.4,True
Andre Drummond,1,9,1,0,0,1,20.1,True
Andre Drummond,4,11,1,0,0,1,11.0,True
Andre Drummond,1,9,1,0,0,1,24.0,True
Andre Drummond,1,10,1,0,0,1,17.2,True
Andre Drummond,1,3,1,0,0,1,20.2,True
Andre Drummond,1,10,1,0,0,1,15.2,True
Andre Drummond,4,1,1,0,0,1,20.6,True
Andre Drummond,5,4,1,0,0,1,9.8,True
Andre Drummond,1,7,1,0,0,1,19.8,True
Andre Drummond,3,3,1,0,0,1,24.0,True
Andre Drummond,1,11,1,0,0,1,17.1,True
Andre Drummond,1,7,1,0,0,1,20.8,True
Andre Drummond,3,1,0,0,0,1,10.7,True
Andre Drummond,4,0,1,0,0,1,18.1,True
Andre Drummond,3,10,1,0,0,1,24.0,True
Andre Drummond,3,2,1,0,0,1,18.9,True
Andre Drummond,3,8,1,0,0,1,24.0,True
Andre Drummond,3,1,1,0,0,1,18.1,True
Andre Drummond,1,7,1,0,0,1,19.9,True
Andre Drummond,1,1,1,0,0,1,13.6,True
Andre Drummond,2,4,1,0,0,1,7.8,True
Andre Drummond,1,10,1,0,0,1,20.0,True
Andre Drummond,1,8,1,0,0,1,24.0,True
Andre Drummond,3,6,0,0,0,1,15.9,True
Andre Drummond,1,11,1,0,0,1,12.8,True
Andre Drummond,4,8,1,0,0,1,12.9,True
Andre Drummond,4,1,1,0,0,1,17.1,True
Andre Drummond,3,3,1,0,0,1,24.0,True
Andre Drummond,1,2,1,0,0,1,10.5,True
Andre Drummond,4,0,1,0,0,1,16.8,True
Andre Drummond,1,6,1,0,0,1,3.4,True
Andre Drummond,3,2,0,0,0,1,14.2,True
