name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Andrew Bogut,3,8,1,0,0,1,14.8,True
Andrew Bogut,3,8,1,0,0,1,12.1,True
Andrew Bogut,2,1,1,0,0,1,24.0,True
Andrew Bogut,1,11,1,0,0,1,21.1,True
Andrew Bogut,2,4,1,0,0,1,24.0,True
Andrew Bogut,1,5,1,0,0,1,24.0,True
Andrew Bogut,1,3,1,0,0,1,6.7,True
Andrew Bogut,1,9,1,0,0,1,24.0,True
Andrew Bogut,2,4,1,0,0,1,19.5,True
Andrew Bogut,2,4,1,0,0,1,13.2,True
Andrew Bogut,1,9,1,0,0,1,13.5,True
Andrew Bogut,2,1,1,0,0,1,18.1,True
Andrew Bogut,1,11,1,0,0,1,12.0,True
Andrew Bogut,3,3,0,0,0,1,15.8,True
Andrew Bogut,2,5,0,0,0,1,9.4,True
Andrew Bogut,1,7,0,0,0,1,24.0,True
Andrew Bogut,1,5,1,0,0,1,24.0,True
Andrew Bogut,3,4,1,0,0,1,12.1,True
Andrew Bogut,4,4,0,0,0,1,12.6,True
Andrew Bogut,2,4,1,0,0,1,11.2,True
Andrew Bogut,1,4,1,0,0,1,13.8,True
Andrew Bogut,4,0,0,0,0,1,17.6,True
Andrew Bogut,3,11,1,0,0,1,7.0,True
Andrew Bogut,1,9,1,0,0,1,15.6,True
Andrew Bogut,1,2,1,0,0,1,13.8,True
Andrew Bogut,3,7,0,0,0,1,14.4,True
Andrew Bogut,1,8,1,0,0,1,8.3,True
Andrew Bogut,3,4,1,0,0,1,24.0,True
Andrew Bogut,1,5,1,0,0,1,12.0,True
Andrew Bogut,3,6,1,1,1,12,16.3,True
Andrew Bogut,3,11,0,0,0,1,0.0,True
Andrew Bogut,1,8,1,0,0,1,24.0,True
Andrew Bogut,2,2,0,0,0,1,10.7,True
Andrew Bogut,2,3,1,0,0,1,13.6,True
Andrew Bogut,2,2,1,1,-19,0,15.0,True
Andrew Bogut,1,1,1,1,12,14,10.6,True
Andrew Bogut,2,4,1,0,-7,0,16.3,True
Andrew Bogut,3,7,0,2,15,20,15.4,True
Andrew Bogut,1,10,0,2,24,14,19.1,True
Andrew Bogut,1,9,0,2,15,20,23.0,True
Andrew Bogut,1,6,0,1,-4,19,16.0,True
Andrew Bogut,3,11,1,1,-15,0,15.6,True
Andrew Bogut,3,9,0,0,0,1,22.2,True
Andrew Bogut,3,8,1,0,1,1,15.6,True
Andrew Bogut,1,4,1,6,-64,28,9.0,True
Andrew Bogut,1,7,1,6,10,67,20.8,True
Andrew Bogut,1,6,0,1,10,4,18.1,True
Andrew Bogut,1,3,0,2,9,23,6.2,True
Andrew Bogut,2,0,1,1,10,11,7.2,True
Andrew Bogut,1,9,1,1,10,11,6.2,True
Andrew Bogut,2,3,1,1,-2,15,9.5,True
Andrew Bogut,3,9,1,1,-10,12,16.6,True
Andrew Bogut,1,10,0,1,17,9,19.2,True
Andrew Bogut,3,4,1,1,-15,1,13.0,True
Andrew Bogut,2,3,1,0,0,1,11.8,True
Andrew Bogut,1,8,1,0,0,1,18.7,True
Andrew Bogut,3,6,1,0,0,1,16.0,True
Andrew Bogut,4,1,1,0,0,1,13.0,True
Andrew Bogut,1,11,1,0,0,1,10.9,True
Andrew Bogut,1,7,1,0,0,1,15.9,True
Andrew Bogut,2,0,1,0,0,1,14.8,True
Andrew Bogut,4,6,1,0,0,1,3.0,True
Andrew Bogut,3,9,1,0,0,1,12.3,True
Andrew Bogut,4,5,1,0,0,1,14.6,True
Andrew Bogut,3,11,1,0,0,1,8.2,True
Andrew Bogut,1,10,1,0,0,1,0.0,True
Andrew Bogut,3,9,1,0,0,1,14.0,True
Andrew Bogut,1,5,1,0,0,1,15.4,True
Andrew Bogut,3,5,0,9,9,91,2.4,True
Andrew Bogut,3,7,0,7,34,67,11.1,True
Andrew Bogut,3,6,1,8,0,89,15.0,True
Andrew Bogut,3,5,1,5,4,52,14.2,True
Andrew Bogut,2,5,0,6,4,61,12.3,True
Andrew Bogut,1,5,1,9,-10,94,9.4,True
Andrew Bogut,2,2,0,8,61,52,13.1,True
Andrew Bogut,1,6,0,7,26,74,11.0,True
Andrew Bogut,3,11,1,7,23,67,4.9,True
Andrew Bogut,1,5,0,9,47,83,15.8,True
Andrew Bogut,2,3,1,8,75,30,10.0,True
Andrew Bogut,3,11,1,7,72,30,14.5,True
Andrew Bogut,4,8,0,7,39,60,10.8,True
Andrew Bogut,1,10,0,7,-32,67,8.6,True
Andrew Bogut,3,11,1,6,54,41,11.2,True
Andrew Bogut,2,5,0,5,-49,33,11.0,True
Andrew Bogut,1,7,1,7,61,50,3.4,True
Andrew Bogut,1,2,0,7,18,74,0.0,True
Andrew Bogut,4,1,0,6,-4,61,8.2,True
Andrew Bogut,3,7,0,10,24,102,14.1,True
Andrew Bogut,2,6,1,4,-7,45,9.3,True
Andrew Bogut,2,3,1,5,43,26,11.7,True
Andrew Bogut,1,10,1,7,-76,9,0.0,True
Andrew Bogut,4,9,0,8,-2,85,0.0,True
Andrew Bogut,1,9,0,4,-35,26,12.3,True
Andrew Bogut,1,4,0,9,81,50,10.0,True
Andrew Bogut,1,5,0,8,-10,86,0.0,True
Andrew Bogut,4,3,0,7,28,72,14.0,True
Andrew Bogut,1,11,1,5,21,52,9.2,True
Andrew Bogut,4,4,1,4,2,45,16.4,True
Andrew Bogut,1,7,0,6,-7,67,12.8,True
Andrew Bogut,3,11,1,4,-7,47,11.8,True
Andrew Bogut,1,8,1,4,-8,44,16.5,True
Andrew Bogut,1,11,0,10,84,60,14.7,True
Andrew Bogut,3,7,1,7,51,61,6.7,True
Andrew Bogut,2,8,1,10,24,104,14.2,True
Andrew Bogut,1,9,0,5,37,41,22.3,True
Andrew Bogut,3,10,0,6,59,14,7.8,True
Andrew Bogut,1,8,1,5,-48,20,16.0,True
Andrew Bogut,3,4,1,10,102,34,8.0,True
Andrew Bogut,2,5,1,3,18,31,14.4,True
Andrew Bogut,1,6,0,7,-21,72,10.5,True
Andrew Bogut,3,3,1,5,-32,41,14.5,True
Andrew Bogut,2,5,1,6,42,50,8.0,True
Andrew Bogut,3,7,1,5,48,22,15.9,True
Andrew Bogut,1,8,1,8,0,82,16.5,True
Andrew Bogut,1,8,1,3,17,34,6.5,True
Andrew Bogut,3,10,1,7,50,60,14.3,True
Andrew Bogut,1,5,1,9,-86,39,13.5,True
Andrew Bogut,1,8,0,6,-60,11,15.0,True
Andrew Bogut,3,8,1,7,-10,77,15.0,True
Andrew Bogut,3,7,0,7,56,48,1.0,True
Andrew Bogut,1,7,0,10,-30,102,13.0,True
Andrew Bogut,4,8,1,3,24,20,13.2,True
Andrew Bogut,4,8,1,6,-23,60,3.4,True
Andrew Bogut,4,6,1,9,9,91,6.1,True
Andrew Bogut,1,5,1,5,-40,34,16.1,True
Andrew Bogut,1,8,1,10,36,97,11.3,True
Andrew Bogut,1,9,0,6,-18,60,9.7,True
Andrew Bogut,1,11,0,6,61,20,12.4,True
Andrew Bogut,2,3,0,6,6,61,10.1,True
Andrew Bogut,4,3,1,8,-8,80,8.9,True
Andrew Bogut,1,3,1,7,-15,74,10.7,True
Andrew Bogut,3,5,0,6,59,30,6.7,True
Andrew Bogut,3,6,0,18,-79,168,3.6,True
Andrew Bogut,3,3,0,11,108,23,7.4,True
Andrew Bogut,3,4,0,4,4,42,17.9,True
Andrew Bogut,2,4,0,6,34,55,23.7,True
Andrew Bogut,1,6,0,3,-4,31,17.2,True
Andrew Bogut,2,4,0,5,32,45,16.6,True
Andrew Bogut,1,3,0,4,45,7,15.1,True
Andrew Bogut,3,4,1,5,-4,50,11.0,True
Andrew Bogut,1,11,1,7,6,77,16.5,True
Andrew Bogut,2,3,1,7,69,15,15.4,True
Andrew Bogut,1,9,0,4,31,33,11.9,True
Andrew Bogut,3,8,0,8,37,80,9.6,True
Andrew Bogut,3,11,0,6,-60,23,13.0,True
Andrew Bogut,1,4,0,20,-64,195,17.3,True
Andrew Bogut,4,3,1,4,0,45,0.0,True
Andrew Bogut,2,7,0,9,10,94,14.8,True
Andrew Bogut,4,6,0,5,0,56,10.3,True
Andrew Bogut,2,3,0,9,83,39,8.1,True
Andrew Bogut,1,6,0,3,-18,25,6.4,True
Andrew Bogut,2,0,0,6,39,56,14.3,True
Andrew Bogut,3,6,0,11,-109,15,3.5,True
Andrew Bogut,1,7,0,10,-40,97,18.0,True
Andrew Bogut,1,11,0,9,81,45,18.4,True
Andrew Bogut,1,7,0,10,88,53,15.5,True
Andrew Bogut,1,7,1,8,-70,42,12.4,True
Andrew Bogut,1,5,1,4,-24,37,12.6,True
Andrew Bogut,1,4,0,5,-32,48,13.4,True
Andrew Bogut,2,2,1,4,0,47,9.7,True
Andrew Bogut,1,2,0,9,45,80,12.3,True
Andrew Bogut,2,9,0,10,-100,25,2.5,True
Andrew Bogut,2,2,0,4,32,33,13.4,True
Andrew Bogut,3,11,0,3,-11,33,13.4,True
Andrew Bogut,2,2,0,6,-8,61,11.2,True
Andrew Bogut,3,7,0,4,-21,44,17.2,True
Andrew Bogut,3,11,0,14,144,39,14.6,True
Andrew Bogut,1,9,0,3,-37,0,15.5,True
