name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Aron Baynes,4,11,1,0,0,1,15.5,True
Aron Baynes,1,10,1,0,1,-6,11.0,True
Aron Baynes,3,5,0,1,12,0,9.1,True
Aron Baynes,3,0,1,1,-18,-2,9.5,True
Aron Baynes,1,8,0,3,15,34,0.0,True
Aron Baynes,2,10,1,2,-2,25,14.1,True
Aron Baynes,1,0,0,5,-49,34,12.6,True
Aron Baynes,4,3,0,5,53,19,10.3,True
Aron Baynes,1,1,1,8,-73,45,7.7,True
Aron Baynes,1,0,0,1,13,12,0.0,True
Aron Baynes,4,4,1,2,13,22,8.1,True
Aron Baynes,4,9,0,2,9,25,14.6,True
Aron Baynes,4,4,1,1,-11,9,8.1,True
Aron Baynes,4,9,1,0,0,1,13.3,True
Aron Baynes,2,2,1,0,0,1,12.4,True
Aron Baynes,4,1,1,0,0,1,7.2,True
Aron Baynes,1,3,1,0,0,1,12.5,True
Aron Baynes,4,10,1,0,0,1,9.7,True
Aron Baynes,3,9,1,0,0,1,24.0,True
Aron Baynes,4,7,1,0,0,1,14.0,True
Aron Baynes,2,9,1,0,0,1,2.8,True
Aron Baynes,2,9,1,0,0,1,0.0,True
Aron Baynes,1,10,1,0,0,1,5.7,True
Aron Baynes,1,1,1,0,0,1,9.7,True
Aron Baynes,3,11,1,0,0,1,15.0,True
Aron Baynes,3,2,0,0,0,1,0.0,True
Aron Baynes,2,9,1,0,0,1,18.0,True
Aron Baynes,3,0,1,0,0,1,6.6,True
Aron Baynes,2,10,0,0,0,1,11.5,True
Aron Baynes,4,10,1,0,0,1,8.7,True
Aron Baynes,4,6,1,0,0,1,10.6,True
Aron Baynes,1,0,1,0,0,1,0.0,True
Aron Baynes,2,3,1,0,0,1,3.8,True
Aron Baynes,3,2,1,0,0,1,16.4,True
Aron Baynes,1,3,1,0,0,1,0.0,True
Aron Baynes,1,1,1,0,0,1,5.4,True
Aron Baynes,2,4,1,0,0,1,10.0,True
Aron Baynes,1,0,1,0,0,1,15.1,True
Aron Baynes,3,2,1,0,0,1,21.0,True
Aron Baynes,3,0,1,0,0,1,10.5,True
Aron Baynes,2,8,1,0,0,1,10.3,True
Aron Baynes,2,9,1,0,0,1,15.0,True
