name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Bernard James,4,0,1,0,0,1,6.1,True
Bernard James,4,0,1,1,-2,14,19.9,True
Bernard James,1,2,1,0,0,1,12.8,True
Bernard James,3,1,0,1,0,12,6.3,True
Bernard James,2,9,0,4,4,45,17.4,True
Bernard James,3,7,0,3,-35,6,9.7,True
Bernard James,3,1,0,3,2,36,15.4,True
Bernard James,1,2,0,4,31,30,10.1,True
Bernard James,4,3,0,5,0,52,12.7,True
Bernard James,4,8,0,2,-21,-5,23.6,True
Bernard James,1,3,0,1,-11,1,9.2,True
Bernard James,4,0,0,0,-6,3,14.1,True
Bernard James,1,0,1,1,18,7,0.0,True
Bernard James,3,2,0,2,-19,15,11.5,True
Bernard James,1,4,0,1,0,14,17.6,True
Bernard James,2,9,0,0,3,2,22.1,True
Bernard James,4,5,0,1,9,8,8.9,True
Bernard James,3,1,1,0,0,6,23.4,True
Bernard James,4,0,1,0,-2,7,5.0,True
Bernard James,1,2,1,1,-18,6,14.1,True
Bernard James,2,7,0,1,-16,9,23.5,True
Bernard James,1,4,1,1,-10,0,12.4,True
Bernard James,1,7,1,2,-13,25,16.4,True
Bernard James,1,2,1,0,0,1,17.4,True
Bernard James,4,1,1,0,0,1,16.5,True
Bernard James,1,1,1,0,0,1,17.3,True
Bernard James,4,0,0,1,10,14,23.4,True
