name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Brandon Bass,2,1,1,0,0,1,19.0,True
Brandon Bass,4,1,1,0,0,1,18.0,True
Brandon Bass,3,5,1,0,0,1,24.0,True
Brandon Bass,2,11,1,1,6,9,24.0,True
Brandon Bass,2,4,0,0,0,1,10.0,True
Brandon Bass,1,7,1,0,0,1,6.7,True
Brandon Bass,4,10,1,0,0,1,21.2,True
Brandon Bass,3,3,0,1,-7,-11,21.3,True
Brandon Bass,4,10,1,0,0,1,8.5,True
Brandon Bass,1,4,1,0,0,1,10.7,True
Brandon Bass,3,1,0,6,64,4,3.2,True
Brandon Bass,3,4,0,3,13,34,9.1,True
Brandon Bass,3,2,1,3,-18,26,7.4,True
Brandon Bass,2,6,0,7,-38,66,11.2,True
Brandon Bass,2,3,1,0,-7,-3,17.9,True
Brandon Bass,3,4,1,1,9,6,12.3,True
Brandon Bass,2,5,0,2,-21,6,20.0,True
Brandon Bass,4,8,0,1,15,0,14.6,True
Brandon Bass,2,10,0,3,-29,9,6.9,True
Brandon Bass,2,1,1,1,9,11,19.8,True
Brandon Bass,2,11,0,1,-8,14,13.7,True
Brandon Bass,1,5,1,0,-8,0,6.1,True
Brandon Bass,4,7,1,1,-15,7,11.5,True
Brandon Bass,2,9,1,1,-4,15,13.5,True
Brandon Bass,1,7,0,1,15,11,14.0,True
Brandon Bass,2,8,1,1,0,19,6.3,True
Brandon Bass,3,7,1,2,-13,22,14.4,True
Brandon Bass,1,8,1,3,24,19,6.5,True
Brandon Bass,2,7,1,2,4,20,11.9,True
Brandon Bass,1,4,1,1,-10,-6,16.3,True
Brandon Bass,1,3,1,1,-16,3,13.0,True
Brandon Bass,1,1,1,2,20,4,7.8,True
Brandon Bass,3,3,1,0,1,-8,15.4,True
Brandon Bass,2,8,1,3,31,7,9.3,True
Brandon Bass,1,7,0,3,21,22,13.4,True
Brandon Bass,4,10,1,0,0,1,21.5,True
Brandon Bass,3,2,1,0,0,1,22.3,True
Brandon Bass,2,9,1,0,0,1,14.4,True
Brandon Bass,4,4,1,0,0,1,24.0,True
Brandon Bass,3,7,1,0,0,1,9.8,True
Brandon Bass,2,1,1,0,0,1,12.0,True
Brandon Bass,3,10,1,0,0,1,21.1,True
Brandon Bass,3,1,1,0,0,1,5.7,True
Brandon Bass,1,1,1,0,0,1,14.2,True
Brandon Bass,1,2,1,0,0,1,9.0,True
Brandon Bass,1,8,1,0,0,1,20.2,True
Brandon Bass,2,10,1,0,0,1,15.9,True
Brandon Bass,4,6,1,0,0,1,24.0,True
Brandon Bass,4,11,0,2,17,17,15.0,True
Brandon Bass,1,5,0,0,0,1,19.1,True
Brandon Bass,3,5,1,0,0,1,7.0,True
Brandon Bass,3,6,1,0,0,1,16.7,True
Brandon Bass,1,0,1,0,0,1,17.8,True
Brandon Bass,2,2,1,0,0,1,8.1,True
Brandon Bass,1,8,1,0,0,1,17.4,True
