name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Cory Jefferson,2,7,1,0,0,1,19.3,True
Cory Jefferson,4,10,1,0,1,1,16.8,True
Cory Jefferson,4,2,0,0,0,1,18.2,True
Cory Jefferson,4,8,1,0,0,1,24.0,True
Cory Jefferson,2,3,1,0,0,1,17.2,True
Cory Jefferson,4,4,1,0,0,1,8.9,True
Cory Jefferson,1,1,0,0,0,1,14.9,True
Cory Jefferson,4,0,1,0,0,1,11.6,True
Cory Jefferson,4,0,1,0,0,1,18.9,True
Cory Jefferson,4,9,1,0,0,1,24.0,True
Cory Jefferson,2,4,0,0,0,1,22.3,True
Cory Jefferson,4,11,0,0,0,1,18.1,True
Cory Jefferson,2,7,0,0,0,1,19.8,True
Cory Jefferson,2,10,0,0,0,1,10.7,True
Cory Jefferson,2,7,1,0,0,1,13.7,True
Cory Jefferson,1,0,0,0,0,1,4.5,True
Cory Jefferson,2,11,0,0,0,1,11.8,True
Cory Jefferson,4,3,1,4,0,47,10.1,True
Cory Jefferson,2,11,1,7,67,22,12.9,True
Cory Jefferson,3,0,1,5,37,41,23.9,True
Cory Jefferson,4,5,1,11,-111,34,8.9,True
Cory Jefferson,4,10,1,5,9,55,12.9,True
Cory Jefferson,4,4,1,6,-65,25,16.0,True
Cory Jefferson,2,1,1,16,116,113,9.7,True
Cory Jefferson,4,2,1,2,26,12,15.0,True
Cory Jefferson,4,9,0,19,34,194,11.6,True
Cory Jefferson,4,11,0,13,-122,50,5.0,True
Cory Jefferson,4,11,0,17,-4,173,1.9,True
Cory Jefferson,4,2,1,10,99,26,14.0,True
Cory Jefferson,4,5,1,16,118,110,9.0,True
Cory Jefferson,4,0,1,17,-101,137,0.0,True
Cory Jefferson,4,11,0,24,-120,214,15.7,False
Cory Jefferson,1,8,1,7,-11,77,18.2,True
Cory Jefferson,1,6,1,3,-32,12,15.2,True
Cory Jefferson,3,7,1,18,48,179,6.4,True
Cory Jefferson,3,3,1,18,23,181,9.2,True
Cory Jefferson,2,10,1,19,-59,190,15.8,True
Cory Jefferson,4,1,1,22,228,3,13.9,False
Cory Jefferson,2,8,1,14,-141,3,23.6,True
Cory Jefferson,4,9,0,8,26,86,14.7,True
Cory Jefferson,4,11,1,19,-8,192,15.2,True
Cory Jefferson,2,5,0,10,83,61,2.3,True
Cory Jefferson,4,8,0,17,67,167,13.0,True
Cory Jefferson,4,9,1,18,-5,187,14.1,True
Cory Jefferson,4,7,0,3,37,-10,18.9,True
Cory Jefferson,4,4,1,18,0,189,16.0,True
Cory Jefferson,2,0,0,23,-229,-22,4.0,False
Cory Jefferson,4,0,0,10,65,77,1.9,True
Cory Jefferson,4,0,0,24,50,238,11.0,False
Cory Jefferson,2,3,0,7,-71,36,14.5,True
Cory Jefferson,4,0,0,12,119,52,0.0,True
Cory Jefferson,4,8,0,19,100,173,10.5,True
Cory Jefferson,4,1,0,16,-78,148,9.9,True
Cory Jefferson,4,5,0,19,-24,189,14.3,True
Cory Jefferson,1,2,0,4,39,31,10.5,True
Cory Jefferson,1,4,0,19,-171,97,12.4,True
Cory Jefferson,2,5,0,24,108,219,6.2,False
Cory Jefferson,4,0,0,10,-100,17,11.2,True
Cory Jefferson,4,11,0,10,-103,15,7.8,True
Cory Jefferson,4,4,0,16,165,11,14.6,True
Cory Jefferson,4,3,0,27,45,268,17.5,False
Cory Jefferson,4,8,0,20,21,203,16.9,True
Cory Jefferson,4,4,0,19,-38,187,15.0,True
Cory Jefferson,4,10,0,20,81,189,16.3,True
Cory Jefferson,4,3,0,25,106,230,14.2,False
Cory Jefferson,4,4,0,13,-106,77,11.2,True
Cory Jefferson,2,5,0,4,-35,23,4.2,True
Cory Jefferson,1,0,0,19,48,187,11.9,True
Cory Jefferson,2,1,0,11,-71,93,0.0,True
Cory Jefferson,4,7,0,24,-163,187,8.9,False
Cory Jefferson,3,0,1,11,-111,11,0.0,True
Cory Jefferson,4,6,1,18,43,181,7.0,True
Cory Jefferson,4,5,1,11,58,102,8.5,True
Cory Jefferson,3,4,0,6,43,42,11.7,True
Cory Jefferson,4,11,1,15,7,159,5.6,True
Cory Jefferson,2,11,0,10,12,108,7.9,True
Cory Jefferson,4,3,0,16,121,119,12.2,True
Cory Jefferson,4,0,0,3,4,34,18.5,True
Cory Jefferson,4,7,1,9,94,20,0.0,True
Cory Jefferson,2,9,1,22,223,31,14.4,False
Cory Jefferson,4,7,0,14,146,7,9.9,True
Cory Jefferson,2,6,0,6,28,60,13.5,True
Cory Jefferson,3,1,0,24,154,187,12.5,False
Cory Jefferson,4,11,0,22,225,1,13.5,False
Cory Jefferson,2,6,0,7,-73,15,14.4,True
Cory Jefferson,4,0,0,6,0,67,14.2,True
Cory Jefferson,4,0,0,10,-65,85,0.0,True
Cory Jefferson,4,3,0,24,147,195,11.6,False
Cory Jefferson,4,2,1,15,-153,-19,22.9,True
Cory Jefferson,1,1,0,13,129,25,11.2,True
Cory Jefferson,2,10,1,7,73,7,12.9,True
Cory Jefferson,3,0,0,0,0,1,19.0,True
Cory Jefferson,2,5,0,12,125,4,16.5,True
Cory Jefferson,4,10,0,8,-56,63,14.5,True
Cory Jefferson,2,5,0,19,146,132,14.1,True
Cory Jefferson,3,0,0,68,-16,684,13.6,False
Cory Jefferson,4,10,0,19,-73,176,15.1,True
Cory Jefferson,2,9,0,22,228,11,6.4,False
Cory Jefferson,3,0,0,2,-19,20,18.0,True
Cory Jefferson,4,11,1,12,-125,-2,10.4,True
Cory Jefferson,2,6,0,17,133,119,16.3,True
Cory Jefferson,4,1,1,12,121,-25,9.4,True
Cory Jefferson,4,11,0,19,18,195,1.1,True
Cory Jefferson,4,8,1,10,108,17,5.5,True
Cory Jefferson,4,0,0,6,47,44,14.8,True
Cory Jefferson,4,5,0,8,81,7,23.5,True
Cory Jefferson,2,10,1,16,-147,72,7.5,True
Cory Jefferson,4,11,0,18,6,186,11.0,True
Cory Jefferson,4,1,0,18,111,143,11.6,True
Cory Jefferson,3,3,1,12,-128,17,15.1,True
Cory Jefferson,3,4,0,24,159,190,14.2,False
Cory Jefferson,4,3,1,12,121,17,15.4,True
Cory Jefferson,3,4,0,4,40,4,9.9,True
Cory Jefferson,1,4,0,3,32,-2,24.0,True
Cory Jefferson,4,6,0,0,0,-2,8.7,True
Cory Jefferson,4,1,1,0,2,3,12.7,True
Cory Jefferson,4,9,0,3,24,29,13.9,True
Cory Jefferson,4,7,0,2,28,1,12.4,True
Cory Jefferson,4,4,0,2,15,19,16.9,True
Cory Jefferson,4,11,0,1,-18,4,16.4,True
Cory Jefferson,4,6,0,2,1,20,15.5,True
Cory Jefferson,4,6,1,0,0,-2,13.7,True
Cory Jefferson,4,6,0,1,9,14,19.4,True
Cory Jefferson,3,0,0,2,-24,3,15.7,True
Cory Jefferson,4,1,0,2,29,3,9.5,True
Cory Jefferson,4,9,0,2,-24,1,21.8,True
Cory Jefferson,2,1,1,1,9,11,0.0,True
Cory Jefferson,2,8,0,1,12,7,13.5,True
Cory Jefferson,2,4,1,0,0,1,24.0,True
Cory Jefferson,4,10,1,0,0,1,24.0,True
Cory Jefferson,2,7,1,0,0,1,24.0,True
Cory Jefferson,4,8,1,0,0,1,24.0,True
Cory Jefferson,4,6,1,0,0,1,24.0,True
Cory Jefferson,4,5,1,3,34,4,22.9,True
Cory Jefferson,3,4,1,0,-5,6,24.0,True
Cory Jefferson,2,2,1,1,-13,0,24.0,True
Cory Jefferson,1,5,1,1,12,0,24.0,True
Cory Jefferson,4,9,1,0,1,-8,23.8,True
Cory Jefferson,3,0,1,4,-18,36,0.0,True
Cory Jefferson,4,10,0,2,21,12,23.3,True
Cory Jefferson,4,0,1,0,-2,7,13.3,True
Cory Jefferson,2,8,0,8,80,14,12.3,True
Cory Jefferson,4,2,1,0,0,1,18.7,True
Cory Jefferson,1,0,1,0,0,1,5.3,True
Cory Jefferson,2,8,1,0,0,1,17.3,True
Cory Jefferson,2,9,1,0,0,1,7.4,True
Cory Jefferson,2,8,1,0,0,1,22.9,True
Cory Jefferson,2,5,1,0,0,1,18.4,True
Cory Jefferson,4,1,1,0,0,1,17.3,True
Cory Jefferson,2,2,0,3,23,20,0.0,True
Cory Jefferson,2,7,1,1,-11,0,24.0,True
Cory Jefferson,4,9,0,1,2,17,19.0,True
Cory Jefferson,2,2,0,0,7,6,24.0,True
Cory Jefferson,3,2,1,1,-13,11,24.0,True
Cory Jefferson,2,10,1,1,-8,11,24.0,True
Cory Jefferson,2,2,1,0,0,9,24.0,True
Cory Jefferson,3,0,0,0,-2,7,0.0,True
Cory Jefferson,4,9,1,4,-41,25,15.0,True
Cory Jefferson,4,0,0,17,165,45,0.0,True
Cory Jefferson,2,2,0,9,-92,7,0.0,True
Cory Jefferson,4,10,1,8,-87,15,7.9,True
Cory Jefferson,2,7,0,8,-45,75,15.1,True
Cory Jefferson,4,11,1,7,67,41,13.7,True
Cory Jefferson,4,3,0,9,-92,33,5.9,True
Cory Jefferson,4,0,1,11,-35,110,14.0,True
Cory Jefferson,4,8,1,13,-73,116,14.9,True
Cory Jefferson,3,0,0,8,61,60,11.2,True
