name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Cory Joseph,1,10,1,12,122,39,4.6,True
Cory Joseph,4,9,1,0,1,6,15.8,True
Cory Joseph,2,5,1,0,-4,4,20.4,True
Cory Joseph,4,6,1,0,-5,3,10.9,True
Cory Joseph,3,8,1,3,36,7,2.8,True
Cory Joseph,3,0,0,6,-29,56,8.6,True
Cory Joseph,4,6,1,5,56,6,14.9,True
Cory Joseph,2,6,1,7,78,12,11.1,True
Cory Joseph,3,0,1,1,-4,-14,10.6,True
Cory Joseph,2,10,1,2,26,-2,15.2,True
Cory Joseph,2,3,1,1,12,0,24.0,True
Cory Joseph,2,6,1,0,-8,-3,10.2,True
Cory Joseph,3,0,1,2,13,19,0.0,True
Cory Joseph,2,2,1,0,-2,7,17.3,True
Cory Joseph,1,3,1,0,0,4,7.1,True
Cory Joseph,2,6,0,0,-8,3,2.7,True
Cory Joseph,3,5,1,1,-15,0,4.7,True
Cory Joseph,4,11,1,3,-21,23,12.1,True
Cory Joseph,4,8,1,1,-11,4,3.7,True
Cory Joseph,4,4,0,2,26,-6,5.9,True
Cory Joseph,2,2,1,3,34,9,20.0,True
Cory Joseph,2,8,0,1,-18,4,7.5,True
Cory Joseph,2,0,0,1,-10,12,0.0,True
Cory Joseph,4,8,0,1,0,14,17.5,True
Cory Joseph,2,9,1,1,-11,-5,3.3,True
Cory Joseph,1,8,1,0,-8,3,20.1,True
Cory Joseph,4,3,1,2,20,3,3.8,True
Cory Joseph,3,7,1,1,15,0,14.7,True
Cory Joseph,4,7,1,2,29,6,4.9,True
Cory Joseph,2,1,1,1,15,6,13.3,True
Cory Joseph,2,4,0,1,17,3,4.0,True
Cory Joseph,4,6,1,2,20,4,20.0,True
Cory Joseph,3,2,1,1,1,19,9.2,True
Cory Joseph,4,4,1,1,12,14,11.7,True
Cory Joseph,2,8,1,0,4,-5,20.5,True
Cory Joseph,1,0,1,1,-5,17,9.5,True
Cory Joseph,2,5,1,1,12,4,15.0,True
Cory Joseph,1,1,1,1,13,3,10.2,True
Cory Joseph,4,0,1,2,-26,-3,24.0,True
Cory Joseph,2,7,1,4,0,42,9.9,True
Cory Joseph,2,7,1,2,23,9,20.0,True
Cory Joseph,4,8,1,1,7,12,15.1,True
Cory Joseph,2,1,1,2,-26,12,21.0,True
Cory Joseph,4,5,1,0,2,9,14.5,True
Cory Joseph,4,5,1,1,10,3,10.0,True
Cory Joseph,2,2,0,1,15,9,3.2,True
Cory Joseph,4,0,0,2,12,17,9.0,True
Cory Joseph,3,7,1,1,10,6,5.9,True
Cory Joseph,4,2,1,1,-10,15,15.4,True
Cory Joseph,4,9,0,2,-7,20,10.6,True
Cory Joseph,3,1,1,0,-7,6,6.7,True
Cory Joseph,4,0,1,1,12,3,11.2,True
Cory Joseph,3,6,1,2,23,-8,18.0,True
Cory Joseph,4,1,0,1,18,7,7.4,True
Cory Joseph,3,3,1,1,-11,-2,13.0,True
Cory Joseph,1,2,1,0,0,3,17.9,True
Cory Joseph,3,3,1,3,-30,17,8.0,True
Cory Joseph,4,8,0,1,-4,-10,14.0,True
Cory Joseph,1,2,1,2,-23,12,10.1,True
Cory Joseph,2,1,1,2,24,4,4.8,True
Cory Joseph,4,5,1,2,20,0,2.9,True
Cory Joseph,4,3,1,1,13,6,17.4,True
Cory Joseph,2,0,1,1,-10,-5,13.8,True
Cory Joseph,4,10,1,1,0,17,13.8,True
Cory Joseph,2,7,1,1,18,0,16.3,True
Cory Joseph,1,2,0,0,3,-3,8.0,True
Cory Joseph,2,7,1,2,23,0,15.2,True
Cory Joseph,2,9,0,3,-27,20,13.4,True
Cory Joseph,2,10,1,1,-15,-3,21.2,True
Cory Joseph,1,2,1,2,28,0,10.6,True
Cory Joseph,4,3,1,1,-18,1,13.7,True
Cory Joseph,4,0,0,0,0,1,14.1,True
Cory Joseph,3,0,0,11,-114,31,0.0,True
Cory Joseph,4,9,1,8,-89,4,5.9,True
Cory Joseph,4,10,1,17,-139,110,6.1,True
Cory Joseph,2,0,1,13,-136,11,13.8,True
Cory Joseph,4,8,1,11,-119,0,11.7,True
Cory Joseph,4,8,0,2,-16,14,19.1,True
Cory Joseph,3,11,1,9,91,39,8.0,True
Cory Joseph,1,7,1,12,-10,123,6.6,True
Cory Joseph,2,10,1,5,2,52,13.2,True
Cory Joseph,3,0,0,4,0,41,0.0,True
Cory Joseph,3,2,1,9,94,11,13.4,True
Cory Joseph,3,5,0,10,108,0,17.3,True
Cory Joseph,1,1,0,10,1,102,8.9,True
Cory Joseph,3,0,0,15,155,0,0.0,True
Cory Joseph,2,0,0,7,-11,74,17.1,True
Cory Joseph,2,8,0,12,56,107,20.5,True
Cory Joseph,3,5,0,11,-43,110,14.1,True
Cory Joseph,4,9,1,6,2,60,24.0,True
Cory Joseph,4,1,0,10,4,105,24.0,True
Cory Joseph,3,6,0,5,-40,30,10.0,True
Cory Joseph,1,9,1,6,0,66,3.7,True
Cory Joseph,4,11,0,4,43,17,2.8,True
Cory Joseph,4,7,1,5,56,4,5.4,True
Cory Joseph,2,8,0,22,102,206,1.4,True
Cory Joseph,2,0,1,9,-5,93,1.1,True
Cory Joseph,4,4,1,9,-79,48,0.0,True
Cory Joseph,4,7,1,20,-205,42,14.7,True
Cory Joseph,1,6,0,16,6,165,14.1,True
Cory Joseph,2,2,1,22,-224,7,8.2,False
Cory Joseph,4,9,1,20,-175,97,18.6,True
Cory Joseph,1,0,0,46,-130,446,0.0,False
Cory Joseph,3,1,1,23,228,44,6.7,False
Cory Joseph,4,8,1,10,-97,44,16.0,True
Cory Joseph,3,0,0,57,170,550,0.0,False
Cory Joseph,1,0,0,3,4,36,0.0,True
Cory Joseph,4,2,0,16,-163,-3,12.3,True
Cory Joseph,1,0,0,36,-4,362,0.0,False
Cory Joseph,4,8,1,23,228,31,15.7,False
Cory Joseph,1,2,0,3,18,30,16.6,True
Cory Joseph,3,4,1,24,-163,184,13.9,False
Cory Joseph,3,0,0,37,201,312,0.0,False
Cory Joseph,2,6,1,20,100,179,2.8,True
Cory Joseph,3,0,1,23,-231,0,11.8,False
Cory Joseph,1,5,1,17,88,146,12.9,True
Cory Joseph,3,0,0,61,151,594,0.0,False
Cory Joseph,2,10,1,14,6,146,15.0,True
Cory Joseph,4,8,1,21,80,195,11.6,True
Cory Joseph,2,0,1,22,-229,1,3.2,False
Cory Joseph,3,9,1,23,-231,1,11.8,False
Cory Joseph,1,9,1,8,-73,39,14.5,True
Cory Joseph,1,5,1,14,-127,77,7.9,True
Cory Joseph,3,5,1,17,177,12,15.2,True
Cory Joseph,6,0,1,11,-117,6,18.1,True
Cory Joseph,1,10,1,15,151,44,4.7,True
Cory Joseph,2,0,0,33,184,274,0.0,False
Cory Joseph,3,4,0,8,65,47,1.8,True
Cory Joseph,4,2,1,15,-155,28,7.0,True
Cory Joseph,3,1,1,25,132,214,7.6,False
Cory Joseph,4,1,1,18,-111,145,13.6,True
Cory Joseph,4,6,1,25,190,167,2.6,False
Cory Joseph,1,11,1,20,-133,159,3.9,True
Cory Joseph,3,10,1,16,-160,19,13.3,True
Cory Joseph,3,7,0,4,23,37,6.8,True
Cory Joseph,3,7,1,5,-54,3,1.9,True
Cory Joseph,4,0,1,23,-232,4,17.7,False
Cory Joseph,3,10,1,10,102,-3,2.6,True
Cory Joseph,3,9,0,5,0,55,3.7,True
Cory Joseph,1,8,1,13,-134,4,11.3,True
Cory Joseph,2,0,1,19,166,94,0.0,True
Cory Joseph,2,5,1,7,-73,-2,14.4,True
Cory Joseph,3,9,1,7,-73,6,4.4,True
Cory Joseph,2,9,1,20,-142,148,15.7,True
Cory Joseph,1,0,0,5,53,1,0.0,True
Cory Joseph,1,1,1,24,241,7,0.0,False
Cory Joseph,3,9,0,27,-182,200,0.6,False
Cory Joseph,3,3,0,18,-108,156,11.2,True
Cory Joseph,2,0,0,14,-8,149,8.0,True
Cory Joseph,3,9,1,19,-29,189,14.4,True
Cory Joseph,4,0,0,18,-75,172,10.1,True
Cory Joseph,3,1,0,22,-226,20,2.5,False
Cory Joseph,7,3,0,25,108,233,1.0,False
Cory Joseph,1,4,0,17,-24,175,6.9,True
