name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
DJ Augustin,2,4,1,4,47,6,13.5,True
DJ Augustin,1,1,1,6,50,39,10.9,True
DJ Augustin,2,8,1,9,89,15,14.5,True
DJ Augustin,4,9,1,9,-87,36,15.2,True
DJ Augustin,4,6,1,3,-35,0,15.9,True
DJ Augustin,4,10,1,0,7,0,10.6,True
DJ Augustin,4,5,1,1,9,9,10.1,True
DJ Augustin,2,6,1,0,1,-3,16.5,True
DJ Augustin,1,2,1,0,4,0,19.7,True
DJ Augustin,4,10,0,2,-27,0,9.5,True
DJ Augustin,1,0,1,1,4,11,11.8,True
DJ Augustin,2,9,1,4,37,26,14.6,True
DJ Augustin,1,10,0,2,-21,15,16.1,True
DJ Augustin,2,0,1,6,51,47,13.1,True
DJ Augustin,1,7,0,3,-21,34,8.7,True
DJ Augustin,4,1,0,9,-59,71,3.5,True
DJ Augustin,1,3,0,5,50,11,19.8,True
DJ Augustin,4,8,1,12,62,105,11.3,True
DJ Augustin,2,8,0,4,47,0,3.1,True
DJ Augustin,4,7,0,3,-26,23,10.7,True
DJ Augustin,4,5,0,6,64,11,12.8,True
DJ Augustin,4,3,0,6,53,39,16.4,True
DJ Augustin,1,2,0,2,-26,7,18.4,True
DJ Augustin,4,4,1,6,58,19,12.4,True
DJ Augustin,1,5,1,0,0,9,16.0,True
DJ Augustin,2,8,1,0,1,6,19.8,True
DJ Augustin,4,3,1,1,17,3,2.8,True
DJ Augustin,2,0,0,0,2,6,0.0,True
DJ Augustin,2,3,1,0,-2,6,20.0,True
DJ Augustin,3,4,1,0,-8,4,11.7,True
DJ Augustin,3,8,0,0,1,0,15.2,True
DJ Augustin,2,6,0,0,7,6,10.5,True
DJ Augustin,1,6,0,0,1,1,20.0,True
DJ Augustin,1,5,1,0,0,6,19.4,True
DJ Augustin,3,8,1,0,4,-2,7.6,True
DJ Augustin,3,8,1,0,1,3,9.5,True
DJ Augustin,3,1,1,0,4,7,17.8,True
DJ Augustin,1,2,1,0,0,1,8.4,True
DJ Augustin,2,9,1,1,9,6,14.6,True
DJ Augustin,1,0,0,1,-4,14,7.6,True
DJ Augustin,4,9,1,2,28,4,20.1,True
DJ Augustin,4,6,1,2,-26,0,4.8,True
DJ Augustin,2,5,1,0,1,1,11.7,True
DJ Augustin,2,0,1,1,18,0,21.7,True
DJ Augustin,2,9,1,0,4,9,11.6,True
DJ Augustin,1,6,1,0,1,1,8.5,True
DJ Augustin,1,2,1,0,2,7,3.5,True
DJ Augustin,2,6,0,1,-10,-2,11.0,True
DJ Augustin,1,0,0,0,7,7,0.0,True
DJ Augustin,2,9,0,0,1,1,22.6,True
DJ Augustin,2,5,1,1,18,-2,18.9,True
DJ Augustin,2,10,1,2,18,9,16.4,True
DJ Augustin,2,0,0,1,6,12,12.7,True
DJ Augustin,3,1,1,0,1,6,12.4,True
DJ Augustin,1,1,0,0,1,7,5.2,True
DJ Augustin,1,4,1,1,-18,6,20.6,True
DJ Augustin,4,0,1,1,-19,3,17.6,True
DJ Augustin,4,0,1,1,13,6,16.9,True
DJ Augustin,2,9,1,2,28,0,11.6,True
DJ Augustin,2,2,1,1,6,-10,16.6,True
DJ Augustin,4,0,1,0,6,4,0.0,True
DJ Augustin,2,0,1,1,13,6,4.5,True
DJ Augustin,3,0,0,2,26,11,0.0,True
DJ Augustin,3,0,1,0,-2,7,0.0,True
DJ Augustin,4,7,1,1,0,12,15.2,True
DJ Augustin,4,0,1,1,18,6,9.3,True
DJ Augustin,3,3,1,0,1,0,14.1,True
DJ Augustin,4,0,0,0,-5,7,14.2,True
DJ Augustin,4,9,0,1,9,7,3.4,True
DJ Augustin,2,4,1,0,2,1,15.0,True
DJ Augustin,2,0,1,0,2,4,15.0,True
DJ Augustin,1,3,1,0,0,4,19.9,True
DJ Augustin,4,5,1,1,0,11,11.9,True
DJ Augustin,2,4,1,0,7,6,13.0,True
DJ Augustin,4,7,1,0,1,4,12.0,True
DJ Augustin,4,7,1,0,2,7,15.3,True
DJ Augustin,4,11,1,0,2,1,9.2,True
DJ Augustin,2,0,1,0,0,4,12.1,True
DJ Augustin,2,9,1,0,-2,3,12.3,True
DJ Augustin,2,6,1,0,7,3,14.0,True
DJ Augustin,2,11,0,2,20,20,4.1,True
DJ Augustin,4,1,1,1,12,0,8.0,True
DJ Augustin,1,7,0,0,0,6,7.3,True
DJ Augustin,4,0,0,0,1,3,15.5,True
DJ Augustin,2,1,1,1,15,6,5.0,True
DJ Augustin,1,5,1,0,6,1,5.9,True
DJ Augustin,1,7,1,1,10,1,9.0,True
DJ Augustin,1,1,1,0,-5,6,19.0,True
DJ Augustin,2,6,1,0,-5,-2,20.2,True
