name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Dahntay Jones,4,3,1,1,-8,7,20.4,True
Dahntay Jones,2,10,0,11,61,96,10.1,True
Dahntay Jones,4,2,0,15,-150,-3,7.8,True
Dahntay Jones,3,4,0,19,59,187,10.3,True
Dahntay Jones,4,6,0,9,-82,41,11.3,True
Dahntay Jones,4,5,1,19,-43,187,11.9,True
Dahntay Jones,4,4,0,7,-65,34,19.3,True
Dahntay Jones,1,0,0,23,-231,26,6.0,False
Dahntay Jones,4,10,0,20,-193,53,4.8,True
Dahntay Jones,4,0,0,14,94,104,11.6,True
Dahntay Jones,3,3,0,21,1,213,10.0,True
Dahntay Jones,2,0,0,22,228,6,1.5,False
Dahntay Jones,4,3,0,23,-229,23,7.7,False
Dahntay Jones,4,7,0,12,0,129,10.9,True
Dahntay Jones,4,0,0,24,-243,12,17.7,False
Dahntay Jones,4,0,0,2,23,3,5.7,True
Dahntay Jones,4,11,1,1,6,14,13.0,True
Dahntay Jones,4,2,1,2,24,0,13.1,True
Dahntay Jones,4,0,1,0,4,6,21.1,True
Dahntay Jones,4,6,1,0,-7,3,19.6,True
Dahntay Jones,1,0,0,13,95,94,0.0,True
