name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Danny Granger,1,8,1,3,36,-6,18.5,True
Danny Granger,2,11,1,2,-21,1,7.7,True
Danny Granger,3,5,1,2,-21,9,12.3,True
Danny Granger,3,2,1,0,-4,3,10.9,True
Danny Granger,2,9,0,2,12,17,9.4,True
Danny Granger,2,6,0,1,12,4,18.2,True
Danny Granger,2,5,1,1,9,6,14.3,True
Danny Granger,3,1,0,1,6,17,7.0,True
Danny Granger,4,11,1,10,-98,39,0.3,True
Danny Granger,1,1,0,13,-138,19,22.0,True
Danny Granger,3,0,0,12,-106,58,3.0,True
Danny Granger,2,11,0,7,56,45,9.3,True
Danny Granger,4,9,0,6,0,60,8.7,True
Danny Granger,2,1,0,24,-204,129,23.9,False
Danny Granger,1,0,0,25,-221,124,11.2,False
Danny Granger,4,9,1,25,225,124,11.3,False
Danny Granger,4,7,1,25,230,121,8.1,False
Danny Granger,4,11,0,22,-229,12,5.7,False
Danny Granger,3,1,0,25,215,134,2.6,False
Danny Granger,4,7,0,25,179,186,3.6,False
Danny Granger,4,5,0,20,-24,201,0.6,True
Danny Granger,4,8,1,13,-89,99,6.5,True
Danny Granger,1,3,1,25,198,165,1.1,False
Danny Granger,3,10,1,23,-231,30,1.5,False
Danny Granger,4,4,1,24,-209,137,18.8,False
Danny Granger,1,0,0,24,-198,146,0.0,False
Danny Granger,2,10,1,23,-224,69,4.9,False
Danny Granger,2,5,0,17,-120,124,15.0,True
Danny Granger,2,5,1,18,-180,0,2.9,True
Danny Granger,4,9,0,23,236,14,3.0,False
Danny Granger,1,2,1,24,179,170,1.5,False
Danny Granger,3,0,1,24,130,209,10.3,False
Danny Granger,1,1,1,24,-174,167,7.7,False
Danny Granger,1,1,1,24,-160,181,21.7,False
Danny Granger,2,7,1,24,-207,135,8.6,False
Danny Granger,2,3,1,24,2,244,9.7,False
Danny Granger,2,0,1,25,-210,137,12.5,False
Danny Granger,4,1,1,25,203,153,7.1,False
Danny Granger,1,2,1,23,236,-3,14.3,False
Danny Granger,2,7,1,25,56,246,12.8,False
Danny Granger,2,4,1,20,136,160,12.1,True
Danny Granger,4,10,1,22,162,149,7.0,True
Danny Granger,4,8,1,19,196,4,7.0,True
Danny Granger,4,3,1,19,196,37,12.0,True
Danny Granger,1,0,0,25,-27,250,0.0,False
Danny Granger,2,11,1,25,204,149,5.0,False
Danny Granger,2,6,1,20,144,140,14.5,True
Danny Granger,4,5,1,22,-221,-6,9.7,False
