name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Dewayne Dedmon,1,10,1,0,0,1,15.8,True
Dewayne Dedmon,1,0,1,0,0,1,18.6,True
Dewayne Dedmon,3,8,1,0,0,1,24.0,True
Dewayne Dedmon,3,7,1,0,0,1,24.0,True
Dewayne Dedmon,2,6,1,0,0,1,18.7,True
Dewayne Dedmon,2,9,1,0,0,1,24.0,True
Dewayne Dedmon,2,8,1,0,0,1,23.8,True
Dewayne Dedmon,1,8,1,0,0,1,24.0,True
Dewayne Dedmon,3,0,1,0,0,1,24.0,True
Dewayne Dedmon,3,0,1,0,0,1,24.0,True
Dewayne Dedmon,2,8,1,0,0,1,15.8,True
Dewayne Dedmon,3,10,1,0,0,1,17.3,True
Dewayne Dedmon,4,4,1,0,0,1,8.0,True
Dewayne Dedmon,2,11,1,1,1,14,9.7,True
Dewayne Dedmon,1,7,1,2,-8,28,14.3,True
Dewayne Dedmon,1,2,1,2,-18,15,13.0,True
Dewayne Dedmon,1,10,1,1,10,12,15.8,True
Dewayne Dedmon,2,10,0,1,-8,15,9.1,True
Dewayne Dedmon,1,2,1,0,0,1,7.0,True
Dewayne Dedmon,2,11,0,0,0,1,12.2,True
Dewayne Dedmon,3,10,0,0,0,1,24.0,True
Dewayne Dedmon,2,2,0,0,0,1,9.8,True
Dewayne Dedmon,3,2,0,0,-8,-5,18.6,True
Dewayne Dedmon,4,6,1,0,0,1,21.1,True
Dewayne Dedmon,2,0,1,0,0,1,3.7,True
Dewayne Dedmon,4,0,0,0,0,1,0.0,True
Dewayne Dedmon,3,3,0,0,0,1,15.6,True
Dewayne Dedmon,3,4,1,0,0,1,15.5,True
Dewayne Dedmon,1,11,1,0,0,1,12.1,True
Dewayne Dedmon,1,1,1,0,0,1,13.6,True
Dewayne Dedmon,1,7,1,0,0,1,10.2,True
Dewayne Dedmon,3,10,1,8,54,71,8.0,True
Dewayne Dedmon,4,4,1,7,45,61,9.7,True
Dewayne Dedmon,1,7,0,3,17,27,22.6,True
Dewayne Dedmon,2,10,1,6,47,47,14.1,True
Dewayne Dedmon,1,9,0,8,-18,78,12.0,True
Dewayne Dedmon,3,5,0,3,-13,33,21.0,True
Dewayne Dedmon,3,11,0,7,58,55,24.0,True
Dewayne Dedmon,2,10,0,6,64,23,16.5,True
Dewayne Dedmon,2,9,0,3,21,26,21.9,True
Dewayne Dedmon,4,11,0,5,45,25,9.2,True
Dewayne Dedmon,3,11,0,6,59,28,16.3,True
Dewayne Dedmon,2,9,1,5,4,55,22.7,True
Dewayne Dedmon,4,10,1,2,2,28,2.5,True
Dewayne Dedmon,4,0,0,6,-5,63,0.0,True
Dewayne Dedmon,1,6,0,6,64,15,7.7,True
Dewayne Dedmon,2,9,1,3,-4,36,10.9,True
Dewayne Dedmon,4,10,1,5,-23,50,13.0,True
Dewayne Dedmon,3,3,0,7,-19,72,12.1,True
Dewayne Dedmon,1,8,1,5,42,30,22.1,True
Dewayne Dedmon,1,0,1,7,54,45,8.0,True
Dewayne Dedmon,1,6,1,5,-19,52,9.7,True
Dewayne Dedmon,4,9,0,7,24,67,0.7,True
Dewayne Dedmon,1,9,1,8,34,74,2.0,True
Dewayne Dedmon,1,6,0,5,-4,55,7.9,True
Dewayne Dedmon,4,3,0,7,-11,72,4.1,True
Dewayne Dedmon,4,0,0,4,15,42,11.8,True
Dewayne Dedmon,2,5,1,9,-2,97,14.2,True
Dewayne Dedmon,2,2,1,4,40,20,23.4,True
Dewayne Dedmon,2,0,1,16,160,-13,3.0,True
Dewayne Dedmon,2,2,0,16,-43,160,5.9,True
Dewayne Dedmon,2,7,1,6,-68,7,6.8,True
Dewayne Dedmon,4,8,1,3,-18,31,9.4,True
Dewayne Dedmon,3,1,0,5,-59,6,21.7,True
Dewayne Dedmon,3,2,0,4,-38,26,12.4,True
Dewayne Dedmon,4,1,0,16,-125,104,7.2,True
Dewayne Dedmon,2,11,0,3,20,30,8.7,True
Dewayne Dedmon,4,11,0,7,61,47,6.3,True
Dewayne Dedmon,2,1,0,7,-70,34,4.4,True
Dewayne Dedmon,2,10,0,10,-62,83,10.8,True
Dewayne Dedmon,3,0,0,45,212,401,0.0,False
Dewayne Dedmon,3,5,1,15,45,146,17.0,True
Dewayne Dedmon,3,9,0,7,37,60,22.5,True
Dewayne Dedmon,2,1,0,8,67,55,14.0,True
Dewayne Dedmon,1,1,0,4,-38,23,0.0,True
Dewayne Dedmon,1,10,0,17,130,110,5.7,True
Dewayne Dedmon,1,0,0,5,50,20,17.5,True
Dewayne Dedmon,1,4,1,1,4,14,24.0,True
Dewayne Dedmon,4,0,0,1,9,14,2.9,True
Dewayne Dedmon,1,10,1,0,2,3,13.3,True
Dewayne Dedmon,2,5,1,1,1,17,24.0,True
Dewayne Dedmon,4,1,1,2,-23,6,15.0,True
Dewayne Dedmon,2,8,1,1,12,14,3.2,True
Dewayne Dedmon,2,8,1,1,-2,15,5.2,True
Dewayne Dedmon,3,9,1,1,1,11,23.4,True
Dewayne Dedmon,3,11,1,0,2,7,21.9,True
Dewayne Dedmon,3,2,1,1,2,11,8.2,True
Dewayne Dedmon,4,5,1,1,-13,12,18.0,True
Dewayne Dedmon,4,4,1,0,4,0,22.9,True
Dewayne Dedmon,2,10,0,2,7,22,23.8,True
Dewayne Dedmon,4,9,1,1,-8,11,24.0,True
Dewayne Dedmon,3,4,0,1,-8,7,7.2,True
Dewayne Dedmon,3,10,0,0,2,9,23.1,True
Dewayne Dedmon,2,0,0,0,4,7,0.0,True
Dewayne Dedmon,2,10,1,2,-24,0,8.5,True
Dewayne Dedmon,2,11,0,2,20,11,5.2,True
Dewayne Dedmon,4,9,1,2,10,19,24.0,True
Dewayne Dedmon,4,9,1,0,2,6,14.9,True
Dewayne Dedmon,2,10,1,0,-2,3,24.0,True
Dewayne Dedmon,1,0,0,1,10,12,23.8,True
Dewayne Dedmon,3,0,0,0,-4,6,0.0,True
Dewayne Dedmon,1,11,1,3,-16,31,22.4,True
Dewayne Dedmon,2,8,0,2,18,11,5.3,True
Dewayne Dedmon,1,1,1,1,4,12,13.7,True
Dewayne Dedmon,4,9,0,1,4,12,15.3,True
Dewayne Dedmon,1,1,0,1,-15,1,13.7,True
Dewayne Dedmon,2,10,1,0,9,0,23.0,True
Dewayne Dedmon,1,3,1,0,-4,0,13.8,True
Dewayne Dedmon,4,6,1,0,0,-8,10.7,True
Dewayne Dedmon,2,2,0,1,-5,9,24.0,True
Dewayne Dedmon,4,8,0,1,4,12,24.0,True
Dewayne Dedmon,1,2,0,1,4,17,24.0,True
Dewayne Dedmon,1,11,1,1,-11,3,4.6,True
Dewayne Dedmon,1,5,0,2,4,22,24.0,True
Dewayne Dedmon,2,4,1,0,0,1,3.0,True
Dewayne Dedmon,2,2,1,0,0,1,24.0,True
Dewayne Dedmon,3,9,1,0,0,1,24.0,True
Dewayne Dedmon,1,2,0,0,0,1,24.0,True
Dewayne Dedmon,3,5,1,0,0,1,1.6,True
Dewayne Dedmon,1,2,1,0,0,1,11.4,True
Dewayne Dedmon,1,0,1,0,0,1,3.0,True
Dewayne Dedmon,2,7,0,0,0,1,3.0,True
Dewayne Dedmon,4,6,1,0,0,1,19.4,True
Dewayne Dedmon,2,8,0,0,0,1,23.0,True
Dewayne Dedmon,1,2,1,0,0,1,24.0,True
Dewayne Dedmon,3,2,1,0,0,1,24.0,True
Dewayne Dedmon,2,8,1,0,0,1,24.0,True
Dewayne Dedmon,3,1,1,0,0,1,24.0,True
Dewayne Dedmon,1,0,0,0,0,1,3.5,True
Dewayne Dedmon,2,7,1,0,0,1,24.0,True
Dewayne Dedmon,4,6,0,0,0,1,24.0,True
Dewayne Dedmon,4,0,1,0,0,1,0.0,True
Dewayne Dedmon,1,4,1,0,0,1,16.6,True
Dewayne Dedmon,4,4,1,0,0,1,12.8,True
Dewayne Dedmon,4,0,0,9,-21,89,10.8,True
Dewayne Dedmon,4,10,1,0,0,1,1.0,True
Dewayne Dedmon,2,8,1,0,0,1,8.8,True
Dewayne Dedmon,1,5,1,0,0,1,15.0,True
Dewayne Dedmon,4,8,1,0,0,1,15.0,True
Dewayne Dedmon,2,6,1,0,0,1,10.5,True
Dewayne Dedmon,1,7,1,1,-1,17,11.7,True
Dewayne Dedmon,2,9,0,2,18,9,24.0,True
Dewayne Dedmon,1,8,1,0,6,4,24.0,True
Dewayne Dedmon,2,10,1,0,0,7,10.9,True
Dewayne Dedmon,1,6,1,1,-12,9,24.0,True
Dewayne Dedmon,3,0,0,5,-38,38,0.0,True
Dewayne Dedmon,2,10,0,2,7,23,16.7,True
Dewayne Dedmon,3,5,0,1,1,14,16.1,True
Dewayne Dedmon,1,9,0,1,13,-14,24.0,True
Dewayne Dedmon,2,7,1,0,-2,4,24.0,True
Dewayne Dedmon,3,0,1,0,1,1,8.1,True
Dewayne Dedmon,2,7,0,1,-8,14,24.0,True
Dewayne Dedmon,2,9,0,2,4,25,24.0,True
Dewayne Dedmon,2,3,0,1,9,14,23.4,True
Dewayne Dedmon,2,10,0,2,-10,23,0.0,True
Dewayne Dedmon,1,1,1,0,2,-5,24.0,True
Dewayne Dedmon,3,1,1,2,0,20,24.0,True
Dewayne Dedmon,1,2,0,1,2,17,20.2,True
Dewayne Dedmon,2,8,0,8,73,37,3.8,True
Dewayne Dedmon,1,7,0,14,138,28,0.7,True
Dewayne Dedmon,3,1,0,8,-7,82,12.7,True
Dewayne Dedmon,1,1,0,5,58,6,16.0,True
