name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Dion Waiters,2,9,1,0,0,1,9.9,True
Dion Waiters,1,3,0,0,0,1,3.5,True
Dion Waiters,2,11,1,0,0,1,19.6,True
Dion Waiters,3,3,1,0,0,1,12.5,True
Dion Waiters,3,0,1,0,0,1,7.2,True
Dion Waiters,1,4,1,2,26,-3,5.1,True
Dion Waiters,1,0,1,1,10,7,17.0,True
Dion Waiters,2,7,1,1,17,6,21.1,True
Dion Waiters,1,0,1,1,10,0,0.0,True
Dion Waiters,2,10,0,0,0,6,11.4,True
Dion Waiters,2,10,1,0,7,6,12.0,True
Dion Waiters,4,10,1,0,2,9,15.6,True
Dion Waiters,4,10,1,0,-7,0,15.5,True
Dion Waiters,3,2,0,0,-2,-3,6.3,True
Dion Waiters,4,5,0,1,12,9,13.9,True
Dion Waiters,4,1,1,0,1,1,19.8,True
Dion Waiters,2,10,0,2,1,26,3.1,True
Dion Waiters,3,2,0,0,-8,0,0.0,True
Dion Waiters,1,2,1,2,20,6,0.0,True
Dion Waiters,4,3,1,0,0,-2,15.6,True
Dion Waiters,2,0,1,0,1,1,10.2,True
Dion Waiters,1,0,1,1,-10,3,16.6,True
Dion Waiters,1,4,1,1,-11,6,16.3,True
Dion Waiters,3,5,0,0,-2,9,9.4,True
Dion Waiters,2,3,1,2,0,20,18.6,True
Dion Waiters,2,2,0,2,6,20,11.6,True
Dion Waiters,2,8,0,2,-10,23,5.9,True
Dion Waiters,3,2,0,1,13,4,4.7,True
Dion Waiters,4,10,1,1,0,11,16.8,True
Dion Waiters,2,3,0,1,-8,15,10.4,True
Dion Waiters,2,5,0,0,0,9,14.2,True
Dion Waiters,1,0,1,0,-5,4,0.0,True
Dion Waiters,1,1,1,0,0,-6,17.8,True
Dion Waiters,3,3,1,1,-2,11,16.0,True
Dion Waiters,4,11,1,1,0,11,11.0,True
Dion Waiters,1,1,0,2,21,6,11.4,True
Dion Waiters,3,3,1,1,9,9,11.4,True
Dion Waiters,4,9,1,1,17,0,15.8,True
Dion Waiters,3,0,1,1,-16,0,15.7,True
Dion Waiters,3,5,1,1,-11,12,17.4,True
Dion Waiters,2,11,1,2,21,11,13.4,True
Dion Waiters,2,9,1,1,0,12,5.2,True
Dion Waiters,2,11,1,1,0,11,14.7,True
Dion Waiters,2,9,1,0,-5,4,18.4,True
