name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Draymond Green,3,6,1,1,6,9,6.8,True
Draymond Green,2,2,1,10,4,102,17.9,True
Draymond Green,3,2,0,8,83,23,4.8,True
Draymond Green,3,5,1,0,0,1,18.0,True
Draymond Green,3,10,1,0,0,1,13.4,True
Draymond Green,3,4,1,0,0,1,14.8,True
Draymond Green,1,5,1,1,15,1,16.9,True
Draymond Green,4,2,1,2,-11,19,7.9,True
Draymond Green,3,8,1,3,-19,26,5.5,True
Draymond Green,1,6,1,2,2,23,16.0,True
Draymond Green,3,5,0,2,4,22,15.6,True
Draymond Green,1,9,1,1,4,14,18.0,True
Draymond Green,1,1,1,1,0,19,16.8,True
Draymond Green,2,5,0,9,-26,91,12.9,True
Draymond Green,4,5,1,12,-23,126,0.0,True
Draymond Green,1,10,1,5,-4,58,19.0,True
Draymond Green,3,8,0,8,58,64,15.8,True
Draymond Green,1,3,0,3,29,25,7.8,True
Draymond Green,3,7,0,2,-21,17,15.9,True
Draymond Green,5,4,1,2,24,3,8.8,True
Draymond Green,4,3,1,1,6,15,18.6,True
Draymond Green,2,9,1,2,20,20,6.6,True
Draymond Green,2,1,1,1,-8,11,19.1,True
Draymond Green,1,10,0,1,7,14,20.5,True
Draymond Green,1,3,1,0,0,3,12.4,True
Draymond Green,1,11,1,1,-13,0,11.8,True
Draymond Green,1,10,1,1,2,11,20.8,True
Draymond Green,2,5,1,0,4,-2,18.3,True
Draymond Green,4,7,1,0,7,3,14.1,True
Draymond Green,1,3,1,0,1,7,15.6,True
Draymond Green,3,8,1,2,15,20,10.6,True
Draymond Green,3,0,1,2,-10,22,0.0,True
Draymond Green,1,7,1,2,9,22,11.7,True
Draymond Green,2,9,1,0,6,3,9.5,True
Draymond Green,4,2,1,1,-11,-5,9.2,True
Draymond Green,3,6,1,0,-4,6,15.0,True
Draymond Green,1,5,1,1,13,9,9.5,True
Draymond Green,3,3,1,1,-16,0,14.5,True
Draymond Green,3,4,0,1,-11,3,6.9,True
Draymond Green,4,4,1,1,10,1,16.3,True
Draymond Green,2,10,1,1,2,12,9.8,True
Draymond Green,1,9,1,2,24,0,20.3,True
Draymond Green,1,6,1,0,-2,1,17.7,True
Draymond Green,3,11,1,2,-19,9,0.0,True
Draymond Green,1,4,1,1,-15,6,19.3,True
Draymond Green,3,3,0,0,-4,0,0.7,True
Draymond Green,1,10,1,2,18,11,13.4,True
Draymond Green,1,10,0,2,-26,3,20.1,True
Draymond Green,4,6,1,2,-11,22,16.1,True
Draymond Green,3,9,1,2,13,26,15.0,True
Draymond Green,1,3,1,1,10,11,8.2,True
Draymond Green,2,1,1,1,18,7,12.0,True
Draymond Green,4,2,1,1,13,14,17.8,True
Draymond Green,3,3,1,1,0,12,17.7,True
Draymond Green,2,2,1,1,17,0,9.1,True
Draymond Green,1,5,0,2,-8,20,15.8,True
Draymond Green,1,6,0,1,9,12,17.0,True
Draymond Green,2,6,1,0,-8,3,18.0,True
Draymond Green,1,9,1,2,15,14,6.5,True
Draymond Green,1,1,0,1,13,7,19.0,True
Draymond Green,3,7,1,2,-18,11,16.2,True
Draymond Green,3,8,1,2,0,20,4.0,True
Draymond Green,2,10,1,2,18,14,0.0,True
Draymond Green,2,6,1,1,13,7,17.7,True
Draymond Green,3,10,0,2,-19,12,19.3,True
Draymond Green,2,6,0,0,-4,-3,0.0,True
Draymond Green,4,1,1,1,15,0,0.0,True
Draymond Green,2,0,1,0,0,7,20.8,True
Draymond Green,3,8,1,1,10,14,14.5,True
Draymond Green,2,4,1,1,-7,11,17.4,True
Draymond Green,1,9,1,1,-13,12,19.6,True
Draymond Green,4,1,0,1,-7,17,6.6,True
Draymond Green,1,7,1,1,-13,1,16.9,True
Draymond Green,2,1,1,2,2,20,19.6,True
Draymond Green,1,7,0,1,10,1,15.4,True
Draymond Green,3,6,0,2,4,23,13.0,True
Draymond Green,1,3,1,1,4,11,20.2,True
Draymond Green,1,4,1,0,4,1,9.3,True
Draymond Green,3,9,1,1,15,4,17.4,True
Draymond Green,3,2,1,2,-2,25,7.9,True
Draymond Green,3,8,0,2,20,11,19.3,True
Draymond Green,2,5,1,1,0,11,18.8,True
Draymond Green,3,7,1,1,10,11,19.9,True
Draymond Green,4,2,0,2,-21,15,9.8,True
Draymond Green,3,1,1,1,13,15,14.4,True
Draymond Green,1,9,1,2,21,7,20.2,True
Draymond Green,3,2,1,0,0,1,13.5,True
Draymond Green,3,11,1,0,0,1,21.4,True
Draymond Green,4,5,1,0,0,1,24.0,True
Draymond Green,4,8,1,0,0,1,20.8,True
Draymond Green,1,5,1,0,0,1,21.0,True
Draymond Green,4,4,1,0,0,1,7.3,True
Draymond Green,4,9,1,0,0,1,4.7,True
Draymond Green,3,5,1,0,0,1,6.6,True
Draymond Green,1,5,1,0,0,1,13.2,True
Draymond Green,1,6,1,0,0,1,20.0,True
Draymond Green,3,5,1,0,0,1,20.5,True
Draymond Green,1,9,1,0,0,1,21.0,True
Draymond Green,2,0,1,0,0,1,8.2,True
Draymond Green,2,0,0,0,0,1,1.6,True
Draymond Green,3,10,1,0,0,1,20.0,True
Draymond Green,4,6,1,0,0,1,14.0,True
Draymond Green,3,3,1,0,0,1,21.0,True
Draymond Green,3,4,1,0,0,1,24.0,True
Draymond Green,4,3,1,0,0,1,14.9,True
Draymond Green,1,10,1,0,0,1,21.5,True
Draymond Green,1,7,1,0,0,1,22.1,True
Draymond Green,4,1,1,0,0,1,19.0,True
Draymond Green,3,9,0,0,0,1,22.5,True
Draymond Green,4,5,1,0,0,1,0.0,True
Draymond Green,3,10,1,0,0,1,21.4,True
Draymond Green,2,5,1,0,0,1,21.0,True
Draymond Green,1,4,1,0,0,1,21.2,True
Draymond Green,1,4,1,7,-64,44,4.0,True
Draymond Green,2,4,1,12,61,110,4.4,True
Draymond Green,4,10,0,7,-60,41,7.6,True
Draymond Green,4,5,0,8,-8,83,5.0,True
Draymond Green,1,10,0,6,12,67,15.4,True
Draymond Green,3,6,0,6,-13,67,16.0,True
Draymond Green,1,5,1,9,48,82,14.9,True
Draymond Green,2,0,1,7,4,77,0.0,True
Draymond Green,2,3,0,4,23,44,17.1,True
Draymond Green,1,4,0,9,-15,94,16.5,True
Draymond Green,4,4,1,10,15,99,6.3,True
Draymond Green,4,5,0,5,-2,58,5.7,True
Draymond Green,3,9,0,11,0,112,15.0,True
Draymond Green,2,3,1,12,-4,124,18.8,True
Draymond Green,2,10,0,3,7,39,6.1,True
Draymond Green,1,7,0,6,-7,67,16.9,True
Draymond Green,2,1,0,10,84,61,12.8,True
Draymond Green,5,2,0,8,67,50,13.2,True
Draymond Green,4,4,0,8,37,82,12.8,True
Draymond Green,3,10,1,8,6,86,16.5,True
Draymond Green,3,1,1,6,-59,15,11.0,True
Draymond Green,3,7,0,4,23,42,7.8,True
Draymond Green,3,10,1,5,-54,19,23.7,True
Draymond Green,2,1,0,3,36,17,15.9,True
Draymond Green,1,3,0,6,58,19,13.4,True
Draymond Green,1,6,0,4,45,3,13.8,True
Draymond Green,1,9,1,6,56,28,17.0,True
Draymond Green,1,2,1,3,32,22,12.0,True
Draymond Green,3,11,0,3,24,23,8.7,True
Draymond Green,1,3,1,6,0,63,10.8,True
Draymond Green,3,5,1,25,42,250,13.4,False
Draymond Green,1,3,1,24,-108,224,17.0,False
Draymond Green,1,8,0,24,-34,246,15.1,False
Draymond Green,3,10,1,24,36,242,18.8,False
Draymond Green,1,1,0,4,-18,39,19.4,True
Draymond Green,4,6,0,19,176,74,13.3,True
Draymond Green,1,3,0,24,160,192,6.4,False
Draymond Green,1,8,0,24,61,242,4.8,False
Draymond Green,2,2,0,25,-157,200,9.0,False
Draymond Green,1,2,0,11,-62,99,18.1,True
Draymond Green,4,8,0,26,-125,230,12.6,False
Draymond Green,3,11,0,25,198,168,6.3,False
Draymond Green,2,0,0,25,-174,190,10.8,False
Draymond Green,3,8,0,10,31,97,7.0,True
Draymond Green,3,8,0,25,-43,252,13.1,False
Draymond Green,3,10,0,27,-26,276,9.5,False
Draymond Green,2,6,0,24,106,225,10.9,False
Draymond Green,2,7,0,3,0,33,18.7,True
Draymond Green,1,2,0,9,-45,78,11.2,True
Draymond Green,3,7,0,26,54,258,9.5,False
Draymond Green,3,2,0,13,-98,96,7.9,True
Draymond Green,3,11,0,24,207,135,12.6,False
Draymond Green,3,8,0,25,-62,252,16.9,False
Draymond Green,2,3,0,23,237,23,9.2,False
Draymond Green,1,4,0,25,-152,201,15.3,False
Draymond Green,2,4,0,26,147,222,5.4,False
Draymond Green,4,7,0,27,-89,255,4.7,False
Draymond Green,1,5,0,24,-190,156,10.9,False
Draymond Green,4,7,0,17,-179,0,6.7,True
Draymond Green,3,5,1,17,145,93,11.3,True
Draymond Green,4,10,0,24,118,216,5.0,False
Draymond Green,1,5,0,14,149,4,10.8,True
Draymond Green,1,11,1,25,-166,192,10.0,False
Draymond Green,3,6,1,25,0,254,14.1,False
Draymond Green,2,3,1,22,-71,209,6.6,True
Draymond Green,1,7,0,23,-232,-17,11.9,False
Draymond Green,2,2,0,25,91,242,19.2,False
Draymond Green,3,0,0,26,-182,186,16.1,False
Draymond Green,1,6,0,26,-13,269,17.0,False
Draymond Green,1,11,0,25,37,255,19.1,False
Draymond Green,1,2,0,25,-40,254,12.0,False
Draymond Green,1,11,1,18,181,23,5.0,True
Draymond Green,4,5,0,11,-49,102,9.6,True
Draymond Green,1,4,0,23,-229,34,3.1,False
Draymond Green,4,8,0,24,-146,194,15.9,False
Draymond Green,4,10,0,4,37,20,7.0,True
Draymond Green,1,11,0,16,-38,159,11.8,True
Draymond Green,1,8,0,7,-18,75,14.7,True
Draymond Green,3,10,1,12,-120,9,8.7,True
Draymond Green,2,5,1,26,105,241,10.8,False
Draymond Green,1,3,1,25,-105,235,4.5,False
Draymond Green,2,3,1,18,179,39,4.8,True
Draymond Green,1,4,1,25,34,255,14.6,False
Draymond Green,3,2,0,24,-175,168,11.2,False
Draymond Green,1,8,0,25,-109,231,10.4,False
Draymond Green,1,11,0,25,-172,183,0.1,False
Draymond Green,1,4,1,24,23,247,7.7,False
Draymond Green,2,7,0,25,189,165,18.8,False
Draymond Green,3,5,0,25,-109,231,16.1,False
Draymond Green,3,3,0,24,-119,216,14.5,False
Draymond Green,4,3,0,3,1,34,16.7,True
Draymond Green,3,8,0,25,73,247,16.0,False
Draymond Green,2,1,0,24,-109,220,18.1,False
Draymond Green,1,8,0,23,239,9,10.9,False
Draymond Green,2,4,1,24,70,238,17.6,False
Draymond Green,3,5,0,25,2,257,17.2,False
Draymond Green,3,11,1,12,-98,71,7.6,True
Draymond Green,1,4,0,25,-149,206,16.9,False
Draymond Green,1,5,0,24,-190,154,15.7,False
Draymond Green,4,7,0,5,-4,55,16.9,True
Draymond Green,4,11,0,26,-67,261,5.8,False
Draymond Green,2,4,0,3,28,15,18.2,True
Draymond Green,2,4,0,25,-141,213,15.1,False
Draymond Green,3,4,1,24,-196,154,15.0,False
Draymond Green,1,8,0,25,-146,211,16.9,False
Draymond Green,1,5,1,3,2,30,20.2,True
Draymond Green,4,7,0,25,75,242,17.3,False
Draymond Green,2,5,0,17,-179,-2,8.7,True
Draymond Green,4,3,0,24,-232,78,7.9,False
Draymond Green,1,11,0,17,-142,97,6.1,True
Draymond Green,3,11,0,25,-111,233,16.8,False
Draymond Green,1,6,0,25,48,250,20.0,False
Draymond Green,4,2,0,24,92,228,7.3,False
Draymond Green,2,9,0,24,-145,199,13.4,False
Draymond Green,1,8,0,26,-16,260,15.2,False
Draymond Green,1,10,0,7,-75,17,8.0,True
Draymond Green,1,9,0,15,89,126,11.9,True
Draymond Green,2,2,0,15,159,14,3.5,True
Draymond Green,1,8,0,20,-201,55,14.8,True
Draymond Green,1,2,1,25,86,244,14.9,False
Draymond Green,4,1,0,26,184,190,10.0,False
Draymond Green,1,9,1,22,-187,119,10.6,True
Draymond Green,3,6,1,24,-172,181,12.0,False
Draymond Green,2,0,0,5,47,25,0.0,True
Draymond Green,1,11,0,27,-114,249,13.0,False
Draymond Green,3,2,0,25,-209,146,12.2,False
Draymond Green,2,6,0,23,-231,6,15.5,False
Draymond Green,2,1,0,26,-139,225,8.2,False
Draymond Green,4,8,0,26,-38,260,9.7,False
Draymond Green,3,8,0,26,151,216,16.7,False
Draymond Green,3,2,0,17,-174,7,12.8,True
Draymond Green,4,4,0,26,1,266,10.9,False
Draymond Green,2,8,0,24,36,241,23.2,False
Draymond Green,2,1,0,24,12,247,16.7,False
Draymond Green,1,11,0,21,20,213,17.5,True
Draymond Green,1,2,0,25,24,257,9.3,False
Draymond Green,1,4,0,3,-5,31,13.9,True
Draymond Green,3,8,0,24,-52,238,14.3,False
Draymond Green,2,3,0,18,-78,168,17.6,True
Draymond Green,4,7,0,26,-95,246,14.8,False
Draymond Green,1,6,0,25,86,239,19.0,False
Draymond Green,3,6,0,4,37,19,19.7,True
Draymond Green,3,11,0,17,67,157,11.4,True
Draymond Green,1,1,0,25,18,252,9.8,False
Draymond Green,2,4,0,27,-127,242,8.4,False
Draymond Green,1,9,0,25,-218,127,14.4,False
Draymond Green,3,9,0,26,155,219,15.1,False
Draymond Green,3,9,0,26,-67,254,8.5,False
Draymond Green,2,0,0,26,0,263,18.5,False
Draymond Green,2,5,1,24,-60,233,18.0,False
Draymond Green,2,0,0,24,121,213,11.6,False
Draymond Green,1,11,0,4,-37,23,7.4,True
Draymond Green,1,3,0,24,70,238,9.1,False
Draymond Green,2,3,0,17,155,83,11.3,True
Draymond Green,3,4,0,25,-43,254,19.3,False
Draymond Green,3,6,0,10,6,108,16.6,True
Draymond Green,3,5,0,25,12,258,8.0,False
Draymond Green,3,6,0,6,13,60,0.0,True
Draymond Green,2,11,0,25,-101,230,0.0,False
Draymond Green,1,9,1,26,-123,231,0.0,False
Draymond Green,4,1,0,25,92,241,0.0,False
Draymond Green,4,4,0,25,-163,201,0.0,False
Draymond Green,3,6,1,25,-190,172,0.0,False
Draymond Green,2,2,1,24,-245,14,0.0,False
Draymond Green,3,6,0,4,29,40,0.0,True
Draymond Green,2,6,1,26,-34,263,15.1,False
Draymond Green,3,9,0,18,-160,93,0.0,True
Draymond Green,3,4,0,24,26,242,18.1,False
Draymond Green,3,2,0,25,-8,257,13.0,False
Draymond Green,1,5,0,26,-188,183,16.2,False
Draymond Green,1,10,0,25,-128,219,14.7,False
Draymond Green,1,8,0,18,43,178,15.9,True
Draymond Green,1,11,0,22,86,208,12.7,True
Draymond Green,3,9,0,25,-13,257,13.0,False
Draymond Green,1,6,1,25,2,255,16.0,False
Draymond Green,2,3,0,19,91,173,16.7,True
Draymond Green,3,7,0,3,24,20,14.3,True
Draymond Green,1,6,1,25,-89,241,15.2,False
Draymond Green,3,9,0,10,-101,14,6.7,True
Draymond Green,1,3,0,23,-229,41,9.7,False
Draymond Green,1,11,0,3,-32,0,21.7,True
Draymond Green,1,5,0,25,-68,246,12.8,False
Draymond Green,1,1,0,7,77,19,6.9,True
Draymond Green,1,11,0,19,100,173,17.7,True
Draymond Green,1,0,0,23,-51,233,16.4,False
Draymond Green,3,2,0,26,-68,261,7.5,False
Draymond Green,3,9,0,25,141,213,16.2,False
Draymond Green,4,10,0,8,73,42,15.8,True
Draymond Green,1,2,0,25,24,254,15.2,False
Draymond Green,1,5,0,24,97,224,14.7,False
Draymond Green,3,10,0,4,42,22,8.9,True
Draymond Green,3,11,0,24,-221,116,7.2,False
Draymond Green,4,4,0,27,114,246,10.9,False
Draymond Green,4,4,0,13,-75,118,16.8,True
Draymond Green,2,6,0,21,-49,211,13.8,True
Draymond Green,1,10,0,6,-54,34,10.7,True
Draymond Green,3,7,0,26,-67,261,13.6,False
Draymond Green,3,3,0,27,80,258,1.4,False
Draymond Green,3,9,0,26,-174,198,15.7,False
Draymond Green,4,3,0,25,220,137,13.6,False
Draymond Green,1,11,0,25,-105,230,12.9,False
Draymond Green,3,9,0,25,-76,246,9.7,False
Draymond Green,1,4,0,21,-45,206,15.7,True
Draymond Green,1,1,0,3,-21,23,17.4,True
Draymond Green,1,8,0,26,179,198,15.6,False
Draymond Green,3,10,1,26,73,255,14.3,False
Draymond Green,1,11,1,25,-147,211,15.6,False
Draymond Green,3,11,0,3,-32,19,17.6,True
Draymond Green,1,9,0,3,31,19,8.5,True
Draymond Green,4,10,0,23,-237,34,13.3,False
Draymond Green,2,11,0,9,92,11,19.9,True
Draymond Green,4,8,1,26,-10,268,16.4,False
Draymond Green,3,10,0,3,9,37,3.3,True
Draymond Green,4,8,0,26,-90,250,10.4,False
Draymond Green,4,11,1,27,-60,266,2.7,False
Draymond Green,2,1,0,26,-5,260,20.5,False
Draymond Green,1,9,0,25,-146,214,9.6,False
Draymond Green,1,3,0,25,-49,249,13.7,False
Draymond Green,2,1,0,3,-5,31,6.9,True
Draymond Green,1,1,0,3,26,30,18.4,True
Draymond Green,4,10,0,3,0,33,11.8,True
Draymond Green,3,5,0,25,-187,176,17.8,False
Draymond Green,1,11,0,19,144,135,8.6,True
Draymond Green,2,0,0,23,-231,50,5.1,False
Draymond Green,3,9,0,12,-106,75,7.9,True
Draymond Green,1,4,0,23,-231,33,16.0,False
Draymond Green,3,7,1,26,-112,244,14.8,False
Draymond Green,3,1,0,26,-112,235,24.0,False
Draymond Green,3,0,0,26,-46,261,8.8,False
Draymond Green,1,3,0,25,116,227,8.9,False
Draymond Green,3,7,1,26,136,231,8.0,False
Draymond Green,3,7,1,26,-103,246,17.1,False
Draymond Green,1,7,0,26,174,203,20.0,False
Draymond Green,1,5,0,23,-232,33,12.9,False
Draymond Green,4,10,0,25,-10,252,12.7,False
Draymond Green,1,1,0,25,6,258,9.2,False
Draymond Green,1,7,1,25,-130,217,19.4,False
Draymond Green,3,3,1,25,-193,173,16.1,False
Draymond Green,4,4,0,22,228,12,15.7,False
Draymond Green,3,0,1,25,149,203,10.8,False
Draymond Green,3,2,0,5,43,31,13.9,True
Draymond Green,4,3,1,24,-122,216,4.7,False
Draymond Green,1,8,1,26,-142,222,18.5,False
Draymond Green,1,8,1,25,-29,257,17.0,False
Draymond Green,2,3,1,25,47,252,18.1,False
Draymond Green,2,2,1,26,-190,187,13.3,False
Draymond Green,3,9,1,27,-116,244,13.4,False
Draymond Green,3,8,1,26,106,244,15.2,False
Draymond Green,3,7,0,26,61,260,15.0,False
Draymond Green,3,11,0,25,-97,236,15.6,False
Draymond Green,1,11,0,25,-41,249,12.2,False
Draymond Green,1,8,1,24,100,228,10.9,False
Draymond Green,1,7,1,25,-146,206,19.2,False
Draymond Green,1,5,1,24,18,246,18.6,False
Draymond Green,2,1,1,24,-155,195,13.0,False
Draymond Green,1,6,1,20,-8,200,17.4,True
Draymond Green,3,4,1,25,124,225,10.6,False
Draymond Green,3,0,0,25,13,252,16.2,False
Draymond Green,4,10,0,24,-71,239,18.1,False
Draymond Green,4,6,1,26,56,255,13.7,False
Draymond Green,4,3,1,24,-122,217,11.8,False
Draymond Green,3,5,1,25,-78,242,7.3,False
Draymond Green,3,2,0,26,-178,194,19.3,False
Draymond Green,1,11,1,26,-160,208,9.8,False
Draymond Green,2,2,0,25,72,249,12.9,False
Draymond Green,3,8,0,26,171,198,12.5,False
Draymond Green,2,11,1,24,-37,246,20.6,False
Draymond Green,2,3,0,28,105,269,0.4,False
Draymond Green,2,4,1,23,237,0,8.0,False
Draymond Green,1,10,0,24,-180,170,1.6,False
Draymond Green,3,7,1,24,50,244,12.3,False
Draymond Green,1,4,0,25,20,250,15.2,False
Draymond Green,3,0,1,23,230,63,15.4,False
Draymond Green,3,5,1,26,-171,201,6.1,False
Draymond Green,1,10,1,26,-7,269,14.7,False
Draymond Green,3,10,1,13,9,132,10.5,True
Draymond Green,1,4,0,26,-128,235,11.0,False
Draymond Green,1,3,0,25,-21,254,15.6,False
Draymond Green,1,9,0,26,-64,260,16.9,False
Draymond Green,3,4,0,26,88,247,17.7,False
Draymond Green,3,11,0,25,-93,236,3.1,False
Draymond Green,3,10,1,21,212,42,13.2,True
Draymond Green,3,6,1,26,122,231,18.2,False
Draymond Green,3,6,1,26,99,244,14.4,False
Draymond Green,3,10,0,26,39,260,16.4,False
Draymond Green,1,8,0,26,-147,220,14.7,False
Draymond Green,3,3,0,27,149,231,7.2,False
Draymond Green,4,2,0,8,12,85,14.8,True
Draymond Green,3,4,0,28,-138,250,15.6,False
Draymond Green,2,7,1,25,-127,225,8.0,False
Draymond Green,1,5,1,15,-8,157,18.1,True
Draymond Green,3,9,0,26,-21,261,16.5,False
Draymond Green,1,4,0,20,-21,206,16.7,True
Draymond Green,1,2,1,24,2,249,12.2,False
Draymond Green,1,9,1,26,-105,238,16.7,False
Draymond Green,1,7,1,25,83,238,14.9,False
Draymond Green,1,9,0,25,-62,247,10.1,False
Draymond Green,1,10,0,8,60,53,13.0,True
Draymond Green,1,11,0,18,-127,129,21.0,True
Draymond Green,1,11,0,26,6,260,19.1,False
Draymond Green,1,6,1,26,1,263,2.6,False
Draymond Green,3,4,0,25,-215,132,10.0,False
Draymond Green,3,2,0,28,-172,230,4.1,False
Draymond Green,2,4,0,24,140,200,21.8,False
Draymond Green,3,11,1,20,-21,208,15.4,True
Draymond Green,4,1,0,25,198,157,1.0,False
Draymond Green,3,5,0,23,-229,69,6.3,False
Draymond Green,4,2,0,24,-172,176,11.4,False
Draymond Green,2,6,1,17,-168,31,20.0,True
Draymond Green,2,8,1,25,195,170,10.0,False
Draymond Green,3,7,1,27,-144,238,17.0,False
Draymond Green,2,10,1,18,143,113,13.3,True
Draymond Green,3,10,1,24,244,15,9.8,False
Draymond Green,3,8,0,19,-171,97,5.1,True
Draymond Green,2,4,0,25,-131,222,13.2,False
Draymond Green,4,9,1,27,168,214,9.6,False
Draymond Green,3,9,0,7,0,75,17.2,True
Draymond Green,1,11,0,22,102,197,10.7,True
Draymond Green,1,10,1,14,111,88,9.9,True
Draymond Green,1,1,0,4,-37,31,17.9,True
Draymond Green,3,6,0,25,-89,236,17.0,False
Draymond Green,1,4,1,25,-71,247,7.2,False
Draymond Green,3,10,1,25,32,254,17.2,False
Draymond Green,2,3,0,4,34,26,10.7,True
Draymond Green,2,0,0,23,-234,41,14.4,False
Draymond Green,3,1,0,24,-112,216,14.8,False
Draymond Green,1,5,0,24,28,242,15.8,False
Draymond Green,3,3,0,14,-146,19,18.7,True
Draymond Green,3,10,0,26,-90,254,2.4,False
