name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Earl Clark,2,9,0,1,-15,3,12.8,True
Earl Clark,2,8,1,2,-21,-3,19.6,True
Earl Clark,2,4,0,24,40,241,4.7,False
Earl Clark,4,8,0,19,116,157,7.7,True
Earl Clark,4,10,0,21,215,0,18.9,True
Earl Clark,2,9,0,25,7,257,16.0,False
Earl Clark,4,8,0,24,141,205,16.7,False
Earl Clark,2,6,0,24,-220,99,10.3,False
Earl Clark,4,11,0,20,75,194,14.8,True
Earl Clark,2,3,0,23,-231,-17,16.9,False
Earl Clark,2,8,0,17,-90,149,13.5,True
Earl Clark,4,1,1,25,-218,127,17.2,False
Earl Clark,3,3,0,20,-207,34,5.0,True
Earl Clark,3,3,0,10,-73,82,12.7,True
Earl Clark,2,11,0,24,-212,126,10.9,False
Earl Clark,4,6,1,24,174,173,7.1,False
Earl Clark,4,2,0,21,203,80,7.4,True
Earl Clark,4,3,0,24,20,246,8.3,False
Earl Clark,3,1,1,24,138,201,15.6,False
Earl Clark,4,8,0,23,228,52,15.3,False
Earl Clark,3,5,1,17,-175,11,10.7,True
Earl Clark,3,3,1,25,40,250,8.4,False
Earl Clark,3,1,1,20,103,183,14.4,True
Earl Clark,3,2,0,24,195,148,20.0,False
Earl Clark,4,10,0,17,173,15,17.5,True
Earl Clark,3,3,1,19,-7,197,11.0,True
Earl Clark,4,1,0,25,200,157,7.6,False
Earl Clark,4,9,1,19,100,172,13.8,True
Earl Clark,2,3,1,0,0,7,20.8,True
Earl Clark,3,5,1,1,12,3,20.2,True
