name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Elijah Millsap,4,0,1,0,0,1,13.3,True
Elijah Millsap,2,5,1,2,21,15,20.5,True
Elijah Millsap,4,7,1,9,-59,69,24.0,True
Elijah Millsap,3,5,1,1,-16,6,9.7,True
Elijah Millsap,2,9,1,4,-41,1,16.1,True
Elijah Millsap,3,3,0,3,34,6,11.9,True
Elijah Millsap,1,1,1,2,20,0,7.7,True
Elijah Millsap,3,1,1,1,-10,6,19.9,True
Elijah Millsap,4,3,0,1,15,3,12.0,True
Elijah Millsap,4,9,0,2,17,19,9.8,True
Elijah Millsap,3,6,1,0,-5,0,20.8,True
Elijah Millsap,4,9,0,1,10,9,19.4,True
Elijah Millsap,4,4,1,2,24,7,10.7,True
Elijah Millsap,3,7,0,2,-18,12,20.6,True
Elijah Millsap,1,0,1,2,-24,1,6.7,True
Elijah Millsap,4,10,1,2,20,0,4.0,True
Elijah Millsap,3,3,0,3,29,11,10.7,True
Elijah Millsap,5,1,0,1,-8,17,14.0,True
Elijah Millsap,4,11,1,2,-26,4,17.7,True
Elijah Millsap,1,4,1,2,26,0,17.8,True
Elijah Millsap,2,0,1,0,0,1,20.0,True
Elijah Millsap,2,0,0,0,0,1,19.2,True
Elijah Millsap,3,0,1,0,0,1,21.4,True
Elijah Millsap,2,10,0,8,-62,55,7.9,True
Elijah Millsap,2,3,1,7,29,71,10.3,True
Elijah Millsap,4,7,0,15,-5,151,14.0,True
Elijah Millsap,4,10,1,5,-56,6,13.6,True
Elijah Millsap,3,2,1,11,94,71,0.8,True
Elijah Millsap,3,0,0,26,-180,189,4.0,False
Elijah Millsap,2,10,0,20,86,186,16.0,True
Elijah Millsap,4,1,0,18,149,113,1.7,True
Elijah Millsap,3,4,1,3,21,34,14.1,True
Elijah Millsap,4,6,0,18,-161,93,0.2,True
Elijah Millsap,4,7,0,25,64,247,5.2,False
Elijah Millsap,2,8,0,4,43,6,20.8,True
Elijah Millsap,4,10,1,24,163,178,6.6,False
Elijah Millsap,3,0,0,8,0,88,1.3,True
Elijah Millsap,1,1,0,15,114,99,13.0,True
Elijah Millsap,2,11,0,23,233,33,6.0,False
Elijah Millsap,2,10,0,16,-136,85,3.1,True
Elijah Millsap,4,2,0,7,-15,75,12.9,True
Elijah Millsap,2,10,1,24,-160,184,16.1,False
Elijah Millsap,2,11,1,24,140,205,18.0,False
Elijah Millsap,2,8,0,23,236,30,7.8,False
Elijah Millsap,4,7,1,23,-231,4,14.4,False
Elijah Millsap,1,0,0,9,89,14,3.3,True
Elijah Millsap,3,0,0,38,-8,389,0.0,False
Elijah Millsap,3,0,1,23,239,9,5.0,False
Elijah Millsap,3,0,1,23,231,17,17.8,False
Elijah Millsap,4,0,1,24,230,86,6.2,False
Elijah Millsap,4,3,0,3,34,11,17.4,True
Elijah Millsap,2,9,0,26,209,156,4.6,False
Elijah Millsap,4,11,0,15,-153,3,6.6,True
Elijah Millsap,3,4,0,23,230,52,10.9,False
Elijah Millsap,1,0,0,26,-164,205,0.0,False
Elijah Millsap,4,4,0,5,47,23,8.0,True
Elijah Millsap,1,0,0,22,226,15,0.0,False
Elijah Millsap,4,7,0,24,-138,203,5.0,False
Elijah Millsap,4,4,0,23,230,3,12.1,False
Elijah Millsap,4,5,0,19,170,85,3.1,True
Elijah Millsap,4,3,0,25,-187,173,9.7,False
Elijah Millsap,3,1,1,23,-235,17,17.5,False
Elijah Millsap,4,10,0,6,56,30,20.0,True
Elijah Millsap,4,6,0,16,-87,135,10.1,True
Elijah Millsap,1,3,1,24,160,190,12.7,False
Elijah Millsap,1,0,0,24,204,129,0.0,False
Elijah Millsap,1,0,0,5,53,19,8.0,True
Elijah Millsap,4,10,1,24,187,154,2.7,False
Elijah Millsap,4,0,0,24,-205,129,8.6,False
Elijah Millsap,2,9,0,25,177,184,6.9,False
Elijah Millsap,4,6,0,23,-105,214,6.2,False
Elijah Millsap,2,0,0,71,58,716,0.0,False
Elijah Millsap,4,10,1,22,222,9,9.9,False
Elijah Millsap,2,8,0,25,119,228,16.8,False
Elijah Millsap,2,7,1,17,108,143,5.8,True
Elijah Millsap,2,6,0,24,-128,214,2.4,False
Elijah Millsap,2,9,0,14,4,145,12.0,True
Elijah Millsap,2,8,1,24,-98,225,4.6,False
Elijah Millsap,2,7,0,14,143,-17,2.8,True
Elijah Millsap,3,1,0,15,-155,-8,8.0,True
Elijah Millsap,2,9,0,4,4,45,17.3,True
Elijah Millsap,4,7,0,24,116,216,5.2,False
Elijah Millsap,2,8,0,22,226,42,2.1,False
Elijah Millsap,2,9,0,24,198,142,3.0,False
Elijah Millsap,1,0,0,23,-234,-5,0.0,False
Elijah Millsap,1,7,0,8,39,74,1.0,True
Elijah Millsap,2,1,0,24,124,211,17.1,False
Elijah Millsap,3,3,0,14,97,110,1.8,True
Elijah Millsap,2,5,1,24,99,228,7.0,False
Elijah Millsap,1,8,0,25,-163,190,11.3,False
Elijah Millsap,3,9,0,5,-15,55,6.0,True
Elijah Millsap,1,0,0,24,62,238,7.7,False
Elijah Millsap,3,0,0,61,-19,615,0.0,False
Elijah Millsap,2,11,0,24,239,50,2.0,False
Elijah Millsap,2,6,0,5,36,37,2.3,True
Elijah Millsap,4,3,0,24,59,238,22.4,False
Elijah Millsap,1,0,0,8,-2,80,2.8,True
Elijah Millsap,1,3,0,24,135,206,7.7,False
Elijah Millsap,4,5,0,8,67,45,12.3,True
Elijah Millsap,4,9,0,23,237,12,8.2,False
Elijah Millsap,2,11,0,25,181,175,17.6,False
Elijah Millsap,3,6,0,18,50,181,11.5,True
Elijah Millsap,2,9,0,24,-117,217,1.9,False
Elijah Millsap,4,5,0,25,196,156,17.3,False
