name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Gary Harris,4,7,1,0,0,1,12.9,True
Gary Harris,1,9,0,0,0,1,10.9,True
Gary Harris,4,8,1,0,0,1,5.3,True
Gary Harris,4,0,0,2,21,3,4.3,True
Gary Harris,1,2,1,1,4,14,20.8,True
Gary Harris,4,10,1,6,15,63,16.1,True
Gary Harris,4,7,0,4,31,28,14.7,True
Gary Harris,4,4,0,1,9,15,3.1,True
Gary Harris,1,11,1,2,13,20,13.0,True
Gary Harris,4,11,0,2,10,26,13.2,True
Gary Harris,4,7,0,1,-16,9,15.0,True
Gary Harris,2,11,0,2,17,11,13.0,True
Gary Harris,4,2,0,2,23,12,11.0,True
Gary Harris,4,1,1,1,1,15,20.8,True
Gary Harris,4,6,0,3,31,-2,19.3,True
Gary Harris,4,4,1,2,21,4,19.7,True
Gary Harris,4,4,0,2,-26,-2,3.9,True
Gary Harris,4,6,0,4,40,-2,16.7,True
Gary Harris,2,5,1,2,13,25,17.7,True
Gary Harris,1,4,0,2,29,7,19.1,True
Gary Harris,1,6,1,2,20,3,19.0,True
Gary Harris,1,4,0,1,17,1,18.9,True
Gary Harris,4,0,1,1,6,9,4.2,True
Gary Harris,3,5,1,1,10,1,16.3,True
Gary Harris,4,10,1,0,0,1,17.2,True
Gary Harris,4,8,1,0,0,1,17.1,True
Gary Harris,4,10,1,0,0,1,21.4,True
Gary Harris,4,11,1,0,0,1,21.6,True
Gary Harris,2,11,1,0,0,1,21.9,True
Gary Harris,4,5,0,15,-131,86,13.0,True
Gary Harris,2,9,0,13,4,135,3.8,True
Gary Harris,2,11,1,12,94,77,17.1,True
Gary Harris,4,4,0,2,24,6,13.9,True
Gary Harris,2,11,0,14,-101,101,12.0,True
Gary Harris,1,2,1,25,121,225,10.9,False
Gary Harris,4,10,0,26,-179,194,19.0,False
Gary Harris,4,9,1,15,48,151,0.8,True
Gary Harris,4,5,0,25,154,209,18.6,False
Gary Harris,2,10,0,25,122,225,1.5,False
Gary Harris,1,0,1,24,-204,143,14.5,False
Gary Harris,2,11,1,25,80,241,20.6,False
Gary Harris,2,9,1,17,159,63,11.3,True
Gary Harris,2,6,1,24,-93,224,9.6,False
Gary Harris,3,0,1,24,-213,129,7.6,False
Gary Harris,2,9,0,26,9,265,4.9,False
Gary Harris,4,6,0,23,231,42,10.9,False
Gary Harris,2,9,0,16,168,25,10.1,True
Gary Harris,4,7,1,24,-187,157,20.0,False
Gary Harris,4,3,1,25,-205,154,10.7,False
Gary Harris,2,10,0,5,54,17,6.7,True
Gary Harris,2,3,0,23,-234,15,8.1,False
Gary Harris,4,8,0,16,-19,165,17.0,True
Gary Harris,4,10,1,26,201,168,22.0,False
Gary Harris,1,1,1,24,-136,205,13.0,False
Gary Harris,2,11,0,22,113,192,8.8,True
Gary Harris,2,9,0,20,129,160,12.3,True
Gary Harris,3,2,0,23,-171,165,0.8,False
Gary Harris,4,7,0,25,154,208,22.1,False
Gary Harris,2,8,0,24,-207,132,8.2,False
Gary Harris,2,10,0,23,-237,15,15.0,False
Gary Harris,4,10,0,22,223,12,14.9,False
Gary Harris,2,5,0,24,-157,190,17.9,False
Gary Harris,4,3,1,18,182,34,23.4,True
Gary Harris,4,4,0,17,163,50,13.5,True
Gary Harris,3,0,0,15,157,12,18.1,True
Gary Harris,1,2,0,13,103,86,11.0,True
Gary Harris,1,1,0,24,195,151,18.4,False
Gary Harris,2,11,0,18,181,14,19.0,True
Gary Harris,4,6,0,25,211,146,20.6,False
Gary Harris,1,2,1,15,62,140,14.2,True
Gary Harris,1,0,0,25,-212,135,12.2,False
Gary Harris,4,1,0,25,173,184,4.8,False
Gary Harris,4,7,0,25,207,156,21.6,False
Gary Harris,1,1,0,23,-201,129,14.9,False
Gary Harris,3,11,0,26,-201,175,6.2,False
Gary Harris,2,1,0,25,239,77,10.4,False
Gary Harris,3,2,0,23,239,-6,19.1,False
Gary Harris,2,11,0,16,-161,11,11.8,True
Gary Harris,4,6,0,25,-131,217,11.1,False
Gary Harris,2,2,0,26,-60,254,12.2,False
Gary Harris,3,6,0,26,21,268,9.2,False
Gary Harris,3,2,0,26,-169,203,18.3,False
Gary Harris,2,10,0,24,-235,50,12.1,False
Gary Harris,4,8,0,25,-90,239,18.8,False
Gary Harris,2,8,0,5,0,53,13.0,True
Gary Harris,3,3,0,23,-232,30,14.0,False
Gary Harris,3,10,0,25,-223,127,18.5,False
Gary Harris,1,8,0,12,111,67,9.5,True
Gary Harris,4,1,0,23,-234,6,7.9,False
Gary Harris,3,2,0,24,203,138,21.0,False
Gary Harris,4,3,0,25,177,187,18.0,False
Gary Harris,3,11,0,23,-239,-16,6.0,False
