name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
George Hill,3,10,1,0,-2,1,16.3,True
George Hill,3,6,1,1,-4,14,5.7,True
George Hill,4,2,0,2,-11,25,0.0,True
George Hill,1,7,1,1,-18,3,10.7,True
George Hill,1,5,0,5,-35,36,1.4,True
George Hill,3,8,1,0,9,4,16.8,True
George Hill,1,4,0,1,-10,-3,16.1,True
George Hill,4,3,1,2,21,11,12.5,True
George Hill,2,4,1,1,-10,3,18.0,True
George Hill,3,8,1,0,2,0,19.7,True
George Hill,1,9,1,1,-7,9,16.3,True
George Hill,2,7,1,1,2,12,12.0,True
George Hill,3,6,1,1,12,0,18.6,True
George Hill,3,4,1,2,-21,3,14.0,True
George Hill,3,1,1,2,24,9,15.5,True
George Hill,3,4,1,1,18,3,21.0,True
George Hill,2,2,1,1,-10,0,13.0,True
George Hill,3,3,1,0,-7,3,12.5,True
George Hill,4,3,1,0,-4,4,6.4,True
George Hill,2,5,1,1,12,4,15.8,True
George Hill,1,9,1,3,29,12,20.2,True
George Hill,2,3,1,4,-2,41,14.9,True
George Hill,1,6,0,2,3,20,17.9,True
George Hill,1,9,1,0,9,0,17.4,True
George Hill,1,6,0,2,28,3,15.9,True
George Hill,4,0,1,1,13,9,0.0,True
George Hill,3,0,0,0,7,3,19.1,True
George Hill,4,2,1,0,4,6,9.6,True
George Hill,4,9,1,1,13,-8,16.7,True
George Hill,3,0,1,0,0,9,12.7,True
George Hill,3,10,1,2,18,11,20.1,True
George Hill,2,3,1,0,-8,-2,11.8,True
George Hill,2,11,1,0,7,3,14.5,True
George Hill,1,5,0,2,24,4,24.0,True
George Hill,4,6,1,0,-4,6,17.0,True
George Hill,1,5,0,2,-11,20,18.2,True
George Hill,2,2,1,0,0,-2,13.5,True
George Hill,4,2,1,2,-26,9,12.1,True
George Hill,1,10,1,2,20,1,20.1,True
George Hill,4,7,0,1,12,6,15.4,True
George Hill,1,10,1,0,-4,-2,20.9,True
George Hill,1,6,1,0,0,1,20.0,True
George Hill,3,10,1,0,0,1,15.4,True
George Hill,3,3,0,0,0,1,15.0,True
George Hill,4,1,1,0,0,1,23.5,True
George Hill,4,10,1,0,0,1,21.3,True
George Hill,2,3,1,0,0,1,21.7,True
George Hill,3,8,1,0,0,1,18.9,True
George Hill,1,0,1,15,-152,4,17.9,True
George Hill,3,6,1,6,0,66,9.5,True
George Hill,1,9,1,15,-157,0,11.9,True
George Hill,2,0,1,2,-24,12,3.2,True
George Hill,3,9,1,1,-10,1,11.2,True
George Hill,1,2,1,1,-18,3,5.7,True
George Hill,3,9,1,6,-8,63,12.6,True
George Hill,1,11,1,12,-120,-2,9.7,True
George Hill,2,6,0,8,62,55,19.2,True
George Hill,3,6,1,4,4,41,13.0,True
George Hill,2,8,1,8,-87,3,11.1,True
George Hill,4,5,1,16,143,83,4.4,True
George Hill,2,4,1,10,105,4,12.1,True
George Hill,3,5,0,8,12,86,17.5,True
George Hill,2,4,1,12,17,124,16.9,True
George Hill,2,3,1,8,6,80,15.4,True
George Hill,3,8,0,4,-26,33,12.2,True
George Hill,3,7,1,4,-30,33,11.3,True
George Hill,2,5,1,12,-2,127,5.5,True
George Hill,4,9,1,4,-11,48,11.0,True
George Hill,1,9,1,12,105,60,7.3,True
George Hill,3,0,1,4,-30,31,11.1,True
George Hill,4,2,0,13,10,134,15.1,True
George Hill,2,0,0,12,-21,123,0.0,True
George Hill,4,3,1,7,-21,71,14.2,True
George Hill,4,6,1,26,-21,266,13.4,False
George Hill,3,0,1,12,108,64,7.0,True
George Hill,1,6,1,26,50,265,12.8,False
George Hill,4,1,1,7,7,75,6.9,True
George Hill,3,6,0,25,59,246,18.9,False
George Hill,3,1,0,20,206,0,14.9,True
George Hill,1,8,0,10,102,-11,12.0,True
George Hill,4,9,1,26,-201,167,17.2,False
George Hill,1,2,0,15,-122,97,8.7,True
George Hill,3,11,0,27,-130,239,7.1,False
George Hill,3,7,1,23,-234,-6,15.0,False
George Hill,3,5,1,20,201,-17,14.0,True
George Hill,1,6,1,22,-223,-14,9.2,False
George Hill,2,2,1,23,236,-17,7.6,False
George Hill,3,8,0,23,236,-16,12.0,False
George Hill,2,10,1,22,-226,37,3.0,False
George Hill,3,0,1,30,118,276,0.0,False
George Hill,4,7,1,26,-196,181,10.2,False
George Hill,4,2,0,26,65,257,8.8,False
George Hill,2,0,0,6,62,15,2.0,True
George Hill,4,3,1,28,7,285,5.0,False
George Hill,4,2,1,25,-130,222,3.7,False
George Hill,1,3,1,18,6,187,7.6,True
George Hill,4,5,1,20,151,132,1.9,True
George Hill,1,0,0,58,10,580,0.0,False
George Hill,3,4,1,6,39,56,13.4,True
George Hill,1,0,0,27,88,265,0.0,False
George Hill,4,2,1,19,84,173,8.2,True
George Hill,1,1,1,24,9,246,6.4,False
George Hill,3,0,0,17,-101,145,0.0,True
George Hill,4,0,1,25,-15,258,0.0,False
George Hill,4,0,0,24,-76,233,0.0,False
George Hill,2,5,0,20,40,200,15.1,True
George Hill,4,1,0,27,4,272,0.0,False
George Hill,2,5,0,24,121,209,14.8,False
George Hill,3,3,0,24,222,110,9.1,False
George Hill,2,4,1,24,-95,225,10.2,False
George Hill,1,6,0,22,-221,23,18.0,False
George Hill,3,10,0,22,-223,39,9.1,False
George Hill,1,3,0,22,-223,14,9.6,False
George Hill,1,0,1,23,-235,0,0.0,False
George Hill,1,8,0,5,1,55,19.9,True
George Hill,1,0,1,16,140,91,17.5,True
George Hill,2,0,0,27,116,246,0.0,False
George Hill,3,1,0,6,48,36,0.0,True
George Hill,6,4,1,14,-136,63,5.0,True
George Hill,2,1,0,16,91,138,14.1,True
George Hill,3,4,0,28,127,255,10.0,False
George Hill,4,0,0,13,-131,4,2.8,True
George Hill,4,0,0,26,-78,254,0.0,False
George Hill,2,3,0,16,168,-14,18.1,True
George Hill,2,2,0,20,-202,-6,7.1,True
George Hill,2,4,1,25,-117,231,4.6,False
George Hill,1,7,0,4,20,42,19.4,True
George Hill,4,1,1,25,110,235,10.0,False
George Hill,4,7,0,14,-106,93,3.0,True
George Hill,3,2,0,4,-10,39,11.5,True
George Hill,3,3,0,9,4,96,14.0,True
George Hill,1,4,0,18,86,160,15.0,True
George Hill,3,1,0,26,-155,209,11.9,False
George Hill,1,6,0,26,-78,255,15.0,False
George Hill,2,1,0,19,78,183,11.4,True
George Hill,2,7,0,27,111,252,22.5,False
George Hill,2,3,0,23,-229,23,12.8,False
George Hill,3,4,0,26,-54,257,16.6,False
George Hill,3,6,1,25,0,252,19.8,False
George Hill,4,7,0,16,-60,154,8.0,True
George Hill,4,7,1,12,-128,6,14.7,True
George Hill,1,5,0,23,-231,-3,5.5,False
George Hill,3,4,0,18,-93,157,19.4,True
George Hill,4,0,1,5,-5,53,8.4,True
George Hill,4,4,0,27,121,252,5.7,False
George Hill,1,8,1,18,181,48,12.2,True
George Hill,1,3,0,28,-171,233,7.0,False
George Hill,1,7,0,26,-11,268,6.3,False
George Hill,1,8,0,12,-30,124,8.0,True
George Hill,2,4,1,26,-101,247,10.3,False
George Hill,2,0,1,16,-60,156,12.3,True
George Hill,4,2,0,16,-125,113,10.4,True
George Hill,3,5,0,16,-160,-3,7.0,True
George Hill,1,6,0,22,-228,28,1.2,False
George Hill,4,5,0,27,193,197,1.0,False
George Hill,2,3,0,3,26,17,11.0,True
George Hill,3,9,1,26,129,228,10.0,False
George Hill,3,7,0,24,80,227,5.1,False
George Hill,1,4,0,5,-26,53,10.8,True
George Hill,1,2,0,5,18,47,7.2,True
George Hill,3,1,0,6,37,50,10.0,True
George Hill,2,0,0,45,78,446,0.0,False
George Hill,1,2,1,19,192,11,1.0,True
George Hill,4,0,1,26,-190,183,20.6,False
George Hill,4,1,0,23,236,0,12.0,False
George Hill,3,5,1,7,-68,36,12.5,True
George Hill,3,4,0,22,-11,220,3.2,True
George Hill,3,2,0,19,-49,192,12.2,True
George Hill,2,4,1,18,95,153,4.6,True
George Hill,4,0,1,25,-79,242,0.0,False
George Hill,3,5,1,26,77,249,1.7,False
George Hill,1,6,1,26,0,268,9.0,False
George Hill,4,0,1,26,132,225,0.0,False
George Hill,2,0,0,7,-38,64,0.0,True
George Hill,1,7,0,23,-239,-11,10.8,False
George Hill,3,6,0,25,0,250,8.0,False
George Hill,1,0,0,23,-232,-11,10.0,False
George Hill,1,2,0,10,40,93,10.1,True
George Hill,4,1,0,24,70,236,1.4,False
George Hill,4,0,1,25,-175,186,20.7,False
George Hill,2,5,0,6,-51,45,4.7,True
George Hill,4,1,0,25,-68,250,17.5,False
George Hill,1,4,0,27,163,216,19.9,False
George Hill,2,4,1,23,233,1,5.5,False
George Hill,2,1,1,5,9,58,23.8,True
George Hill,4,10,1,13,56,127,0.5,True
George Hill,4,9,0,25,212,146,3.7,False
George Hill,1,9,0,25,121,224,21.8,False
George Hill,1,5,1,13,129,41,16.1,True
George Hill,1,2,0,14,-23,142,9.8,True
George Hill,1,7,0,27,28,272,11.8,False
George Hill,4,9,0,20,-128,162,7.4,True
George Hill,3,8,1,17,-133,118,10.2,True
George Hill,2,4,0,26,147,224,16.0,False
George Hill,2,0,0,5,15,58,6.6,True
George Hill,2,8,0,24,244,41,2.6,False
George Hill,1,4,0,28,37,280,16.7,False
George Hill,4,9,0,6,12,60,17.2,True
George Hill,3,8,0,10,-8,102,11.3,True
George Hill,4,0,0,29,179,231,0.0,False
George Hill,3,0,0,15,-11,156,2.4,True
George Hill,1,3,0,21,154,157,4.0,True
George Hill,2,2,0,10,-105,7,13.1,True
George Hill,1,10,0,6,-29,60,17.8,True
George Hill,1,8,1,19,17,192,13.0,True
George Hill,3,8,0,14,-149,-6,5.3,True
George Hill,3,7,1,25,-97,239,12.0,False
George Hill,4,1,0,26,187,186,5.0,False
George Hill,2,1,1,16,-160,17,3.0,True
George Hill,4,5,0,4,40,22,13.5,True
George Hill,2,0,0,18,9,186,0.0,True
George Hill,4,2,1,23,237,17,8.2,False
George Hill,3,6,0,23,-232,-21,18.6,False
George Hill,1,3,0,24,241,39,12.0,False
George Hill,2,3,0,25,124,225,19.5,False
George Hill,3,8,1,23,-232,15,12.7,False
George Hill,4,0,0,24,-164,181,21.2,False
George Hill,2,3,0,15,-116,105,4.9,True
George Hill,1,1,1,25,-166,200,9.5,False
George Hill,3,6,1,24,-150,195,17.7,False
George Hill,1,9,1,28,-161,238,13.9,False
George Hill,1,9,0,11,108,25,6.9,True
George Hill,4,4,0,24,151,195,17.4,False
George Hill,1,9,0,27,118,244,6.8,False
George Hill,1,8,1,20,207,1,4.5,True
George Hill,3,9,0,25,-133,217,11.0,False
George Hill,1,9,0,8,-52,67,5.2,True
George Hill,4,1,0,25,151,203,5.8,False
George Hill,1,8,0,11,-7,112,14.2,True
George Hill,3,9,1,26,-205,168,21.7,False
George Hill,4,6,0,10,77,64,8.7,True
George Hill,3,4,0,26,-38,265,3.1,False
George Hill,3,2,1,17,122,119,16.4,True
George Hill,3,6,1,25,-54,247,15.5,False
George Hill,4,0,1,27,190,200,19.3,False
George Hill,3,11,0,7,77,19,14.7,True
George Hill,1,8,0,3,-7,34,13.6,True
George Hill,3,4,1,26,-138,228,5.5,False
George Hill,3,5,1,22,-223,-5,7.0,False
George Hill,2,2,0,24,-242,0,11.4,False
George Hill,3,10,0,25,141,211,5.6,False
George Hill,3,5,0,27,182,201,10.9,False
George Hill,3,2,0,27,77,263,16.3,False
George Hill,3,9,0,7,72,28,16.4,True
George Hill,1,5,1,3,9,37,19.9,True
George Hill,4,3,1,22,203,102,14.7,True
George Hill,4,0,0,27,-34,272,23.4,False
George Hill,2,3,0,5,28,47,14.9,True
George Hill,1,9,0,26,-34,266,21.7,False
George Hill,3,2,1,26,0,263,16.8,False
George Hill,1,10,0,9,10,91,14.9,True
George Hill,3,0,0,19,192,36,2.4,True
George Hill,3,1,0,12,-127,0,2.4,True
George Hill,2,4,1,10,106,0,7.8,True
George Hill,4,4,0,22,-229,0,14.0,False
George Hill,1,7,1,14,-144,9,4.3,True
George Hill,3,4,1,26,40,265,6.1,False
George Hill,3,10,1,27,209,183,13.1,False
George Hill,3,2,1,25,-174,187,9.5,False
George Hill,3,3,1,2,18,9,7.2,True
George Hill,1,2,0,24,241,-24,18.5,False
George Hill,2,3,0,25,-68,242,10.8,False
George Hill,3,11,0,25,-95,241,8.6,False
George Hill,1,6,0,25,-116,225,12.1,False
George Hill,1,1,0,25,160,197,7.0,False
George Hill,4,4,0,17,58,165,19.3,True
George Hill,4,5,1,11,110,6,6.0,True
George Hill,3,7,0,23,236,0,5.4,False
George Hill,1,9,1,27,-57,269,9.5,False
George Hill,2,2,1,10,-24,101,19.3,True
George Hill,3,3,1,23,-2,235,2.7,True
George Hill,3,6,0,20,78,192,17.5,True
George Hill,4,5,0,25,204,146,22.5,False
George Hill,4,2,0,25,-73,241,14.5,False
George Hill,2,11,0,20,-171,105,7.7,True
George Hill,2,4,0,14,121,75,17.0,True
George Hill,3,10,1,14,-144,-11,11.7,True
George Hill,3,1,1,24,223,110,21.5,False
George Hill,1,9,1,27,69,263,11.3,False
George Hill,3,1,0,24,58,241,22.0,False
George Hill,3,9,0,24,97,228,13.9,False
George Hill,4,11,0,20,110,175,10.6,True
George Hill,1,4,1,13,-95,91,16.7,True
George Hill,3,3,1,24,-142,198,4.7,False
George Hill,3,4,0,23,-172,167,21.4,False
George Hill,2,2,0,16,-160,-32,5.3,True
George Hill,1,10,0,15,155,-6,8.7,True
