name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Glen Rice Jr,2,10,1,1,12,-2,10.0,True
Glen Rice Jr,4,7,1,22,226,19,10.1,False
Glen Rice Jr,2,0,0,22,228,-5,17.5,False
Glen Rice Jr,1,0,0,26,-108,244,6.2,False
Glen Rice Jr,2,11,0,25,106,236,6.8,False
Glen Rice Jr,2,11,0,11,116,19,12.0,True
Glen Rice Jr,2,9,0,27,-150,235,3.0,False
Glen Rice Jr,4,11,0,26,-51,260,12.0,False
Glen Rice Jr,1,0,0,7,-76,-3,9.0,True
Glen Rice Jr,2,10,0,3,9,36,20.2,True
Glen Rice Jr,2,8,0,16,-71,145,11.3,True
Glen Rice Jr,4,8,0,0,7,0,7.8,True
Glen Rice Jr,1,0,0,25,171,183,2.4,False
Glen Rice Jr,2,10,1,0,2,7,19.8,True
Glen Rice Jr,1,0,0,9,-89,23,4.4,True
