name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Henry Walker,1,0,1,0,0,1,7.6,True
Henry Walker,4,6,0,0,0,1,10.0,True
Henry Walker,1,7,1,0,0,1,21.0,True
Henry Walker,1,1,1,1,7,11,18.8,True
Henry Walker,4,5,0,1,15,0,0.9,True
Henry Walker,1,6,0,4,10,41,0.0,True
Henry Walker,2,4,0,6,7,61,14.4,True
Henry Walker,4,11,0,3,-34,7,7.7,True
Henry Walker,2,11,1,0,-7,3,8.0,True
Henry Walker,1,3,0,2,-29,3,10.8,True
Henry Walker,1,4,1,1,-15,1,14.8,True
Henry Walker,4,8,0,1,-18,3,10.5,True
Henry Walker,3,1,1,1,12,6,10.0,True
Henry Walker,2,3,0,2,-8,25,11.0,True
Henry Walker,2,8,0,1,10,9,0.0,True
Henry Walker,2,10,1,1,2,14,10.5,True
Henry Walker,2,8,0,7,-78,6,3.5,True
Henry Walker,3,0,0,6,-51,41,4.2,True
Henry Walker,1,4,0,4,6,44,0.0,True
Henry Walker,4,0,0,24,-237,58,23.3,False
Henry Walker,5,3,0,25,-123,224,12.9,False
Henry Walker,1,3,0,25,7,254,14.0,False
Henry Walker,2,4,0,26,-16,263,0.0,False
Henry Walker,2,10,0,26,17,260,12.7,False
Henry Walker,4,3,0,25,23,257,12.9,False
Henry Walker,3,7,0,25,75,242,8.9,False
Henry Walker,1,9,0,23,234,34,7.9,False
Henry Walker,4,0,0,26,-150,224,0.0,False
Henry Walker,5,1,0,25,-142,214,3.9,False
Henry Walker,3,0,0,3,28,26,6.0,True
Henry Walker,3,5,0,25,165,200,7.5,False
Henry Walker,3,9,1,18,177,41,5.8,True
Henry Walker,1,10,0,27,-4,276,14.7,False
Henry Walker,4,5,0,26,-81,252,6.3,False
Henry Walker,2,7,0,24,-239,28,0.0,False
Henry Walker,1,9,1,27,-155,225,3.5,False
Henry Walker,3,3,0,25,-164,194,12.3,False
Henry Walker,3,11,0,26,99,242,0.0,False
Henry Walker,3,2,0,26,214,153,0.0,False
Henry Walker,3,5,1,23,-199,132,0.0,False
Henry Walker,1,11,0,27,88,261,0.0,False
Henry Walker,3,6,1,24,2,244,0.0,False
Henry Walker,1,6,0,25,86,244,0.0,False
Henry Walker,3,5,0,27,-29,269,0.0,False
Henry Walker,1,9,0,27,206,179,0.0,False
Henry Walker,4,9,1,22,226,-2,10.1,False
Henry Walker,2,8,1,26,152,216,11.3,False
Henry Walker,4,7,0,23,230,-19,6.4,False
Henry Walker,1,6,0,23,230,50,15.6,False
Henry Walker,4,6,0,24,-202,145,0.0,False
Henry Walker,2,10,0,22,226,26,13.0,False
Henry Walker,2,2,0,13,-59,121,14.7,True
Henry Walker,2,2,0,6,-52,41,23.2,True
Henry Walker,3,0,0,25,12,252,11.0,False
Henry Walker,2,11,0,24,-73,230,5.0,False
Henry Walker,1,4,1,25,-240,74,15.8,False
Henry Walker,4,0,0,23,-231,17,0.0,False
Henry Walker,1,8,1,14,-142,14,11.0,True
Henry Walker,4,6,1,25,-123,225,7.0,False
Henry Walker,2,5,1,24,-146,200,16.9,False
Henry Walker,1,9,0,23,231,0,10.4,False
Henry Walker,4,0,1,26,-141,225,0.0,False
Henry Walker,4,0,1,25,189,176,22.8,False
Henry Walker,1,4,0,17,-157,78,11.0,True
Henry Walker,2,2,0,30,176,244,17.2,False
Henry Walker,3,10,0,26,130,230,13.8,False
Henry Walker,2,5,0,5,-29,42,16.3,True
Henry Walker,1,8,0,25,-209,145,16.3,False
