name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Hollis Thompson,2,11,1,1,15,1,24.0,True
Hollis Thompson,3,5,1,5,37,45,8.7,True
Hollis Thompson,2,4,1,0,0,1,10.4,True
Hollis Thompson,3,4,0,0,0,1,12.7,True
Hollis Thompson,4,1,0,0,0,1,8.2,True
Hollis Thompson,4,5,1,0,0,1,22.1,True
Hollis Thompson,1,7,1,0,0,1,10.8,True
Hollis Thompson,3,3,1,2,1,28,17.2,True
Hollis Thompson,3,10,1,1,-10,12,4.5,True
Hollis Thompson,1,2,1,1,0,14,15.3,True
Hollis Thompson,3,2,1,1,-2,11,14.4,True
Hollis Thompson,2,8,1,2,21,3,14.0,True
Hollis Thompson,3,1,1,3,0,34,20.4,True
Hollis Thompson,4,10,1,12,108,61,13.5,True
Hollis Thompson,1,10,0,3,-23,23,3.1,True
Hollis Thompson,3,5,0,4,-18,36,11.9,True
Hollis Thompson,2,8,1,0,9,-2,7.5,True
Hollis Thompson,1,10,1,0,6,0,18.5,True
Hollis Thompson,3,4,1,1,-15,0,18.0,True
Hollis Thompson,4,6,1,2,20,7,17.0,True
Hollis Thompson,4,10,1,3,-4,34,8.4,True
Hollis Thompson,4,8,1,2,2,20,6.7,True
Hollis Thompson,3,0,1,0,-4,7,14.4,True
Hollis Thompson,4,9,0,1,-7,9,9.4,True
Hollis Thompson,3,2,0,2,-24,14,11.0,True
Hollis Thompson,4,3,1,1,13,11,5.0,True
Hollis Thompson,1,0,1,0,-2,7,8.6,True
Hollis Thompson,4,10,1,0,6,7,22.2,True
Hollis Thompson,1,2,1,1,-11,1,16.3,True
Hollis Thompson,1,1,0,2,24,9,13.2,True
Hollis Thompson,2,0,0,1,4,14,9.1,True
Hollis Thompson,4,5,1,1,10,3,9.0,True
Hollis Thompson,4,9,1,1,6,12,11.8,True
Hollis Thompson,1,4,1,3,28,25,21.9,True
Hollis Thompson,1,0,1,0,2,6,7.2,True
Hollis Thompson,2,3,1,1,-13,4,10.6,True
Hollis Thompson,1,11,1,2,28,-5,14.2,True
Hollis Thompson,1,3,1,1,15,1,11.8,True
Hollis Thompson,4,10,1,2,20,-2,3.5,True
Hollis Thompson,1,6,1,1,13,15,12.5,True
Hollis Thompson,4,1,1,1,-15,-2,7.5,True
Hollis Thompson,2,9,1,0,9,1,13.5,True
Hollis Thompson,1,1,1,2,4,23,20.0,True
Hollis Thompson,1,6,1,1,15,-8,11.0,True
Hollis Thompson,4,2,1,2,-23,0,7.8,True
Hollis Thompson,4,5,1,1,-15,6,2.9,True
Hollis Thompson,2,6,1,1,9,-6,8.5,True
Hollis Thompson,4,9,1,0,6,0,20.8,True
Hollis Thompson,1,6,1,0,0,1,16.4,True
Hollis Thompson,4,11,1,11,67,94,1.9,True
Hollis Thompson,3,2,1,2,2,25,11.6,True
Hollis Thompson,3,3,0,6,13,64,3.0,True
Hollis Thompson,2,7,1,6,-29,55,10.0,True
Hollis Thompson,1,2,1,4,-32,30,14.7,True
Hollis Thompson,4,2,1,6,36,55,11.8,True
Hollis Thompson,3,4,1,4,-43,17,19.6,True
Hollis Thompson,1,7,1,9,95,-14,4.5,True
Hollis Thompson,3,0,1,6,23,64,13.3,True
Hollis Thompson,3,1,1,10,-106,28,10.3,True
Hollis Thompson,4,2,0,23,237,1,9.3,False
Hollis Thompson,4,8,0,24,168,183,5.9,False
Hollis Thompson,2,7,0,4,-41,4,10.3,True
Hollis Thompson,2,6,1,26,-130,228,18.0,False
Hollis Thompson,4,2,0,4,15,41,15.6,True
Hollis Thompson,1,11,1,9,89,31,5.0,True
Hollis Thompson,1,6,0,23,-232,0,10.1,False
Hollis Thompson,1,4,0,24,189,162,14.6,False
Hollis Thompson,3,8,1,25,-196,162,17.0,False
Hollis Thompson,3,6,1,24,185,162,19.2,False
Hollis Thompson,2,4,1,24,-243,7,11.2,False
Hollis Thompson,2,4,1,19,-196,22,13.4,True
Hollis Thompson,4,8,1,25,187,168,13.1,False
Hollis Thompson,4,3,0,12,-128,-2,9.3,True
Hollis Thompson,1,9,1,25,-48,249,15.6,False
Hollis Thompson,1,7,1,14,-149,-16,14.4,True
Hollis Thompson,2,1,1,26,163,209,9.6,False
Hollis Thompson,4,9,1,24,-4,249,15.9,False
Hollis Thompson,4,1,0,27,-150,228,15.1,False
Hollis Thompson,4,0,1,23,-232,-6,0.0,False
