name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
JR Smith,3,1,0,0,0,1,8.0,True
JR Smith,4,9,1,0,0,1,13.9,True
JR Smith,2,3,1,4,15,47,1.0,True
JR Smith,1,3,0,0,0,1,8.6,True
JR Smith,1,6,1,0,0,1,20.8,True
JR Smith,4,6,0,2,10,20,8.5,True
JR Smith,3,7,1,0,-2,-2,14.3,True
JR Smith,1,7,0,2,17,19,15.6,True
JR Smith,3,9,1,1,10,0,4.9,True
JR Smith,3,8,0,2,0,25,20.4,True
JR Smith,1,6,1,0,0,7,19.3,True
JR Smith,2,10,0,1,-2,12,18.5,True
JR Smith,4,5,0,0,0,4,2.5,True
JR Smith,1,5,0,0,1,1,11.3,True
JR Smith,3,3,1,2,10,23,11.0,True
JR Smith,1,8,0,1,3,14,11.4,True
JR Smith,4,10,1,0,0,1,16.4,True
JR Smith,2,3,1,0,0,1,21.5,True
JR Smith,2,1,1,0,0,1,21.5,True
JR Smith,1,4,1,0,0,1,21.1,True
JR Smith,4,11,1,0,0,1,22.0,True
JR Smith,2,3,1,0,0,1,22.3,True
JR Smith,3,8,1,15,-150,11,14.2,True
JR Smith,4,11,1,17,-123,119,11.7,True
JR Smith,3,10,1,21,135,162,12.4,True
JR Smith,1,4,1,22,179,140,9.8,True
JR Smith,2,5,1,16,12,160,11.3,True
JR Smith,2,3,1,16,159,33,13.1,True
JR Smith,2,1,1,16,-147,80,5.0,True
JR Smith,3,11,1,18,184,-8,10.6,True
JR Smith,4,4,0,18,-183,36,15.1,True
JR Smith,1,1,0,6,4,63,17.1,True
JR Smith,2,6,1,6,54,31,18.9,True
JR Smith,3,0,0,11,83,82,0.0,True
JR Smith,2,1,0,11,102,63,14.3,True
JR Smith,2,2,1,7,62,47,16.6,True
JR Smith,3,4,1,7,29,67,11.6,True
JR Smith,2,2,0,11,105,58,13.9,True
JR Smith,3,7,1,23,-231,-17,0.8,False
JR Smith,4,4,1,6,61,30,17.5,True
JR Smith,1,2,1,5,-52,15,15.0,True
JR Smith,3,5,0,4,-45,12,13.0,True
JR Smith,3,7,1,3,34,19,11.8,True
JR Smith,3,0,1,24,-190,160,0.0,False
JR Smith,1,10,0,24,-242,6,14.2,False
JR Smith,1,5,1,25,-71,244,13.0,False
JR Smith,3,4,1,26,231,123,20.5,False
JR Smith,1,9,1,26,-164,203,6.1,False
JR Smith,2,4,1,25,67,250,11.3,False
JR Smith,1,2,0,25,-134,217,10.4,False
JR Smith,3,3,1,25,177,189,18.9,False
JR Smith,3,0,1,24,-166,186,8.5,False
JR Smith,1,10,1,25,-215,146,11.1,False
JR Smith,2,0,0,27,125,249,0.0,False
JR Smith,3,9,0,25,-213,134,11.9,False
JR Smith,2,0,1,25,-217,129,8.1,False
JR Smith,1,4,0,25,-128,219,8.8,False
JR Smith,2,10,1,19,9,194,8.1,True
JR Smith,4,4,1,16,-136,89,9.7,True
JR Smith,1,10,1,28,-41,287,5.9,False
