name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
JaKarr Sampson,1,5,1,0,0,1,19.6,True
JaKarr Sampson,1,7,1,0,0,1,24.0,True
JaKarr Sampson,4,9,1,0,0,1,19.4,True
JaKarr Sampson,4,5,1,0,0,1,10.3,True
JaKarr Sampson,4,0,1,0,0,1,20.6,True
JaKarr Sampson,2,0,0,0,0,1,17.2,True
JaKarr Sampson,1,1,1,0,0,1,18.9,True
JaKarr Sampson,1,10,1,0,0,1,21.4,True
JaKarr Sampson,1,4,1,0,0,1,6.0,True
JaKarr Sampson,4,11,0,0,0,1,1.4,True
JaKarr Sampson,4,2,1,1,-4,17,2.9,True
JaKarr Sampson,3,1,1,5,4,53,12.6,True
JaKarr Sampson,1,10,0,3,-24,31,19.2,True
JaKarr Sampson,3,10,0,5,29,42,20.2,True
JaKarr Sampson,1,2,0,6,64,1,10.6,True
JaKarr Sampson,1,6,0,6,53,37,10.0,True
JaKarr Sampson,1,0,0,6,50,39,14.0,True
JaKarr Sampson,1,3,1,0,6,3,8.6,True
JaKarr Sampson,3,0,1,2,-23,-5,6.3,True
JaKarr Sampson,4,6,1,1,10,14,13.2,True
JaKarr Sampson,2,2,1,1,-18,3,5.9,True
JaKarr Sampson,3,4,1,0,7,-5,21.2,True
JaKarr Sampson,4,8,1,0,2,0,8.9,True
JaKarr Sampson,2,11,1,2,4,23,13.0,True
JaKarr Sampson,3,3,0,2,6,23,19.3,True
JaKarr Sampson,1,8,1,1,2,14,11.4,True
JaKarr Sampson,4,4,0,1,9,7,11.1,True
JaKarr Sampson,4,1,1,2,20,-3,16.3,True
JaKarr Sampson,4,3,1,2,23,1,17.2,True
JaKarr Sampson,1,8,1,1,-10,6,17.7,True
JaKarr Sampson,1,0,1,0,0,-2,17.7,True
JaKarr Sampson,1,11,1,1,15,-6,15.9,True
JaKarr Sampson,2,7,1,1,13,0,5.3,True
JaKarr Sampson,1,2,1,0,2,-8,11.5,True
JaKarr Sampson,4,0,0,2,-16,22,0.0,True
