name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
JaVale McGee,3,7,1,0,0,1,16.6,True
JaVale McGee,4,10,1,0,0,1,14.5,True
JaVale McGee,2,4,1,0,0,1,14.1,True
JaVale McGee,4,10,1,0,0,1,17.9,True
JaVale McGee,4,8,1,0,0,1,24.0,True
JaVale McGee,4,8,1,0,0,1,14.6,True
JaVale McGee,2,1,1,0,0,1,0.0,True
JaVale McGee,3,8,1,0,-5,1,18.9,True
JaVale McGee,1,2,0,0,0,1,16.6,True
JaVale McGee,3,5,1,2,20,0,10.2,True
JaVale McGee,1,0,0,0,0,1,10.3,True
JaVale McGee,4,6,1,0,0,1,21.0,True
JaVale McGee,4,0,1,0,0,1,15.8,True
JaVale McGee,4,5,1,0,0,1,12.2,True
JaVale McGee,1,6,1,1,-8,17,9.3,True
JaVale McGee,1,0,0,7,-11,71,3.1,True
JaVale McGee,2,10,0,6,34,56,11.3,True
JaVale McGee,1,2,1,7,67,22,13.9,True
JaVale McGee,3,0,0,6,9,61,8.0,True
JaVale McGee,3,7,1,3,23,28,11.7,True
JaVale McGee,3,6,1,6,54,31,10.1,True
JaVale McGee,3,3,1,6,-5,67,10.9,True
JaVale McGee,4,5,1,14,-98,110,11.8,True
JaVale McGee,3,10,1,3,1,33,13.4,True
JaVale McGee,1,2,0,8,6,89,8.5,True
JaVale McGee,3,0,0,13,-134,23,17.2,True
JaVale McGee,4,5,0,15,-51,146,10.0,True
JaVale McGee,2,1,0,5,-59,3,7.7,True
JaVale McGee,3,7,0,7,-70,31,13.1,True
JaVale McGee,3,4,0,17,171,30,8.3,True
JaVale McGee,2,9,0,7,-67,39,14.0,True
JaVale McGee,2,0,0,5,20,53,12.5,True
JaVale McGee,2,5,0,3,-23,20,19.5,True
JaVale McGee,2,9,1,2,23,4,4.8,True
JaVale McGee,4,6,1,1,-18,6,7.0,True
JaVale McGee,3,3,0,2,21,-8,16.8,True
JaVale McGee,1,6,0,0,4,9,7.0,True
JaVale McGee,4,11,0,0,-8,-5,15.2,True
JaVale McGee,1,1,1,2,-26,-6,10.6,True
JaVale McGee,2,8,1,1,13,11,10.7,True
JaVale McGee,4,5,0,1,17,6,7.8,True
JaVale McGee,4,7,1,2,21,0,15.0,True
JaVale McGee,4,9,0,0,0,1,24.0,True
JaVale McGee,1,1,1,0,0,1,24.0,True
JaVale McGee,4,1,1,0,4,3,14.9,True
JaVale McGee,1,3,1,0,4,7,16.5,True
JaVale McGee,4,7,0,1,-10,6,12.2,True
JaVale McGee,3,4,1,3,7,33,13.4,True
JaVale McGee,1,5,0,3,0,30,8.1,True
JaVale McGee,4,0,1,0,0,1,0.0,True
JaVale McGee,2,0,1,0,0,1,18.6,True
JaVale McGee,4,11,1,0,4,-5,13.6,True
JaVale McGee,2,7,0,0,6,6,16.8,True
JaVale McGee,4,2,0,0,-1,9,24.0,True
JaVale McGee,1,2,1,0,9,-2,24.0,True
JaVale McGee,3,5,0,0,3,4,24.0,True
JaVale McGee,2,11,1,3,-29,12,9.3,True
JaVale McGee,2,10,0,10,106,17,16.0,True
JaVale McGee,2,8,1,3,2,34,23.2,True
JaVale McGee,4,10,0,12,62,107,9.7,True
JaVale McGee,3,5,0,4,13,39,18.2,True
JaVale McGee,1,0,1,0,0,1,10.6,True
JaVale McGee,4,10,1,0,0,1,16.0,True
JaVale McGee,1,2,1,0,0,1,10.1,True
JaVale McGee,1,2,1,0,0,1,13.6,True
JaVale McGee,2,5,1,0,0,1,9.9,True
JaVale McGee,3,0,0,11,100,50,8.0,True
JaVale McGee,2,10,1,8,86,22,11.0,True
JaVale McGee,1,1,0,9,-76,52,4.1,True
JaVale McGee,2,11,0,11,-101,52,14.5,True
JaVale McGee,4,10,0,15,155,-8,2.9,True
JaVale McGee,2,10,0,20,10,203,8.2,True
JaVale McGee,2,3,0,17,-166,47,9.3,True
JaVale McGee,2,6,0,16,-152,66,6.8,True
JaVale McGee,3,3,0,13,28,127,13.8,True
JaVale McGee,4,9,0,15,124,85,17.8,True
JaVale McGee,2,4,1,0,0,4,9.4,True
JaVale McGee,4,10,0,1,-4,15,6.9,True
JaVale McGee,1,0,1,0,-2,1,0.0,True
