name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jared Sullinger,2,0,1,0,0,1,5.1,True
Jared Sullinger,4,0,1,0,-7,0,0.0,True
Jared Sullinger,3,3,1,2,9,22,11.0,True
Jared Sullinger,2,9,0,2,17,15,10.5,True
Jared Sullinger,4,3,0,6,13,63,16.1,True
Jared Sullinger,1,8,0,5,53,23,11.4,True
Jared Sullinger,3,5,0,4,48,11,13.2,True
Jared Sullinger,4,3,1,3,1,39,12.4,True
Jared Sullinger,2,8,0,4,12,42,10.7,True
Jared Sullinger,1,0,0,7,62,34,4.6,True
Jared Sullinger,4,9,0,3,37,11,12.4,True
Jared Sullinger,3,10,1,3,4,30,19.1,True
Jared Sullinger,3,10,1,8,-23,80,6.1,True
Jared Sullinger,2,8,0,2,23,1,4.5,True
Jared Sullinger,2,1,1,2,23,-2,7.3,True
Jared Sullinger,4,0,1,1,18,7,15.7,True
Jared Sullinger,2,3,0,3,32,0,8.9,True
Jared Sullinger,1,7,1,3,34,3,17.2,True
Jared Sullinger,4,11,1,0,2,0,11.5,True
Jared Sullinger,4,3,1,2,23,3,7.0,True
Jared Sullinger,1,8,1,2,18,20,9.0,True
Jared Sullinger,4,10,1,0,-2,0,8.5,True
Jared Sullinger,1,7,1,1,0,15,11.6,True
Jared Sullinger,4,1,1,1,13,3,14.2,True
Jared Sullinger,3,10,1,2,-2,23,8.2,True
Jared Sullinger,1,3,1,3,28,19,12.3,True
Jared Sullinger,3,9,1,0,2,3,22.4,True
Jared Sullinger,2,7,1,2,24,7,13.8,True
Jared Sullinger,2,3,0,2,-26,-2,5.4,True
Jared Sullinger,2,2,0,1,9,14,12.0,True
Jared Sullinger,3,10,1,1,15,4,11.6,True
Jared Sullinger,1,2,0,2,-13,25,2.4,True
Jared Sullinger,4,1,0,1,6,14,18.0,True
Jared Sullinger,3,10,1,4,40,9,13.0,True
Jared Sullinger,3,7,0,2,23,6,5.0,True
Jared Sullinger,2,3,1,1,13,3,12.1,True
Jared Sullinger,2,4,1,0,0,1,16.1,True
Jared Sullinger,1,3,1,0,0,1,8.2,True
Jared Sullinger,2,3,1,0,0,1,16.4,True
Jared Sullinger,3,11,1,0,0,1,18.3,True
Jared Sullinger,2,5,1,0,0,1,15.0,True
Jared Sullinger,4,0,1,0,0,1,23.2,True
Jared Sullinger,4,4,1,19,190,12,11.8,True
Jared Sullinger,1,8,0,7,32,69,13.4,True
Jared Sullinger,4,0,0,13,-133,-2,0.0,True
Jared Sullinger,2,0,1,12,99,83,11.4,True
Jared Sullinger,4,5,0,14,147,25,3.9,True
Jared Sullinger,1,9,0,15,-146,42,6.7,True
Jared Sullinger,2,8,1,12,-123,1,10.5,True
Jared Sullinger,2,0,0,18,-144,112,0.0,True
Jared Sullinger,3,6,1,14,143,-3,3.0,True
Jared Sullinger,1,10,0,12,-120,-16,5.9,True
Jared Sullinger,1,8,0,18,34,183,8.4,True
Jared Sullinger,3,11,1,18,-134,124,5.6,True
Jared Sullinger,4,6,1,13,130,14,3.3,True
Jared Sullinger,2,9,1,6,-37,58,12.5,True
Jared Sullinger,1,7,1,13,-62,115,2.2,True
Jared Sullinger,1,5,1,16,-147,75,6.2,True
Jared Sullinger,3,9,0,9,-95,20,9.0,True
Jared Sullinger,1,10,1,7,-56,53,4.0,True
Jared Sullinger,2,8,0,2,-23,15,11.9,True
Jared Sullinger,2,11,1,11,118,0,13.7,True
Jared Sullinger,1,0,0,9,94,19,4.8,True
Jared Sullinger,3,7,0,4,40,23,11.7,True
Jared Sullinger,3,9,0,4,23,36,16.0,True
Jared Sullinger,4,7,0,5,58,4,7.1,True
Jared Sullinger,2,3,0,5,47,23,11.3,True
Jared Sullinger,4,11,0,5,-4,52,3.6,True
Jared Sullinger,3,4,0,4,0,47,13.8,True
Jared Sullinger,2,3,0,10,-49,88,6.7,True
Jared Sullinger,3,7,0,3,2,31,13.0,True
Jared Sullinger,1,9,0,4,-2,45,11.5,True
Jared Sullinger,2,4,0,9,-82,45,14.4,True
Jared Sullinger,2,7,1,6,59,12,10.4,True
Jared Sullinger,1,6,1,3,37,14,5.2,True
Jared Sullinger,1,4,0,7,-7,74,20.7,True
Jared Sullinger,2,4,0,5,53,8,23.8,True
Jared Sullinger,4,7,0,4,36,26,11.3,True
Jared Sullinger,1,10,0,6,64,7,11.0,True
Jared Sullinger,3,8,0,5,-11,52,11.1,True
Jared Sullinger,1,8,0,13,-34,129,16.9,True
Jared Sullinger,3,0,0,8,-81,14,0.0,True
Jared Sullinger,4,0,0,5,47,23,19.4,True
Jared Sullinger,4,3,0,4,4,45,9.0,True
Jared Sullinger,1,8,1,3,1,39,7.8,True
Jared Sullinger,3,6,1,4,-15,39,11.5,True
Jared Sullinger,3,9,0,4,1,42,8.8,True
Jared Sullinger,4,8,1,7,72,6,21.4,True
Jared Sullinger,3,10,1,4,-19,39,6.4,True
Jared Sullinger,4,2,0,8,13,88,11.0,True
Jared Sullinger,1,9,0,7,-62,39,13.2,True
Jared Sullinger,1,5,0,8,-30,78,8.4,True
Jared Sullinger,3,8,1,8,10,86,17.1,True
Jared Sullinger,3,8,0,4,34,34,12.7,True
Jared Sullinger,1,8,1,4,40,23,14.4,True
Jared Sullinger,1,5,0,6,-30,53,10.2,True
Jared Sullinger,1,8,1,3,4,39,18.6,True
Jared Sullinger,3,11,1,4,0,42,7.4,True
Jared Sullinger,1,7,1,5,36,47,10.4,True
Jared Sullinger,2,0,1,9,86,36,0.0,True
Jared Sullinger,2,2,1,5,56,15,11.0,True
Jared Sullinger,3,7,1,24,100,225,17.6,False
Jared Sullinger,2,9,1,17,-172,17,10.4,True
Jared Sullinger,2,9,1,13,-139,9,16.0,True
Jared Sullinger,2,7,0,19,77,176,9.2,True
Jared Sullinger,3,0,0,24,-90,225,12.6,False
Jared Sullinger,3,7,0,27,113,249,16.4,False
Jared Sullinger,3,11,1,20,-4,206,10.1,True
Jared Sullinger,3,8,0,24,-5,244,11.0,False
Jared Sullinger,4,6,0,14,143,14,11.6,True
Jared Sullinger,1,6,0,17,-163,60,9.5,True
Jared Sullinger,1,7,1,25,29,250,11.7,False
Jared Sullinger,4,5,1,18,-133,134,13.7,True
Jared Sullinger,1,11,0,26,141,224,17.9,False
Jared Sullinger,3,8,1,25,-199,164,12.6,False
Jared Sullinger,1,11,1,17,-48,173,12.5,True
Jared Sullinger,1,11,1,20,-141,149,16.2,True
Jared Sullinger,3,8,0,24,225,99,10.6,False
Jared Sullinger,4,0,0,26,86,246,17.0,False
Jared Sullinger,1,6,0,24,-207,132,11.0,False
Jared Sullinger,3,4,0,3,29,11,15.4,True
Jared Sullinger,3,3,0,26,165,203,8.1,False
Jared Sullinger,3,9,0,24,56,241,12.5,False
Jared Sullinger,1,5,0,15,151,26,15.6,True
Jared Sullinger,4,6,0,25,125,227,10.4,False
Jared Sullinger,1,7,0,25,84,244,19.0,False
Jared Sullinger,4,11,0,24,-92,230,16.9,False
Jared Sullinger,4,2,0,4,1,48,0.0,True
Jared Sullinger,1,8,0,16,103,131,17.0,True
Jared Sullinger,3,11,1,22,133,176,14.4,True
Jared Sullinger,3,7,1,20,-205,4,9.1,True
Jared Sullinger,3,6,0,20,143,143,17.8,True
Jared Sullinger,1,4,0,19,-190,25,14.4,True
Jared Sullinger,4,6,0,21,59,203,14.1,True
Jared Sullinger,4,5,0,26,-171,200,16.6,False
Jared Sullinger,1,7,0,10,-103,23,6.4,True
Jared Sullinger,3,11,0,24,118,216,2.1,False
Jared Sullinger,3,1,1,10,83,72,18.7,True
Jared Sullinger,3,8,0,23,-234,48,7.0,False
Jared Sullinger,2,1,0,24,-133,206,14.9,False
Jared Sullinger,3,6,0,27,-157,220,16.7,False
Jared Sullinger,4,3,1,4,4,47,18.3,True
Jared Sullinger,3,8,0,26,138,230,10.1,False
Jared Sullinger,4,5,0,17,140,102,0.6,True
Jared Sullinger,1,9,1,18,-73,173,9.0,True
Jared Sullinger,3,9,1,24,-109,224,11.5,False
Jared Sullinger,4,2,0,26,203,172,14.7,False
Jared Sullinger,4,3,0,6,56,36,12.2,True
Jared Sullinger,2,2,0,26,12,269,13.1,False
Jared Sullinger,1,7,1,22,-226,0,13.0,False
Jared Sullinger,3,1,1,12,-125,28,11.2,True
Jared Sullinger,2,4,1,12,-122,14,12.2,True
Jared Sullinger,4,10,0,16,-164,7,22.2,True
Jared Sullinger,4,5,0,24,-150,198,18.9,False
Jared Sullinger,2,4,0,4,-11,44,17.1,True
Jared Sullinger,2,6,0,14,37,138,11.6,True
Jared Sullinger,2,4,0,17,163,55,17.9,True
Jared Sullinger,1,11,0,17,-174,-3,2.1,True
Jared Sullinger,4,10,0,15,-123,97,5.7,True
