name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jason Maxiell,4,6,0,0,0,1,17.3,True
Jason Maxiell,2,8,1,2,-15,20,12.9,True
Jason Maxiell,3,1,1,0,0,1,10.9,True
Jason Maxiell,2,6,1,0,0,1,16.5,True
Jason Maxiell,2,10,1,0,0,1,8.9,True
Jason Maxiell,2,10,1,0,0,1,7.8,True
Jason Maxiell,4,10,1,0,0,1,9.7,True
Jason Maxiell,4,7,0,0,0,1,12.1,True
Jason Maxiell,2,8,0,0,0,1,14.7,True
Jason Maxiell,1,0,1,0,0,1,0.0,True
Jason Maxiell,4,6,0,0,0,1,24.0,True
Jason Maxiell,1,1,1,0,0,1,20.3,True
Jason Maxiell,4,11,1,0,0,1,20.1,True
Jason Maxiell,2,10,1,10,69,82,11.8,True
Jason Maxiell,2,9,1,5,56,9,13.3,True
Jason Maxiell,4,0,1,8,-10,80,9.6,True
Jason Maxiell,4,8,0,5,29,42,0.0,True
Jason Maxiell,2,10,1,5,13,50,4.0,True
Jason Maxiell,2,7,1,5,42,30,19.1,True
Jason Maxiell,4,5,1,6,9,60,3.7,True
Jason Maxiell,3,1,1,7,-26,71,6.0,True
Jason Maxiell,4,5,0,4,4,48,14.0,True
Jason Maxiell,4,7,0,6,-4,64,10.0,True
Jason Maxiell,4,4,1,10,-98,33,12.3,True
Jason Maxiell,4,7,1,7,65,44,12.2,True
Jason Maxiell,4,3,0,9,-57,72,2.8,True
Jason Maxiell,4,4,0,11,83,77,14.5,True
Jason Maxiell,4,9,0,8,51,71,0.0,True
Jason Maxiell,2,10,1,18,43,176,7.0,True
Jason Maxiell,2,7,0,14,141,25,8.3,True
Jason Maxiell,4,10,0,5,34,48,18.4,True
Jason Maxiell,2,11,1,5,23,50,11.4,True
Jason Maxiell,3,1,1,7,-70,28,4.0,True
Jason Maxiell,2,2,1,15,-2,154,11.9,True
Jason Maxiell,2,1,0,18,94,156,12.5,True
Jason Maxiell,2,1,0,19,113,157,4.7,True
Jason Maxiell,4,3,1,16,-160,6,14.1,True
Jason Maxiell,2,7,0,7,-16,74,6.1,True
Jason Maxiell,1,2,1,16,17,162,10.6,True
Jason Maxiell,2,9,0,17,24,178,11.7,True
Jason Maxiell,2,0,1,10,-8,105,13.4,True
Jason Maxiell,3,3,1,12,36,118,14.0,True
Jason Maxiell,1,4,1,4,45,17,11.4,True
Jason Maxiell,4,10,0,5,12,52,3.2,True
Jason Maxiell,3,3,0,17,43,165,7.1,True
Jason Maxiell,2,9,0,18,9,181,13.1,True
Jason Maxiell,2,11,1,10,-18,99,14.8,True
Jason Maxiell,1,0,0,10,-101,1,5.9,True
Jason Maxiell,3,1,0,15,152,28,12.0,True
Jason Maxiell,4,11,1,12,-120,22,12.6,True
Jason Maxiell,2,11,0,12,6,126,4.9,True
Jason Maxiell,1,0,0,17,124,129,0.0,True
Jason Maxiell,1,2,0,14,-128,64,12.8,True
Jason Maxiell,2,10,0,7,-7,72,21.8,True
Jason Maxiell,2,10,0,13,-16,137,8.9,True
Jason Maxiell,4,9,0,17,97,148,8.6,True
Jason Maxiell,2,11,1,7,47,56,8.1,True
Jason Maxiell,2,10,0,17,10,173,10.9,True
Jason Maxiell,1,0,0,14,133,44,0.0,True
Jason Maxiell,2,8,0,6,-49,42,6.8,True
Jason Maxiell,2,10,0,18,-30,183,3.9,True
Jason Maxiell,1,0,1,20,-40,203,4.4,True
Jason Maxiell,1,1,0,6,67,17,11.7,True
Jason Maxiell,2,7,1,6,9,69,12.4,True
Jason Maxiell,3,5,0,11,-119,1,13.9,True
Jason Maxiell,1,1,0,18,-27,183,10.2,True
Jason Maxiell,2,9,0,14,-144,23,16.7,True
Jason Maxiell,2,7,1,13,-2,132,7.8,True
Jason Maxiell,4,10,0,12,-75,105,18.2,True
Jason Maxiell,4,6,1,15,-158,19,13.7,True
Jason Maxiell,1,0,0,19,10,194,1.0,True
Jason Maxiell,3,2,0,12,-117,44,6.2,True
Jason Maxiell,2,7,0,9,-8,93,11.1,True
Jason Maxiell,4,9,0,15,-119,99,9.5,True
Jason Maxiell,2,9,1,9,45,83,9.3,True
Jason Maxiell,2,5,1,8,-87,12,10.6,True
Jason Maxiell,3,3,0,10,48,89,6.3,True
Jason Maxiell,4,1,0,14,-5,148,6.4,True
Jason Maxiell,1,1,0,11,-32,115,14.8,True
Jason Maxiell,4,8,0,5,-4,55,11.0,True
Jason Maxiell,4,11,0,16,114,121,11.0,True
Jason Maxiell,3,2,0,9,-90,23,11.0,True
Jason Maxiell,4,11,1,8,-87,11,9.1,True
Jason Maxiell,1,0,0,18,138,124,16.1,True
Jason Maxiell,2,9,1,8,0,88,6.2,True
Jason Maxiell,2,9,1,12,-120,-14,5.7,True
Jason Maxiell,3,4,0,10,-103,12,2.4,True
Jason Maxiell,2,3,1,15,-146,64,9.5,True
Jason Maxiell,2,10,1,2,7,19,7.7,True
Jason Maxiell,4,9,0,15,2,153,15.4,True
Jason Maxiell,3,1,0,15,18,154,15.9,True
Jason Maxiell,2,10,0,4,45,14,9.3,True
Jason Maxiell,4,10,1,4,-2,48,13.0,True
Jason Maxiell,4,8,1,18,7,184,4.4,True
Jason Maxiell,4,6,0,11,4,112,9.6,True
Jason Maxiell,4,8,0,7,-8,72,5.9,True
Jason Maxiell,4,9,1,16,-15,160,12.0,True
Jason Maxiell,4,7,0,9,-11,93,16.1,True
Jason Maxiell,4,7,0,17,-5,176,12.4,True
Jason Maxiell,2,10,0,18,99,154,1.6,True
Jason Maxiell,4,11,0,10,34,104,8.7,True
Jason Maxiell,4,7,0,7,-32,72,2.9,True
Jason Maxiell,2,0,0,15,36,146,0.0,True
Jason Maxiell,4,9,0,9,-4,97,14.2,True
Jason Maxiell,1,1,0,7,73,15,14.0,True
Jason Maxiell,4,8,0,3,6,33,11.6,True
Jason Maxiell,2,11,0,14,147,23,14.0,True
Jason Maxiell,3,3,0,10,-105,26,11.1,True
Jason Maxiell,2,8,0,7,-68,33,14.7,True
Jason Maxiell,4,2,0,14,23,145,4.5,True
Jason Maxiell,1,0,0,19,6,190,16.0,True
Jason Maxiell,2,10,0,5,-15,55,18.1,True
Jason Maxiell,2,0,0,7,45,66,8.2,True
Jason Maxiell,4,7,0,3,-27,20,9.2,True
Jason Maxiell,1,1,0,5,50,15,0.0,True
Jason Maxiell,4,6,0,14,53,131,10.0,True
Jason Maxiell,2,11,0,2,-8,28,2.8,True
Jason Maxiell,2,10,1,1,10,11,11.4,True
Jason Maxiell,1,3,1,1,18,7,14.9,True
Jason Maxiell,2,11,1,1,-16,0,22.7,True
Jason Maxiell,2,8,0,2,17,12,7.0,True
Jason Maxiell,2,8,1,0,-2,-2,16.9,True
Jason Maxiell,1,1,1,1,-2,17,15.8,True
Jason Maxiell,1,2,1,1,7,9,16.1,True
Jason Maxiell,1,3,0,2,28,7,23.6,True
Jason Maxiell,2,7,1,1,12,11,14.4,True
Jason Maxiell,2,6,0,2,-23,3,1.9,True
Jason Maxiell,3,0,0,2,-22,11,0.0,True
Jason Maxiell,4,8,1,0,7,4,10.0,True
Jason Maxiell,1,0,1,1,-7,9,6.9,True
Jason Maxiell,4,7,0,0,0,7,24.0,True
Jason Maxiell,4,9,0,1,-10,9,7.6,True
Jason Maxiell,1,3,1,0,-7,7,9.0,True
Jason Maxiell,4,1,0,1,1,15,23.5,True
Jason Maxiell,4,6,1,0,0,7,24.0,True
Jason Maxiell,4,10,0,0,8,-1,22.8,True
Jason Maxiell,1,1,0,0,-7,3,24.0,True
Jason Maxiell,1,4,1,1,7,9,24.0,True
Jason Maxiell,1,2,1,1,15,7,12.3,True
Jason Maxiell,1,1,1,1,15,1,7.4,True
Jason Maxiell,1,1,0,0,-2,7,23.1,True
Jason Maxiell,3,1,0,2,-7,19,12.4,True
Jason Maxiell,4,11,0,1,4,19,10.7,True
Jason Maxiell,4,7,0,0,0,9,0.0,True
Jason Maxiell,4,9,1,0,1,1,24.0,True
Jason Maxiell,1,1,1,1,17,0,0.0,True
Jason Maxiell,4,10,1,2,-23,7,4.7,True
Jason Maxiell,2,8,0,1,12,4,6.0,True
Jason Maxiell,3,0,0,2,9,23,0.0,True
Jason Maxiell,1,1,0,1,0,12,23.0,True
Jason Maxiell,2,0,0,2,1,25,7.2,True
Jason Maxiell,4,10,1,0,0,1,10.5,True
Jason Maxiell,4,0,1,0,0,1,11.9,True
Jason Maxiell,4,5,1,0,-4,-2,24.0,True
Jason Maxiell,4,8,1,0,1,0,24.0,True
Jason Maxiell,1,1,1,1,10,6,10.6,True
Jason Maxiell,2,9,1,0,4,-2,24.0,True
Jason Maxiell,2,9,0,1,13,6,11.0,True
Jason Maxiell,1,1,1,4,39,16,5.1,True
Jason Maxiell,1,0,1,3,0,37,14.5,True
Jason Maxiell,4,0,1,6,67,12,11.3,True
Jason Maxiell,4,8,0,0,4,9,23.5,True
Jason Maxiell,2,11,0,8,1,83,13.0,True
Jason Maxiell,1,1,0,2,9,20,12.4,True
Jason Maxiell,4,2,1,0,0,1,10.8,True
Jason Maxiell,2,10,0,12,113,42,4.2,True
Jason Maxiell,4,11,1,0,-5,3,24.0,True
Jason Maxiell,4,9,1,0,0,9,10.8,True
Jason Maxiell,3,3,0,1,7,14,10.0,True
Jason Maxiell,1,4,0,1,-7,17,24.0,True
Jason Maxiell,4,11,0,0,-6,-1,0.0,True
Jason Maxiell,2,10,0,0,0,9,24.0,True
Jason Maxiell,1,3,0,1,13,7,24.0,True
Jason Maxiell,2,10,1,1,1,11,9.5,True
Jason Maxiell,3,0,1,10,-90,47,10.8,True
Jason Maxiell,4,4,0,11,-105,33,12.0,True
Jason Maxiell,3,1,1,8,-56,66,6.2,True
Jason Maxiell,4,2,1,8,-75,30,5.0,True
Jason Maxiell,1,1,0,6,6,64,10.0,True
Jason Maxiell,1,1,0,10,108,6,15.5,True
Jason Maxiell,2,7,0,9,89,20,7.0,True
Jason Maxiell,4,7,0,12,103,74,15.4,True
Jason Maxiell,4,8,1,6,-43,52,4.6,True
Jason Maxiell,1,3,1,4,-8,42,12.3,True
Jason Maxiell,4,7,0,5,20,50,16.8,True
Jason Maxiell,1,3,0,7,62,42,8.7,True
Jason Maxiell,2,8,0,11,-119,1,9.5,True
Jason Maxiell,2,11,0,14,-59,134,6.7,True
Jason Maxiell,4,9,0,6,-10,63,12.4,True
Jason Maxiell,2,8,1,7,-65,45,9.6,True
Jason Maxiell,1,2,1,17,-168,37,3.9,True
Jason Maxiell,2,11,0,7,-67,25,8.8,True
