name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jeff Taylor,4,10,0,0,0,1,1.8,True
Jeff Taylor,4,10,1,0,0,1,5.9,True
Jeff Taylor,3,1,1,8,28,83,11.5,True
Jeff Taylor,1,10,0,5,54,22,2.4,True
Jeff Taylor,4,9,0,3,-18,26,12.6,True
Jeff Taylor,2,10,0,0,2,-3,6.2,True
Jeff Taylor,4,3,1,0,6,1,14.8,True
Jeff Taylor,3,9,1,0,0,1,14.1,True
Jeff Taylor,3,11,0,2,15,15,7.1,True
Jeff Taylor,4,1,0,1,10,14,7.8,True
Jeff Taylor,2,8,0,2,17,11,6.0,True
Jeff Taylor,1,10,0,1,13,0,10.2,True
Jeff Taylor,3,3,1,0,0,1,15.7,True
Jeff Taylor,4,8,1,0,0,1,20.7,True
Jeff Taylor,3,10,1,0,0,1,18.9,True
Jeff Taylor,1,5,1,0,0,1,7.4,True
Jeff Taylor,1,10,1,0,0,1,20.5,True
Jeff Taylor,1,4,1,0,0,1,19.1,True
Jeff Taylor,1,8,1,0,0,1,20.9,True
Jeff Taylor,4,1,1,0,0,1,22.0,True
Jeff Taylor,4,7,1,18,177,34,12.8,True
Jeff Taylor,1,8,0,6,64,28,16.9,True
Jeff Taylor,1,4,0,16,-161,-16,7.0,True
Jeff Taylor,1,4,0,25,203,151,11.3,False
Jeff Taylor,4,2,0,25,-169,186,18.8,False
Jeff Taylor,3,8,1,17,149,89,11.8,True
Jeff Taylor,4,4,0,11,119,-2,13.3,True
Jeff Taylor,4,3,1,16,-160,-19,22.3,True
Jeff Taylor,1,3,1,24,200,137,12.4,False
Jeff Taylor,3,11,0,22,228,12,11.1,False
Jeff Taylor,1,8,0,26,171,205,11.1,False
Jeff Taylor,2,8,0,5,-45,33,15.7,True
Jeff Taylor,2,11,0,5,53,11,12.0,True
Jeff Taylor,4,1,0,24,-183,157,4.7,False
Jeff Taylor,3,8,0,25,88,244,12.3,False
Jeff Taylor,1,6,0,24,-59,241,11.1,False
Jeff Taylor,1,11,0,7,-21,75,5.7,True
Jeff Taylor,4,6,1,22,228,15,14.0,False
Jeff Taylor,2,3,0,25,-139,209,16.9,False
Jeff Taylor,1,9,0,18,189,17,7.5,True
