name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Joel Freeland,4,9,0,1,-19,0,20.0,True
Joel Freeland,4,11,1,0,0,1,19.6,True
Joel Freeland,2,10,1,6,-64,12,12.2,True
Joel Freeland,4,0,1,3,21,25,3.4,True
Joel Freeland,2,8,1,1,12,-8,16.3,True
Joel Freeland,5,0,1,0,0,1,0.0,True
Joel Freeland,7,0,1,0,0,1,7.6,True
Joel Freeland,4,4,1,0,0,1,15.2,True
Joel Freeland,4,9,1,0,0,1,19.5,True
Joel Freeland,3,2,1,0,0,1,9.8,True
Joel Freeland,1,5,1,12,-125,17,6.6,True
Joel Freeland,1,4,0,10,-81,63,9.3,True
Joel Freeland,1,0,0,8,0,83,0.0,True
Joel Freeland,4,8,1,8,-71,44,17.0,True
Joel Freeland,2,6,0,7,-27,67,21.8,True
Joel Freeland,3,1,0,4,21,36,11.0,True
Joel Freeland,4,4,0,4,43,20,23.1,True
Joel Freeland,2,10,1,2,24,6,23.6,True
Joel Freeland,4,11,0,4,28,31,23.6,True
Joel Freeland,2,6,0,4,40,9,11.5,True
Joel Freeland,4,10,1,5,-43,31,7.2,True
Joel Freeland,1,10,0,4,36,22,13.2,True
Joel Freeland,4,8,0,2,23,7,1.8,True
Joel Freeland,2,10,0,5,-52,14,16.5,True
Joel Freeland,4,9,0,5,51,17,6.5,True
Joel Freeland,2,5,1,4,0,42,18.5,True
Joel Freeland,2,7,0,6,59,19,6.1,True
Joel Freeland,4,5,0,4,18,44,16.3,True
Joel Freeland,2,11,1,18,155,93,16.6,True
Joel Freeland,2,1,0,5,51,12,15.9,True
Joel Freeland,1,8,0,4,28,37,7.6,True
Joel Freeland,2,11,0,3,-37,6,8.9,True
Joel Freeland,3,0,1,19,121,148,18.4,True
Joel Freeland,4,9,1,9,-84,44,14.6,True
Joel Freeland,2,9,1,14,122,85,19.5,True
Joel Freeland,2,7,1,17,176,28,8.5,True
Joel Freeland,2,6,1,18,91,157,7.2,True
Joel Freeland,2,5,0,19,18,194,9.8,True
Joel Freeland,4,8,1,17,-174,11,14.0,True
Joel Freeland,2,7,1,18,184,15,3.8,True
Joel Freeland,2,6,1,17,-79,151,14.9,True
Joel Freeland,4,7,1,20,133,156,9.6,True
Joel Freeland,2,10,1,15,-146,44,2.8,True
Joel Freeland,3,10,0,14,144,6,0.7,True
Joel Freeland,2,6,1,8,-89,3,5.6,True
Joel Freeland,1,9,1,20,155,131,16.3,True
Joel Freeland,2,5,1,20,-120,168,15.6,True
Joel Freeland,4,0,0,9,12,96,13.0,True
Joel Freeland,2,7,0,5,-46,23,18.8,True
Joel Freeland,4,8,0,19,162,112,12.4,True
Joel Freeland,1,10,0,15,-153,11,7.5,True
Joel Freeland,2,8,0,19,-13,190,8.4,True
Joel Freeland,4,10,0,19,-136,143,9.1,True
Joel Freeland,4,8,0,11,-5,110,9.2,True
Joel Freeland,4,9,0,18,140,119,10.0,True
Joel Freeland,4,8,1,19,-199,-10,5.6,True
Joel Freeland,2,7,1,5,51,30,14.8,True
Joel Freeland,1,2,1,12,-122,20,8.5,True
Joel Freeland,4,5,0,18,187,12,12.0,True
Joel Freeland,3,2,0,14,146,28,5.8,True
Joel Freeland,4,11,0,15,17,153,15.2,True
Joel Freeland,4,7,0,17,-114,134,16.3,True
Joel Freeland,2,11,0,18,187,0,5.6,True
Joel Freeland,4,0,0,18,185,0,1.9,True
Joel Freeland,2,10,0,15,-158,0,12.0,True
Joel Freeland,4,7,0,16,166,7,2.4,True
Joel Freeland,4,5,0,17,-175,28,16.1,True
Joel Freeland,1,5,1,5,53,26,2.0,True
Joel Freeland,4,6,0,20,-187,71,10.0,True
Joel Freeland,3,2,0,18,127,131,13.4,True
Joel Freeland,2,5,1,17,-111,132,6.1,True
Joel Freeland,4,3,1,17,-171,25,16.4,True
Joel Freeland,4,1,1,15,-158,7,8.3,True
Joel Freeland,2,1,1,14,-147,4,15.3,True
Joel Freeland,2,2,1,5,-5,55,7.0,True
Joel Freeland,2,9,1,14,143,0,14.6,True
Joel Freeland,4,1,1,14,149,1,18.1,True
Joel Freeland,3,1,1,18,124,134,11.9,True
Joel Freeland,4,2,1,15,157,17,8.5,True
Joel Freeland,3,2,1,16,-146,78,7.9,True
Joel Freeland,4,4,0,19,-144,127,12.6,True
Joel Freeland,4,5,0,17,-73,157,6.3,True
Joel Freeland,3,5,0,19,-191,1,18.0,True
Joel Freeland,5,1,0,18,116,142,7.1,True
Joel Freeland,2,5,0,18,149,105,16.1,True
Joel Freeland,2,8,0,13,-136,14,15.2,True
Joel Freeland,4,6,0,18,-187,17,1.4,True
Joel Freeland,2,11,0,18,106,154,7.1,True
Joel Freeland,4,1,0,15,-158,-2,8.1,True
Joel Freeland,4,5,0,16,125,107,3.7,True
Joel Freeland,2,6,0,15,17,157,8.0,True
Joel Freeland,2,8,0,14,-146,12,19.3,True
Joel Freeland,2,7,0,17,-138,115,9.4,True
Joel Freeland,3,7,0,19,195,7,17.2,True
Joel Freeland,1,8,0,16,141,88,3.7,True
Joel Freeland,4,8,0,16,-158,47,9.6,True
Joel Freeland,1,6,1,1,15,0,9.9,True
Joel Freeland,4,11,1,1,-8,-6,23.0,True
Joel Freeland,2,11,0,2,1,26,18.5,True
Joel Freeland,4,11,1,2,23,3,10.4,True
Joel Freeland,2,8,0,2,-21,11,7.1,True
Joel Freeland,2,9,0,2,26,1,20.8,True
Joel Freeland,2,8,1,1,-16,1,18.6,True
Joel Freeland,2,8,1,0,9,1,20.3,True
Joel Freeland,2,10,1,1,2,17,24.0,True
Joel Freeland,1,6,0,2,20,0,20.2,True
Joel Freeland,2,8,1,2,20,6,13.8,True
Joel Freeland,1,8,0,0,0,-5,13.7,True
Joel Freeland,4,1,1,1,17,-10,10.5,True
Joel Freeland,2,10,1,1,18,-5,16.5,True
Joel Freeland,2,7,0,1,10,-3,8.4,True
Joel Freeland,3,6,0,0,0,1,5.5,True
Joel Freeland,4,8,1,2,4,26,18.9,True
Joel Freeland,4,4,1,2,23,8,14.0,True
Joel Freeland,4,10,0,0,7,6,21.0,True
Joel Freeland,4,11,1,2,23,3,24.0,True
Joel Freeland,2,10,1,1,9,6,1.0,True
Joel Freeland,4,11,1,1,-18,6,24.0,True
Joel Freeland,4,10,1,1,12,6,23.4,True
Joel Freeland,1,0,1,0,1,1,0.8,True
Joel Freeland,4,8,1,0,0,1,24.0,True
Joel Freeland,3,1,1,1,-11,-3,12.0,True
Joel Freeland,4,7,1,0,6,1,8.8,True
Joel Freeland,2,7,1,6,45,44,8.8,True
Joel Freeland,4,10,1,5,-59,1,10.9,True
Joel Freeland,4,9,1,8,56,60,16.4,True
Joel Freeland,4,5,1,3,21,22,13.0,True
Joel Freeland,4,5,1,0,0,1,23.5,True
Joel Freeland,4,2,1,0,0,1,12.2,True
Joel Freeland,2,7,0,2,0,20,24.0,True
Joel Freeland,4,3,0,1,10,4,10.8,True
Joel Freeland,2,8,0,0,0,7,24.0,True
Joel Freeland,3,1,0,2,17,-11,24.0,True
Joel Freeland,2,3,0,2,-18,9,24.0,True
Joel Freeland,2,6,0,0,-4,9,24.0,True
Joel Freeland,4,0,0,1,15,1,24.0,True
Joel Freeland,2,9,0,1,0,12,24.0,True
Joel Freeland,2,4,0,1,-12,9,24.0,True
Joel Freeland,2,6,1,1,2,11,24.0,True
Joel Freeland,4,6,1,11,-109,25,8.4,True
Joel Freeland,4,7,0,11,99,60,8.3,True
Joel Freeland,1,8,1,3,0,33,11.0,True
Joel Freeland,4,8,1,7,75,17,5.7,True
Joel Freeland,4,7,1,4,18,45,11.8,True
Joel Freeland,4,10,1,7,69,26,5.1,True
Joel Freeland,4,9,0,11,4,119,10.6,True
Joel Freeland,4,11,0,13,-138,15,2.5,True
Joel Freeland,4,3,0,3,-32,1,14.7,True
Joel Freeland,2,11,0,12,-127,19,14.6,True
Joel Freeland,4,3,0,8,86,20,6.3,True
Joel Freeland,4,1,1,8,70,49,0.8,True
