name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
John Henson,4,8,1,0,0,1,14.0,True
John Henson,2,10,1,0,0,1,24.0,True
John Henson,4,0,1,0,0,1,2.9,True
John Henson,2,9,1,0,0,1,24.0,True
John Henson,1,3,1,0,0,1,16.2,True
John Henson,3,0,1,1,10,3,9.0,True
John Henson,2,6,1,0,0,1,24.0,True
John Henson,4,8,1,0,0,1,24.0,True
John Henson,3,3,1,0,0,1,0.0,True
John Henson,3,5,1,0,0,1,12.4,True
John Henson,4,10,1,0,0,1,13.6,True
John Henson,2,10,1,0,0,1,18.3,True
John Henson,2,2,1,0,0,1,24.0,True
John Henson,2,10,1,0,0,1,11.6,True
John Henson,2,8,1,0,0,1,0.0,True
John Henson,4,1,1,1,-10,-5,12.0,True
John Henson,1,1,0,1,-4,-11,8.4,True
John Henson,2,9,0,0,0,1,16.2,True
John Henson,2,10,0,0,0,4,24.0,True
John Henson,1,0,0,1,10,0,0.0,True
John Henson,5,2,1,0,0,1,8.1,True
John Henson,4,1,0,7,-70,0,24.0,True
John Henson,4,10,1,2,4,28,1.8,True
John Henson,4,2,1,2,26,7,6.0,True
John Henson,1,9,1,1,-4,17,0.0,True
John Henson,1,4,1,1,-18,0,12.5,True
John Henson,1,5,1,1,7,14,18.4,True
John Henson,5,3,1,2,-26,12,16.3,True
John Henson,4,7,0,2,28,3,8.3,True
John Henson,1,9,1,0,0,1,9.8,True
John Henson,4,6,1,0,0,1,12.4,True
John Henson,3,4,1,0,0,1,8.7,True
John Henson,2,7,1,0,0,1,11.9,True
John Henson,4,7,1,0,0,1,7.4,True
John Henson,3,3,1,0,0,1,3.4,True
John Henson,4,10,1,0,0,1,16.6,True
John Henson,2,10,1,0,0,1,19.0,True
John Henson,1,0,1,0,0,1,17.5,True
John Henson,1,5,1,0,0,1,13.5,True
John Henson,3,0,1,0,0,1,2.1,True
John Henson,3,5,1,0,0,1,17.5,True
John Henson,2,0,1,0,0,1,20.2,True
John Henson,4,1,1,0,0,1,14.0,True
