name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
John Lucas III,2,5,1,0,-2,4,18.2,True
John Lucas III,4,2,1,1,0,17,2.9,True
John Lucas III,4,8,1,0,0,9,9.2,True
John Lucas III,2,11,1,17,173,12,10.8,True
John Lucas III,4,10,1,12,118,34,4.3,True
John Lucas III,4,8,0,17,170,11,3.2,True
John Lucas III,4,9,1,13,122,58,3.3,True
John Lucas III,1,0,0,19,165,99,6.0,True
John Lucas III,4,9,1,9,-84,42,13.1,True
John Lucas III,4,1,1,8,67,47,3.2,True
John Lucas III,4,8,0,0,0,4,19.5,True
John Lucas III,4,11,1,5,-43,36,9.3,True
John Lucas III,3,0,1,7,70,36,8.0,True
John Lucas III,4,4,1,20,0,209,9.8,True
John Lucas III,4,1,0,15,83,132,12.7,True
John Lucas III,4,8,0,20,-141,145,15.8,True
John Lucas III,2,0,0,39,140,373,0.0,False
John Lucas III,1,0,1,14,45,138,6.2,True
John Lucas III,4,10,0,8,20,85,14.7,True
John Lucas III,2,9,0,16,-97,135,16.3,True
John Lucas III,4,10,1,16,132,99,15.6,True
John Lucas III,2,6,1,23,-229,30,12.0,False
John Lucas III,2,0,1,34,1,347,0.0,False
John Lucas III,4,11,1,18,-101,151,8.6,True
John Lucas III,1,0,0,16,162,7,0.0,True
John Lucas III,4,8,0,8,73,36,15.2,True
John Lucas III,4,7,0,26,-198,173,11.4,False
John Lucas III,3,3,1,11,0,118,9.2,True
John Lucas III,3,1,1,18,-106,149,14.8,True
John Lucas III,1,0,0,21,-65,209,7.0,True
John Lucas III,2,10,1,25,217,135,22.0,False
John Lucas III,1,0,0,26,26,268,0.0,False
John Lucas III,3,0,0,25,-199,167,5.3,False
John Lucas III,1,1,1,15,151,6,0.5,True
John Lucas III,4,6,0,19,-16,195,16.4,True
John Lucas III,3,4,1,19,182,69,12.8,True
John Lucas III,4,0,1,29,111,272,2.0,False
John Lucas III,2,4,1,19,-171,99,15.8,True
John Lucas III,4,1,1,17,140,110,12.3,True
John Lucas III,4,5,1,13,-130,14,3.2,True
John Lucas III,2,3,0,23,-235,47,3.0,False
John Lucas III,3,7,0,26,102,249,16.8,False
John Lucas III,3,3,0,20,187,88,13.5,True
John Lucas III,1,3,0,25,136,219,0.7,False
John Lucas III,4,4,1,20,36,201,12.9,True
John Lucas III,2,6,0,22,-228,7,10.9,False
John Lucas III,4,9,1,16,72,145,14.4,True
John Lucas III,4,10,1,20,-81,192,4.0,True
John Lucas III,3,0,1,17,-92,154,0.0,True
John Lucas III,2,5,1,15,105,118,11.7,True
John Lucas III,2,8,1,26,-161,209,12.2,False
John Lucas III,3,2,1,26,-171,197,20.0,False
John Lucas III,4,7,1,18,122,143,16.9,True
John Lucas III,4,8,0,25,-18,250,13.0,False
John Lucas III,2,11,0,19,106,164,15.6,True
John Lucas III,4,8,0,5,51,7,10.2,True
John Lucas III,4,6,0,27,-38,269,13.1,False
John Lucas III,2,10,0,9,77,56,5.9,True
John Lucas III,3,3,0,15,-150,36,14.6,True
John Lucas III,3,0,0,10,69,80,0.0,True
John Lucas III,4,3,0,7,13,71,2.4,True
John Lucas III,2,4,1,14,144,20,24.0,True
John Lucas III,4,2,0,19,-15,190,10.0,True
John Lucas III,4,10,0,26,133,227,13.0,False
John Lucas III,4,0,0,14,140,20,0.0,True
John Lucas III,4,6,0,18,-141,121,12.7,True
John Lucas III,2,8,1,26,163,205,8.8,False
John Lucas III,1,0,0,37,67,364,0.0,False
John Lucas III,1,4,0,16,97,138,6.0,True
John Lucas III,1,0,0,24,137,207,0.0,False
John Lucas III,2,7,0,25,-106,229,10.4,False
John Lucas III,4,10,1,21,-54,205,6.0,True
John Lucas III,4,5,0,5,12,52,1.4,True
John Lucas III,2,7,0,10,-65,85,2.8,True
John Lucas III,4,1,1,27,65,269,18.5,False
John Lucas III,2,4,1,20,182,83,15.0,True
John Lucas III,2,6,1,19,171,86,9.0,True
John Lucas III,2,9,0,25,63,247,9.5,False
John Lucas III,4,0,0,25,-116,224,12.0,False
John Lucas III,2,3,0,24,-130,213,10.8,False
John Lucas III,3,0,0,4,-30,31,14.5,True
John Lucas III,2,11,0,15,116,105,6.0,True
John Lucas III,1,0,1,17,-70,157,0.0,True
John Lucas III,4,8,0,25,51,252,5.5,False
John Lucas III,3,3,0,13,-139,9,2.1,True
John Lucas III,2,10,0,6,-45,45,19.1,True
John Lucas III,2,10,0,20,136,148,11.8,True
John Lucas III,2,7,0,19,157,115,17.3,True
John Lucas III,4,11,0,13,72,118,2.2,True
John Lucas III,4,8,0,24,-198,146,4.6,False
John Lucas III,4,8,1,23,-231,25,12.4,False
John Lucas III,4,8,0,16,111,118,10.0,True
John Lucas III,4,10,0,14,146,31,15.9,True
John Lucas III,4,9,0,20,192,71,11.7,True
John Lucas III,4,10,0,4,36,19,20.5,True
John Lucas III,2,7,0,5,12,55,6.2,True
John Lucas III,2,7,0,29,56,287,3.3,False
John Lucas III,2,11,0,20,173,107,14.9,True
John Lucas III,1,0,0,17,34,176,6.6,True
John Lucas III,4,4,0,2,20,7,7.0,True
John Lucas III,4,9,0,2,2,25,8.3,True
John Lucas III,2,8,0,2,22,18,11.4,True
John Lucas III,2,8,1,0,-2,1,21.2,True
John Lucas III,1,2,0,16,168,1,12.8,True
