name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jordan Clarkson,4,3,1,0,0,1,20.2,True
Jordan Clarkson,1,3,1,0,0,1,24.0,True
Jordan Clarkson,1,2,1,0,0,1,24.0,True
Jordan Clarkson,2,11,1,0,0,4,14.0,True
Jordan Clarkson,1,10,1,8,84,19,1.7,True
Jordan Clarkson,2,1,1,4,32,26,0.0,True
Jordan Clarkson,3,8,1,0,0,1,19.4,True
Jordan Clarkson,1,6,1,0,0,1,0.0,True
Jordan Clarkson,4,0,1,1,1,19,22.3,True
Jordan Clarkson,4,1,1,0,1,7,19.8,True
Jordan Clarkson,3,7,1,0,4,9,14.4,True
Jordan Clarkson,1,1,1,2,-12,18,0.0,True
Jordan Clarkson,5,0,1,1,9,-5,14.5,True
Jordan Clarkson,1,7,1,0,-3,8,22.0,True
Jordan Clarkson,1,8,1,1,12,3,23.1,True
Jordan Clarkson,2,0,0,4,40,25,6.1,True
Jordan Clarkson,2,10,0,4,29,31,8.7,True
Jordan Clarkson,1,4,0,16,0,165,15.0,True
Jordan Clarkson,4,7,0,4,-40,14,4.2,True
Jordan Clarkson,5,2,0,8,78,33,5.3,True
Jordan Clarkson,1,10,1,1,-15,8,15.0,True
Jordan Clarkson,3,7,1,1,4,12,16.0,True
Jordan Clarkson,3,8,0,3,22,33,20.6,True
Jordan Clarkson,2,2,1,1,1,17,20.6,True
Jordan Clarkson,1,10,1,0,2,7,20.0,True
Jordan Clarkson,1,0,1,2,-25,14,0.0,True
Jordan Clarkson,2,0,1,2,19,13,0.0,True
Jordan Clarkson,1,7,1,2,18,15,14.0,True
Jordan Clarkson,1,10,1,0,9,-1,16.0,True
Jordan Clarkson,1,3,1,1,12,13,0.0,True
Jordan Clarkson,3,0,1,1,-15,12,10.3,True
Jordan Clarkson,3,7,1,1,11,2,18.8,True
Jordan Clarkson,2,0,0,2,-21,3,5.3,True
Jordan Clarkson,3,5,1,1,11,5,5.5,True
Jordan Clarkson,3,1,1,2,23,4,4.3,True
Jordan Clarkson,4,3,0,1,13,15,20.8,True
Jordan Clarkson,1,2,1,1,14,10,10.9,True
Jordan Clarkson,4,11,1,1,15,11,15.6,True
Jordan Clarkson,3,7,1,2,-16,22,21.0,True
Jordan Clarkson,2,3,1,2,-23,6,1.8,True
Jordan Clarkson,1,2,1,2,-2,22,0.0,True
Jordan Clarkson,3,5,1,1,9,11,0.0,True
Jordan Clarkson,3,7,1,2,0,22,0.0,True
Jordan Clarkson,3,0,1,1,10,4,5.0,True
Jordan Clarkson,2,0,0,3,23,25,0.0,True
Jordan Clarkson,1,8,1,0,-7,0,0.0,True
Jordan Clarkson,4,6,1,1,2,17,18.5,True
Jordan Clarkson,2,0,1,1,9,7,0.0,True
Jordan Clarkson,3,7,0,3,25,24,9.6,True
Jordan Clarkson,4,0,1,1,15,-2,20.6,True
Jordan Clarkson,1,8,1,1,-8,7,15.2,True
Jordan Clarkson,4,0,1,1,-2,11,0.0,True
Jordan Clarkson,4,2,1,2,2,25,15.7,True
Jordan Clarkson,2,6,0,2,-9,27,10.2,True
Jordan Clarkson,4,4,1,1,-10,11,15.0,True
Jordan Clarkson,2,3,0,2,-23,11,15.9,True
