name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Josh McRoberts,2,7,1,0,0,1,22.0,True
Josh McRoberts,2,7,1,3,37,11,3.1,True
Josh McRoberts,2,9,1,3,34,11,8.7,True
Josh McRoberts,3,0,1,0,0,1,5.6,True
Josh McRoberts,2,10,1,0,2,-3,15.5,True
Josh McRoberts,4,10,1,0,-5,0,7.7,True
Josh McRoberts,4,7,1,2,20,15,14.9,True
Josh McRoberts,3,3,1,1,6,11,13.7,True
Josh McRoberts,2,8,1,1,12,1,15.1,True
Josh McRoberts,1,9,1,0,0,1,9.5,True
Josh McRoberts,1,8,1,0,0,1,14.7,True
Josh McRoberts,1,11,1,0,0,1,8.4,True
Josh McRoberts,2,10,1,0,0,1,12.0,True
Josh McRoberts,3,4,1,4,-41,17,6.5,True
Josh McRoberts,2,11,0,5,42,41,5.1,True
Josh McRoberts,2,10,1,24,-4,244,18.0,False
Josh McRoberts,2,0,1,24,-19,246,10.0,False
Josh McRoberts,2,8,1,24,-149,194,8.3,False
Josh McRoberts,2,7,1,25,-100,233,5.2,False
Josh McRoberts,1,4,1,15,-103,112,12.1,True
Josh McRoberts,1,8,1,25,151,209,3.3,False
Josh McRoberts,3,3,1,25,-105,236,6.9,False
Josh McRoberts,1,3,1,24,72,238,9.2,False
Josh McRoberts,2,5,1,8,-7,85,9.0,True
Josh McRoberts,4,6,1,25,212,142,2.9,False
Josh McRoberts,1,1,0,20,130,156,3.7,True
Josh McRoberts,2,7,0,24,28,247,7.5,False
Josh McRoberts,4,7,0,28,-150,239,11.1,False
Josh McRoberts,1,1,0,27,-10,276,5.7,False
Josh McRoberts,3,0,0,25,160,194,4.6,False
Josh McRoberts,2,9,0,24,-112,217,11.0,False
Josh McRoberts,4,11,0,16,-123,112,6.8,True
Josh McRoberts,3,11,0,25,-78,241,3.0,False
Josh McRoberts,3,4,0,5,53,7,12.1,True
Josh McRoberts,2,10,0,25,54,252,6.3,False
Josh McRoberts,4,7,0,25,-183,172,8.0,False
Josh McRoberts,2,11,0,10,103,25,3.7,True
Josh McRoberts,2,10,0,24,-16,241,4.9,False
Josh McRoberts,4,11,0,4,34,28,9.0,True
Josh McRoberts,2,7,0,26,-57,258,10.3,False
Josh McRoberts,1,0,0,25,211,138,3.1,False
Josh McRoberts,2,7,0,19,-112,159,6.4,True
Josh McRoberts,1,4,1,0,-7,3,6.3,True
Josh McRoberts,4,9,0,2,23,-2,9.0,True
Josh McRoberts,2,11,0,0,1,6,10.9,True
Josh McRoberts,4,3,0,1,13,-5,16.3,True
Josh McRoberts,3,1,0,2,28,6,13.4,True
Josh McRoberts,4,9,0,2,13,17,6.0,True
Josh McRoberts,1,5,0,1,-10,9,6.9,True
Josh McRoberts,1,4,0,2,6,23,19.6,True
Josh McRoberts,3,0,1,0,4,0,20.2,True
Josh McRoberts,3,7,1,0,0,1,21.3,True
Josh McRoberts,4,3,1,0,6,-3,16.3,True
