name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kelly Olynyk,2,8,1,0,0,1,15.0,True
Kelly Olynyk,1,5,1,2,21,0,13.0,True
Kelly Olynyk,3,3,1,2,28,-2,19.0,True
Kelly Olynyk,1,4,1,0,0,1,16.4,True
Kelly Olynyk,4,9,1,0,0,1,15.0,True
Kelly Olynyk,3,9,1,0,0,1,20.3,True
Kelly Olynyk,4,11,1,0,0,1,18.7,True
Kelly Olynyk,4,6,1,0,0,-2,20.4,True
Kelly Olynyk,3,9,1,1,10,-5,9.9,True
Kelly Olynyk,3,0,1,2,-4,22,8.5,True
Kelly Olynyk,4,0,1,0,6,0,5.1,True
Kelly Olynyk,1,9,1,2,20,1,15.2,True
Kelly Olynyk,2,3,1,0,2,9,11.4,True
Kelly Olynyk,5,0,1,3,24,20,9.4,True
Kelly Olynyk,4,11,0,2,23,-2,4.5,True
Kelly Olynyk,3,0,1,2,26,3,15.5,True
Kelly Olynyk,2,5,0,4,36,31,12.0,True
Kelly Olynyk,4,5,0,3,9,37,10.6,True
Kelly Olynyk,2,8,0,4,2,44,20.5,True
Kelly Olynyk,1,2,1,4,42,1,1.7,True
Kelly Olynyk,3,1,1,6,58,26,13.0,True
Kelly Olynyk,2,0,1,2,28,0,17.6,True
Kelly Olynyk,2,9,1,2,24,-2,13.4,True
Kelly Olynyk,4,10,1,1,-19,0,13.9,True
Kelly Olynyk,4,8,0,2,-24,4,21.4,True
Kelly Olynyk,2,11,0,1,-5,14,10.3,True
Kelly Olynyk,2,1,0,1,13,3,20.4,True
Kelly Olynyk,1,0,1,0,6,-3,0.0,True
Kelly Olynyk,2,9,1,1,-8,14,17.9,True
Kelly Olynyk,1,0,1,2,18,14,0.0,True
Kelly Olynyk,3,3,0,0,-4,3,13.0,True
Kelly Olynyk,2,2,1,0,7,-3,21.0,True
Kelly Olynyk,4,3,0,1,15,3,9.4,True
Kelly Olynyk,3,4,0,1,-15,1,11.0,True
Kelly Olynyk,1,0,0,2,-11,17,16.4,True
Kelly Olynyk,4,9,1,0,6,4,1.4,True
Kelly Olynyk,1,0,1,2,-27,0,13.6,True
Kelly Olynyk,1,9,1,1,-10,3,14.4,True
Kelly Olynyk,1,2,0,0,-5,4,7.1,True
Kelly Olynyk,3,2,1,2,21,9,10.2,True
Kelly Olynyk,1,2,0,3,32,7,3.9,True
Kelly Olynyk,4,8,0,2,-27,7,5.0,True
Kelly Olynyk,1,6,1,0,9,-3,10.2,True
Kelly Olynyk,1,0,1,2,20,14,0.0,True
Kelly Olynyk,2,7,1,0,-4,0,13.5,True
Kelly Olynyk,4,9,1,0,-4,0,6.0,True
Kelly Olynyk,4,7,1,1,15,4,14.8,True
Kelly Olynyk,1,3,1,1,-16,0,18.0,True
Kelly Olynyk,2,10,1,0,0,1,12.4,True
Kelly Olynyk,2,9,1,0,0,1,20.1,True
Kelly Olynyk,1,1,1,0,0,1,10.4,True
Kelly Olynyk,3,10,1,0,0,1,19.1,True
Kelly Olynyk,2,8,1,0,0,1,21.5,True
Kelly Olynyk,4,0,1,0,0,1,0.0,True
Kelly Olynyk,4,7,1,0,0,1,18.0,True
Kelly Olynyk,4,9,1,0,0,1,10.0,True
Kelly Olynyk,3,7,1,0,0,1,20.7,True
Kelly Olynyk,2,9,1,0,0,1,14.2,True
Kelly Olynyk,3,4,1,0,0,1,17.0,True
Kelly Olynyk,5,2,0,8,42,74,15.4,True
Kelly Olynyk,4,11,1,16,163,28,4.0,True
Kelly Olynyk,3,2,1,14,-147,0,13.0,True
Kelly Olynyk,3,0,1,14,141,7,0.0,True
Kelly Olynyk,3,4,1,11,-49,104,3.0,True
Kelly Olynyk,3,2,1,12,97,80,9.1,True
Kelly Olynyk,1,2,0,13,-106,80,2.0,True
Kelly Olynyk,3,8,1,6,-67,11,12.9,True
Kelly Olynyk,1,1,0,13,-133,-10,12.2,True
Kelly Olynyk,3,1,0,11,103,44,13.0,True
Kelly Olynyk,1,10,1,8,50,72,12.9,True
Kelly Olynyk,2,0,0,0,7,-6,20.4,True
Kelly Olynyk,2,9,0,3,-10,37,17.2,True
Kelly Olynyk,2,0,1,2,28,-3,0.0,True
Kelly Olynyk,1,2,1,2,-11,17,8.7,True
Kelly Olynyk,3,3,1,2,-7,19,13.4,True
Kelly Olynyk,2,9,1,0,-4,0,17.3,True
Kelly Olynyk,3,6,1,0,-4,3,8.0,True
Kelly Olynyk,1,1,1,0,-8,0,12.9,True
Kelly Olynyk,1,2,1,2,4,26,10.9,True
Kelly Olynyk,1,5,0,2,-11,17,24.0,True
Kelly Olynyk,3,0,1,1,-10,15,15.6,True
Kelly Olynyk,3,3,1,11,-18,118,11.5,True
Kelly Olynyk,3,1,1,4,45,0,14.0,True
Kelly Olynyk,2,9,0,7,-51,50,20.5,True
Kelly Olynyk,1,1,1,4,-10,47,15.4,True
Kelly Olynyk,3,3,0,6,-67,-6,5.8,True
Kelly Olynyk,3,3,1,5,48,23,16.6,True
Kelly Olynyk,4,7,1,6,-64,22,9.0,True
Kelly Olynyk,1,0,0,3,-8,39,16.5,True
Kelly Olynyk,4,0,1,5,51,23,23.7,True
Kelly Olynyk,3,10,1,5,58,14,16.6,True
Kelly Olynyk,2,4,1,9,50,80,17.6,True
Kelly Olynyk,2,0,1,25,39,249,19.2,False
Kelly Olynyk,1,7,1,24,182,165,18.8,False
Kelly Olynyk,2,2,1,13,-108,86,5.0,True
Kelly Olynyk,1,2,1,19,-199,1,9.0,True
Kelly Olynyk,4,10,0,24,143,200,18.0,False
Kelly Olynyk,3,0,0,24,-116,219,13.0,False
Kelly Olynyk,3,2,1,25,95,239,16.3,False
Kelly Olynyk,3,1,0,23,233,4,16.3,False
Kelly Olynyk,2,2,0,15,-155,25,13.3,True
Kelly Olynyk,1,5,0,26,146,216,18.7,False
Kelly Olynyk,3,4,1,25,-162,200,14.0,False
Kelly Olynyk,4,8,0,26,155,213,5.4,False
Kelly Olynyk,3,0,1,24,9,242,21.1,False
Kelly Olynyk,1,5,1,17,177,17,17.0,True
Kelly Olynyk,4,0,0,25,70,249,22.8,False
Kelly Olynyk,3,4,1,25,-215,129,13.6,False
Kelly Olynyk,3,2,1,17,119,129,11.6,True
Kelly Olynyk,1,0,1,15,67,142,10.2,True
Kelly Olynyk,4,11,1,22,228,19,14.8,False
Kelly Olynyk,4,10,0,19,-196,-6,4.9,True
Kelly Olynyk,4,9,0,6,7,63,12.9,True
Kelly Olynyk,1,4,1,25,-224,115,8.8,False
Kelly Olynyk,3,3,0,25,-212,138,10.6,False
Kelly Olynyk,1,1,0,24,-164,183,5.6,False
Kelly Olynyk,2,8,1,24,48,244,6.6,False
Kelly Olynyk,1,0,0,24,-109,220,0.0,False
Kelly Olynyk,2,5,1,5,47,33,18.6,True
Kelly Olynyk,1,2,0,16,-158,41,11.0,True
Kelly Olynyk,1,3,0,22,-166,149,14.9,True
Kelly Olynyk,2,5,0,23,236,17,23.2,False
Kelly Olynyk,2,10,0,14,149,3,5.3,True
Kelly Olynyk,4,9,0,24,184,167,15.9,False
Kelly Olynyk,1,0,0,3,34,19,8.4,True
Kelly Olynyk,3,7,1,15,-120,101,10.7,True
Kelly Olynyk,4,11,0,24,-10,241,15.3,False
Kelly Olynyk,4,10,0,24,174,179,13.7,False
Kelly Olynyk,2,0,0,4,43,11,10.2,True
Kelly Olynyk,2,10,0,27,-114,250,17.6,False
Kelly Olynyk,3,4,0,24,192,157,9.0,False
Kelly Olynyk,1,1,0,22,226,9,14.1,False
Kelly Olynyk,2,1,0,14,-149,1,23.3,True
Kelly Olynyk,4,0,0,26,15,261,0.0,False
Kelly Olynyk,4,0,0,25,-32,250,15.8,False
Kelly Olynyk,3,2,0,29,-93,276,21.0,False
Kelly Olynyk,2,11,0,20,133,156,13.6,True
Kelly Olynyk,1,1,0,23,-237,-11,17.4,False
Kelly Olynyk,1,10,0,16,47,162,15.1,True
Kelly Olynyk,2,10,0,7,-13,78,23.2,True
Kelly Olynyk,2,6,0,18,-81,168,10.7,True
Kelly Olynyk,2,1,1,9,77,48,17.5,True
Kelly Olynyk,3,10,1,12,69,99,5.3,True
Kelly Olynyk,3,7,0,22,-228,17,19.0,False
Kelly Olynyk,3,0,0,25,29,258,15.2,False
Kelly Olynyk,3,9,1,25,147,206,16.5,False
Kelly Olynyk,3,8,1,24,-134,209,11.9,False
Kelly Olynyk,1,6,0,22,228,-2,16.8,False
Kelly Olynyk,3,0,0,19,140,140,9.8,True
Kelly Olynyk,4,0,0,20,189,67,11.6,True
Kelly Olynyk,1,8,0,12,-105,64,13.0,True
Kelly Olynyk,4,6,0,24,-163,184,12.5,False
Kelly Olynyk,2,4,0,3,-30,19,12.5,True
Kelly Olynyk,1,0,0,25,143,208,11.7,False
Kelly Olynyk,2,7,0,8,-71,42,0.5,True
Kelly Olynyk,1,4,0,25,-109,228,15.0,False
Kelly Olynyk,2,8,0,25,59,250,12.8,False
Kelly Olynyk,1,0,0,16,140,88,13.8,True
Kelly Olynyk,2,10,0,6,53,30,9.3,True
Kelly Olynyk,4,10,0,24,40,244,16.0,False
Kelly Olynyk,2,9,1,25,72,241,16.8,False
Kelly Olynyk,3,4,0,24,0,241,17.4,False
Kelly Olynyk,3,8,0,11,-111,37,6.0,True
Kelly Olynyk,1,0,1,25,-116,225,18.4,False
Kelly Olynyk,4,11,1,25,-117,224,14.1,False
Kelly Olynyk,4,10,1,18,144,118,11.6,True
Kelly Olynyk,4,9,0,25,95,233,16.1,False
Kelly Olynyk,2,6,0,25,209,154,18.9,False
Kelly Olynyk,4,7,0,25,-82,238,5.4,False
Kelly Olynyk,4,8,0,13,106,88,13.5,True
Kelly Olynyk,2,11,0,24,-86,233,12.9,False
Kelly Olynyk,1,2,0,11,-100,64,12.0,True
Kelly Olynyk,3,9,0,11,72,85,15.3,True
Kelly Olynyk,2,8,0,25,209,151,19.0,False
Kelly Olynyk,1,1,0,24,179,170,22.3,False
Kelly Olynyk,4,10,0,19,-8,197,6.1,True
Kelly Olynyk,2,10,0,24,-221,116,5.7,False
Kelly Olynyk,2,4,0,20,100,181,10.8,True
Kelly Olynyk,4,6,0,14,-19,145,12.0,True
Kelly Olynyk,2,6,0,21,53,206,16.2,True
Kelly Olynyk,3,4,0,23,239,14,17.4,False
Kelly Olynyk,1,4,0,16,83,138,8.1,True
Kelly Olynyk,1,10,0,6,26,58,7.8,True
Kelly Olynyk,1,5,1,19,-7,192,14.5,True
Kelly Olynyk,2,8,1,24,-150,194,12.6,False
Kelly Olynyk,2,7,1,24,-136,208,17.6,False
Kelly Olynyk,4,2,1,24,29,239,17.3,False
Kelly Olynyk,4,8,0,4,-38,15,7.7,True
Kelly Olynyk,2,8,0,24,-86,225,13.7,False
Kelly Olynyk,2,3,0,25,-103,238,9.6,False
Kelly Olynyk,4,8,0,3,-19,25,12.2,True
Kelly Olynyk,1,2,0,6,-68,15,17.0,True
Kelly Olynyk,2,9,0,24,-13,246,14.3,False
Kelly Olynyk,3,10,0,3,13,31,7.8,True
Kelly Olynyk,3,11,0,3,34,11,13.1,True
Kelly Olynyk,3,7,0,23,-234,-13,16.1,False
Kelly Olynyk,1,10,0,17,-166,61,8.5,True
Kelly Olynyk,3,1,0,26,116,239,18.4,False
Kelly Olynyk,4,1,0,26,91,246,18.3,False
Kelly Olynyk,2,2,0,26,-19,263,0.0,False
Kelly Olynyk,4,3,0,5,0,58,14.4,True
Kelly Olynyk,2,5,0,24,-218,105,5.5,False
Kelly Olynyk,3,4,0,24,203,134,6.2,False
Kelly Olynyk,3,0,0,3,-34,14,0.0,True
Kelly Olynyk,4,7,0,24,-45,239,18.2,False
