name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kendrick Perkins,4,4,1,0,0,1,22.0,True
Kendrick Perkins,1,4,1,1,15,11,14.4,True
Kendrick Perkins,4,3,1,0,0,1,22.6,True
Kendrick Perkins,4,0,1,0,0,1,7.7,True
Kendrick Perkins,4,1,1,0,0,1,8.0,True
Kendrick Perkins,2,7,1,0,0,1,13.4,True
Kendrick Perkins,4,3,0,10,106,17,14.2,True
Kendrick Perkins,4,0,0,3,34,-16,9.4,True
Kendrick Perkins,4,1,0,8,39,74,0.1,True
Kendrick Perkins,4,4,1,3,-5,36,22.8,True
Kendrick Perkins,4,8,1,9,86,33,5.2,True
Kendrick Perkins,4,2,1,10,-98,31,24.0,True
Kendrick Perkins,4,11,0,5,2,58,5.0,True
Kendrick Perkins,4,5,0,4,32,35,6.1,True
Kendrick Perkins,4,4,0,6,-48,47,7.3,True
Kendrick Perkins,4,9,0,5,-24,47,5.3,True
Kendrick Perkins,4,10,1,1,-8,-11,5.6,True
Kendrick Perkins,4,5,1,5,-38,34,7.0,True
Kendrick Perkins,4,2,1,14,99,104,2.2,True
Kendrick Perkins,4,10,0,4,-21,42,5.8,True
Kendrick Perkins,4,11,0,3,-7,37,8.3,True
Kendrick Perkins,4,2,0,3,21,30,6.1,True
Kendrick Perkins,4,0,0,20,-67,189,13.4,True
Kendrick Perkins,4,0,0,5,-54,1,0.0,True
Kendrick Perkins,4,0,1,5,20,48,12.4,True
Kendrick Perkins,5,1,0,5,7,56,10.6,True
Kendrick Perkins,2,9,0,4,-41,14,14.1,True
Kendrick Perkins,4,1,1,5,-7,56,3.0,True
Kendrick Perkins,4,3,0,0,6,4,12.7,True
Kendrick Perkins,4,3,1,1,6,9,3.0,True
Kendrick Perkins,4,2,1,1,-2,14,3.1,True
Kendrick Perkins,4,5,1,0,7,0,5.9,True
Kendrick Perkins,4,3,0,0,4,7,0.2,True
Kendrick Perkins,2,1,1,0,-2,6,8.2,True
Kendrick Perkins,4,8,0,2,20,14,23.0,True
Kendrick Perkins,2,2,1,0,0,-3,10.1,True
Kendrick Perkins,4,6,0,1,6,11,4.8,True
Kendrick Perkins,5,2,0,1,-13,-3,12.0,True
Kendrick Perkins,4,10,1,7,31,72,12.5,True
Kendrick Perkins,4,1,0,1,-2,17,0.0,True
Kendrick Perkins,4,10,0,2,-11,19,6.6,True
Kendrick Perkins,2,10,0,8,81,14,8.6,True
Kendrick Perkins,4,6,1,0,0,1,13.5,True
Kendrick Perkins,1,1,1,0,0,1,4.7,True
Kendrick Perkins,2,10,1,0,0,1,9.2,True
Kendrick Perkins,2,5,1,0,0,1,18.9,True
Kendrick Perkins,1,3,1,0,0,1,12.5,True
Kendrick Perkins,1,0,1,0,0,1,1.8,True
Kendrick Perkins,1,1,1,0,0,1,0.0,True
Kendrick Perkins,2,9,1,0,0,1,6.6,True
Kendrick Perkins,4,11,0,0,0,1,14.0,True
Kendrick Perkins,4,8,1,0,0,1,7.4,True
Kendrick Perkins,2,10,0,0,0,1,19.3,True
Kendrick Perkins,3,1,0,7,-59,47,12.7,True
Kendrick Perkins,3,2,0,6,62,4,15.2,True
Kendrick Perkins,2,6,0,8,-46,67,14.0,True
Kendrick Perkins,2,10,0,4,42,20,12.4,True
Kendrick Perkins,2,9,1,6,20,67,18.2,True
Kendrick Perkins,1,0,0,4,7,48,10.7,True
Kendrick Perkins,1,0,0,6,-30,58,14.1,True
Kendrick Perkins,2,5,0,6,32,58,17.8,True
Kendrick Perkins,4,10,0,5,21,53,14.3,True
Kendrick Perkins,3,0,1,4,24,37,14.0,True
Kendrick Perkins,4,9,1,3,0,37,12.3,True
Kendrick Perkins,1,2,1,5,48,22,3.5,True
Kendrick Perkins,4,9,0,5,32,39,14.5,True
Kendrick Perkins,1,4,0,3,15,37,11.7,True
Kendrick Perkins,1,1,0,3,0,30,3.0,True
Kendrick Perkins,2,9,0,3,0,39,14.5,True
