name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kent Bazemore,3,0,1,2,10,19,0.0,True
Kent Bazemore,4,9,0,0,0,1,14.0,True
Kent Bazemore,2,1,1,0,0,1,19.6,True
Kent Bazemore,3,2,1,0,-8,3,20.5,True
Kent Bazemore,1,3,1,0,4,-5,20.5,True
Kent Bazemore,4,9,0,2,21,3,18.9,True
Kent Bazemore,4,9,1,1,-11,1,16.1,True
Kent Bazemore,4,4,1,6,-38,53,13.6,True
Kent Bazemore,2,2,1,0,0,1,21.1,True
Kent Bazemore,4,4,1,1,-10,3,19.0,True
Kent Bazemore,1,2,1,1,-15,11,21.0,True
Kent Bazemore,2,3,1,2,2,28,9.8,True
Kent Bazemore,2,9,1,3,34,1,14.3,True
Kent Bazemore,4,6,0,5,-43,26,12.4,True
Kent Bazemore,3,2,0,3,32,19,17.2,True
Kent Bazemore,4,1,1,3,10,30,8.7,True
Kent Bazemore,1,0,0,3,-29,19,4.1,True
Kent Bazemore,4,1,1,5,28,42,5.5,True
Kent Bazemore,2,9,0,3,32,9,4.4,True
Kent Bazemore,4,11,0,3,-35,6,12.4,True
Kent Bazemore,3,3,0,6,-67,19,11.7,True
Kent Bazemore,2,5,1,7,-5,72,15.5,True
Kent Bazemore,1,0,1,1,15,0,2.9,True
Kent Bazemore,1,2,1,2,21,4,16.6,True
Kent Bazemore,3,0,1,0,-7,0,0.0,True
Kent Bazemore,4,1,1,1,-2,14,17.3,True
Kent Bazemore,1,3,1,2,23,17,4.3,True
Kent Bazemore,3,7,1,4,10,39,18.1,True
Kent Bazemore,2,4,1,2,-24,7,10.4,True
Kent Bazemore,4,7,1,1,1,-10,9.3,True
Kent Bazemore,2,11,1,1,12,4,12.6,True
Kent Bazemore,2,6,1,0,1,1,7.8,True
Kent Bazemore,2,9,1,0,6,6,5.2,True
Kent Bazemore,1,0,1,2,-5,25,11.9,True
Kent Bazemore,2,9,0,2,6,22,8.1,True
Kent Bazemore,2,2,1,0,-8,0,12.7,True
Kent Bazemore,1,4,0,3,-30,3,17.4,True
Kent Bazemore,4,8,1,1,-2,15,20.8,True
Kent Bazemore,4,6,1,1,-13,9,11.0,True
Kent Bazemore,2,8,0,1,-13,1,18.3,True
Kent Bazemore,1,9,0,3,-2,34,6.0,True
Kent Bazemore,1,5,0,1,-11,6,10.6,True
Kent Bazemore,2,4,1,1,-16,-5,19.4,True
Kent Bazemore,3,3,1,1,17,0,5.6,True
Kent Bazemore,4,2,1,2,21,0,10.7,True
Kent Bazemore,1,0,0,2,10,23,4.9,True
Kent Bazemore,4,2,0,0,0,9,4.6,True
Kent Bazemore,3,1,0,0,7,6,8.2,True
Kent Bazemore,4,5,0,0,-5,-3,8.0,True
Kent Bazemore,2,9,1,1,13,0,20.4,True
Kent Bazemore,2,5,0,0,1,1,5.0,True
Kent Bazemore,1,10,1,1,13,-11,19.2,True
Kent Bazemore,3,2,1,2,20,17,7.6,True
Kent Bazemore,4,0,0,1,18,-5,6.7,True
Kent Bazemore,2,7,0,4,36,20,3.9,True
Kent Bazemore,2,2,0,0,0,9,5.0,True
Kent Bazemore,2,2,0,0,6,4,11.2,True
Kent Bazemore,2,3,1,2,-25,8,0.0,True
Kent Bazemore,3,2,0,0,0,1,3.8,True
Kent Bazemore,4,7,1,0,0,1,13.8,True
Kent Bazemore,2,10,1,0,0,1,3.9,True
Kent Bazemore,2,0,1,0,0,1,2.1,True
Kent Bazemore,3,3,1,0,0,1,21.8,True
Kent Bazemore,4,11,1,0,0,1,20.9,True
Kent Bazemore,2,5,1,0,0,1,5.2,True
Kent Bazemore,4,0,1,0,0,1,22.0,True
Kent Bazemore,2,7,0,11,21,118,3.6,True
Kent Bazemore,2,3,0,13,-30,129,6.9,True
Kent Bazemore,2,8,0,9,-65,67,3.0,True
Kent Bazemore,2,7,0,3,-4,37,9.6,True
Kent Bazemore,2,8,1,4,39,31,10.1,True
Kent Bazemore,2,11,0,5,-52,19,9.2,True
Kent Bazemore,4,9,1,4,43,19,8.3,True
Kent Bazemore,1,3,1,7,42,60,17.9,True
Kent Bazemore,1,0,1,22,147,165,0.0,True
Kent Bazemore,4,5,0,16,23,160,11.5,True
Kent Bazemore,3,0,0,26,173,198,7.1,False
Kent Bazemore,2,3,0,26,70,258,15.5,False
Kent Bazemore,4,8,0,26,-133,227,3.5,False
Kent Bazemore,2,11,0,20,129,154,1.5,True
Kent Bazemore,2,5,0,3,6,31,13.2,True
Kent Bazemore,2,5,0,23,239,12,11.5,False
Kent Bazemore,4,8,0,6,59,30,7.0,True
Kent Bazemore,2,8,0,24,154,192,17.4,False
Kent Bazemore,4,4,0,25,124,219,3.9,False
Kent Bazemore,4,6,0,26,207,172,15.4,False
Kent Bazemore,4,1,0,11,-35,108,4.2,True
Kent Bazemore,1,5,0,5,47,34,18.6,True
Kent Bazemore,2,0,0,25,23,254,0.0,False
Kent Bazemore,2,9,1,25,-175,184,0.0,False
Kent Bazemore,2,1,0,4,20,36,10.0,True
Kent Bazemore,3,1,0,4,34,33,20.9,True
Kent Bazemore,4,11,1,23,233,26,16.2,False
Kent Bazemore,4,4,1,10,2,108,12.5,True
Kent Bazemore,4,2,0,10,86,66,6.3,True
Kent Bazemore,2,6,1,22,223,0,13.5,False
Kent Bazemore,2,4,1,23,-232,30,16.7,False
Kent Bazemore,2,5,1,24,230,75,15.1,False
Kent Bazemore,4,9,1,25,-215,137,6.0,False
Kent Bazemore,4,0,1,22,-228,25,15.8,False
Kent Bazemore,2,5,1,24,103,227,14.1,False
Kent Bazemore,2,4,1,20,-205,31,8.5,True
Kent Bazemore,1,0,0,24,177,172,0.0,False
Kent Bazemore,2,10,0,22,226,-17,11.7,False
Kent Bazemore,3,3,1,23,236,26,14.0,False
Kent Bazemore,3,11,0,17,-19,172,9.5,True
Kent Bazemore,2,6,1,25,-220,126,12.5,False
Kent Bazemore,2,11,0,22,-228,25,9.0,False
Kent Bazemore,1,10,0,23,-235,1,8.0,False
Kent Bazemore,1,7,1,23,233,17,19.6,False
Kent Bazemore,1,5,1,23,237,11,18.6,False
Kent Bazemore,2,7,1,24,-82,236,13.0,False
Kent Bazemore,4,6,1,22,-228,-3,11.2,False
Kent Bazemore,1,4,0,23,-234,0,12.1,False
Kent Bazemore,3,4,0,24,-172,176,0.0,False
Kent Bazemore,4,9,1,26,-59,254,10.3,False
Kent Bazemore,3,10,1,26,-34,260,12.5,False
Kent Bazemore,1,0,0,28,29,283,0.0,False
Kent Bazemore,1,1,1,19,-169,96,7.9,True
Kent Bazemore,1,0,1,26,-179,195,15.7,False
Kent Bazemore,3,2,1,21,207,42,19.7,True
Kent Bazemore,4,4,1,6,36,55,12.6,True
Kent Bazemore,4,6,0,3,-21,25,11.0,True
Kent Bazemore,3,7,0,23,230,22,19.0,False
Kent Bazemore,4,0,0,23,-232,-3,14.6,False
Kent Bazemore,1,2,1,23,-231,20,5.9,False
Kent Bazemore,1,2,0,23,-229,25,7.0,False
Kent Bazemore,3,8,1,4,-25,41,10.5,True
Kent Bazemore,3,4,0,11,26,116,15.5,True
Kent Bazemore,4,5,0,23,-235,3,23.1,False
Kent Bazemore,1,0,1,24,-240,7,17.0,False
Kent Bazemore,2,5,0,24,155,184,11.7,False
Kent Bazemore,3,0,0,24,-153,192,1.2,False
Kent Bazemore,3,4,0,22,-229,-13,16.0,False
Kent Bazemore,2,7,0,22,218,37,7.1,True
Kent Bazemore,2,10,0,12,9,126,0.0,True
Kent Bazemore,4,4,0,22,226,17,12.3,False
Kent Bazemore,2,7,0,26,-157,211,16.2,False
Kent Bazemore,4,10,0,10,89,55,7.0,True
Kent Bazemore,3,2,0,23,230,-8,15.9,False
Kent Bazemore,4,4,1,24,-202,143,1.0,False
Kent Bazemore,2,9,0,24,-194,148,22.2,False
Kent Bazemore,3,3,0,25,171,195,13.0,False
Kent Bazemore,2,4,0,5,4,52,19.0,True
Kent Bazemore,1,11,0,8,-81,20,10.5,True
Kent Bazemore,1,2,1,25,-9,250,0.0,False
Kent Bazemore,2,5,1,11,-108,21,0.0,True
Kent Bazemore,1,0,0,25,-4,252,0.0,False
Kent Bazemore,3,7,0,3,8,33,10.2,True
Kent Bazemore,2,3,0,24,-218,104,0.0,False
Kent Bazemore,1,0,0,28,193,208,0.0,False
Kent Bazemore,3,0,0,25,4,250,18.0,False
Kent Bazemore,4,11,0,23,236,26,9.1,False
Kent Bazemore,4,7,1,23,231,53,20.7,False
Kent Bazemore,2,0,0,22,226,11,11.2,False
