name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kosta Koufos,1,3,1,0,0,1,12.7,True
Kosta Koufos,3,0,1,0,0,1,0.0,True
Kosta Koufos,4,6,1,0,2,0,17.0,True
Kosta Koufos,1,11,0,0,-4,3,14.2,True
Kosta Koufos,4,3,1,0,-2,9,15.6,True
Kosta Koufos,4,11,0,1,18,7,15.5,True
Kosta Koufos,4,9,1,1,6,11,14.1,True
Kosta Koufos,2,8,1,2,4,22,24.0,True
Kosta Koufos,1,1,1,1,1,17,16.8,True
Kosta Koufos,4,11,0,0,0,1,12.0,True
Kosta Koufos,2,9,1,0,0,1,12.6,True
Kosta Koufos,2,11,1,0,0,1,11.5,True
Kosta Koufos,4,8,0,0,0,1,12.3,True
Kosta Koufos,4,8,1,0,0,1,22.3,True
Kosta Koufos,2,6,1,0,0,1,13.3,True
Kosta Koufos,2,7,1,0,0,1,9.3,True
Kosta Koufos,2,7,1,0,0,1,17.3,True
Kosta Koufos,2,5,0,0,0,1,14.3,True
Kosta Koufos,3,3,1,0,0,1,23.6,True
Kosta Koufos,2,10,1,0,0,1,10.8,True
Kosta Koufos,2,10,1,0,0,1,8.6,True
Kosta Koufos,4,8,1,0,-4,1,11.7,True
Kosta Koufos,4,11,1,2,26,1,6.8,True
Kosta Koufos,4,9,1,0,1,6,15.5,True
Kosta Koufos,2,7,1,0,9,-2,14.9,True
Kosta Koufos,2,8,1,0,4,0,12.6,True
Kosta Koufos,1,0,1,0,0,-2,0.0,True
Kosta Koufos,1,2,1,0,-4,9,10.8,True
Kosta Koufos,2,11,0,4,24,33,10.0,True
Kosta Koufos,2,11,1,4,2,41,10.1,True
Kosta Koufos,4,9,1,11,-41,104,7.8,True
Kosta Koufos,4,5,1,5,20,52,10.5,True
Kosta Koufos,1,4,0,8,10,88,11.6,True
Kosta Koufos,2,6,1,7,-52,47,14.7,True
Kosta Koufos,4,9,1,5,-54,14,16.3,True
Kosta Koufos,2,10,1,4,34,30,14.7,True
Kosta Koufos,4,11,1,5,47,22,11.0,True
Kosta Koufos,1,0,1,2,21,11,12.8,True
Kosta Koufos,4,7,0,6,58,26,14.3,True
Kosta Koufos,2,9,0,10,6,107,4.7,True
Kosta Koufos,2,8,0,6,-56,37,5.6,True
Kosta Koufos,2,0,1,6,-11,63,18.8,True
Kosta Koufos,4,6,0,7,69,39,10.9,True
Kosta Koufos,1,9,1,6,2,63,2.3,True
Kosta Koufos,2,3,1,4,-24,41,13.4,True
Kosta Koufos,4,11,1,8,73,41,10.3,True
Kosta Koufos,4,10,1,9,70,67,3.4,True
Kosta Koufos,3,4,0,5,-2,55,7.3,True
Kosta Koufos,1,0,0,6,2,63,18.8,True
Kosta Koufos,1,0,0,4,-5,47,0.0,True
Kosta Koufos,2,11,1,9,-11,99,17.3,True
Kosta Koufos,4,8,1,4,4,48,7.8,True
Kosta Koufos,4,8,0,4,-4,45,15.7,True
Kosta Koufos,2,11,0,5,-10,56,15.1,True
Kosta Koufos,4,10,0,10,43,94,14.1,True
Kosta Koufos,2,9,0,11,51,104,6.8,True
Kosta Koufos,4,4,0,7,40,63,13.2,True
Kosta Koufos,2,6,0,4,12,44,17.4,True
Kosta Koufos,4,10,0,3,7,33,22.9,True
Kosta Koufos,2,3,0,8,-65,47,12.5,True
Kosta Koufos,2,7,0,7,34,71,6.3,True
Kosta Koufos,2,6,1,2,0,25,2.4,True
Kosta Koufos,4,4,0,3,29,25,11.5,True
Kosta Koufos,4,4,0,5,-30,44,6.1,True
Kosta Koufos,4,10,0,7,72,23,7.3,True
Kosta Koufos,4,11,1,8,-23,78,15.6,True
Kosta Koufos,2,11,0,10,59,86,10.7,True
Kosta Koufos,2,8,1,3,-34,17,24.0,True
Kosta Koufos,4,11,1,5,-29,42,13.4,True
Kosta Koufos,4,11,0,4,-8,45,20.6,True
Kosta Koufos,2,11,0,5,48,19,9.7,True
Kosta Koufos,2,8,0,10,-26,104,12.8,True
Kosta Koufos,3,3,0,7,67,26,14.4,True
Kosta Koufos,2,7,1,9,-65,74,16.3,True
Kosta Koufos,2,8,1,6,-48,39,23.7,True
Kosta Koufos,1,2,1,7,-3,71,8.6,True
Kosta Koufos,3,5,0,8,72,39,15.0,True
Kosta Koufos,1,2,0,11,-112,37,1.2,True
Kosta Koufos,2,7,1,4,-16,39,13.7,True
Kosta Koufos,2,6,1,3,6,36,4.1,True
Kosta Koufos,3,1,1,4,40,19,4.8,True
Kosta Koufos,4,8,1,6,9,60,11.1,True
Kosta Koufos,4,10,0,7,-68,34,7.0,True
Kosta Koufos,4,8,0,8,-32,82,8.9,True
Kosta Koufos,4,2,1,6,-41,44,7.1,True
Kosta Koufos,2,9,0,6,56,31,0.0,True
Kosta Koufos,1,0,0,12,54,113,12.1,True
Kosta Koufos,3,3,1,6,62,11,9.3,True
Kosta Koufos,3,7,1,6,-13,61,10.5,True
Kosta Koufos,2,8,0,5,23,55,9.0,True
Kosta Koufos,2,10,0,8,72,45,15.3,True
Kosta Koufos,4,3,1,6,69,11,18.4,True
Kosta Koufos,4,9,1,6,26,56,15.6,True
Kosta Koufos,2,10,0,6,-10,61,11.0,True
Kosta Koufos,4,7,1,6,-26,63,11.1,True
Kosta Koufos,3,0,1,5,51,9,24.0,True
Kosta Koufos,4,6,0,3,28,14,9.6,True
Kosta Koufos,4,6,0,4,-16,44,7.0,True
Kosta Koufos,4,7,0,7,61,47,8.7,True
Kosta Koufos,3,3,0,6,37,48,9.8,True
Kosta Koufos,2,5,1,7,-70,0,5.8,True
Kosta Koufos,4,8,0,4,-2,45,12.9,True
Kosta Koufos,2,8,0,5,26,47,13.8,True
Kosta Koufos,1,2,1,6,36,53,9.3,True
Kosta Koufos,2,10,0,4,-23,41,24.0,True
Kosta Koufos,4,9,0,7,72,34,7.2,True
Kosta Koufos,4,5,1,7,7,75,7.5,True
Kosta Koufos,4,9,0,4,-37,31,8.7,True
Kosta Koufos,2,7,0,6,-5,60,10.4,True
Kosta Koufos,4,9,1,6,-62,30,12.5,True
Kosta Koufos,2,8,0,6,-52,31,14.0,True
Kosta Koufos,2,5,0,5,-34,42,12.5,True
Kosta Koufos,2,10,0,5,-52,28,4.9,True
Kosta Koufos,4,8,1,6,0,67,22.3,True
Kosta Koufos,1,0,0,5,40,30,24.0,True
Kosta Koufos,1,0,1,6,59,19,9.7,True
Kosta Koufos,3,4,0,4,1,48,23.8,True
Kosta Koufos,2,10,1,7,2,75,9.4,True
Kosta Koufos,4,1,0,6,-7,66,11.9,True
Kosta Koufos,2,10,0,6,-8,66,8.0,True
Kosta Koufos,2,9,0,8,48,67,12.0,True
Kosta Koufos,2,0,0,6,2,63,0.0,True
Kosta Koufos,1,0,0,2,24,17,16.7,True
Kosta Koufos,2,8,0,5,0,55,11.7,True
Kosta Koufos,2,6,0,6,15,67,15.6,True
Kosta Koufos,4,8,1,11,114,36,8.0,True
Kosta Koufos,4,9,1,4,-21,39,8.0,True
Kosta Koufos,4,2,0,7,42,66,6.0,True
Kosta Koufos,2,5,0,8,65,50,13.0,True
Kosta Koufos,2,5,1,5,4,56,7.3,True
Kosta Koufos,2,4,1,3,0,37,10.7,True
Kosta Koufos,2,3,0,6,-60,31,12.4,True
Kosta Koufos,1,5,0,4,0,45,0.0,True
Kosta Koufos,2,0,1,6,-11,67,12.0,True
Kosta Koufos,4,7,0,8,37,75,15.9,True
Kosta Koufos,4,10,0,4,17,42,11.0,True
Kosta Koufos,2,6,1,4,-15,44,16.4,True
Kosta Koufos,2,10,1,14,2,148,16.0,True
Kosta Koufos,3,0,1,19,-144,129,6.9,True
Kosta Koufos,1,1,1,9,67,69,14.2,True
Kosta Koufos,2,8,1,19,-19,198,15.0,True
Kosta Koufos,2,7,1,13,-52,123,12.7,True
Kosta Koufos,2,2,1,5,1,56,1.4,True
Kosta Koufos,4,7,1,5,-37,42,10.9,True
Kosta Koufos,1,3,1,6,-8,60,12.4,True
Kosta Koufos,1,3,1,12,40,123,13.7,True
Kosta Koufos,4,11,1,10,-100,14,5.4,True
Kosta Koufos,4,1,1,20,0,200,15.0,True
Kosta Koufos,2,9,1,5,47,23,23.2,True
Kosta Koufos,1,1,0,3,9,34,9.6,True
Kosta Koufos,1,0,1,19,2,197,14.4,True
Kosta Koufos,2,5,0,18,-13,181,16.0,True
Kosta Koufos,1,1,0,8,-21,80,14.9,True
Kosta Koufos,2,10,0,15,-48,149,14.3,True
Kosta Koufos,2,3,0,14,121,86,15.9,True
Kosta Koufos,3,11,0,7,-76,17,5.0,True
Kosta Koufos,3,8,0,8,51,63,12.4,True
Kosta Koufos,2,7,0,19,110,165,15.5,True
Kosta Koufos,2,10,0,18,58,178,11.6,True
Kosta Koufos,2,6,1,14,-149,4,15.2,True
Kosta Koufos,2,9,0,12,-48,119,18.4,True
Kosta Koufos,1,6,0,19,-179,85,11.8,True
Kosta Koufos,1,1,0,11,-114,1,13.7,True
Kosta Koufos,2,6,1,4,29,33,16.5,True
Kosta Koufos,3,0,0,10,-100,17,14.2,True
Kosta Koufos,2,5,0,17,-56,165,14.6,True
Kosta Koufos,1,3,1,18,1,189,17.0,True
Kosta Koufos,1,5,1,13,59,124,5.5,True
Kosta Koufos,2,9,1,5,-24,47,19.0,True
Kosta Koufos,2,10,0,18,9,187,16.2,True
Kosta Koufos,2,7,0,15,-21,153,17.2,True
Kosta Koufos,2,11,0,4,2,41,14.8,True
Kosta Koufos,2,10,0,8,6,80,14.0,True
Kosta Koufos,2,6,0,20,133,151,5.6,True
Kosta Koufos,1,3,0,7,24,67,9.0,True
Kosta Koufos,4,7,0,20,-123,159,5.5,True
Kosta Koufos,1,3,0,16,4,168,12.9,True
Kosta Koufos,1,0,0,19,-194,0,7.4,True
Kosta Koufos,4,11,0,18,122,138,9.7,True
Kosta Koufos,2,8,0,16,80,143,15.8,True
Kosta Koufos,4,8,0,9,17,97,11.0,True
Kosta Koufos,2,7,0,8,12,89,17.0,True
Kosta Koufos,4,1,0,15,0,159,11.9,True
Kosta Koufos,1,1,1,18,-43,181,14.2,True
Kosta Koufos,1,3,0,15,-158,7,10.0,True
Kosta Koufos,2,6,1,6,-46,41,13.5,True
