name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Marcus Thornton,3,0,0,1,15,11,0.0,True
Marcus Thornton,4,8,1,2,21,19,12.4,True
Marcus Thornton,3,2,1,0,7,-3,20.3,True
Marcus Thornton,3,1,0,7,73,20,13.4,True
Marcus Thornton,2,10,0,4,31,26,9.6,True
Marcus Thornton,4,8,1,9,0,93,6.7,True
Marcus Thornton,2,4,0,4,-37,25,12.3,True
Marcus Thornton,3,3,0,0,2,-2,9.6,True
Marcus Thornton,2,10,0,1,15,4,16.3,True
Marcus Thornton,1,2,0,3,28,11,8.4,True
Marcus Thornton,4,6,0,2,18,17,11.0,True
Marcus Thornton,4,10,1,3,31,-2,10.0,True
Marcus Thornton,2,11,0,1,-2,15,17.5,True
Marcus Thornton,3,2,0,2,29,-3,11.1,True
Marcus Thornton,4,8,1,1,-7,9,9.3,True
Marcus Thornton,2,8,1,2,24,0,8.0,True
Marcus Thornton,2,9,1,1,2,15,6.0,True
Marcus Thornton,3,2,0,2,20,0,11.2,True
Marcus Thornton,2,9,1,2,6,23,18.4,True
Marcus Thornton,1,0,1,1,-8,9,20.8,True
Marcus Thornton,4,5,1,0,7,3,19.3,True
Marcus Thornton,3,0,1,1,9,7,15.7,True
Marcus Thornton,4,7,1,0,9,0,10.7,True
Marcus Thornton,2,4,1,2,29,4,8.9,True
Marcus Thornton,1,2,1,0,6,3,17.0,True
Marcus Thornton,3,1,1,1,18,-5,12.1,True
Marcus Thornton,4,4,0,1,15,3,10.9,True
Marcus Thornton,1,3,1,2,2,23,14.2,True
Marcus Thornton,3,3,1,1,10,6,12.9,True
Marcus Thornton,3,0,0,0,-5,1,7.0,True
Marcus Thornton,1,0,1,0,4,0,3.6,True
Marcus Thornton,3,0,0,16,-134,96,17.6,True
Marcus Thornton,4,7,0,18,-133,127,5.5,True
Marcus Thornton,2,11,1,20,165,118,8.0,True
Marcus Thornton,1,1,0,17,10,175,10.0,True
Marcus Thornton,3,2,0,15,-75,138,13.5,True
Marcus Thornton,2,7,0,4,-45,0,23.8,True
Marcus Thornton,1,0,1,4,-38,25,0.0,True
