name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Mario Chalmers,3,5,1,8,83,6,8.4,True
Mario Chalmers,2,7,1,4,48,4,17.9,True
Mario Chalmers,2,6,0,7,-68,26,7.6,True
Mario Chalmers,3,0,0,10,89,47,5.0,True
Mario Chalmers,3,1,1,0,0,9,18.9,True
Mario Chalmers,2,8,0,2,18,15,16.2,True
Mario Chalmers,4,1,1,0,7,4,9.2,True
Mario Chalmers,2,8,0,1,13,11,11.6,True
Mario Chalmers,2,0,1,2,20,11,6.4,True
Mario Chalmers,4,6,0,2,28,6,2.9,True
Mario Chalmers,2,10,1,2,26,1,10.2,True
Mario Chalmers,2,9,0,1,9,12,20.8,True
Mario Chalmers,4,4,1,0,9,4,10.0,True
Mario Chalmers,1,4,1,2,-21,4,5.7,True
Mario Chalmers,3,9,1,2,18,14,13.0,True
Mario Chalmers,2,4,1,0,-4,1,13.8,True
Mario Chalmers,1,1,1,1,13,-2,9.4,True
Mario Chalmers,1,2,1,3,21,31,16.6,True
Mario Chalmers,1,10,0,10,108,19,0.0,True
Mario Chalmers,3,1,0,6,51,33,11.1,True
Mario Chalmers,2,10,0,3,2,39,12.0,True
Mario Chalmers,3,1,0,9,-95,23,7.6,True
Mario Chalmers,3,8,0,6,65,14,16.6,True
Mario Chalmers,2,0,0,9,69,63,1.0,True
Mario Chalmers,2,0,0,12,-2,126,14.7,True
Mario Chalmers,3,8,1,6,2,63,15.0,True
Mario Chalmers,2,0,0,5,-24,48,6.5,True
Mario Chalmers,1,10,0,8,69,55,2.7,True
Mario Chalmers,1,10,1,5,54,3,14.6,True
Mario Chalmers,3,1,0,3,4,34,12.0,True
Mario Chalmers,4,11,1,7,53,55,8.1,True
Mario Chalmers,4,9,0,5,-40,33,14.7,True
Mario Chalmers,1,2,0,1,-19,0,11.2,True
Mario Chalmers,3,9,0,1,-16,4,6.0,True
Mario Chalmers,3,8,1,1,-11,14,15.4,True
Mario Chalmers,3,7,1,1,15,-3,19.5,True
Mario Chalmers,2,8,1,1,12,12,18.2,True
Mario Chalmers,4,8,0,2,24,11,5.2,True
Mario Chalmers,4,1,1,3,-32,4,11.9,True
Mario Chalmers,1,3,1,0,-5,4,10.2,True
Mario Chalmers,2,5,1,2,20,7,3.0,True
