name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Michael KiddGilchrist,2,1,1,0,0,1,19.7,True
Michael KiddGilchrist,3,9,1,0,0,1,22.1,True
Michael KiddGilchrist,2,0,1,0,0,1,9.5,True
Michael KiddGilchrist,3,11,0,0,0,1,15.2,True
Michael KiddGilchrist,3,5,1,0,0,1,12.1,True
Michael KiddGilchrist,3,9,1,1,12,3,19.0,True
Michael KiddGilchrist,1,10,1,0,4,-2,20.9,True
Michael KiddGilchrist,1,7,0,5,53,19,10.0,True
Michael KiddGilchrist,1,1,1,8,54,69,11.8,True
Michael KiddGilchrist,1,0,1,6,1,61,15.9,True
Michael KiddGilchrist,3,4,1,5,17,56,17.8,True
Michael KiddGilchrist,3,9,0,3,-30,-2,18.9,True
Michael KiddGilchrist,2,8,0,7,70,22,21.0,True
Michael KiddGilchrist,1,2,0,6,-23,64,10.6,True
Michael KiddGilchrist,1,5,0,3,-7,33,4.9,True
Michael KiddGilchrist,1,7,0,7,65,26,17.6,True
Michael KiddGilchrist,4,2,0,2,20,15,13.6,True
Michael KiddGilchrist,2,6,1,0,7,7,18.9,True
Michael KiddGilchrist,1,8,1,1,13,11,17.2,True
Michael KiddGilchrist,3,9,1,1,-11,12,12.1,True
Michael KiddGilchrist,1,3,1,1,4,14,19.9,True
Michael KiddGilchrist,2,3,1,2,23,1,13.2,True
Michael KiddGilchrist,1,8,1,0,-5,1,4.3,True
Michael KiddGilchrist,3,10,1,1,7,9,20.5,True
Michael KiddGilchrist,2,3,0,2,-15,14,2.5,True
Michael KiddGilchrist,1,4,1,1,10,4,21.6,True
Michael KiddGilchrist,1,4,1,1,0,11,16.9,True
Michael KiddGilchrist,4,4,1,1,7,9,20.2,True
Michael KiddGilchrist,1,4,1,1,9,17,10.0,True
Michael KiddGilchrist,3,8,1,0,6,7,9.0,True
Michael KiddGilchrist,3,6,0,3,30,16,20.5,True
Michael KiddGilchrist,4,4,1,1,4,19,14.7,True
Michael KiddGilchrist,4,1,1,3,26,17,19.3,True
Michael KiddGilchrist,4,8,1,1,12,9,7.4,True
Michael KiddGilchrist,3,5,1,0,6,7,11.3,True
Michael KiddGilchrist,1,7,1,0,-4,-3,17.1,True
Michael KiddGilchrist,4,2,0,2,6,26,2.6,True
Michael KiddGilchrist,2,6,1,1,-4,15,10.0,True
Michael KiddGilchrist,2,5,1,1,-8,11,11.8,True
Michael KiddGilchrist,1,11,0,1,9,15,13.6,True
Michael KiddGilchrist,2,11,0,1,9,11,18.8,True
Michael KiddGilchrist,3,8,1,1,2,14,13.2,True
Michael KiddGilchrist,2,10,1,1,2,19,19.6,True
Michael KiddGilchrist,2,7,0,2,23,14,13.7,True
Michael KiddGilchrist,2,7,1,1,-8,15,19.7,True
Michael KiddGilchrist,1,2,1,1,0,12,20.3,True
Michael KiddGilchrist,2,3,1,1,-11,9,13.1,True
Michael KiddGilchrist,4,10,1,0,1,-6,19.7,True
Michael KiddGilchrist,2,0,1,2,23,6,16.3,True
Michael KiddGilchrist,3,2,0,4,42,22,9.6,True
Michael KiddGilchrist,2,9,1,0,7,3,15.2,True
Michael KiddGilchrist,2,8,0,3,36,15,17.3,True
Michael KiddGilchrist,2,8,1,3,-32,-3,10.1,True
Michael KiddGilchrist,4,7,1,1,13,1,10.6,True
Michael KiddGilchrist,3,4,1,2,21,11,5.8,True
Michael KiddGilchrist,3,10,0,1,7,11,13.9,True
Michael KiddGilchrist,2,11,0,1,12,3,6.0,True
Michael KiddGilchrist,3,7,1,0,-7,6,3.2,True
Michael KiddGilchrist,1,7,1,2,26,9,21.3,True
Michael KiddGilchrist,1,3,1,1,6,15,8.6,True
Michael KiddGilchrist,3,7,1,2,21,9,17.7,True
Michael KiddGilchrist,1,3,0,1,7,14,13.6,True
Michael KiddGilchrist,2,4,1,2,20,0,11.1,True
Michael KiddGilchrist,2,2,1,1,-16,9,8.2,True
Michael KiddGilchrist,3,10,1,0,0,-3,14.8,True
Michael KiddGilchrist,2,5,0,2,20,7,7.4,True
Michael KiddGilchrist,1,9,1,1,18,6,19.6,True
Michael KiddGilchrist,3,8,0,2,1,20,13.8,True
Michael KiddGilchrist,2,5,1,0,9,0,19.4,True
Michael KiddGilchrist,3,4,1,1,17,1,15.0,True
Michael KiddGilchrist,1,8,1,1,9,14,16.2,True
Michael KiddGilchrist,3,8,1,1,-11,11,8.1,True
Michael KiddGilchrist,2,0,1,1,15,7,20.1,True
Michael KiddGilchrist,3,3,1,1,4,11,7.0,True
Michael KiddGilchrist,1,10,1,2,-4,25,4.9,True
Michael KiddGilchrist,2,3,1,1,10,9,6.8,True
Michael KiddGilchrist,3,10,1,1,0,11,9.5,True
Michael KiddGilchrist,1,5,1,1,-7,9,19.7,True
Michael KiddGilchrist,3,1,1,0,-8,1,0.0,True
Michael KiddGilchrist,3,7,0,1,6,17,9.0,True
Michael KiddGilchrist,3,10,1,0,0,1,10.2,True
Michael KiddGilchrist,1,6,1,0,0,1,19.7,True
Michael KiddGilchrist,1,10,1,0,0,1,14.5,True
Michael KiddGilchrist,2,0,1,0,0,1,20.0,True
Michael KiddGilchrist,4,0,1,0,0,1,20.1,True
Michael KiddGilchrist,1,3,1,0,0,1,14.0,True
Michael KiddGilchrist,4,3,1,0,0,1,18.0,True
Michael KiddGilchrist,1,9,1,0,0,1,20.1,True
Michael KiddGilchrist,4,6,1,0,0,1,10.7,True
Michael KiddGilchrist,1,7,1,0,0,1,13.6,True
Michael KiddGilchrist,4,3,1,0,0,1,10.0,True
Michael KiddGilchrist,3,4,1,0,0,1,20.1,True
Michael KiddGilchrist,4,5,1,0,0,1,19.9,True
Michael KiddGilchrist,3,7,1,0,0,1,12.0,True
Michael KiddGilchrist,2,6,1,0,0,1,15.4,True
Michael KiddGilchrist,3,6,1,0,0,1,3.6,True
Michael KiddGilchrist,1,8,0,1,2,12,19.0,True
Michael KiddGilchrist,1,10,0,5,-8,52,11.0,True
Michael KiddGilchrist,1,3,0,6,62,23,5.5,True
Michael KiddGilchrist,1,11,1,11,-95,60,19.3,True
Michael KiddGilchrist,1,9,1,16,0,165,15.6,True
Michael KiddGilchrist,4,7,1,5,-21,53,15.6,True
Michael KiddGilchrist,3,4,0,2,26,9,3.1,True
Michael KiddGilchrist,3,10,0,5,54,22,5.0,True
Michael KiddGilchrist,3,1,0,18,157,101,6.0,True
Michael KiddGilchrist,1,3,0,18,-183,39,3.3,True
Michael KiddGilchrist,1,6,1,4,40,9,20.5,True
Michael KiddGilchrist,3,6,0,16,-146,74,17.5,True
Michael KiddGilchrist,1,5,1,18,177,64,8.6,True
Michael KiddGilchrist,1,8,1,18,168,78,11.0,True
Michael KiddGilchrist,1,5,1,18,141,126,9.4,True
Michael KiddGilchrist,2,4,1,18,166,72,16.7,True
Michael KiddGilchrist,2,3,1,13,129,36,11.1,True
Michael KiddGilchrist,4,9,1,15,154,31,1.6,True
Michael KiddGilchrist,1,10,1,6,53,33,12.4,True
Michael KiddGilchrist,2,0,1,8,89,9,9.1,True
Michael KiddGilchrist,4,10,1,3,31,6,16.4,True
Michael KiddGilchrist,4,9,1,17,176,3,19.7,True
Michael KiddGilchrist,4,7,1,11,-35,110,11.6,True
Michael KiddGilchrist,4,6,0,19,-23,195,11.9,True
Michael KiddGilchrist,4,2,0,19,75,176,10.0,True
Michael KiddGilchrist,1,9,0,5,45,26,18.0,True
Michael KiddGilchrist,3,6,1,17,-16,173,6.7,True
Michael KiddGilchrist,4,10,1,16,-168,11,15.5,True
Michael KiddGilchrist,4,9,0,4,0,45,8.7,True
Michael KiddGilchrist,4,3,1,16,-163,25,5.6,True
Michael KiddGilchrist,1,10,1,6,17,58,14.1,True
Michael KiddGilchrist,4,5,1,16,-158,30,2.7,True
Michael KiddGilchrist,4,5,0,3,10,30,14.9,True
Michael KiddGilchrist,1,9,1,15,133,86,10.0,True
Michael KiddGilchrist,1,6,0,17,-177,23,12.9,True
Michael KiddGilchrist,3,9,1,16,129,104,11.6,True
Michael KiddGilchrist,3,7,1,16,-149,66,15.0,True
Michael KiddGilchrist,2,6,0,19,-177,88,5.6,True
Michael KiddGilchrist,3,5,1,18,-93,164,11.0,True
Michael KiddGilchrist,3,4,1,14,-71,129,9.0,True
Michael KiddGilchrist,1,11,0,14,147,22,7.5,True
Michael KiddGilchrist,2,5,1,7,-40,64,16.0,True
Michael KiddGilchrist,3,3,1,15,92,126,12.1,True
Michael KiddGilchrist,2,5,0,7,62,37,9.9,True
Michael KiddGilchrist,2,1,1,17,-177,-2,3.9,True
Michael KiddGilchrist,1,6,1,17,-174,20,1.2,True
Michael KiddGilchrist,4,6,1,18,-180,3,8.1,True
Michael KiddGilchrist,3,8,1,18,122,137,8.6,True
Michael KiddGilchrist,1,3,1,4,4,45,24.0,True
Michael KiddGilchrist,4,6,1,7,28,71,11.0,True
Michael KiddGilchrist,1,2,1,17,118,123,13.3,True
Michael KiddGilchrist,3,7,0,17,146,101,19.0,True
Michael KiddGilchrist,2,5,1,17,159,71,6.0,True
Michael KiddGilchrist,1,9,1,14,138,53,12.6,True
Michael KiddGilchrist,1,7,1,18,110,148,10.4,True
Michael KiddGilchrist,3,10,0,3,1,30,1.4,True
Michael KiddGilchrist,1,8,1,19,176,72,10.5,True
Michael KiddGilchrist,3,3,1,18,182,45,14.0,True
Michael KiddGilchrist,1,3,0,17,159,64,13.0,True
Michael KiddGilchrist,4,5,0,17,155,75,15.6,True
Michael KiddGilchrist,3,10,0,3,-2,34,6.8,True
Michael KiddGilchrist,2,9,0,18,-180,7,16.2,True
Michael KiddGilchrist,4,7,0,16,114,124,4.4,True
Michael KiddGilchrist,3,3,0,19,-21,195,8.5,True
Michael KiddGilchrist,2,6,0,19,168,105,11.2,True
Michael KiddGilchrist,2,8,0,6,67,0,7.0,True
Michael KiddGilchrist,3,11,0,20,-155,132,8.3,True
Michael KiddGilchrist,3,2,0,15,-155,31,12.2,True
Michael KiddGilchrist,3,8,0,5,32,47,7.5,True
Michael KiddGilchrist,3,8,0,18,-134,131,0.7,True
Michael KiddGilchrist,2,5,0,7,73,17,13.5,True
Michael KiddGilchrist,1,6,0,15,152,33,24.0,True
Michael KiddGilchrist,1,7,0,5,-18,47,12.0,True
Michael KiddGilchrist,3,10,0,20,-141,142,4.6,True
Michael KiddGilchrist,1,8,0,11,51,105,6.0,True
Michael KiddGilchrist,4,4,0,3,-5,31,10.8,True
Michael KiddGilchrist,4,8,0,3,29,9,12.4,True
Michael KiddGilchrist,1,5,0,3,13,28,13.2,True
Michael KiddGilchrist,3,8,0,20,-89,184,4.0,True
Michael KiddGilchrist,4,3,0,17,140,99,12.0,True
Michael KiddGilchrist,1,2,0,20,26,201,13.9,True
