name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Nick Young,2,0,1,2,4,25,11.0,True
Nick Young,4,5,1,0,0,1,13.4,True
Nick Young,4,7,1,2,17,-13,20.8,True
Nick Young,4,9,1,2,1,22,19.7,True
Nick Young,3,3,1,2,-7,19,0.9,True
Nick Young,1,4,0,10,86,56,11.5,True
Nick Young,4,7,0,2,21,0,12.0,True
Nick Young,2,8,1,2,-21,9,7.0,True
Nick Young,2,7,1,1,12,9,22.5,True
Nick Young,3,1,0,0,-4,7,20.6,True
Nick Young,2,7,0,4,35,20,10.1,True
Nick Young,3,3,0,3,20,25,10.0,True
Nick Young,2,11,1,1,-10,7,0.0,True
Nick Young,4,4,1,0,-5,6,21.4,True
Nick Young,4,9,1,2,0,22,19.0,True
Nick Young,4,10,1,3,17,25,20.6,True
Nick Young,2,7,1,1,-13,7,11.4,True
Nick Young,4,6,0,2,24,-3,14.3,True
Nick Young,4,6,0,0,-8,0,15.5,True
Nick Young,4,10,1,2,28,3,4.4,True
Nick Young,1,2,1,0,-7,4,20.5,True
Nick Young,4,7,1,1,15,-11,9.7,True
Nick Young,4,6,1,1,-11,-5,15.8,True
Nick Young,4,3,0,0,0,1,6.8,True
Nick Young,2,9,0,13,24,134,11.3,True
Nick Young,3,0,0,10,-106,15,0.0,True
Nick Young,4,11,0,20,154,134,11.6,True
Nick Young,1,2,0,21,211,17,9.5,True
Nick Young,3,1,0,18,-73,168,13.0,True
Nick Young,4,9,0,12,106,67,9.6,True
Nick Young,4,6,1,25,108,230,12.4,False
Nick Young,4,1,1,11,118,7,5.4,True
Nick Young,2,10,1,17,170,42,5.0,True
Nick Young,4,6,1,19,-98,173,10.7,True
Nick Young,2,9,1,16,168,1,6.4,True
Nick Young,4,11,0,15,37,148,14.7,True
Nick Young,2,10,0,18,-149,105,8.8,True
Nick Young,2,10,1,6,69,7,17.9,True
Nick Young,3,0,1,24,43,246,12.6,False
Nick Young,2,8,0,26,182,190,18.6,False
Nick Young,3,2,0,15,151,47,14.0,True
Nick Young,1,2,0,23,226,44,16.8,False
Nick Young,1,0,1,24,-207,137,0.0,False
Nick Young,2,10,1,15,-103,119,15.5,True
Nick Young,3,0,1,23,-231,45,3.0,False
Nick Young,4,10,1,17,72,154,8.9,True
Nick Young,4,8,0,25,-56,252,2.6,False
Nick Young,4,3,0,17,-70,164,22.1,True
Nick Young,1,5,0,23,-18,239,0.0,False
Nick Young,1,1,1,24,-160,192,10.7,False
Nick Young,3,3,0,5,30,42,11.0,True
Nick Young,2,2,1,24,-180,167,7.0,False
Nick Young,2,11,1,17,-106,134,16.8,True
Nick Young,2,10,1,24,-108,217,9.1,False
Nick Young,3,0,0,25,51,250,0.0,False
Nick Young,4,9,0,9,92,15,5.5,True
Nick Young,4,0,0,29,42,296,0.0,False
Nick Young,1,2,1,17,7,172,10.0,True
Nick Young,1,0,0,27,62,266,0.0,False
Nick Young,4,8,1,19,-180,80,7.4,True
Nick Young,4,7,1,24,174,175,20.5,False
Nick Young,2,11,1,24,-120,217,22.8,False
Nick Young,2,9,1,16,12,160,8.8,True
Nick Young,4,10,1,25,-174,186,11.9,False
Nick Young,4,8,1,25,-163,195,9.0,False
Nick Young,4,1,1,23,-234,42,13.3,False
Nick Young,1,4,1,25,-168,195,9.3,False
