name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Norris Cole,2,4,1,3,0,33,15.5,True
Norris Cole,2,9,1,8,-57,60,17.9,True
Norris Cole,3,0,0,7,-52,56,0.0,True
Norris Cole,3,0,0,8,-82,19,0.0,True
Norris Cole,3,0,0,4,-46,9,6.0,True
Norris Cole,4,9,0,2,21,-2,14.9,True
Norris Cole,2,3,0,2,-24,-2,10.3,True
Norris Cole,3,8,0,1,18,7,8.5,True
Norris Cole,3,4,1,1,-15,3,20.0,True
Norris Cole,3,3,1,0,-7,1,13.6,True
Norris Cole,3,1,1,1,-19,-2,13.7,True
Norris Cole,1,1,1,1,12,14,20.5,True
Norris Cole,1,8,0,1,18,0,20.8,True
Norris Cole,1,3,1,1,15,9,20.4,True
Norris Cole,2,1,1,1,-10,0,21.0,True
Norris Cole,1,5,1,0,9,3,22.3,True
Norris Cole,2,1,1,2,-23,4,9.9,True
Norris Cole,1,4,0,2,26,3,10.5,True
Norris Cole,4,11,1,1,-2,11,11.8,True
Norris Cole,1,6,0,1,-10,4,14.9,True
Norris Cole,3,5,0,1,18,6,19.9,True
Norris Cole,2,10,1,1,18,6,19.1,True
Norris Cole,3,7,1,1,7,14,18.3,True
Norris Cole,1,9,1,0,0,9,19.2,True
Norris Cole,1,3,1,0,2,7,8.9,True
Norris Cole,3,4,0,1,-13,11,8.6,True
Norris Cole,2,10,1,1,13,4,12.3,True
Norris Cole,3,6,1,3,37,1,6.9,True
Norris Cole,3,5,0,3,-27,19,6.2,True
Norris Cole,3,10,1,1,-10,4,9.3,True
Norris Cole,3,8,1,2,20,1,16.4,True
Norris Cole,2,4,0,1,15,12,18.8,True
Norris Cole,1,10,0,1,-16,0,20.6,True
Norris Cole,1,0,1,0,-5,7,0.0,True
Norris Cole,2,10,1,1,-13,7,10.0,True
Norris Cole,4,5,0,2,-27,4,4.5,True
Norris Cole,4,1,0,2,20,0,15.4,True
Norris Cole,4,2,0,1,12,6,13.1,True
Norris Cole,2,9,1,0,-4,-3,21.9,True
Norris Cole,1,8,1,2,-27,9,12.9,True
Norris Cole,1,6,0,1,-8,15,9.7,True
Norris Cole,1,1,0,1,0,11,20.5,True
Norris Cole,1,1,0,2,-21,3,19.2,True
Norris Cole,2,10,1,0,-2,-5,8.9,True
Norris Cole,1,6,0,1,-13,6,19.7,True
Norris Cole,4,10,1,1,-8,9,20.1,True
Norris Cole,2,2,0,0,-4,-3,21.0,True
Norris Cole,4,11,1,1,10,3,21.5,True
Norris Cole,3,7,0,1,10,0,20.0,True
Norris Cole,1,10,1,0,1,6,16.1,True
Norris Cole,4,10,1,1,4,14,19.6,True
Norris Cole,3,9,1,1,10,1,19.0,True
Norris Cole,1,2,0,1,-7,9,6.8,True
Norris Cole,1,5,0,1,12,3,20.8,True
Norris Cole,3,7,0,1,-16,4,20.0,True
Norris Cole,1,10,1,1,13,9,19.7,True
Norris Cole,1,3,0,2,13,20,2.2,True
Norris Cole,1,4,1,1,-16,7,14.2,True
Norris Cole,1,6,0,1,12,14,7.0,True
Norris Cole,4,5,1,1,0,12,13.4,True
Norris Cole,4,9,1,1,15,11,10.0,True
Norris Cole,1,1,1,1,13,7,14.6,True
Norris Cole,1,1,0,2,-26,11,20.5,True
Norris Cole,3,3,0,2,29,-2,14.5,True
Norris Cole,1,4,0,2,26,4,10.7,True
Norris Cole,1,5,1,0,-8,3,3.7,True
Norris Cole,3,6,1,2,24,6,15.7,True
Norris Cole,3,1,1,1,-18,7,5.8,True
Norris Cole,1,11,1,0,0,1,21.8,True
Norris Cole,1,2,1,8,80,19,4.4,True
Norris Cole,3,0,0,10,-54,86,10.4,True
Norris Cole,4,1,0,8,4,82,19.1,True
Norris Cole,4,9,0,20,-153,140,2.2,True
Norris Cole,3,0,0,11,110,47,6.4,True
Norris Cole,2,7,1,13,138,1,9.5,True
Norris Cole,2,10,1,8,7,88,20.1,True
Norris Cole,2,2,1,10,-73,71,17.0,True
Norris Cole,4,0,1,11,9,116,2.2,True
Norris Cole,3,0,0,12,110,60,11.7,True
Norris Cole,4,8,1,21,143,154,15.0,True
Norris Cole,4,9,0,25,-149,206,8.2,False
Norris Cole,3,11,0,18,-116,148,10.8,True
Norris Cole,2,1,0,23,239,15,11.4,False
Norris Cole,2,5,0,23,234,7,3.5,False
Norris Cole,1,6,0,20,152,132,11.7,True
Norris Cole,1,7,0,19,190,15,6.0,True
Norris Cole,1,8,0,25,-7,258,1.9,False
Norris Cole,3,1,0,25,-19,250,7.6,False
Norris Cole,1,4,1,24,-157,189,4.8,False
Norris Cole,1,2,1,24,-175,175,6.2,False
Norris Cole,2,0,0,30,234,190,0.0,False
Norris Cole,3,7,1,19,-101,162,5.0,True
Norris Cole,3,5,1,16,-81,140,8.1,True
Norris Cole,3,3,1,15,-87,132,7.0,True
Norris Cole,4,2,1,28,2,283,5.4,False
Norris Cole,1,5,1,23,-231,-17,2.6,False
Norris Cole,3,4,1,26,-136,227,8.0,False
Norris Cole,1,11,0,24,-141,198,5.5,False
Norris Cole,3,9,1,27,-194,189,3.6,False
Norris Cole,2,0,0,39,28,392,0.0,False
Norris Cole,1,1,0,5,-23,52,12.4,True
Norris Cole,1,8,1,19,-198,7,14.5,True
Norris Cole,1,7,1,23,-234,4,11.0,False
Norris Cole,2,0,1,11,-116,6,8.5,True
Norris Cole,3,9,1,19,106,162,10.0,True
Norris Cole,3,6,1,24,136,209,8.0,False
Norris Cole,4,2,1,25,220,123,1.2,False
Norris Cole,4,0,1,24,-202,134,12.8,False
Norris Cole,1,4,1,20,136,157,2.5,True
Norris Cole,3,11,0,26,-168,203,11.0,False
Norris Cole,3,10,1,24,-210,126,17.3,False
Norris Cole,3,6,1,25,-10,257,2.8,False
Norris Cole,2,0,1,26,-168,205,6.0,False
Norris Cole,3,1,0,17,-179,-8,12.0,True
Norris Cole,3,9,1,20,124,162,6.4,True
Norris Cole,2,0,1,7,-30,64,10.8,True
Norris Cole,4,5,1,19,-147,131,9.0,True
Norris Cole,2,2,1,19,-92,170,2.1,True
