name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
PJ Hairston,1,11,0,0,0,1,14.4,True
PJ Hairston,2,7,1,7,13,71,3.7,True
PJ Hairston,2,9,1,0,4,4,10.3,True
PJ Hairston,1,0,1,2,-7,19,2.8,True
PJ Hairston,4,7,1,1,-13,12,9.7,True
PJ Hairston,3,2,0,1,-15,11,8.0,True
PJ Hairston,2,10,0,0,-4,7,12.4,True
PJ Hairston,1,2,0,1,-10,9,13.2,True
PJ Hairston,3,0,1,0,-2,0,3.7,True
PJ Hairston,4,11,1,1,6,9,12.0,True
PJ Hairston,2,11,1,1,17,9,9.8,True
PJ Hairston,4,5,1,1,-11,7,12.0,True
PJ Hairston,2,7,1,10,-23,101,16.7,True
PJ Hairston,4,4,0,18,91,160,9.0,True
PJ Hairston,4,6,0,9,-2,99,3.7,True
PJ Hairston,4,4,0,11,-40,110,10.9,True
PJ Hairston,3,4,1,9,-5,99,10.0,True
PJ Hairston,4,11,1,10,53,91,4.7,True
PJ Hairston,2,7,1,9,-35,85,7.6,True
PJ Hairston,4,9,1,25,-205,153,17.1,False
PJ Hairston,4,10,0,19,-89,168,9.5,True
PJ Hairston,1,1,0,25,-229,116,12.9,False
PJ Hairston,3,0,1,14,147,14,3.1,True
PJ Hairston,4,11,1,14,121,77,11.7,True
PJ Hairston,1,0,0,53,105,526,0.0,False
PJ Hairston,3,2,1,25,-220,124,5.4,False
PJ Hairston,3,1,0,25,-232,112,18.8,False
PJ Hairston,4,11,1,26,92,249,16.1,False
PJ Hairston,1,4,1,24,-240,20,15.0,False
PJ Hairston,1,5,1,24,176,167,15.1,False
PJ Hairston,1,1,1,24,-232,77,12.6,False
PJ Hairston,1,10,1,25,171,183,9.0,False
PJ Hairston,3,6,1,24,40,242,11.0,False
PJ Hairston,1,3,1,26,-138,231,17.6,False
PJ Hairston,2,6,1,22,-226,23,14.6,False
PJ Hairston,2,10,1,25,-191,168,18.6,False
PJ Hairston,2,9,1,28,-163,233,14.3,False
PJ Hairston,1,4,1,26,-185,186,5.9,False
PJ Hairston,3,1,1,18,6,187,10.7,True
PJ Hairston,4,11,1,25,133,214,13.2,False
PJ Hairston,4,10,0,16,-65,153,16.8,True
PJ Hairston,4,7,1,26,-10,266,14.1,False
PJ Hairston,1,4,0,25,28,258,3.4,False
PJ Hairston,1,1,1,26,53,261,12.9,False
PJ Hairston,2,7,0,26,12,263,4.8,False
PJ Hairston,3,0,0,23,-232,1,13.5,False
PJ Hairston,3,0,0,3,0,39,17.7,True
PJ Hairston,2,7,1,27,155,222,16.7,False
PJ Hairston,4,1,1,26,-212,153,12.8,False
PJ Hairston,1,3,1,7,65,33,11.0,True
PJ Hairston,2,10,1,26,223,135,13.0,False
PJ Hairston,4,11,1,24,-240,58,5.6,False
