name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Quincy Acy,2,5,1,0,-4,6,20.7,True
Quincy Acy,4,11,1,2,17,15,16.2,True
Quincy Acy,1,1,1,1,-10,1,12.1,True
Quincy Acy,4,10,1,0,0,7,14.0,True
Quincy Acy,4,6,0,2,-15,19,6.7,True
Quincy Acy,3,2,1,1,17,3,6.7,True
Quincy Acy,1,3,1,0,-2,1,19.9,True
Quincy Acy,2,6,1,2,-23,14,0.0,True
Quincy Acy,4,9,1,2,28,-3,12.6,True
Quincy Acy,1,0,1,1,12,1,8.0,True
Quincy Acy,1,1,1,1,10,4,4.7,True
Quincy Acy,2,8,1,3,34,14,9.3,True
Quincy Acy,2,9,0,2,18,20,11.0,True
Quincy Acy,4,11,1,0,1,1,3.8,True
Quincy Acy,2,9,1,0,0,1,19.4,True
Quincy Acy,4,4,1,0,0,1,15.0,True
Quincy Acy,2,3,1,0,0,1,20.7,True
Quincy Acy,4,2,1,0,0,1,12.5,True
Quincy Acy,2,10,1,0,0,1,17.0,True
Quincy Acy,4,11,1,0,0,1,12.5,True
Quincy Acy,1,11,1,0,0,1,19.1,True
Quincy Acy,2,0,1,0,0,1,14.1,True
Quincy Acy,3,6,1,0,0,1,19.9,True
Quincy Acy,1,10,1,0,0,1,21.8,True
Quincy Acy,1,0,1,0,0,1,10.3,True
Quincy Acy,4,8,1,0,0,1,19.9,True
Quincy Acy,3,1,1,0,0,1,7.0,True
Quincy Acy,2,6,1,0,0,1,21.1,True
Quincy Acy,4,10,0,0,0,1,13.3,True
Quincy Acy,2,5,1,11,91,74,8.6,True
Quincy Acy,3,8,1,13,37,126,4.0,True
Quincy Acy,1,3,1,7,-26,69,7.8,True
Quincy Acy,1,0,0,23,228,41,0.0,False
Quincy Acy,2,0,1,1,0,11,20.3,True
Quincy Acy,1,9,1,5,-18,47,20.2,True
Quincy Acy,4,4,1,4,43,23,7.8,True
Quincy Acy,2,4,0,3,32,15,7.4,True
Quincy Acy,1,8,0,3,7,37,8.0,True
Quincy Acy,1,8,0,3,-7,30,14.6,True
Quincy Acy,4,7,1,3,2,36,8.2,True
Quincy Acy,2,11,0,4,-15,45,9.7,True
Quincy Acy,2,8,1,6,65,15,12.4,True
Quincy Acy,4,7,0,3,-8,36,16.2,True
Quincy Acy,2,11,0,29,-194,217,0.1,False
Quincy Acy,2,10,0,6,48,50,10.1,True
Quincy Acy,3,9,1,6,-65,19,14.0,True
Quincy Acy,4,5,0,4,13,44,2.9,True
Quincy Acy,4,10,0,20,81,186,11.8,True
Quincy Acy,4,0,1,13,135,30,11.3,True
Quincy Acy,4,7,0,19,185,47,12.4,True
Quincy Acy,3,3,0,22,-223,-17,4.2,False
Quincy Acy,4,3,1,25,-120,224,9.6,False
Quincy Acy,4,1,1,23,-231,-24,14.0,False
Quincy Acy,2,5,0,3,13,34,3.9,True
Quincy Acy,3,6,0,15,159,6,0.4,True
Quincy Acy,2,7,0,18,-101,156,8.7,True
Quincy Acy,2,10,0,19,163,101,11.7,True
Quincy Acy,4,11,0,17,84,154,8.4,True
Quincy Acy,1,0,0,16,81,140,9.7,True
Quincy Acy,1,3,0,20,203,9,21.7,True
Quincy Acy,4,10,1,24,-98,228,4.0,False
Quincy Acy,1,1,1,18,185,15,7.7,True
Quincy Acy,4,10,1,17,-71,162,10.1,True
Quincy Acy,4,8,1,19,102,164,1.5,True
Quincy Acy,1,1,1,17,176,0,0.0,True
Quincy Acy,1,7,1,19,-24,190,8.1,True
Quincy Acy,3,6,1,21,113,179,11.4,True
Quincy Acy,3,10,1,19,-193,20,6.0,True
Quincy Acy,3,3,1,18,45,179,4.4,True
Quincy Acy,4,5,1,16,159,23,12.4,True
Quincy Acy,3,4,1,15,-43,149,17.9,True
Quincy Acy,1,10,0,20,88,181,10.5,True
Quincy Acy,3,3,1,22,108,197,3.3,True
Quincy Acy,1,6,1,20,47,201,18.1,True
Quincy Acy,3,11,1,19,-193,28,6.3,True
Quincy Acy,3,8,1,9,-65,74,14.5,True
Quincy Acy,2,10,1,22,-136,183,2.6,True
Quincy Acy,3,3,1,27,-139,242,1.4,False
Quincy Acy,1,1,1,20,204,28,4.5,True
Quincy Acy,2,8,0,17,121,131,15.2,True
Quincy Acy,3,6,1,13,138,7,8.3,True
Quincy Acy,1,6,1,11,118,14,1.6,True
Quincy Acy,4,11,1,12,-93,89,19.3,True
Quincy Acy,1,10,0,18,182,19,1.4,True
Quincy Acy,4,1,1,21,-141,160,8.2,True
Quincy Acy,1,1,1,16,-76,148,6.2,True
Quincy Acy,3,0,1,24,-54,242,18.1,False
Quincy Acy,4,11,1,25,78,238,12.3,False
Quincy Acy,4,8,1,13,6,135,13.7,True
Quincy Acy,2,11,1,22,141,172,8.5,True
Quincy Acy,4,9,1,18,92,160,12.6,True
Quincy Acy,4,2,1,11,72,93,2.3,True
Quincy Acy,1,3,0,5,45,37,0.5,True
Quincy Acy,1,0,0,23,-232,-35,2.3,False
