name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Quincy Miller,4,9,0,6,58,33,16.8,True
Quincy Miller,3,11,0,26,20,269,6.0,False
Quincy Miller,4,2,0,16,78,142,16.0,True
Quincy Miller,4,1,1,27,40,269,8.8,False
Quincy Miller,4,10,1,26,37,258,11.9,False
Quincy Miller,3,5,0,26,110,246,24.0,False
Quincy Miller,3,9,0,26,121,241,24.0,False
Quincy Miller,4,4,1,17,125,124,5.9,True
Quincy Miller,4,5,1,23,165,168,4.0,True
Quincy Miller,4,3,1,6,-10,69,15.6,True
Quincy Miller,4,4,0,25,143,217,12.8,False
Quincy Miller,2,3,0,25,133,214,16.3,False
Quincy Miller,4,11,0,25,147,203,6.8,False
Quincy Miller,1,2,0,24,189,160,19.0,False
Quincy Miller,4,6,0,24,157,190,19.2,False
Quincy Miller,2,2,0,24,-136,209,13.4,False
Quincy Miller,2,1,0,4,20,37,11.9,True
Quincy Miller,3,10,0,0,4,7,11.9,True
Quincy Miller,2,5,0,1,13,3,24.0,True
Quincy Miller,2,8,0,2,12,17,7.5,True
Quincy Miller,2,2,1,23,233,28,0.0,False
Quincy Miller,3,9,0,25,0,258,0.0,False
Quincy Miller,3,4,0,26,4,269,0.0,False
Quincy Miller,4,4,1,7,9,71,0.0,True
Quincy Miller,4,4,0,24,-65,233,0.0,False
Quincy Miller,4,0,0,25,-193,165,0.0,False
Quincy Miller,4,7,0,20,29,198,0.0,True
Quincy Miller,4,4,0,23,-234,3,0.0,False
Quincy Miller,4,10,0,18,-186,17,0.0,True
Quincy Miller,4,11,0,22,-228,14,0.0,False
Quincy Miller,3,1,0,20,89,187,0.0,True
Quincy Miller,4,1,0,6,-59,30,0.0,True
Quincy Miller,1,1,0,3,28,25,0.0,True
Quincy Miller,1,1,0,1,-4,14,0.0,True
Quincy Miller,1,0,0,1,-7,14,0.0,True
Quincy Miller,4,1,1,1,-11,-6,0.0,True
Quincy Miller,4,4,1,0,1,3,0.0,True
Quincy Miller,3,6,0,8,-2,86,0.0,True
