name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Quincy Pondexter,4,9,1,0,0,1,21.0,True
Quincy Pondexter,3,6,1,0,0,1,13.0,True
Quincy Pondexter,2,7,1,0,0,1,18.8,True
Quincy Pondexter,3,0,0,9,-62,67,5.4,True
Quincy Pondexter,2,3,0,9,-30,93,5.1,True
Quincy Pondexter,3,11,1,8,29,83,9.5,True
Quincy Pondexter,1,0,1,2,7,22,10.1,True
Quincy Pondexter,2,6,1,2,20,22,17.3,True
Quincy Pondexter,4,5,1,0,7,3,8.2,True
Quincy Pondexter,3,9,1,2,23,9,8.5,True
Quincy Pondexter,2,2,1,1,13,1,11.0,True
Quincy Pondexter,2,7,1,1,-7,14,0.0,True
Quincy Pondexter,3,7,1,3,34,7,0.0,True
Quincy Pondexter,4,1,1,0,0,1,18.5,True
Quincy Pondexter,2,0,1,0,0,1,0.0,True
Quincy Pondexter,2,6,1,0,0,1,21.3,True
Quincy Pondexter,1,8,1,0,0,1,19.7,True
Quincy Pondexter,1,3,1,0,0,1,19.5,True
Quincy Pondexter,4,4,0,0,0,1,0.0,True
Quincy Pondexter,2,9,1,0,0,1,10.3,True
Quincy Pondexter,4,7,1,0,0,1,21.0,True
Quincy Pondexter,1,2,1,10,103,11,1.1,True
Quincy Pondexter,2,0,0,14,-130,60,10.7,True
Quincy Pondexter,3,8,0,14,6,143,6.8,True
Quincy Pondexter,2,9,0,12,20,123,17.0,True
Quincy Pondexter,3,4,1,6,53,34,13.1,True
Quincy Pondexter,2,6,1,14,-144,7,0.0,True
Quincy Pondexter,2,7,1,8,-68,56,0.1,True
Quincy Pondexter,3,0,0,18,130,127,0.0,True
Quincy Pondexter,3,9,0,11,95,61,11.0,True
Quincy Pondexter,1,7,0,23,231,-11,18.6,False
Quincy Pondexter,3,5,0,10,94,39,2.3,True
Quincy Pondexter,4,10,0,25,173,187,9.8,False
Quincy Pondexter,3,2,0,25,-187,179,21.0,False
Quincy Pondexter,1,5,0,26,225,132,17.0,False
Quincy Pondexter,2,4,0,22,223,3,18.9,False
Quincy Pondexter,2,9,1,22,-228,11,4.2,False
Quincy Pondexter,1,7,0,23,-232,56,10.8,False
Quincy Pondexter,3,11,0,15,-153,11,3.7,True
Quincy Pondexter,1,10,0,24,138,203,3.9,False
Quincy Pondexter,1,10,1,23,-235,9,18.6,False
Quincy Pondexter,2,3,1,24,-8,249,7.8,False
Quincy Pondexter,2,3,1,24,-242,-2,18.5,False
Quincy Pondexter,3,10,1,22,-229,9,16.7,False
Quincy Pondexter,2,0,0,24,-242,31,13.7,False
Quincy Pondexter,3,10,0,26,-193,184,16.1,False
Quincy Pondexter,1,6,0,24,147,197,17.5,False
Quincy Pondexter,1,5,0,24,-228,96,18.4,False
Quincy Pondexter,3,0,0,22,-5,225,12.9,True
Quincy Pondexter,1,4,0,24,160,190,12.5,False
Quincy Pondexter,4,9,1,5,-54,1,8.7,True
Quincy Pondexter,2,4,0,22,223,33,6.1,False
Quincy Pondexter,4,8,0,25,-231,108,3.5,False
Quincy Pondexter,2,8,1,9,77,55,7.3,True
Quincy Pondexter,1,0,1,23,236,-2,0.0,False
Quincy Pondexter,4,8,1,10,-101,0,16.3,True
Quincy Pondexter,3,1,1,24,-26,246,16.0,False
