name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Rajon Rondo,3,8,0,9,-93,15,19.5,True
Rajon Rondo,3,7,1,7,54,50,17.1,True
Rajon Rondo,2,3,1,1,-5,15,21.8,True
Rajon Rondo,3,8,1,0,1,1,21.0,True
Rajon Rondo,2,0,0,2,-4,25,0.0,True
Rajon Rondo,1,9,0,0,-8,4,17.0,True
Rajon Rondo,1,3,1,1,-15,0,15.6,True
Rajon Rondo,1,7,1,0,4,-3,17.0,True
Rajon Rondo,3,11,0,0,0,-2,12.6,True
Rajon Rondo,2,5,1,0,-7,1,19.0,True
Rajon Rondo,3,11,1,3,31,19,15.0,True
Rajon Rondo,1,3,1,0,-4,6,17.3,True
Rajon Rondo,4,2,1,2,28,-3,19.3,True
Rajon Rondo,4,8,0,2,6,20,14.3,True
Rajon Rondo,2,2,1,2,2,28,9.6,True
Rajon Rondo,2,0,0,1,-19,0,11.0,True
Rajon Rondo,3,0,1,1,17,9,16.3,True
Rajon Rondo,4,2,1,1,10,-2,7.2,True
Rajon Rondo,3,6,1,0,4,4,5.6,True
Rajon Rondo,1,9,1,1,-13,-6,17.8,True
Rajon Rondo,1,7,0,5,28,45,16.5,True
Rajon Rondo,2,1,0,5,50,30,13.3,True
Rajon Rondo,3,9,1,3,34,6,15.0,True
Rajon Rondo,3,11,1,5,50,19,19.0,True
Rajon Rondo,4,7,1,5,6,52,9.5,True
Rajon Rondo,1,11,0,4,47,1,16.6,True
Rajon Rondo,1,8,1,1,10,-5,21.2,True
Rajon Rondo,2,0,1,0,7,0,0.0,True
Rajon Rondo,3,8,1,2,20,9,21.0,True
Rajon Rondo,3,6,0,2,26,0,19.6,True
Rajon Rondo,2,1,1,1,10,7,9.8,True
Rajon Rondo,4,8,1,0,2,9,19.1,True
Rajon Rondo,2,4,0,1,17,-6,15.5,True
Rajon Rondo,4,0,1,2,12,25,0.0,True
Rajon Rondo,3,8,1,0,-2,-3,14.5,True
Rajon Rondo,1,10,1,1,12,0,19.2,True
Rajon Rondo,1,5,1,0,9,0,1.7,True
Rajon Rondo,2,2,1,0,1,0,14.8,True
Rajon Rondo,1,5,1,2,18,17,14.8,True
Rajon Rondo,1,5,0,1,-13,9,16.9,True
Rajon Rondo,1,8,1,1,7,11,17.8,True
Rajon Rondo,1,9,0,1,15,9,20.3,True
Rajon Rondo,2,7,1,0,-2,-3,19.9,True
Rajon Rondo,2,7,1,0,2,3,19.8,True
Rajon Rondo,2,6,1,1,-15,1,14.3,True
Rajon Rondo,2,8,1,1,9,-8,18.0,True
Rajon Rondo,3,5,1,0,0,1,20.6,True
Rajon Rondo,1,6,1,13,86,101,13.9,True
Rajon Rondo,1,10,1,10,7,108,9.2,True
Rajon Rondo,4,2,0,10,-101,36,10.3,True
Rajon Rondo,4,3,0,17,18,170,12.9,True
Rajon Rondo,3,10,1,8,-32,82,14.4,True
Rajon Rondo,2,7,1,6,-37,52,12.7,True
Rajon Rondo,4,6,1,7,56,52,13.1,True
Rajon Rondo,4,3,0,8,23,82,12.2,True
Rajon Rondo,3,10,0,8,7,85,23.3,True
Rajon Rondo,2,1,0,5,40,33,16.3,True
Rajon Rondo,1,7,1,24,234,80,8.0,False
Rajon Rondo,2,1,1,24,59,239,15.0,False
