name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Richard Jefferson,1,2,1,0,0,1,20.3,True
Richard Jefferson,4,7,1,0,0,1,24.0,True
Richard Jefferson,4,3,1,3,36,3,13.9,True
Richard Jefferson,4,10,0,6,62,7,7.1,True
Richard Jefferson,2,7,0,0,0,1,16.8,True
Richard Jefferson,2,4,1,0,0,1,9.4,True
Richard Jefferson,2,8,1,0,0,1,17.2,True
Richard Jefferson,1,4,1,0,0,1,20.7,True
Richard Jefferson,4,8,1,0,6,-2,14.0,True
Richard Jefferson,3,7,1,0,0,1,19.6,True
Richard Jefferson,1,11,1,0,0,1,18.5,True
Richard Jefferson,2,7,1,1,4,12,2.4,True
Richard Jefferson,4,8,1,0,2,1,8.9,True
Richard Jefferson,3,1,0,2,10,26,10.0,True
Richard Jefferson,4,3,1,1,6,15,12.7,True
Richard Jefferson,4,9,1,2,20,4,20.0,True
Richard Jefferson,4,5,1,8,2,82,11.5,True
Richard Jefferson,4,4,1,6,56,39,20.4,True
Richard Jefferson,2,4,0,5,-24,47,9.6,True
Richard Jefferson,2,4,0,6,59,30,6.9,True
Richard Jefferson,1,9,0,6,9,67,3.1,True
Richard Jefferson,3,4,0,3,15,33,6.4,True
Richard Jefferson,4,5,0,1,18,1,4.2,True
Richard Jefferson,4,3,1,6,20,58,4.8,True
Richard Jefferson,3,2,1,6,59,36,20.1,True
Richard Jefferson,4,2,0,5,54,11,5.7,True
Richard Jefferson,1,6,0,9,-15,93,11.9,True
Richard Jefferson,3,8,1,6,12,67,13.4,True
Richard Jefferson,3,9,1,3,-4,33,14.8,True
Richard Jefferson,4,7,0,7,31,63,9.5,True
Richard Jefferson,1,7,0,10,102,36,12.1,True
Richard Jefferson,2,7,0,5,-48,20,1.8,True
Richard Jefferson,1,6,0,12,-46,112,6.3,True
Richard Jefferson,4,10,0,3,32,9,13.7,True
Richard Jefferson,2,8,0,1,13,7,20.0,True
Richard Jefferson,3,2,0,1,13,7,13.5,True
Richard Jefferson,1,3,1,1,-13,1,6.7,True
Richard Jefferson,4,9,1,0,-4,3,14.6,True
Richard Jefferson,4,9,0,2,20,20,12.7,True
Richard Jefferson,1,6,1,1,0,15,9.5,True
Richard Jefferson,1,11,1,1,15,0,10.1,True
Richard Jefferson,1,1,0,1,-13,3,12.0,True
Richard Jefferson,1,7,1,2,20,3,20.0,True
Richard Jefferson,1,0,0,2,18,12,12.4,True
Richard Jefferson,2,3,1,1,9,11,10.2,True
Richard Jefferson,3,0,1,0,0,-2,19.0,True
Richard Jefferson,2,3,1,2,17,19,20.3,True
Richard Jefferson,3,11,0,2,-15,15,17.9,True
Richard Jefferson,1,1,0,1,-11,15,16.7,True
Richard Jefferson,4,9,0,1,-13,1,16.7,True
Richard Jefferson,3,0,1,1,-13,15,0.0,True
Richard Jefferson,4,10,0,1,-2,12,0.4,True
Richard Jefferson,2,6,1,2,20,-8,20.6,True
Richard Jefferson,3,6,1,0,0,1,20.5,True
Richard Jefferson,4,8,0,1,12,9,11.1,True
Richard Jefferson,1,1,1,0,0,1,1.6,True
Richard Jefferson,4,6,1,0,0,1,11.4,True
Richard Jefferson,3,9,1,0,0,1,20.2,True
Richard Jefferson,3,6,0,0,0,1,17.2,True
Richard Jefferson,4,4,1,0,0,1,15.4,True
Richard Jefferson,4,4,0,0,0,1,8.2,True
Richard Jefferson,4,2,1,0,0,1,23.8,True
Richard Jefferson,1,10,1,0,0,1,20.0,True
Richard Jefferson,1,1,1,0,0,1,19.5,True
Richard Jefferson,1,0,0,19,73,186,1.1,True
Richard Jefferson,2,5,1,1,13,-3,19.3,True
Richard Jefferson,3,2,0,5,31,47,12.0,True
Richard Jefferson,2,3,0,4,4,48,3.4,True
Richard Jefferson,1,9,1,16,12,162,15.5,True
Richard Jefferson,1,8,0,5,18,56,8.5,True
Richard Jefferson,1,0,1,24,32,242,2.7,False
Richard Jefferson,2,6,0,4,42,23,5.3,True
Richard Jefferson,2,1,0,6,-15,66,23.5,True
Richard Jefferson,2,7,1,23,237,9,15.0,False
Richard Jefferson,2,3,0,3,12,33,23.7,True
Richard Jefferson,4,11,0,20,141,142,14.1,True
Richard Jefferson,4,1,1,24,203,132,22.5,False
Richard Jefferson,4,7,0,23,230,33,7.3,False
Richard Jefferson,4,4,1,22,-221,12,6.0,False
Richard Jefferson,1,5,0,25,157,205,10.6,False
Richard Jefferson,1,3,1,23,4,231,9.1,True
Richard Jefferson,4,1,1,23,-232,12,1.8,False
Richard Jefferson,4,11,1,25,26,250,6.0,False
Richard Jefferson,4,1,1,24,185,167,13.7,False
Richard Jefferson,4,0,1,22,-221,-2,1.0,False
Richard Jefferson,1,3,1,24,155,186,13.6,False
Richard Jefferson,1,8,1,22,-226,19,8.2,False
Richard Jefferson,2,5,1,22,-226,15,10.5,False
Richard Jefferson,4,5,1,24,-191,151,6.1,False
Richard Jefferson,4,4,1,18,43,175,10.2,True
Richard Jefferson,2,5,1,22,222,7,13.8,False
Richard Jefferson,3,4,1,3,32,17,9.6,True
Richard Jefferson,2,9,1,18,189,0,8.9,True
Richard Jefferson,3,0,1,23,-232,3,0.0,False
Richard Jefferson,4,9,1,23,-234,-2,13.9,False
Richard Jefferson,3,4,1,23,225,77,3.4,False
Richard Jefferson,4,10,1,25,-182,176,8.1,False
Richard Jefferson,4,8,1,25,-223,121,4.4,False
Richard Jefferson,1,1,1,21,-138,162,9.4,True
Richard Jefferson,4,8,1,22,-223,-11,9.0,False
Richard Jefferson,2,8,1,24,215,121,21.6,False
Richard Jefferson,3,10,1,21,-15,217,13.9,True
Richard Jefferson,4,5,1,21,17,214,16.0,True
Richard Jefferson,3,7,1,26,-190,178,5.8,False
Richard Jefferson,4,3,0,26,-138,224,12.0,False
Richard Jefferson,1,3,0,4,31,28,11.0,True
Richard Jefferson,1,8,0,22,228,15,17.4,False
Richard Jefferson,3,7,0,6,0,67,12.8,True
Richard Jefferson,4,11,1,23,236,23,14.7,False
Richard Jefferson,1,3,0,9,65,71,16.0,True
Richard Jefferson,3,8,1,23,230,45,11.9,False
Richard Jefferson,2,4,1,25,-116,225,8.8,False
Richard Jefferson,1,11,1,23,233,28,11.2,False
Richard Jefferson,1,6,1,25,95,233,6.6,False
Richard Jefferson,4,4,0,25,108,227,5.0,False
Richard Jefferson,3,6,1,25,-11,255,16.1,False
Richard Jefferson,2,4,1,24,147,192,8.0,False
Richard Jefferson,1,0,1,24,-183,164,16.3,False
Richard Jefferson,2,6,0,21,26,214,13.0,True
Richard Jefferson,1,2,1,19,-197,4,0.0,True
Richard Jefferson,3,3,0,24,176,168,20.3,False
Richard Jefferson,3,3,0,25,-133,213,11.3,False
