name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Ricky Rubio,1,6,1,2,24,7,2.5,True
Ricky Rubio,1,9,0,1,-8,7,15.5,True
Ricky Rubio,2,0,0,1,4,11,15.0,True
Ricky Rubio,4,1,1,2,-21,-3,13.0,True
Ricky Rubio,3,8,0,0,0,-3,18.0,True
Ricky Rubio,3,4,1,1,1,15,14.0,True
Ricky Rubio,4,3,0,1,-2,15,14.9,True
Ricky Rubio,3,10,1,1,2,11,14.5,True
Ricky Rubio,4,4,0,0,1,0,9.0,True
Ricky Rubio,1,6,0,1,-18,4,9.0,True
Ricky Rubio,1,6,0,0,-5,0,18.2,True
Ricky Rubio,1,6,0,0,6,-2,12.3,True
Ricky Rubio,1,6,1,1,-4,-13,15.0,True
Ricky Rubio,3,7,0,3,-32,3,9.4,True
Ricky Rubio,1,5,0,2,4,23,19.5,True
Ricky Rubio,3,2,1,1,0,12,15.1,True
Ricky Rubio,4,3,0,0,7,1,0.0,True
Ricky Rubio,2,3,0,1,0,12,12.8,True
Ricky Rubio,2,2,0,0,7,-5,20.5,True
Ricky Rubio,3,7,1,1,0,12,17.2,True
Ricky Rubio,4,7,0,2,-2,28,13.0,True
Ricky Rubio,2,3,0,0,-2,9,20.7,True
Ricky Rubio,3,9,0,1,-18,4,17.0,True
Ricky Rubio,3,11,0,2,26,-2,14.0,True
Ricky Rubio,4,4,0,2,0,22,13.2,True
Ricky Rubio,1,0,0,2,-15,23,16.7,True
Ricky Rubio,1,6,0,8,-70,39,17.3,True
Ricky Rubio,2,2,1,10,-108,6,18.0,True
Ricky Rubio,1,1,1,14,56,129,13.3,True
Ricky Rubio,1,10,0,21,-147,153,16.7,True
Ricky Rubio,1,4,1,13,-130,42,15.7,True
Ricky Rubio,3,9,0,10,18,104,12.0,True
Ricky Rubio,3,2,1,13,-21,132,12.0,True
Ricky Rubio,2,0,1,15,-13,151,16.0,True
Ricky Rubio,1,6,0,18,10,189,6.8,True
Ricky Rubio,3,9,0,20,106,173,17.0,True
Ricky Rubio,1,3,1,19,-51,189,13.0,True
Ricky Rubio,1,3,1,19,125,154,6.4,True
Ricky Rubio,1,8,1,19,0,198,13.7,True
Ricky Rubio,1,6,1,24,105,217,15.3,False
Ricky Rubio,3,5,1,18,182,-13,10.3,True
Ricky Rubio,4,2,1,20,-179,104,12.7,True
Ricky Rubio,1,9,1,20,-24,206,10.3,True
Ricky Rubio,1,9,1,17,-133,118,19.4,True
Ricky Rubio,1,6,0,24,236,67,17.6,False
Ricky Rubio,2,9,0,19,65,189,10.6,True
Ricky Rubio,3,5,0,20,-191,71,11.3,True
Ricky Rubio,1,0,0,25,-204,146,0.0,False
Ricky Rubio,2,0,0,16,143,89,10.7,True
Ricky Rubio,3,9,0,22,-226,23,13.0,False
Ricky Rubio,1,10,0,19,-45,189,12.7,True
Ricky Rubio,4,5,1,21,135,168,14.4,True
Ricky Rubio,2,1,1,24,-76,235,6.9,False
Ricky Rubio,4,7,1,17,110,140,18.2,True
Ricky Rubio,3,6,0,25,-122,224,11.3,False
Ricky Rubio,1,2,0,20,136,151,21.5,True
Ricky Rubio,1,3,0,16,-160,37,11.1,True
Ricky Rubio,1,4,0,14,32,146,3.1,True
Ricky Rubio,1,4,0,18,-146,116,8.4,True
Ricky Rubio,3,10,0,23,64,230,3.5,False
Ricky Rubio,2,4,0,21,143,165,12.4,True
Ricky Rubio,2,8,0,21,152,157,12.5,True
Ricky Rubio,3,10,0,14,2,149,13.1,True
Ricky Rubio,3,0,0,20,-106,179,8.5,True
Ricky Rubio,1,4,0,23,-237,37,11.3,False
Ricky Rubio,3,9,0,16,-153,66,13.3,True
Ricky Rubio,1,5,0,17,4,178,21.4,True
Ricky Rubio,4,2,0,19,64,189,13.0,True
Ricky Rubio,3,10,0,18,-76,173,8.0,True
Ricky Rubio,1,7,0,25,-98,233,10.0,False
Ricky Rubio,2,11,0,24,-114,216,5.6,False
Ricky Rubio,3,10,0,16,146,77,18.2,True
Ricky Rubio,4,7,0,22,-224,34,10.8,False
Ricky Rubio,1,7,0,20,133,156,18.9,True
Ricky Rubio,3,6,1,11,-112,20,20.5,True
Ricky Rubio,3,7,0,24,174,176,19.4,False
