name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Rudy Gay,1,8,1,0,0,1,21.1,True
Rudy Gay,2,4,1,0,0,1,14.3,True
Rudy Gay,2,1,1,0,0,1,24.0,True
Rudy Gay,3,1,1,0,0,1,24.0,True
Rudy Gay,3,7,1,0,0,1,6.9,True
Rudy Gay,3,1,1,0,0,1,20.3,True
Rudy Gay,1,9,1,1,-10,4,18.5,True
Rudy Gay,4,1,1,2,-23,9,19.6,True
Rudy Gay,4,8,0,5,50,20,12.6,True
Rudy Gay,1,6,1,8,-76,28,9.9,True
Rudy Gay,4,8,0,2,15,17,6.6,True
Rudy Gay,4,7,1,0,0,1,12.9,True
Rudy Gay,2,6,1,0,0,1,14.1,True
Rudy Gay,3,8,1,0,0,1,8.9,True
Rudy Gay,3,2,1,0,0,1,5.5,True
Rudy Gay,2,4,1,0,0,1,8.9,True
Rudy Gay,2,7,0,0,0,1,0.0,True
Rudy Gay,3,4,0,0,0,1,22.3,True
Rudy Gay,1,9,1,0,0,1,18.7,True
Rudy Gay,3,9,1,0,0,1,15.4,True
Rudy Gay,2,3,1,1,18,1,21.1,True
Rudy Gay,4,0,0,1,12,4,0.0,True
Rudy Gay,3,10,0,1,0,15,19.9,True
Rudy Gay,3,4,0,3,34,11,6.4,True
Rudy Gay,1,2,1,0,-5,1,5.9,True
Rudy Gay,4,4,0,5,50,31,15.3,True
Rudy Gay,3,2,1,6,28,61,15.0,True
Rudy Gay,4,6,1,9,6,94,14.9,True
Rudy Gay,2,4,0,6,61,9,14.2,True
Rudy Gay,3,3,0,5,23,50,8.4,True
Rudy Gay,1,5,0,9,81,41,10.8,True
Rudy Gay,3,7,1,2,20,9,11.0,True
Rudy Gay,2,3,0,3,1,37,2.0,True
Rudy Gay,2,4,1,5,51,30,20.5,True
Rudy Gay,3,9,0,6,21,66,15.3,True
Rudy Gay,2,0,1,3,34,19,13.0,True
Rudy Gay,1,10,1,2,-19,14,8.0,True
Rudy Gay,2,2,1,3,34,17,15.2,True
Rudy Gay,2,5,1,3,-27,20,10.6,True
Rudy Gay,2,2,1,2,20,6,18.3,True
Rudy Gay,4,7,0,1,-10,0,11.4,True
Rudy Gay,4,0,1,2,21,15,4.9,True
Rudy Gay,4,4,1,1,18,6,10.6,True
Rudy Gay,4,5,1,1,-16,3,9.6,True
Rudy Gay,3,8,0,2,26,12,13.0,True
Rudy Gay,1,8,1,2,21,0,20.9,True
Rudy Gay,3,4,1,4,-41,9,7.6,True
Rudy Gay,2,1,1,1,12,3,13.0,True
Rudy Gay,2,3,1,2,-26,4,15.6,True
Rudy Gay,3,8,1,2,9,22,20.7,True
Rudy Gay,4,1,1,3,0,39,17.4,True
Rudy Gay,4,6,1,3,-7,33,16.4,True
Rudy Gay,1,7,0,2,21,6,17.3,True
Rudy Gay,3,8,0,4,29,28,9.0,True
Rudy Gay,4,0,1,1,18,-6,0.0,True
Rudy Gay,1,6,1,3,29,22,12.8,True
Rudy Gay,3,0,0,3,37,1,9.4,True
Rudy Gay,2,0,0,2,23,15,16.6,True
Rudy Gay,4,4,0,2,-21,20,11.0,True
