name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Shabazz Napier,2,4,1,2,24,0,3.0,True
Shabazz Napier,2,10,1,1,4,11,15.4,True
Shabazz Napier,3,5,0,8,29,83,14.8,True
Shabazz Napier,1,8,0,2,26,-13,20.9,True
Shabazz Napier,3,6,1,1,2,12,17.7,True
Shabazz Napier,2,9,0,2,6,22,1.4,True
Shabazz Napier,1,1,1,1,18,-2,8.5,True
Shabazz Napier,4,1,1,1,17,4,9.0,True
Shabazz Napier,2,8,1,1,-10,11,15.6,True
Shabazz Napier,4,6,1,1,-15,11,19.3,True
Shabazz Napier,2,4,1,1,15,6,19.3,True
Shabazz Napier,4,2,0,2,-11,23,18.8,True
Shabazz Napier,3,4,0,2,9,20,1.8,True
Shabazz Napier,4,10,0,1,-13,1,10.4,True
Shabazz Napier,1,3,0,1,13,15,19.1,True
Shabazz Napier,4,10,0,1,-16,-5,4.9,True
Shabazz Napier,3,0,0,2,-19,17,5.9,True
Shabazz Napier,4,8,1,1,15,1,21.3,True
Shabazz Napier,2,10,0,0,-4,0,18.1,True
Shabazz Napier,4,10,1,3,21,30,19.7,True
Shabazz Napier,1,0,1,1,-8,6,3.2,True
Shabazz Napier,2,7,1,1,15,4,13.0,True
Shabazz Napier,2,4,0,8,-5,83,9.9,True
Shabazz Napier,3,5,1,12,-57,112,1.5,True
Shabazz Napier,1,6,0,9,-11,94,9.4,True
Shabazz Napier,2,11,1,11,65,99,5.5,True
Shabazz Napier,4,8,1,5,0,53,10.4,True
Shabazz Napier,2,1,0,25,24,252,9.9,False
Shabazz Napier,1,7,0,24,-100,227,11.6,False
Shabazz Napier,3,1,0,14,-120,86,18.5,True
Shabazz Napier,3,0,0,26,141,227,1.6,False
Shabazz Napier,4,2,0,25,-207,156,12.1,False
Shabazz Napier,1,11,0,24,244,-5,4.5,False
Shabazz Napier,2,6,1,23,-228,52,4.7,False
Shabazz Napier,1,0,0,25,-153,198,0.0,False
Shabazz Napier,1,1,1,23,239,-16,12.9,False
Shabazz Napier,2,9,1,24,196,153,16.2,False
Shabazz Napier,4,7,1,23,-196,138,15.4,False
Shabazz Napier,4,6,1,23,-199,134,13.0,False
Shabazz Napier,1,2,1,24,-84,235,4.3,False
Shabazz Napier,4,10,1,18,-101,157,10.9,True
Shabazz Napier,1,1,1,17,138,105,8.8,True
Shabazz Napier,2,7,1,25,-119,220,15.6,False
Shabazz Napier,3,0,1,25,106,230,1.1,False
Shabazz Napier,4,10,1,26,-152,222,3.5,False
Shabazz Napier,2,6,1,18,-97,153,6.6,True
Shabazz Napier,3,1,1,24,-164,183,6.0,False
Shabazz Napier,4,8,1,25,95,235,12.1,False
Shabazz Napier,1,2,0,26,-193,181,14.3,False
Shabazz Napier,1,0,0,23,230,6,15.8,False
Shabazz Napier,2,10,1,26,-18,265,12.2,False
Shabazz Napier,2,3,1,17,-177,14,12.6,True
Shabazz Napier,3,3,1,26,45,263,8.5,False
Shabazz Napier,1,1,1,25,108,230,7.3,False
Shabazz Napier,3,4,1,23,234,0,3.1,False
Shabazz Napier,3,3,1,24,-201,137,15.8,False
Shabazz Napier,3,2,0,8,4,86,2.0,True
Shabazz Napier,4,5,1,25,163,195,13.6,False
Shabazz Napier,1,1,1,14,-142,26,15.8,True
Shabazz Napier,4,8,0,24,34,246,7.0,False
Shabazz Napier,1,4,1,25,138,211,1.5,False
Shabazz Napier,3,3,1,23,-231,17,16.1,False
Shabazz Napier,3,2,0,9,65,66,1.5,True
Shabazz Napier,1,3,1,24,152,195,14.2,False
Shabazz Napier,3,0,0,63,207,599,0.0,False
Shabazz Napier,4,0,1,25,193,173,0.0,False
Shabazz Napier,1,2,1,24,207,127,8.5,False
Shabazz Napier,2,9,0,25,-7,255,24.0,False
Shabazz Napier,4,10,1,26,105,238,10.8,False
Shabazz Napier,4,9,1,26,4,263,7.9,False
Shabazz Napier,2,10,0,24,-175,173,3.2,False
Shabazz Napier,4,0,0,25,-15,252,0.0,False
Shabazz Napier,1,0,1,24,-150,190,0.0,False
Shabazz Napier,2,11,1,23,-231,20,9.8,False
Shabazz Napier,3,0,0,22,228,-11,0.0,False
Shabazz Napier,1,0,0,26,166,205,2.7,False
Shabazz Napier,3,0,0,23,-231,37,0.0,False
Shabazz Napier,1,3,0,19,-119,157,14.9,True
Shabazz Napier,3,1,0,18,121,138,0.6,True
Shabazz Napier,4,10,1,16,-84,138,6.3,True
Shabazz Napier,2,6,1,24,-79,231,10.8,False
Shabazz Napier,4,9,1,26,155,213,6.0,False
Shabazz Napier,4,3,0,25,-198,162,4.4,False
Shabazz Napier,1,0,0,25,-157,200,0.0,False
Shabazz Napier,2,11,0,14,-149,12,9.4,True
Shabazz Napier,4,7,1,19,132,140,5.9,True
Shabazz Napier,3,10,1,23,237,0,11.5,False
Shabazz Napier,1,1,1,20,133,159,7.0,True
Shabazz Napier,4,3,0,14,143,4,20.0,True
Shabazz Napier,4,10,0,18,6,183,1.8,True
Shabazz Napier,2,6,0,16,86,145,17.2,True
Shabazz Napier,2,10,0,25,212,135,22.4,False
Shabazz Napier,4,11,0,18,-141,113,3.3,True
Shabazz Napier,1,3,0,24,242,19,6.8,False
Shabazz Napier,4,10,0,20,-136,148,7.2,True
Shabazz Napier,1,3,0,23,0,230,11.0,True
Shabazz Napier,1,6,1,25,170,192,7.6,False
Shabazz Napier,2,0,0,18,168,80,0.0,True
Shabazz Napier,3,8,0,24,65,235,12.4,False
Shabazz Napier,3,4,0,25,7,250,1.8,False
Shabazz Napier,3,7,1,17,-136,113,6.6,True
Shabazz Napier,2,9,0,25,94,236,12.7,False
Shabazz Napier,1,6,0,23,-237,0,17.6,False
Shabazz Napier,1,6,1,15,152,-17,17.3,True
Shabazz Napier,2,4,0,20,-122,168,0.7,True
Shabazz Napier,4,2,0,25,-155,197,19.6,False
Shabazz Napier,2,11,0,24,-175,170,14.1,False
Shabazz Napier,4,4,0,24,-101,220,8.3,False
Shabazz Napier,1,0,0,24,-168,179,10.8,False
Shabazz Napier,3,2,0,24,138,206,16.4,False
Shabazz Napier,1,5,0,17,-40,167,7.6,True
Shabazz Napier,4,9,0,25,-175,187,5.8,False
Shabazz Napier,3,3,0,24,110,219,6.6,False
Shabazz Napier,2,9,0,18,133,134,5.4,True
Shabazz Napier,2,1,0,25,201,159,2.9,False
Shabazz Napier,2,2,1,18,-116,140,21.0,True
Shabazz Napier,2,8,0,23,-229,58,1.0,False
Shabazz Napier,2,9,0,25,151,200,7.1,False
Shabazz Napier,3,5,0,24,-243,-5,16.7,False
Shabazz Napier,1,4,0,25,144,206,10.8,False
Shabazz Napier,4,7,0,23,-231,0,14.0,False
Shabazz Napier,2,5,0,25,185,175,5.1,False
Shabazz Napier,2,9,0,26,-133,228,14.3,False
Shabazz Napier,1,1,0,19,130,149,16.0,True
Shabazz Napier,3,5,0,24,-111,220,11.5,False
Shabazz Napier,2,9,0,25,-188,178,21.2,False
Shabazz Napier,2,10,0,25,110,233,2.9,False
Shabazz Napier,3,1,0,11,-4,113,7.2,True
Shabazz Napier,1,10,1,18,43,178,15.7,True
Shabazz Napier,2,1,1,15,110,108,13.3,True
Shabazz Napier,4,4,0,24,245,-30,4.2,False
Shabazz Napier,1,0,0,22,168,145,5.0,True
Shabazz Napier,2,10,0,20,17,206,2.1,True
Shabazz Napier,3,8,0,26,-149,222,8.5,False
Shabazz Napier,3,0,0,25,110,230,0.0,False
Shabazz Napier,3,3,1,26,187,194,10.7,False
Shabazz Napier,2,11,1,25,-149,209,15.1,False
Shabazz Napier,4,6,0,25,69,241,9.0,False
Shabazz Napier,3,0,0,19,72,181,5.8,True
Shabazz Napier,4,1,0,20,-26,200,10.0,True
Shabazz Napier,1,9,0,23,-231,6,12.0,False
Shabazz Napier,3,2,1,26,-95,247,8.3,False
Shabazz Napier,3,2,1,26,102,246,12.9,False
Shabazz Napier,1,0,1,24,-240,12,5.7,False
Shabazz Napier,1,2,0,18,108,145,14.9,True
Shabazz Napier,1,1,0,21,143,160,5.7,True
Shabazz Napier,2,8,0,23,-232,26,16.2,False
Shabazz Napier,1,3,0,4,-4,41,9.7,True
Shabazz Napier,1,7,1,23,237,0,8.3,False
Shabazz Napier,1,6,0,16,95,132,1.0,True
Shabazz Napier,4,1,1,25,212,134,17.5,False
Shabazz Napier,4,0,0,18,-15,186,18.9,True
Shabazz Napier,3,8,1,22,225,12,2.5,False
Shabazz Napier,3,5,1,23,236,7,11.1,False
Shabazz Napier,2,2,0,23,-229,23,7.3,False
Shabazz Napier,4,3,0,21,162,143,1.1,True
Shabazz Napier,2,4,0,21,111,189,5.0,True
Shabazz Napier,3,11,0,24,110,224,8.4,False
Shabazz Napier,3,6,0,25,207,142,13.4,False
Shabazz Napier,1,7,1,17,-2,170,19.4,True
Shabazz Napier,1,7,0,24,-243,14,12.5,False
Shabazz Napier,4,5,0,25,-122,219,8.6,False
Shabazz Napier,3,0,0,25,-21,250,2.9,False
Shabazz Napier,2,6,0,24,13,244,2.6,False
Shabazz Napier,3,11,1,18,114,145,18.7,True
Shabazz Napier,3,7,0,24,-242,7,2.4,False
Shabazz Napier,3,10,0,23,228,67,12.9,False
Shabazz Napier,1,10,0,25,-185,170,6.9,False
Shabazz Napier,1,4,0,7,-75,14,1.4,True
Shabazz Napier,2,2,1,19,-11,190,11.2,True
Shabazz Napier,4,11,1,20,195,53,11.3,True
Shabazz Napier,4,6,1,23,234,42,6.2,False
Shabazz Napier,2,0,0,24,187,153,0.0,False
Shabazz Napier,1,0,0,6,61,14,9.8,True
Shabazz Napier,1,6,0,10,99,23,17.6,True
Shabazz Napier,4,3,0,24,234,78,17.2,False
Shabazz Napier,4,8,0,4,43,9,3.0,True
Shabazz Napier,1,0,0,3,32,6,0.0,True
Shabazz Napier,3,0,0,28,102,269,0.0,False
Shabazz Napier,2,10,0,23,-231,-3,16.6,False
Shabazz Napier,2,10,0,25,-40,254,7.9,False
Shabazz Napier,2,9,0,24,239,47,20.9,False
Shabazz Napier,3,1,0,27,-158,224,10.0,False
Shabazz Napier,4,9,0,24,-95,227,8.0,False
Shabazz Napier,4,6,0,25,-139,213,4.8,False
Shabazz Napier,4,8,0,20,147,146,3.3,True
Shabazz Napier,3,1,0,20,-127,156,12.8,True
Shabazz Napier,4,3,0,19,185,67,2.9,True
Shabazz Napier,1,10,0,25,-149,205,4.9,False
Shabazz Napier,1,8,0,25,-131,219,19.4,False
Shabazz Napier,1,7,0,19,-155,121,14.0,True
Shabazz Napier,2,9,0,24,226,101,6.4,False
Shabazz Napier,2,5,0,23,-229,63,18.2,False
Shabazz Napier,3,1,0,18,10,183,9.2,True
Shabazz Napier,4,10,0,24,-158,190,0.8,False
Shabazz Napier,2,4,0,24,122,216,2.2,False
Shabazz Napier,4,4,0,25,-92,233,9.7,False
Shabazz Napier,4,2,1,2,21,6,12.1,True
Shabazz Napier,3,1,0,0,-4,3,4.4,True
Shabazz Napier,3,5,0,2,24,9,12.4,True
Shabazz Napier,3,0,1,1,13,6,0.0,True
Shabazz Napier,4,4,0,1,12,15,9.0,True
Shabazz Napier,3,9,0,0,4,9,13.7,True
Shabazz Napier,3,6,0,2,4,25,1.4,True
Shabazz Napier,3,0,0,1,-11,12,20.9,True
Shabazz Napier,2,2,1,1,2,11,9.9,True
Shabazz Napier,3,1,0,0,1,1,21.8,True
Shabazz Napier,4,7,0,0,-5,1,13.0,True
Shabazz Napier,2,11,0,19,-185,64,6.5,True
Shabazz Napier,3,8,1,27,-163,227,10.4,False
Shabazz Napier,4,2,0,26,-191,186,18.4,False
Shabazz Napier,3,1,1,25,-147,211,19.7,False
Shabazz Napier,2,0,1,1,-10,12,24.0,True
Shabazz Napier,2,10,1,1,-15,4,4.2,True
Shabazz Napier,4,3,0,4,15,41,18.5,True
Shabazz Napier,4,5,1,27,81,261,0.5,False
Shabazz Napier,1,9,1,10,-105,23,12.7,True
Shabazz Napier,4,11,0,7,67,23,12.0,True
Shabazz Napier,1,5,0,15,-103,115,8.1,True
Shabazz Napier,3,0,0,0,-4,4,21.3,True
Shabazz Napier,4,6,0,1,17,6,5.1,True
Shabazz Napier,4,0,1,17,-97,143,5.9,True
Shabazz Napier,4,2,1,19,-86,170,8.0,True
Shabazz Napier,1,0,1,22,118,190,3.7,True
Shabazz Napier,4,0,1,20,-183,93,11.1,True
Shabazz Napier,2,9,0,18,-138,124,12.1,True
Shabazz Napier,1,2,1,19,94,172,11.4,True
Shabazz Napier,1,3,1,17,70,157,3.1,True
