name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Shawn Marion,4,11,1,0,0,1,7.0,True
Shawn Marion,1,3,1,0,0,1,20.8,True
Shawn Marion,1,8,1,0,0,1,17.7,True
Shawn Marion,4,3,1,0,0,1,12.6,True
Shawn Marion,3,11,0,15,-152,14,4.0,True
Shawn Marion,1,3,1,1,17,6,10.6,True
Shawn Marion,2,7,0,1,-7,14,16.8,True
Shawn Marion,2,1,0,1,15,3,8.0,True
Shawn Marion,4,7,0,2,-18,23,4.7,True
Shawn Marion,3,4,1,2,-23,-2,20.4,True
Shawn Marion,2,6,1,0,6,4,14.9,True
Shawn Marion,1,5,1,0,0,1,22.0,True
Shawn Marion,2,1,1,0,0,1,21.0,True
Shawn Marion,2,7,1,0,0,1,13.6,True
Shawn Marion,3,0,1,0,0,1,22.0,True
Shawn Marion,2,0,1,0,0,1,9.2,True
Shawn Marion,3,6,1,0,0,1,21.2,True
Shawn Marion,2,9,1,0,0,1,22.3,True
Shawn Marion,3,2,1,0,0,1,21.5,True
Shawn Marion,2,1,1,0,0,1,21.8,True
Shawn Marion,3,7,0,0,0,1,3.2,True
Shawn Marion,4,10,1,0,0,1,11.1,True
Shawn Marion,2,7,1,0,0,1,20.5,True
Shawn Marion,3,10,1,0,0,1,20.0,True
Shawn Marion,3,0,1,0,0,1,9.7,True
Shawn Marion,2,0,1,0,0,1,7.3,True
Shawn Marion,2,6,1,0,0,1,19.6,True
Shawn Marion,4,10,1,0,0,1,24.0,True
Shawn Marion,3,9,1,0,0,1,0.0,True
Shawn Marion,2,1,0,3,39,0,10.7,True
Shawn Marion,3,5,1,4,20,45,23.8,True
Shawn Marion,2,10,1,10,-105,17,10.8,True
Shawn Marion,4,11,1,11,54,96,12.8,True
Shawn Marion,3,4,1,11,-109,15,2.7,True
Shawn Marion,1,6,0,7,34,63,13.7,True
Shawn Marion,4,10,1,6,-5,66,5.2,True
Shawn Marion,4,11,0,7,43,58,5.6,True
Shawn Marion,2,6,0,9,-97,20,15.0,True
Shawn Marion,3,0,1,5,-32,39,4.5,True
Shawn Marion,1,5,0,7,75,17,7.0,True
Shawn Marion,3,1,0,5,-13,56,12.5,True
Shawn Marion,1,10,0,8,39,71,18.9,True
Shawn Marion,3,0,0,20,-78,186,0.0,True
Shawn Marion,1,5,0,9,-52,75,21.1,True
Shawn Marion,3,0,1,6,-45,48,2.2,True
Shawn Marion,4,10,1,5,7,52,9.3,True
Shawn Marion,2,3,1,12,6,121,16.8,True
Shawn Marion,3,3,1,2,-27,12,7.8,True
Shawn Marion,2,10,0,7,-11,77,6.6,True
Shawn Marion,2,4,0,8,88,12,12.8,True
Shawn Marion,2,1,1,5,-57,6,1.9,True
Shawn Marion,4,9,0,11,-95,69,3.1,True
Shawn Marion,4,9,0,9,80,47,12.0,True
Shawn Marion,2,10,1,6,43,53,14.0,True
Shawn Marion,3,1,0,6,50,37,14.9,True
Shawn Marion,1,10,1,7,50,55,19.8,True
Shawn Marion,3,2,1,6,58,31,12.8,True
Shawn Marion,2,7,0,5,-13,53,17.0,True
Shawn Marion,4,5,0,6,45,44,23.7,True
Shawn Marion,4,8,1,6,59,37,2.0,True
Shawn Marion,3,3,1,5,45,26,23.4,True
Shawn Marion,4,6,1,4,4,42,23.5,True
Shawn Marion,4,1,1,5,0,56,6.3,True
Shawn Marion,2,7,1,13,17,129,10.4,True
Shawn Marion,2,7,1,22,228,11,11.1,False
Shawn Marion,2,1,0,7,75,-14,0.0,True
Shawn Marion,1,5,1,23,234,11,6.0,False
Shawn Marion,1,5,1,25,230,102,9.2,False
Shawn Marion,1,9,1,24,-240,-14,8.0,False
Shawn Marion,1,9,0,24,-242,-2,21.8,False
Shawn Marion,1,4,1,24,-177,176,10.0,False
Shawn Marion,3,9,1,24,239,28,8.9,False
Shawn Marion,1,8,0,6,61,16,6.0,True
Shawn Marion,2,5,1,23,233,9,8.9,False
Shawn Marion,3,3,1,22,-229,7,16.9,False
Shawn Marion,1,6,0,24,-242,0,10.0,False
Shawn Marion,3,6,1,22,222,31,5.4,False
Shawn Marion,1,5,1,23,-232,-10,16.7,False
Shawn Marion,2,9,0,15,103,115,18.6,True
Shawn Marion,3,11,0,24,176,176,7.2,False
Shawn Marion,3,0,1,23,234,3,4.3,False
Shawn Marion,1,0,1,8,0,82,8.0,True
Shawn Marion,1,0,0,23,-231,0,11.7,False
Shawn Marion,4,9,0,25,-15,255,8.7,False
Shawn Marion,2,7,0,10,-101,23,10.5,True
Shawn Marion,2,0,1,23,-237,-6,12.2,False
Shawn Marion,3,2,0,6,-62,28,7.9,True
Shawn Marion,2,2,0,3,31,-10,8.8,True
Shawn Marion,2,2,1,8,-54,60,14.0,True
Shawn Marion,4,9,0,4,-32,34,12.3,True
Shawn Marion,2,10,0,10,-84,56,11.3,True
Shawn Marion,1,7,0,22,-224,-17,22.4,False
Shawn Marion,4,10,0,23,220,69,10.9,True
Shawn Marion,2,9,0,10,65,86,6.7,True
Shawn Marion,2,4,0,23,231,-6,10.2,False
Shawn Marion,2,10,0,7,-67,33,10.3,True
Shawn Marion,4,7,0,6,59,-24,10.0,True
Shawn Marion,2,0,0,24,241,0,6.2,False
Shawn Marion,4,1,0,22,228,3,6.8,False
Shawn Marion,2,6,0,5,43,26,13.0,True
Shawn Marion,4,11,0,4,20,36,11.9,True
Shawn Marion,3,5,0,3,-27,22,9.8,True
Shawn Marion,1,9,0,23,230,17,12.4,False
Shawn Marion,2,4,0,23,234,3,7.6,False
Shawn Marion,2,9,0,22,-229,1,11.9,False
Shawn Marion,3,7,0,23,-234,17,3.6,False
Shawn Marion,3,7,0,3,-8,34,13.3,True
Shawn Marion,2,6,0,22,-221,6,15.4,False
Shawn Marion,2,11,0,7,1,72,10.2,True
Shawn Marion,1,8,0,6,4,67,5.8,True
Shawn Marion,1,9,0,25,217,127,3.1,False
