name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Shelvin Mack,1,0,1,7,67,34,8.3,True
Shelvin Mack,1,1,0,3,28,12,7.7,True
Shelvin Mack,4,11,1,0,0,1,7.6,True
Shelvin Mack,3,2,0,3,31,20,2.1,True
Shelvin Mack,2,10,0,7,9,75,11.7,True
Shelvin Mack,2,11,0,3,-32,1,11.1,True
Shelvin Mack,2,7,1,6,34,50,13.0,True
Shelvin Mack,1,0,1,7,21,75,0.0,True
Shelvin Mack,4,10,0,4,43,17,0.0,True
Shelvin Mack,2,10,0,9,-23,96,7.7,True
Shelvin Mack,2,10,0,4,-37,26,9.0,True
Shelvin Mack,1,0,0,1,13,15,14.7,True
Shelvin Mack,2,7,0,2,-6,24,20.8,True
Shelvin Mack,1,0,1,2,21,20,5.4,True
Shelvin Mack,2,0,0,2,-18,23,0.0,True
Shelvin Mack,4,4,1,1,-13,7,15.3,True
Shelvin Mack,1,1,0,2,23,3,13.4,True
Shelvin Mack,2,8,1,1,10,0,17.0,True
Shelvin Mack,4,9,1,0,-4,9,18.6,True
Shelvin Mack,2,11,1,2,-10,19,3.3,True
Shelvin Mack,2,11,1,1,-11,8,0.0,True
Shelvin Mack,1,3,1,1,5,13,0.0,True
Shelvin Mack,1,0,1,1,15,3,19.9,True
Shelvin Mack,4,9,0,2,-23,0,18.2,True
Shelvin Mack,2,6,0,1,12,3,14.2,True
Shelvin Mack,4,0,1,0,1,1,0.0,True
Shelvin Mack,3,0,0,2,29,7,8.1,True
Shelvin Mack,1,1,0,2,24,-6,13.9,True
Shelvin Mack,3,0,0,2,21,4,17.5,True
Shelvin Mack,3,3,0,3,31,1,12.0,True
Shelvin Mack,3,1,0,1,13,6,8.7,True
Shelvin Mack,1,1,0,1,6,11,6.1,True
Shelvin Mack,3,0,0,1,-13,9,0.0,True
Shelvin Mack,4,0,1,2,20,-2,4.4,True
Shelvin Mack,2,9,1,2,13,22,8.9,True
Shelvin Mack,3,2,1,1,11,12,11.4,True
Shelvin Mack,4,10,0,1,-19,0,16.2,True
Shelvin Mack,4,2,1,2,28,7,3.2,True
Shelvin Mack,2,9,1,0,-8,-5,18.9,True
Shelvin Mack,4,7,1,1,-15,0,3.3,True
Shelvin Mack,3,0,0,7,67,39,3.3,True
Shelvin Mack,3,2,0,12,-16,121,3.4,True
Shelvin Mack,4,0,0,18,130,135,3.0,True
Shelvin Mack,2,10,1,10,-82,63,14.9,True
Shelvin Mack,3,0,1,1,6,12,13.1,True
Shelvin Mack,2,10,0,4,1,41,7.0,True
Shelvin Mack,4,0,0,18,103,156,1.1,True
Shelvin Mack,3,2,1,10,-57,83,0.0,True
Shelvin Mack,4,10,1,8,2,83,12.0,True
Shelvin Mack,4,9,1,7,7,71,2.0,True
Shelvin Mack,1,2,0,7,17,77,0.0,True
Shelvin Mack,4,0,1,8,24,82,15.5,True
Shelvin Mack,1,0,1,7,70,23,17.3,True
Shelvin Mack,2,4,1,7,12,71,15.5,True
Shelvin Mack,3,2,1,10,4,101,0.0,True
Shelvin Mack,1,0,0,10,23,104,14.7,True
Shelvin Mack,4,10,1,6,7,66,7.4,True
Shelvin Mack,2,10,1,11,39,112,9.2,True
Shelvin Mack,3,2,0,5,42,42,7.0,True
Shelvin Mack,3,3,1,16,56,153,0.5,True
Shelvin Mack,4,9,1,10,58,85,2.6,True
Shelvin Mack,3,2,0,5,48,17,4.2,True
Shelvin Mack,3,2,1,1,15,4,14.6,True
Shelvin Mack,4,3,0,17,80,159,14.0,True
Shelvin Mack,1,2,0,25,26,252,20.7,False
Shelvin Mack,2,0,0,24,-41,244,11.5,False
Shelvin Mack,2,10,0,25,69,244,9.2,False
Shelvin Mack,4,11,0,24,-196,140,3.1,False
Shelvin Mack,2,9,0,24,-158,184,19.6,False
Shelvin Mack,4,9,0,26,-100,244,0.0,False
Shelvin Mack,3,0,0,25,-111,233,0.0,False
Shelvin Mack,1,1,1,25,-108,233,4.1,False
Shelvin Mack,3,3,1,19,-101,165,9.2,True
Shelvin Mack,3,1,1,24,233,63,8.2,False
Shelvin Mack,2,7,1,25,-103,233,14.7,False
Shelvin Mack,1,0,1,23,230,30,23.0,False
Shelvin Mack,4,0,1,25,-141,214,5.0,False
Shelvin Mack,3,1,1,23,-237,-8,9.1,False
Shelvin Mack,2,10,1,23,-235,37,8.1,False
Shelvin Mack,2,8,1,2,-2,20,20.2,True
Shelvin Mack,2,11,1,25,159,201,11.9,False
Shelvin Mack,2,8,1,25,-168,197,16.1,False
Shelvin Mack,2,6,1,23,228,31,16.8,False
Shelvin Mack,2,4,1,26,-185,183,19.9,False
Shelvin Mack,2,3,1,26,-90,247,11.3,False
Shelvin Mack,3,2,1,26,-71,255,6.9,False
Shelvin Mack,1,0,1,4,31,28,0.0,True
Shelvin Mack,4,8,1,25,-223,126,23.8,False
Shelvin Mack,2,10,1,28,-182,213,4.7,False
Shelvin Mack,4,11,1,18,18,186,16.6,True
Shelvin Mack,4,6,1,10,68,79,16.0,True
Shelvin Mack,4,8,0,26,-199,178,20.3,False
Shelvin Mack,3,0,0,29,196,214,5.0,False
Shelvin Mack,4,4,0,3,4,34,21.9,True
Shelvin Mack,2,8,0,5,54,20,12.4,True
Shelvin Mack,4,6,1,14,144,26,21.6,True
Shelvin Mack,4,1,1,18,-123,137,19.5,True
Shelvin Mack,4,3,1,18,-177,45,9.6,True
Shelvin Mack,1,1,0,5,43,33,8.8,True
Shelvin Mack,2,2,1,9,-23,97,14.8,True
Shelvin Mack,2,10,1,26,-188,189,12.0,False
Shelvin Mack,4,0,0,17,143,105,21.1,True
Shelvin Mack,3,3,0,26,-90,246,23.0,False
Shelvin Mack,3,2,0,25,94,242,11.0,False
Shelvin Mack,3,1,0,7,32,63,7.8,True
Shelvin Mack,3,4,0,10,47,99,21.0,True
Shelvin Mack,1,4,0,27,-196,189,10.0,False
Shelvin Mack,4,3,1,25,146,203,12.0,False
Shelvin Mack,3,2,0,24,-179,164,5.7,False
Shelvin Mack,4,6,0,25,-120,225,13.5,False
Shelvin Mack,2,8,0,23,-191,145,15.9,False
Shelvin Mack,2,8,0,23,-229,26,13.9,False
Shelvin Mack,3,1,0,25,13,254,8.0,False
Shelvin Mack,1,2,0,23,236,-17,2.0,False
Shelvin Mack,2,10,0,24,198,151,0.0,False
Shelvin Mack,4,4,0,24,-52,242,17.0,False
Shelvin Mack,3,0,0,22,-229,19,4.5,False
Shelvin Mack,1,2,0,25,0,257,16.4,False
Shelvin Mack,1,1,0,24,81,227,18.9,False
Shelvin Mack,1,1,0,18,177,53,20.7,True
Shelvin Mack,4,2,0,26,-150,213,15.7,False
Shelvin Mack,4,10,0,26,28,263,1.7,False
Shelvin Mack,4,7,0,25,116,222,12.7,False
Shelvin Mack,4,8,0,22,-229,3,7.1,False
Shelvin Mack,4,0,0,21,69,208,6.4,True
Shelvin Mack,4,9,0,25,162,194,5.0,False
Shelvin Mack,1,1,0,18,-187,22,17.0,True
Shelvin Mack,4,11,0,23,230,-5,19.4,False
Shelvin Mack,1,3,0,25,-59,246,14.4,False
Shelvin Mack,3,0,0,26,-147,225,10.1,False
Shelvin Mack,3,1,0,18,162,82,20.9,True
Shelvin Mack,4,5,1,25,86,236,10.2,False
Shelvin Mack,1,4,1,25,150,205,0.0,False
Shelvin Mack,1,4,1,24,-104,221,0.0,False
Shelvin Mack,3,1,1,14,112,88,19.8,True
Shelvin Mack,3,0,0,21,-9,216,1.6,True
Shelvin Mack,4,2,0,25,-178,186,3.7,False
Shelvin Mack,1,2,0,25,197,154,0.0,False
Shelvin Mack,4,4,0,17,-86,157,10.6,True
Shelvin Mack,2,7,0,24,-125,215,0.0,False
Shelvin Mack,2,2,0,23,233,13,0.0,False
Shelvin Mack,4,11,0,25,75,241,7.9,False
Shelvin Mack,4,5,0,24,-98,227,18.7,False
Shelvin Mack,4,6,0,10,37,99,12.0,True
Shelvin Mack,4,6,1,24,-13,249,11.8,False
Shelvin Mack,4,4,0,24,138,206,4.5,False
Shelvin Mack,3,1,0,25,15,250,10.9,False
Shelvin Mack,4,6,1,25,196,167,7.1,False
Shelvin Mack,2,10,1,24,102,228,10.3,False
Shelvin Mack,4,9,0,3,36,9,11.8,True
Shelvin Mack,4,9,0,24,217,116,19.5,False
Shelvin Mack,3,1,0,24,152,195,7.0,False
Shelvin Mack,3,0,0,25,84,236,7.8,False
Shelvin Mack,3,0,0,27,-123,241,12.0,False
Shelvin Mack,1,1,0,24,-60,241,15.0,False
Shelvin Mack,4,3,1,15,146,47,22.4,True
Shelvin Mack,1,2,1,19,170,99,16.3,True
Shelvin Mack,1,4,1,19,62,186,8.3,True
Shelvin Mack,3,2,1,7,-30,69,14.2,True
Shelvin Mack,2,1,0,26,113,241,24.0,False
Shelvin Mack,2,10,0,5,56,20,18.3,True
Shelvin Mack,2,10,0,24,-185,159,20.4,False
Shelvin Mack,3,1,0,25,110,227,15.1,False
Shelvin Mack,4,11,0,24,136,206,6.9,False
Shelvin Mack,4,2,0,26,32,260,6.0,False
Shelvin Mack,4,7,0,17,173,0,23.3,True
Shelvin Mack,3,4,1,4,-8,45,9.0,True
Shelvin Mack,1,0,0,12,99,82,19.1,True
Shelvin Mack,4,1,1,24,154,195,9.7,False
Shelvin Mack,2,8,0,14,4,146,1.8,True
Shelvin Mack,4,3,1,25,-157,206,9.5,False
Shelvin Mack,3,0,1,25,17,250,7.0,False
Shelvin Mack,1,0,0,25,204,151,19.7,False
Shelvin Mack,3,0,0,15,127,93,1.2,True
Shelvin Mack,2,8,0,25,189,173,4.7,False
Shelvin Mack,4,0,1,24,203,143,22.2,False
Shelvin Mack,4,0,0,6,34,58,13.6,True
Shelvin Mack,4,10,1,18,176,41,18.4,True
Shelvin Mack,2,3,0,24,239,22,13.5,False
Shelvin Mack,3,2,0,14,-142,45,19.5,True
Shelvin Mack,4,3,0,24,241,-5,3.4,False
Shelvin Mack,4,9,0,24,7,246,14.6,False
Shelvin Mack,2,3,1,23,-67,228,13.7,False
Shelvin Mack,2,11,0,22,-226,31,9.8,False
Shelvin Mack,3,0,0,23,-232,20,4.4,False
Shelvin Mack,2,10,1,24,-242,-21,19.0,False
Shelvin Mack,4,10,1,23,233,14,5.5,False
Shelvin Mack,2,6,1,26,193,186,12.2,False
Shelvin Mack,2,3,0,25,159,198,19.9,False
Shelvin Mack,4,11,0,26,163,209,12.2,False
Shelvin Mack,2,5,0,25,171,186,6.1,False
Shelvin Mack,4,11,0,25,-4,254,12.6,False
Shelvin Mack,4,7,0,15,-150,47,5.7,True
Shelvin Mack,4,10,0,27,-111,252,1.8,False
Shelvin Mack,1,1,0,23,231,42,18.8,False
Shelvin Mack,1,1,1,19,131,139,19.3,True
Shelvin Mack,2,10,0,7,23,69,10.2,True
Shelvin Mack,3,3,0,24,155,190,11.2,False
Shelvin Mack,2,2,1,6,-64,12,8.0,True
Shelvin Mack,4,2,0,25,6,255,10.5,False
Shelvin Mack,4,6,0,14,72,123,19.2,True
Shelvin Mack,1,1,0,25,125,225,11.8,False
Shelvin Mack,2,8,0,25,-199,154,17.5,False
Shelvin Mack,4,2,0,19,17,194,15.4,True
Shelvin Mack,2,8,0,3,24,22,16.4,True
Shelvin Mack,4,2,0,19,141,137,15.6,True
Shelvin Mack,1,0,0,12,124,36,18.4,True
Shelvin Mack,3,4,0,18,151,112,13.1,True
Shelvin Mack,1,2,0,26,-136,230,13.6,False
Shelvin Mack,2,8,1,24,217,119,18.1,False
Shelvin Mack,4,6,1,25,168,192,5.0,False
Shelvin Mack,1,0,1,24,171,179,0.0,False
Shelvin Mack,4,5,0,30,0,301,2.8,False
Shelvin Mack,4,8,0,24,119,217,12.7,False
Shelvin Mack,2,10,0,24,162,190,9.3,False
Shelvin Mack,4,10,0,24,88,233,2.8,False
Shelvin Mack,4,5,1,19,-133,145,8.0,True
Shelvin Mack,4,0,0,19,119,153,9.5,True
Shelvin Mack,4,6,0,16,166,0,9.6,True
Shelvin Mack,1,2,0,23,124,197,7.5,True
Shelvin Mack,4,2,0,25,-90,241,2.6,False
Shelvin Mack,4,5,0,25,-64,247,4.5,False
Shelvin Mack,4,8,1,23,-231,0,13.9,False
Shelvin Mack,2,11,1,23,234,9,11.6,False
Shelvin Mack,2,8,0,24,13,247,19.2,False
Shelvin Mack,4,5,0,25,1,258,11.9,False
Shelvin Mack,4,5,1,23,236,7,13.0,False
Shelvin Mack,2,11,0,16,-160,-8,11.1,True
Shelvin Mack,1,0,0,25,64,246,17.9,False
Shelvin Mack,2,8,0,24,173,176,20.4,False
Shelvin Mack,4,11,0,20,2,209,3.8,True
Shelvin Mack,2,8,0,24,214,127,20.1,False
Shelvin Mack,3,3,0,24,201,134,13.2,False
Shelvin Mack,4,9,0,5,59,7,11.0,True
Shelvin Mack,3,1,0,25,234,107,0.0,False
Shelvin Mack,2,8,0,5,-35,41,11.4,True
Shelvin Mack,3,2,0,10,7,107,11.5,True
Shelvin Mack,1,1,0,25,80,246,0.0,False
Shelvin Mack,3,1,0,25,-196,160,13.4,False
Shelvin Mack,2,9,0,26,-187,183,8.2,False
Shelvin Mack,1,1,0,17,-101,142,11.6,True
Shelvin Mack,2,10,0,26,-2,266,4.1,False
Shelvin Mack,4,7,0,2,17,14,22.2,True
Shelvin Mack,4,10,0,3,-32,0,3.0,True
Shelvin Mack,2,0,0,2,21,9,21.2,True
Shelvin Mack,1,0,0,0,6,3,0.0,True
Shelvin Mack,4,11,0,2,24,4,2.7,True
Shelvin Mack,2,8,0,2,-8,26,5.4,True
Shelvin Mack,4,11,0,0,1,-3,7.4,True
Shelvin Mack,4,3,0,1,7,14,20.7,True
Shelvin Mack,1,1,1,1,15,12,13.2,True
Shelvin Mack,4,0,1,2,-24,4,0.0,True
Shelvin Mack,2,8,1,2,29,7,9.8,True
Shelvin Mack,4,3,0,2,23,4,20.3,True
Shelvin Mack,2,11,0,1,17,0,13.0,True
Shelvin Mack,2,0,0,1,-15,0,0.0,True
Shelvin Mack,4,9,1,0,1,0,4.3,True
Shelvin Mack,1,4,0,1,1,14,11.0,True
Shelvin Mack,4,11,0,18,179,20,19.4,True
Shelvin Mack,2,11,1,18,-109,149,15.0,True
Shelvin Mack,4,2,1,13,-65,119,17.8,True
Shelvin Mack,4,0,0,19,92,167,12.6,True
Shelvin Mack,4,0,0,25,29,258,8.0,False
Shelvin Mack,4,1,1,25,13,252,17.9,False
Shelvin Mack,3,2,1,16,116,121,8.7,True
Shelvin Mack,4,9,1,24,130,209,13.0,False
Shelvin Mack,4,1,1,18,65,178,7.2,True
Shelvin Mack,4,6,1,18,-101,157,19.1,True
Shelvin Mack,4,0,1,24,103,227,9.8,False
Shelvin Mack,1,0,0,25,48,246,18.4,False
