name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Solomon Hill,3,6,1,0,0,1,21.0,True
Solomon Hill,2,11,1,4,47,17,0.0,True
Solomon Hill,1,1,0,0,0,1,15.7,True
Solomon Hill,3,3,1,0,0,1,7.3,True
Solomon Hill,3,5,1,0,0,1,13.9,True
Solomon Hill,3,4,1,0,0,1,13.0,True
Solomon Hill,3,9,0,0,0,1,15.7,True
Solomon Hill,3,9,0,0,0,1,1.1,True
Solomon Hill,1,10,0,0,0,1,19.2,True
Solomon Hill,3,9,1,0,0,1,6.0,True
Solomon Hill,2,3,1,0,-5,-3,19.3,True
Solomon Hill,1,0,1,0,6,0,13.0,True
Solomon Hill,4,9,1,2,-4,28,0.0,True
Solomon Hill,1,1,1,0,0,7,9.5,True
Solomon Hill,3,1,1,1,9,6,18.2,True
Solomon Hill,1,5,1,0,-5,-8,15.0,True
Solomon Hill,1,11,0,2,18,22,11.6,True
Solomon Hill,3,6,0,1,13,14,20.2,True
Solomon Hill,1,10,1,0,7,1,19.8,True
Solomon Hill,2,5,1,1,10,7,5.7,True
Solomon Hill,1,7,1,1,17,-10,6.1,True
Solomon Hill,2,7,1,1,18,0,17.0,True
Solomon Hill,2,2,1,1,18,4,7.0,True
Solomon Hill,3,4,1,1,12,9,8.0,True
Solomon Hill,4,3,0,1,0,11,18.8,True
Solomon Hill,2,5,1,1,-10,1,9.8,True
Solomon Hill,1,0,1,1,12,11,17.0,True
Solomon Hill,1,8,0,2,24,1,10.0,True
Solomon Hill,1,4,1,2,17,14,9.8,True
Solomon Hill,3,5,1,1,9,17,14.5,True
Solomon Hill,2,5,0,2,18,9,16.4,True
Solomon Hill,4,5,1,2,0,24,9.0,True
Solomon Hill,4,0,1,1,12,11,4.0,True
Solomon Hill,4,2,0,2,-21,15,8.0,True
Solomon Hill,1,7,0,3,-24,23,3.8,True
Solomon Hill,4,10,1,2,9,25,18.0,True
Solomon Hill,1,4,0,2,13,20,18.8,True
Solomon Hill,1,3,1,1,12,14,17.1,True
Solomon Hill,3,9,0,3,18,26,9.5,True
Solomon Hill,1,4,1,0,-4,0,11.0,True
Solomon Hill,3,7,1,0,-4,3,13.0,True
Solomon Hill,2,0,0,1,17,-3,9.9,True
Solomon Hill,4,5,0,4,47,14,5.1,True
Solomon Hill,4,2,1,1,0,19,19.6,True
Solomon Hill,3,4,1,1,-16,3,14.2,True
Solomon Hill,1,2,0,3,-38,7,18.1,True
Solomon Hill,3,1,1,1,15,12,16.7,True
Solomon Hill,1,3,0,1,6,15,16.1,True
Solomon Hill,3,1,1,1,-7,11,15.7,True
Solomon Hill,2,7,1,2,26,12,7.1,True
Solomon Hill,2,0,1,0,-2,1,5.2,True
Solomon Hill,1,2,0,1,13,11,7.8,True
Solomon Hill,1,5,0,0,7,6,13.0,True
Solomon Hill,1,6,0,1,15,6,0.0,True
Solomon Hill,3,0,0,2,-23,4,10.3,True
Solomon Hill,3,5,1,2,23,0,16.7,True
Solomon Hill,1,9,1,0,0,1,5.0,True
Solomon Hill,4,2,1,0,0,1,6.6,True
Solomon Hill,4,11,1,1,0,14,5.3,True
Solomon Hill,3,6,1,0,0,1,7.1,True
Solomon Hill,4,5,1,0,0,1,12.7,True
Solomon Hill,3,4,1,0,0,1,5.9,True
Solomon Hill,3,6,1,0,0,1,19.2,True
Solomon Hill,1,4,1,0,0,1,11.7,True
Solomon Hill,5,2,1,0,0,1,9.9,True
Solomon Hill,3,0,0,0,0,1,6.4,True
Solomon Hill,1,10,1,0,0,1,15.3,True
Solomon Hill,4,4,1,0,0,1,6.9,True
Solomon Hill,4,9,1,0,0,1,13.4,True
Solomon Hill,4,9,1,0,0,1,3.6,True
Solomon Hill,3,3,1,0,0,1,11.5,True
