name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Spencer Dinwiddie,4,0,1,1,18,4,9.5,True
Spencer Dinwiddie,2,6,1,1,-16,0,2.4,True
Spencer Dinwiddie,2,9,1,0,4,7,16.0,True
Spencer Dinwiddie,4,8,0,2,-15,19,15.2,True
Spencer Dinwiddie,2,9,1,0,0,3,16.5,True
Spencer Dinwiddie,2,8,0,2,-10,22,9.7,True
Spencer Dinwiddie,3,0,0,0,4,1,3.5,True
Spencer Dinwiddie,4,3,1,1,4,15,7.8,True
Spencer Dinwiddie,4,7,1,2,20,1,19.0,True
Spencer Dinwiddie,4,11,1,1,-13,0,21.7,True
Spencer Dinwiddie,4,8,1,0,0,4,13.4,True
Spencer Dinwiddie,4,7,1,0,-7,6,16.1,True
Spencer Dinwiddie,1,0,0,1,0,11,5.0,True
Spencer Dinwiddie,1,10,0,0,-4,6,3.3,True
Spencer Dinwiddie,4,1,0,0,0,3,10.3,True
Spencer Dinwiddie,2,9,1,0,0,6,13.5,True
Spencer Dinwiddie,2,1,1,0,1,7,12.4,True
Spencer Dinwiddie,2,8,0,2,-15,22,16.3,True
Spencer Dinwiddie,3,0,1,1,-16,-2,0.0,True
Spencer Dinwiddie,2,8,0,13,-8,138,9.3,True
Spencer Dinwiddie,2,10,0,5,-38,41,5.8,True
Spencer Dinwiddie,4,5,1,5,-43,37,13.5,True
Spencer Dinwiddie,1,0,1,5,-8,56,15.8,True
Spencer Dinwiddie,2,10,0,5,42,42,4.0,True
Spencer Dinwiddie,2,10,0,6,-60,12,18.9,True
Spencer Dinwiddie,2,10,0,19,-196,17,5.4,True
Spencer Dinwiddie,4,11,0,26,91,249,0.6,False
Spencer Dinwiddie,4,3,1,7,1,74,15.6,True
Spencer Dinwiddie,4,2,0,25,-198,168,2.1,False
Spencer Dinwiddie,4,0,0,50,-87,496,0.0,False
Spencer Dinwiddie,4,2,1,9,70,66,10.5,True
Spencer Dinwiddie,2,6,0,25,170,187,0.0,False
Spencer Dinwiddie,2,9,0,14,-87,113,12.6,True
Spencer Dinwiddie,1,2,0,26,206,168,0.9,False
Spencer Dinwiddie,4,0,1,26,23,260,0.0,False
Spencer Dinwiddie,4,10,0,25,-217,132,0.6,False
Spencer Dinwiddie,2,9,0,27,110,247,11.8,False
Spencer Dinwiddie,3,11,1,15,-142,55,16.5,True
Spencer Dinwiddie,2,6,0,14,-125,74,14.7,True
Spencer Dinwiddie,2,8,0,25,-105,230,17.2,False
Spencer Dinwiddie,4,5,0,26,43,260,5.6,False
Spencer Dinwiddie,2,6,0,18,-138,116,14.4,True
Spencer Dinwiddie,2,6,0,26,-100,242,11.5,False
Spencer Dinwiddie,4,0,0,5,13,53,11.1,True
Spencer Dinwiddie,4,4,0,25,-174,192,12.7,False
Spencer Dinwiddie,1,0,0,24,67,238,0.0,False
Spencer Dinwiddie,2,8,0,25,233,105,0.4,False
Spencer Dinwiddie,4,7,0,24,-172,181,9.9,False
Spencer Dinwiddie,4,11,0,24,-123,211,9.8,False
Spencer Dinwiddie,3,0,0,10,-90,53,18.5,True
Spencer Dinwiddie,3,0,0,26,-131,227,5.9,False
Spencer Dinwiddie,4,0,0,25,-166,187,22.0,False
Spencer Dinwiddie,4,10,0,21,-196,96,16.2,True
Spencer Dinwiddie,4,0,0,14,-130,60,15.0,True
Spencer Dinwiddie,2,8,0,26,-164,208,20.0,False
Spencer Dinwiddie,3,0,0,4,-32,28,2.6,True
Spencer Dinwiddie,4,4,0,25,-100,230,8.5,False
Spencer Dinwiddie,1,2,0,26,72,257,10.0,False
Spencer Dinwiddie,4,1,0,26,130,228,5.7,False
Spencer Dinwiddie,3,3,0,25,-187,168,13.4,False
Spencer Dinwiddie,4,7,1,16,-141,89,15.0,True
Spencer Dinwiddie,4,8,0,15,-78,131,18.4,True
Spencer Dinwiddie,2,10,0,24,230,93,2.6,False
Spencer Dinwiddie,3,4,1,26,-198,176,15.4,False
Spencer Dinwiddie,4,5,0,7,65,34,7.8,True
Spencer Dinwiddie,3,1,0,25,-183,173,15.1,False
Spencer Dinwiddie,4,10,0,20,-15,209,9.8,True
Spencer Dinwiddie,4,5,0,9,-32,88,7.8,True
