name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Terrence Ross,3,4,0,0,0,1,20.6,True
Terrence Ross,1,7,0,0,0,1,24.0,True
Terrence Ross,3,10,1,0,0,1,19.8,True
Terrence Ross,4,4,1,0,0,1,11.3,True
Terrence Ross,2,7,1,0,0,1,12.4,True
Terrence Ross,3,3,1,0,0,1,12.1,True
Terrence Ross,2,0,1,0,0,1,20.4,True
Terrence Ross,2,6,1,0,0,1,19.3,True
Terrence Ross,3,0,1,1,4,-11,19.9,True
Terrence Ross,2,5,1,3,28,12,0.0,True
Terrence Ross,1,6,1,0,0,1,16.3,True
Terrence Ross,1,8,1,0,0,1,24.0,True
Terrence Ross,3,9,0,0,9,1,21.0,True
Terrence Ross,2,4,0,1,18,3,10.7,True
Terrence Ross,1,9,1,1,13,4,20.7,True
Terrence Ross,3,8,0,1,17,9,20.2,True
Terrence Ross,2,10,0,4,0,44,9.5,True
Terrence Ross,1,6,1,4,36,22,4.0,True
Terrence Ross,3,11,1,0,0,1,20.8,True
Terrence Ross,4,0,0,0,0,1,0.0,True
Terrence Ross,1,9,0,2,21,12,11.3,True
Terrence Ross,1,0,0,1,-19,6,0.0,True
Terrence Ross,3,10,1,1,9,6,10.0,True
Terrence Ross,3,10,0,0,0,1,6.2,True
Terrence Ross,3,11,0,4,9,44,11.6,True
Terrence Ross,3,9,1,6,42,50,9.4,True
Terrence Ross,2,3,1,5,24,48,5.9,True
Terrence Ross,1,8,0,5,42,41,9.9,True
Terrence Ross,1,0,1,9,86,31,11.2,True
Terrence Ross,4,8,1,7,-11,78,9.0,True
Terrence Ross,2,2,0,3,-19,30,9.7,True
Terrence Ross,1,3,0,4,-5,47,12.3,True
Terrence Ross,3,9,0,9,75,66,12.7,True
Terrence Ross,1,7,0,9,-48,83,10.2,True
Terrence Ross,2,2,1,14,110,89,17.9,True
Terrence Ross,3,7,1,0,-8,-2,18.6,True
Terrence Ross,3,6,0,2,10,26,9.1,True
Terrence Ross,3,0,0,2,28,3,11.5,True
Terrence Ross,3,11,1,2,20,4,7.0,True
Terrence Ross,2,11,1,1,17,1,21.2,True
Terrence Ross,3,6,0,3,28,11,11.7,True
Terrence Ross,1,4,0,1,13,3,19.7,True
Terrence Ross,3,7,1,1,18,4,10.6,True
Terrence Ross,1,6,0,0,-7,1,19.2,True
Terrence Ross,4,11,0,2,24,11,5.2,True
Terrence Ross,4,9,0,2,23,4,21.7,True
Terrence Ross,1,0,0,2,12,20,7.7,True
Terrence Ross,1,0,0,0,7,-2,16.2,True
Terrence Ross,4,0,0,1,17,-5,19.2,True
Terrence Ross,1,7,0,4,40,23,16.0,True
Terrence Ross,4,8,1,2,22,9,8.4,True
Terrence Ross,3,11,1,1,-11,4,12.5,True
Terrence Ross,2,9,1,2,-19,9,18.0,True
Terrence Ross,3,8,1,1,4,11,17.2,True
Terrence Ross,2,2,1,2,18,-13,21.2,True
Terrence Ross,4,7,0,1,-16,-3,12.2,True
Terrence Ross,2,9,1,1,9,7,11.3,True
Terrence Ross,4,10,1,2,-26,11,12.0,True
Terrence Ross,2,4,1,3,28,25,18.0,True
Terrence Ross,2,0,1,0,0,1,20.3,True
Terrence Ross,1,7,1,1,18,7,19.8,True
Terrence Ross,3,7,1,0,0,1,21.3,True
Terrence Ross,3,5,0,0,0,1,6.8,True
Terrence Ross,1,3,1,0,0,1,21.8,True
Terrence Ross,3,1,1,0,0,1,7.1,True
Terrence Ross,3,9,1,0,0,1,20.0,True
Terrence Ross,3,10,1,0,0,1,20.0,True
Terrence Ross,1,6,1,0,0,1,16.0,True
Terrence Ross,3,6,1,0,0,1,21.1,True
Terrence Ross,4,0,1,0,0,1,0.0,True
Terrence Ross,4,7,0,0,0,1,9.7,True
Terrence Ross,4,0,1,0,0,1,0.0,True
Terrence Ross,1,6,0,13,-136,-10,14.0,True
Terrence Ross,3,8,0,6,-30,61,15.0,True
Terrence Ross,3,10,1,17,-179,0,6.9,True
Terrence Ross,4,3,1,14,-146,14,7.2,True
Terrence Ross,3,6,0,15,-155,22,11.7,True
Terrence Ross,1,2,1,11,-89,75,9.0,True
Terrence Ross,1,6,1,16,0,162,7.5,True
Terrence Ross,1,9,0,9,-92,20,7.3,True
Terrence Ross,1,9,1,13,-84,101,11.9,True
Terrence Ross,1,5,0,5,-43,30,9.7,True
Terrence Ross,3,9,1,3,1,39,4.8,True
Terrence Ross,4,2,1,11,4,110,12.9,True
Terrence Ross,1,11,0,10,-4,102,14.8,True
Terrence Ross,2,5,0,6,17,66,5.3,True
Terrence Ross,1,3,0,5,12,55,8.9,True
Terrence Ross,2,9,1,14,-5,145,19.5,True
Terrence Ross,2,6,0,5,15,55,14.1,True
Terrence Ross,3,10,1,9,-8,97,14.5,True
Terrence Ross,3,9,1,10,4,104,16.0,True
Terrence Ross,2,5,0,7,28,69,16.0,True
Terrence Ross,4,7,0,15,136,74,12.0,True
Terrence Ross,4,7,0,7,-2,74,11.9,True
Terrence Ross,3,4,0,10,108,-6,7.4,True
Terrence Ross,1,6,1,6,23,60,11.6,True
Terrence Ross,2,5,1,12,129,1,11.7,True
Terrence Ross,2,8,0,5,53,12,6.8,True
Terrence Ross,4,7,1,6,-59,37,16.7,True
Terrence Ross,4,4,0,23,-231,0,6.4,False
Terrence Ross,2,5,1,11,-119,7,10.4,True
Terrence Ross,3,3,0,24,-240,31,4.5,False
Terrence Ross,3,3,1,5,37,36,14.3,True
Terrence Ross,1,7,1,6,15,61,8.2,True
Terrence Ross,1,5,0,8,73,45,0.3,True
Terrence Ross,1,6,0,24,9,242,7.3,False
Terrence Ross,2,2,1,26,-52,261,18.3,False
Terrence Ross,1,7,0,14,-2,149,8.0,True
Terrence Ross,1,8,1,23,225,53,20.2,False
Terrence Ross,2,6,1,24,-179,164,15.8,False
Terrence Ross,2,3,1,24,-4,246,13.7,False
Terrence Ross,3,10,1,21,-215,23,6.8,True
Terrence Ross,1,6,0,22,-226,20,1.8,False
Terrence Ross,2,3,1,14,-73,127,5.6,True
Terrence Ross,2,3,0,23,-232,3,13.8,False
Terrence Ross,3,5,1,26,212,165,19.9,False
Terrence Ross,4,3,1,26,-128,228,14.1,False
Terrence Ross,4,0,0,22,-223,39,2.8,False
Terrence Ross,3,11,1,16,110,121,6.6,True
Terrence Ross,3,7,0,25,24,249,19.0,False
Terrence Ross,2,1,1,25,195,159,19.7,False
Terrence Ross,1,6,0,10,0,102,9.8,True
Terrence Ross,1,10,1,24,-218,119,17.0,False
Terrence Ross,1,7,1,23,230,-3,12.4,False
Terrence Ross,1,7,1,21,179,119,15.8,True
Terrence Ross,1,4,1,23,-232,-5,13.2,False
Terrence Ross,2,6,1,24,-122,209,19.3,False
Terrence Ross,3,11,0,24,187,153,3.7,False
Terrence Ross,3,5,1,20,103,173,2.8,True
Terrence Ross,1,7,1,19,94,173,9.9,True
Terrence Ross,1,7,0,23,-231,1,15.7,False
Terrence Ross,4,5,1,24,89,228,11.1,False
Terrence Ross,1,10,1,26,-64,252,17.6,False
Terrence Ross,1,5,1,24,-237,74,9.7,False
Terrence Ross,3,10,1,26,215,156,6.9,False
Terrence Ross,4,3,1,25,-73,249,8.5,False
Terrence Ross,4,6,1,24,234,61,11.0,False
Terrence Ross,4,2,1,25,206,154,19.6,False
Terrence Ross,4,7,1,26,-168,205,12.0,False
Terrence Ross,4,3,1,24,217,124,6.3,False
Terrence Ross,1,7,1,24,42,242,7.2,False
Terrence Ross,1,6,0,12,53,110,12.4,True
Terrence Ross,2,9,1,23,-231,7,11.0,False
Terrence Ross,3,4,1,27,154,224,11.0,False
Terrence Ross,2,6,1,15,-79,138,7.6,True
Terrence Ross,4,5,1,22,222,-10,9.0,False
Terrence Ross,1,9,1,23,237,-5,6.4,False
Terrence Ross,2,4,1,24,-239,26,13.5,False
Terrence Ross,2,3,1,12,77,93,13.8,True
Terrence Ross,4,0,1,24,196,151,13.9,False
Terrence Ross,5,1,1,25,-123,224,22.3,False
Terrence Ross,5,0,1,23,-237,17,17.0,False
Terrence Ross,5,0,0,53,141,512,0.0,False
Terrence Ross,1,8,1,24,-134,211,2.1,False
Terrence Ross,1,7,1,25,-217,126,11.2,False
Terrence Ross,1,6,1,12,65,105,12.7,True
Terrence Ross,1,5,1,24,118,219,19.9,False
Terrence Ross,1,4,0,26,-149,224,3.5,False
Terrence Ross,1,1,1,21,-71,206,6.1,True
Terrence Ross,3,9,1,25,179,183,13.0,False
Terrence Ross,2,6,1,24,2,246,4.0,False
Terrence Ross,4,6,1,23,-237,33,7.6,False
Terrence Ross,1,7,1,18,154,108,22.0,True
Terrence Ross,2,7,1,18,184,23,17.3,True
Terrence Ross,3,7,1,24,136,208,8.8,False
Terrence Ross,1,9,1,19,-155,115,8.2,True
Terrence Ross,1,9,1,18,-82,167,11.7,True
Terrence Ross,3,10,1,20,-163,121,10.8,True
Terrence Ross,3,8,1,25,103,236,11.9,False
Terrence Ross,4,4,0,24,-190,154,6.0,False
Terrence Ross,5,3,1,23,233,41,4.3,False
Terrence Ross,2,1,1,23,-237,-14,11.3,False
Terrence Ross,3,6,1,25,-210,146,13.0,False
Terrence Ross,3,4,1,25,-179,183,8.3,False
Terrence Ross,3,4,1,19,-34,187,18.3,True
Terrence Ross,1,9,1,25,-27,252,2.5,False
Terrence Ross,1,5,1,24,-243,19,8.6,False
Terrence Ross,3,7,1,24,-237,48,15.9,False
Terrence Ross,2,4,1,23,-232,1,1.1,False
Terrence Ross,3,10,1,26,177,198,6.3,False
Terrence Ross,1,5,1,9,0,94,8.6,True
Terrence Ross,2,1,1,18,-147,108,6.2,True
Terrence Ross,3,11,1,11,-79,86,13.3,True
Terrence Ross,3,8,1,26,-182,187,12.3,False
Terrence Ross,1,9,1,22,-226,-5,17.5,False
Terrence Ross,1,9,0,23,108,214,12.0,False
Terrence Ross,1,6,1,24,-199,137,14.9,False
Terrence Ross,3,7,1,24,146,197,18.2,False
Terrence Ross,4,6,1,24,0,244,1.2,False
Terrence Ross,1,7,1,23,-226,58,6.8,False
Terrence Ross,1,7,1,25,-191,168,17.7,False
Terrence Ross,1,2,1,24,215,121,13.0,False
Terrence Ross,3,0,0,44,206,400,0.0,False
Terrence Ross,2,5,1,22,-228,23,2.4,False
Terrence Ross,2,4,0,18,-103,159,13.8,True
Terrence Ross,3,0,1,23,-224,69,7.5,False
Terrence Ross,1,10,1,19,-180,61,23.1,True
Terrence Ross,1,0,0,4,39,15,8.0,True
Terrence Ross,3,10,1,24,132,203,18.6,False
Terrence Ross,3,7,0,24,113,220,14.8,False
Terrence Ross,3,6,1,7,-70,30,6.4,True
Terrence Ross,5,4,1,24,127,211,19.8,False
Terrence Ross,1,9,1,25,170,184,17.5,False
Terrence Ross,3,9,1,26,-164,205,11.4,False
Terrence Ross,3,9,0,22,91,201,0.8,True
Terrence Ross,2,3,1,24,122,216,4.2,False
Terrence Ross,3,10,0,24,233,80,7.9,False
Terrence Ross,3,0,0,23,-237,9,0.0,False
Terrence Ross,2,5,1,24,-243,-3,10.7,False
Terrence Ross,3,0,1,24,237,63,0.0,False
Terrence Ross,4,5,0,25,217,129,11.3,False
Terrence Ross,1,5,1,23,-231,58,5.3,False
Terrence Ross,2,7,0,22,-228,19,8.7,False
Terrence Ross,1,6,0,23,-234,20,8.0,False
Terrence Ross,1,0,1,22,225,0,10.0,False
Terrence Ross,2,0,0,24,171,179,12.0,False
Terrence Ross,4,8,0,9,62,75,10.7,True
Terrence Ross,1,10,1,23,-232,4,16.4,False
Terrence Ross,1,7,0,24,-245,0,8.0,False
Terrence Ross,2,1,0,24,-209,131,9.9,False
Terrence Ross,1,6,0,13,67,115,7.0,True
Terrence Ross,2,0,0,65,217,615,0.0,False
Terrence Ross,2,2,1,23,-231,12,1.9,False
Terrence Ross,2,2,1,15,157,-11,21.8,True
Terrence Ross,3,7,0,15,138,60,1.1,True
Terrence Ross,3,9,0,7,-78,4,5.6,True
Terrence Ross,2,2,0,26,193,181,15.3,False
Terrence Ross,1,2,0,25,-57,249,7.3,False
Terrence Ross,1,7,0,24,177,173,14.8,False
Terrence Ross,3,9,0,26,-122,233,11.4,False
Terrence Ross,2,3,0,26,192,176,11.6,False
Terrence Ross,4,2,0,24,-40,238,13.6,False
Terrence Ross,1,9,1,23,42,236,14.3,False
Terrence Ross,3,5,1,24,53,238,14.6,False
Terrence Ross,2,2,0,24,225,93,4.3,False
Terrence Ross,3,8,1,24,-122,211,6.2,False
Terrence Ross,1,3,1,22,-224,11,24.0,False
Terrence Ross,2,5,1,24,155,195,18.5,False
Terrence Ross,1,6,1,24,-138,201,12.9,False
Terrence Ross,1,10,0,25,218,131,6.4,False
Terrence Ross,2,10,1,24,-240,42,0.0,False
Terrence Ross,4,5,0,23,-237,31,0.0,False
Terrence Ross,2,6,0,25,-18,254,0.0,False
Terrence Ross,2,3,0,20,15,203,0.0,True
Terrence Ross,2,9,0,25,241,72,0.0,False
Terrence Ross,2,6,0,24,241,22,20.1,False
Terrence Ross,4,0,1,26,-24,268,17.1,False
Terrence Ross,3,10,0,14,-139,50,14.6,True
Terrence Ross,1,6,0,23,-237,-2,12.6,False
Terrence Ross,3,8,1,23,230,0,9.8,False
Terrence Ross,2,7,0,21,-19,216,13.6,True
Terrence Ross,4,7,0,23,-234,15,7.7,False
Terrence Ross,2,9,1,27,56,269,9.3,False
Terrence Ross,4,8,0,24,234,66,4.0,False
Terrence Ross,3,3,0,5,56,17,11.8,True
Terrence Ross,2,9,0,24,226,93,16.0,False
Terrence Ross,3,8,0,22,228,15,8.0,False
Terrence Ross,2,6,0,24,94,228,11.4,False
Terrence Ross,2,4,1,22,-226,6,6.2,False
Terrence Ross,2,7,1,4,-45,0,9.7,True
Terrence Ross,1,8,0,11,28,116,13.7,True
Terrence Ross,1,7,0,20,-76,195,13.3,True
Terrence Ross,4,5,0,23,225,67,6.7,False
Terrence Ross,1,9,0,3,32,-3,7.0,True
Terrence Ross,2,7,0,25,203,159,10.1,False
Terrence Ross,3,11,0,4,17,45,15.5,True
Terrence Ross,4,5,0,26,143,225,13.2,False
Terrence Ross,3,5,0,24,-32,238,16.5,False
Terrence Ross,2,1,0,26,34,260,14.0,False
Terrence Ross,2,3,0,25,99,233,11.6,False
Terrence Ross,3,8,0,9,-90,6,13.8,True
Terrence Ross,4,2,0,26,4,265,22.0,False
Terrence Ross,3,11,0,24,-168,184,3.1,False
Terrence Ross,2,6,0,25,212,146,19.9,False
Terrence Ross,1,9,0,23,236,-8,16.9,False
Terrence Ross,4,6,0,21,51,205,8.5,True
Terrence Ross,3,8,0,26,-68,260,11.8,False
Terrence Ross,3,5,0,23,-235,11,3.9,False
Terrence Ross,4,4,0,23,234,28,15.1,False
Terrence Ross,2,1,0,19,160,112,1.9,True
Terrence Ross,3,8,0,26,125,233,18.1,False
Terrence Ross,1,10,0,25,217,131,12.0,False
Terrence Ross,4,4,0,15,-149,33,6.5,True
Terrence Ross,5,2,0,24,124,213,11.4,False
Terrence Ross,3,5,0,19,-182,61,6.0,True
Terrence Ross,4,8,0,17,176,-22,9.6,True
Terrence Ross,3,7,0,26,-134,228,19.0,False
Terrence Ross,1,7,0,6,56,30,18.6,True
Terrence Ross,1,5,0,7,-75,17,10.4,True
Terrence Ross,1,4,0,24,-183,165,11.9,False
Terrence Ross,1,7,0,23,-231,14,8.8,False
Terrence Ross,3,10,0,25,166,195,8.2,False
Terrence Ross,3,10,0,25,-54,249,9.0,False
Terrence Ross,2,1,1,26,-232,124,10.0,False
Terrence Ross,1,7,0,16,-70,153,9.3,True
Terrence Ross,1,0,0,24,211,124,7.1,False
Terrence Ross,1,1,1,16,2,168,24.0,True
Terrence Ross,2,5,0,10,-108,0,3.8,True
Terrence Ross,4,10,0,26,146,227,18.4,False
Terrence Ross,1,3,0,22,-226,-8,4.1,False
Terrence Ross,1,1,0,23,217,102,6.2,False
Terrence Ross,4,0,0,26,-196,181,3.4,False
Terrence Ross,1,10,0,24,-218,105,2.8,False
