name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tiago Splitter,2,11,1,0,0,1,11.2,True
Tiago Splitter,1,6,1,3,0,33,0.0,True
Tiago Splitter,1,6,0,5,26,53,11.0,True
Tiago Splitter,3,11,1,1,15,-2,15.7,True
Tiago Splitter,4,9,1,2,10,22,15.7,True
Tiago Splitter,3,10,1,1,-11,14,10.1,True
Tiago Splitter,4,0,1,2,15,20,19.9,True
Tiago Splitter,1,11,1,0,2,0,8.0,True
Tiago Splitter,1,1,1,3,31,-3,13.8,True
Tiago Splitter,3,9,1,0,0,1,19.6,True
Tiago Splitter,2,9,1,0,0,1,14.7,True
Tiago Splitter,2,2,1,0,0,1,9.1,True
Tiago Splitter,4,11,0,0,0,1,18.9,True
Tiago Splitter,3,7,1,0,0,1,19.4,True
Tiago Splitter,1,6,1,0,0,1,7.1,True
Tiago Splitter,3,9,1,0,0,1,24.0,True
Tiago Splitter,1,1,1,0,0,1,11.9,True
Tiago Splitter,2,2,1,0,0,1,12.7,True
Tiago Splitter,4,10,1,0,0,1,11.2,True
Tiago Splitter,3,1,0,2,1,23,4.2,True
Tiago Splitter,2,3,1,6,6,60,15.3,True
Tiago Splitter,1,0,1,4,-8,45,14.3,True
Tiago Splitter,4,8,0,5,42,39,7.6,True
Tiago Splitter,1,11,0,7,48,53,10.9,True
Tiago Splitter,1,6,0,5,-15,55,13.0,True
Tiago Splitter,3,0,1,4,42,9,16.8,True
Tiago Splitter,1,9,1,3,-15,26,8.3,True
Tiago Splitter,1,10,1,6,-67,12,6.7,True
Tiago Splitter,1,8,0,5,-16,53,4.1,True
Tiago Splitter,3,7,1,5,54,25,6.2,True
Tiago Splitter,1,10,0,4,0,42,13.0,True
Tiago Splitter,1,9,1,7,-76,12,10.4,True
Tiago Splitter,3,6,0,6,-60,23,13.1,True
Tiago Splitter,2,10,1,1,-2,14,22.9,True
Tiago Splitter,1,10,1,9,-38,85,13.5,True
Tiago Splitter,2,5,0,2,17,14,7.0,True
Tiago Splitter,2,5,1,4,1,45,13.2,True
Tiago Splitter,2,4,0,7,-2,75,4.0,True
Tiago Splitter,2,7,1,4,4,48,12.9,True
Tiago Splitter,1,5,1,6,-48,36,16.7,True
Tiago Splitter,2,10,0,6,0,60,12.9,True
Tiago Splitter,1,3,1,2,23,14,5.0,True
Tiago Splitter,2,10,0,7,73,15,11.4,True
Tiago Splitter,1,4,0,8,84,15,12.7,True
Tiago Splitter,1,5,0,5,-56,4,0.0,True
Tiago Splitter,2,9,0,6,61,28,3.0,True
Tiago Splitter,4,3,1,9,94,17,13.7,True
Tiago Splitter,2,8,1,6,-60,33,3.3,True
Tiago Splitter,1,8,1,7,64,42,5.0,True
Tiago Splitter,3,10,0,5,-49,33,14.4,True
Tiago Splitter,1,1,1,5,-38,34,22.7,True
Tiago Splitter,3,10,0,5,50,31,10.1,True
Tiago Splitter,4,7,0,5,53,26,8.0,True
Tiago Splitter,1,8,1,3,10,33,0.0,True
Tiago Splitter,3,6,1,3,-19,33,7.6,True
Tiago Splitter,4,10,0,8,88,9,7.0,True
Tiago Splitter,2,11,0,5,6,52,14.2,True
Tiago Splitter,1,3,0,5,1,58,9.5,True
Tiago Splitter,4,3,1,8,84,1,9.9,True
Tiago Splitter,1,3,0,7,40,63,6.2,True
Tiago Splitter,1,9,1,9,-97,19,9.1,True
Tiago Splitter,3,9,1,5,7,52,15.1,True
Tiago Splitter,2,4,1,7,-73,14,11.0,True
Tiago Splitter,2,3,0,8,-81,-3,7.5,True
Tiago Splitter,1,11,0,4,6,44,15.0,True
Tiago Splitter,1,8,1,3,4,37,14.7,True
Tiago Splitter,1,9,1,6,48,36,12.8,True
Tiago Splitter,2,9,1,7,2,71,10.6,True
Tiago Splitter,2,3,1,7,-18,72,15.1,True
Tiago Splitter,1,1,0,5,-16,48,14.7,True
Tiago Splitter,3,4,1,3,7,36,13.7,True
Tiago Splitter,1,1,0,13,59,121,2.0,True
Tiago Splitter,2,5,1,7,75,23,3.6,True
Tiago Splitter,3,7,0,6,4,64,9.0,True
Tiago Splitter,1,9,1,5,-8,53,5.6,True
Tiago Splitter,1,0,1,5,-51,1,4.0,True
Tiago Splitter,3,9,0,3,31,17,24.0,True
Tiago Splitter,1,11,1,7,72,4,4.3,True
Tiago Splitter,2,4,0,3,26,28,16.6,True
Tiago Splitter,3,7,0,15,129,78,5.1,True
Tiago Splitter,4,10,0,3,-38,12,10.4,True
Tiago Splitter,3,7,0,5,53,-19,20.7,True
Tiago Splitter,3,1,0,12,122,19,7.0,True
