name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tim Frazier,3,5,1,1,4,15,20.4,True
Tim Frazier,4,9,1,1,-8,6,20.4,True
Tim Frazier,3,3,1,1,-15,3,15.0,True
Tim Frazier,3,10,0,2,23,11,18.7,True
Tim Frazier,2,10,0,2,7,26,15.0,True
Tim Frazier,1,9,0,3,32,4,14.1,True
Tim Frazier,1,3,1,25,-144,205,20.7,False
Tim Frazier,4,10,0,26,-45,260,16.9,False
Tim Frazier,1,6,1,11,-5,119,7.1,True
Tim Frazier,1,7,0,15,-139,69,6.1,True
Tim Frazier,4,0,1,26,-150,219,20.5,False
Tim Frazier,4,6,0,25,-175,189,18.1,False
Tim Frazier,1,0,0,19,-23,190,5.6,True
Tim Frazier,2,9,1,22,23,222,12.3,True
Tim Frazier,1,6,0,18,-160,89,18.4,True
Tim Frazier,4,0,0,13,-4,134,3.1,True
Tim Frazier,4,3,1,25,195,159,20.6,False
Tim Frazier,2,6,1,5,-5,56,7.6,True
Tim Frazier,4,0,0,24,124,211,8.7,False
Tim Frazier,1,0,0,3,7,39,0.0,True
Tim Frazier,4,8,0,26,-30,268,13.0,False
Tim Frazier,2,8,0,3,0,34,20.3,True
Tim Frazier,1,4,0,26,-123,235,11.1,False
Tim Frazier,4,9,0,26,-142,227,9.4,False
Tim Frazier,3,6,0,5,4,50,15.6,True
Tim Frazier,2,8,0,7,-24,71,18.9,True
Tim Frazier,3,11,0,4,34,23,15.8,True
Tim Frazier,4,1,1,14,-4,145,10.2,True
Tim Frazier,4,7,0,24,141,205,13.1,False
Tim Frazier,1,2,0,10,92,42,17.0,True
Tim Frazier,3,11,0,26,155,220,8.1,False
Tim Frazier,1,1,0,15,-142,60,5.8,True
Tim Frazier,1,3,0,21,-10,213,16.1,True
Tim Frazier,3,6,0,17,-106,145,9.9,True
Tim Frazier,3,0,0,18,114,140,4.0,True
Tim Frazier,1,3,0,2,-21,20,2.4,True
Tim Frazier,2,3,1,1,-19,3,14.3,True
Tim Frazier,2,5,0,2,20,14,10.5,True
Tim Frazier,3,6,0,2,-2,26,23.5,True
Tim Frazier,2,3,0,2,21,-8,8.5,True
Tim Frazier,4,8,1,15,-101,115,15.1,True
Tim Frazier,4,6,1,20,58,195,15.4,True
Tim Frazier,4,8,0,8,58,56,20.4,True
Tim Frazier,4,6,0,3,28,19,13.1,True
Tim Frazier,4,0,1,2,23,1,19.8,True
Tim Frazier,4,0,1,1,11,13,15.8,True
Tim Frazier,2,4,1,1,12,7,14.9,True
Tim Frazier,2,1,1,0,-4,3,18.0,True
Tim Frazier,4,10,1,24,56,238,13.0,False
Tim Frazier,1,2,0,20,193,74,13.0,True
Tim Frazier,3,10,0,24,50,239,15.0,False
Tim Frazier,4,2,0,25,77,247,12.7,False
Tim Frazier,4,4,0,25,-35,254,4.2,False
Tim Frazier,3,5,1,24,116,220,10.4,False
Tim Frazier,4,1,0,25,86,238,12.9,False
Tim Frazier,4,10,0,7,73,14,3.1,True
Tim Frazier,4,8,0,6,23,56,2.6,True
Tim Frazier,4,8,0,10,-57,85,9.7,True
Tim Frazier,4,4,1,8,81,9,5.0,True
Tim Frazier,4,3,0,3,26,22,19.5,True
Tim Frazier,2,6,1,0,-2,7,15.4,True
