name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tobias Harris,1,2,1,2,21,1,13.9,True
Tobias Harris,2,6,1,2,23,1,6.5,True
Tobias Harris,2,3,1,5,-57,14,16.7,True
Tobias Harris,1,6,1,11,-105,53,9.8,True
Tobias Harris,4,1,1,0,0,1,5.6,True
Tobias Harris,1,8,1,0,0,1,17.6,True
Tobias Harris,3,4,1,0,0,1,18.1,True
Tobias Harris,3,3,1,1,0,15,6.4,True
Tobias Harris,1,2,1,0,0,1,17.1,True
Tobias Harris,4,10,1,0,0,1,5.4,True
Tobias Harris,3,9,1,0,0,1,21.7,True
Tobias Harris,2,0,1,0,0,1,2.9,True
Tobias Harris,4,5,1,0,0,1,13.6,True
Tobias Harris,2,8,1,0,0,1,18.3,True
Tobias Harris,1,9,1,0,0,1,20.8,True
Tobias Harris,4,0,0,4,21,41,18.5,True
Tobias Harris,1,6,1,4,-45,9,18.9,True
Tobias Harris,3,3,0,6,12,67,9.2,True
Tobias Harris,2,9,1,3,36,1,10.1,True
Tobias Harris,4,1,0,3,12,33,7.2,True
Tobias Harris,2,9,1,8,70,52,12.6,True
Tobias Harris,4,2,1,4,-21,37,5.9,True
Tobias Harris,2,1,0,7,-68,30,10.4,True
Tobias Harris,1,7,0,4,-46,6,9.3,True
Tobias Harris,1,8,0,6,58,26,9.9,True
Tobias Harris,3,2,0,4,47,15,13.4,True
Tobias Harris,3,9,1,4,36,34,20.5,True
Tobias Harris,1,8,1,2,-21,15,9.5,True
Tobias Harris,3,2,1,1,-11,3,10.0,True
Tobias Harris,4,5,1,2,2,20,18.6,True
Tobias Harris,3,0,1,2,-21,9,0.0,True
Tobias Harris,3,5,1,2,0,22,21.6,True
Tobias Harris,1,10,0,1,4,12,12.0,True
Tobias Harris,3,6,1,1,-11,4,10.7,True
Tobias Harris,2,7,1,2,20,3,23.2,True
Tobias Harris,2,5,0,1,-11,0,19.9,True
Tobias Harris,4,7,1,2,-7,19,4.5,True
Tobias Harris,4,5,1,2,-21,15,14.0,True
Tobias Harris,3,8,1,1,4,15,15.6,True
Tobias Harris,1,2,1,1,-10,1,9.7,True
Tobias Harris,1,2,1,0,0,7,14.3,True
Tobias Harris,3,7,0,2,-8,20,9.4,True
Tobias Harris,1,9,1,2,15,15,16.0,True
Tobias Harris,2,8,1,2,21,14,7.8,True
Tobias Harris,4,1,1,2,-21,19,2.4,True
Tobias Harris,3,8,0,1,-2,15,15.5,True
Tobias Harris,4,8,1,0,7,6,7.8,True
Tobias Harris,4,8,1,0,1,3,16.0,True
Tobias Harris,4,4,1,1,15,-2,9.0,True
Tobias Harris,3,3,0,1,0,12,20.4,True
Tobias Harris,3,5,1,0,7,-3,15.8,True
Tobias Harris,3,10,1,2,-27,9,17.0,True
Tobias Harris,3,6,1,2,-29,0,11.1,True
Tobias Harris,2,7,1,2,17,17,20.5,True
Tobias Harris,3,8,1,0,-4,6,20.0,True
Tobias Harris,1,5,1,1,-13,7,18.1,True
Tobias Harris,2,6,0,2,13,17,18.2,True
Tobias Harris,1,1,1,2,21,20,6.5,True
Tobias Harris,4,11,1,2,-15,15,17.5,True
Tobias Harris,3,7,0,2,-16,15,17.8,True
Tobias Harris,4,8,1,1,17,9,14.0,True
Tobias Harris,4,4,1,0,-4,7,19.0,True
Tobias Harris,3,5,1,2,23,15,15.9,True
Tobias Harris,3,3,1,0,6,7,21.1,True
Tobias Harris,2,0,1,1,-10,0,0.0,True
Tobias Harris,3,10,1,0,0,1,13.0,True
Tobias Harris,3,8,1,2,28,7,16.8,True
Tobias Harris,1,11,1,0,-5,-8,10.1,True
Tobias Harris,2,9,1,2,-10,23,15.0,True
Tobias Harris,1,4,1,2,7,20,11.9,True
Tobias Harris,3,1,0,0,-2,6,7.0,True
Tobias Harris,2,1,1,1,-11,15,19.7,True
Tobias Harris,2,2,1,0,-5,0,17.2,True
Tobias Harris,1,9,0,2,-21,4,19.5,True
Tobias Harris,2,10,1,0,-2,3,13.6,True
Tobias Harris,2,3,0,2,13,20,9.2,True
Tobias Harris,3,9,1,1,13,14,13.4,True
Tobias Harris,2,8,1,2,18,22,17.2,True
Tobias Harris,2,8,0,3,-18,30,2.7,True
Tobias Harris,4,8,1,1,15,3,18.1,True
Tobias Harris,1,1,0,1,0,17,9.9,True
Tobias Harris,1,10,1,0,-7,-2,16.1,True
Tobias Harris,4,0,1,4,42,-3,14.5,True
Tobias Harris,3,5,1,1,-4,15,19.7,True
Tobias Harris,3,1,1,1,12,12,17.1,True
Tobias Harris,4,2,1,0,-7,4,12.0,True
Tobias Harris,1,10,1,2,0,26,12.2,True
Tobias Harris,4,10,0,0,-2,-6,9.0,True
Tobias Harris,4,1,1,1,-10,6,18.0,True
Tobias Harris,3,7,1,2,-4,24,20.2,True
Tobias Harris,1,8,0,0,2,3,11.4,True
Tobias Harris,1,11,1,1,-5,17,5.0,True
Tobias Harris,3,3,0,2,13,23,13.3,True
Tobias Harris,2,2,1,2,-19,11,8.5,True
Tobias Harris,3,11,0,2,-15,14,16.5,True
