name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Toney Douglas,4,2,1,5,47,20,16.0,True
Toney Douglas,3,0,1,2,-26,7,14.0,True
Toney Douglas,4,9,1,1,1,12,21.4,True
Toney Douglas,4,2,1,2,26,1,11.5,True
Toney Douglas,4,0,1,1,6,15,0.0,True
Toney Douglas,3,1,1,0,2,-2,12.9,True
Toney Douglas,4,1,1,1,17,6,19.9,True
Toney Douglas,4,3,1,3,39,4,4.5,True
Toney Douglas,1,0,0,7,-73,12,5.6,True
Toney Douglas,4,2,0,25,111,228,15.3,False
Toney Douglas,1,3,1,22,-226,30,14.3,False
Toney Douglas,2,11,0,11,113,11,9.3,True
Toney Douglas,2,7,0,15,-41,148,5.5,True
Toney Douglas,2,8,1,25,-226,116,9.2,False
Toney Douglas,4,0,1,24,-240,31,0.0,False
Toney Douglas,4,0,0,16,151,72,0.0,True
Toney Douglas,3,2,0,24,160,181,15.8,False
Toney Douglas,4,9,0,24,69,239,4.0,False
Toney Douglas,4,0,0,22,226,6,16.5,False
Toney Douglas,2,7,0,12,122,44,11.6,True
Toney Douglas,3,1,1,23,230,26,19.2,False
Toney Douglas,3,4,0,7,58,45,7.3,True
Toney Douglas,1,0,0,15,-150,4,0.4,True
Toney Douglas,3,1,0,25,-205,156,3.5,False
Toney Douglas,4,9,0,22,-146,170,13.8,True
Toney Douglas,1,0,0,25,42,254,8.7,False
Toney Douglas,1,0,0,27,-182,201,0.0,False
Toney Douglas,4,6,0,9,92,4,6.4,True
Toney Douglas,4,8,0,20,-204,0,1.8,True
Toney Douglas,2,7,0,3,28,17,19.4,True
Toney Douglas,2,8,0,22,228,3,24.0,False
Toney Douglas,2,7,0,25,160,197,1.2,False
Toney Douglas,4,3,0,26,184,184,5.3,False
Toney Douglas,4,8,0,20,141,143,10.0,True
Toney Douglas,4,9,1,24,-112,220,9.4,False
Toney Douglas,4,1,0,14,-140,24,0.7,True
Toney Douglas,4,10,0,7,65,42,18.0,True
Toney Douglas,2,9,0,25,170,195,14.5,False
Toney Douglas,4,9,1,16,89,143,5.3,True
Toney Douglas,4,9,0,11,90,72,19.1,True
Toney Douglas,4,1,1,22,154,165,4.7,True
Toney Douglas,4,0,0,26,-155,214,0.0,False
Toney Douglas,4,0,0,27,-101,255,9.0,False
Toney Douglas,2,8,1,1,17,6,21.2,True
Toney Douglas,4,5,1,2,23,3,22.3,True
Toney Douglas,4,7,1,1,17,1,19.0,True
Toney Douglas,1,1,1,21,206,52,8.9,True
Toney Douglas,4,5,0,16,166,0,20.7,True
Toney Douglas,2,10,0,3,18,31,0.0,True
Toney Douglas,3,0,0,10,24,105,0.0,True
Toney Douglas,4,8,0,19,-120,148,4.8,True
