name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tony Snell,1,1,1,0,0,1,7.9,True
Tony Snell,3,9,1,0,0,1,16.0,True
Tony Snell,4,2,1,0,0,1,13.4,True
Tony Snell,2,8,1,2,29,7,12.1,True
Tony Snell,4,9,1,2,-18,17,11.9,True
Tony Snell,2,9,1,5,-5,52,14.2,True
Tony Snell,3,1,1,2,-10,23,6.0,True
Tony Snell,4,8,1,1,0,14,12.5,True
Tony Snell,3,8,1,2,18,11,15.9,True
Tony Snell,4,11,0,2,-14,16,20.7,True
Tony Snell,4,9,1,2,7,20,10.0,True
Tony Snell,3,0,0,2,-2,20,20.4,True
Tony Snell,1,0,1,0,-4,3,14.5,True
Tony Snell,2,2,1,1,10,12,8.4,True
Tony Snell,4,8,1,1,12,0,12.8,True
Tony Snell,3,5,1,1,-11,7,16.0,True
Tony Snell,3,2,1,2,15,20,16.7,True
Tony Snell,2,5,1,1,15,-10,0.7,True
Tony Snell,1,10,1,1,17,9,12.4,True
Tony Snell,3,0,0,3,-30,11,6.0,True
Tony Snell,4,5,0,1,15,-5,7.4,True
Tony Snell,1,9,0,1,9,11,15.9,True
Tony Snell,2,11,1,2,23,4,0.0,True
Tony Snell,1,1,0,2,20,6,10.2,True
Tony Snell,4,2,1,0,4,6,13.2,True
Tony Snell,2,8,0,0,-4,6,20.8,True
Tony Snell,3,10,1,2,10,23,21.4,True
Tony Snell,1,2,0,2,24,14,19.7,True
Tony Snell,2,7,1,2,-26,6,9.6,True
Tony Snell,4,11,0,0,0,1,9.9,True
Tony Snell,3,0,1,0,0,1,3.2,True
Tony Snell,4,8,1,0,0,1,2.0,True
Tony Snell,2,11,1,0,0,1,12.1,True
Tony Snell,4,7,1,0,0,1,21.9,True
Tony Snell,3,9,1,0,0,1,21.3,True
Tony Snell,4,9,1,0,0,1,24.0,True
Tony Snell,3,2,0,0,0,1,0.0,True
Tony Snell,2,0,1,0,0,1,10.6,True
Tony Snell,3,4,1,0,0,1,14.6,True
Tony Snell,4,8,1,2,6,25,15.4,True
Tony Snell,3,10,1,5,1,53,11.1,True
Tony Snell,4,0,1,3,9,31,5.0,True
Tony Snell,1,8,0,4,2,48,5.7,True
Tony Snell,4,8,1,7,-16,75,3.5,True
Tony Snell,3,6,1,4,-10,48,10.3,True
Tony Snell,4,2,1,8,0,88,9.8,True
Tony Snell,1,0,0,10,36,94,16.0,True
Tony Snell,1,10,1,13,-119,67,16.1,True
Tony Snell,4,0,1,5,40,36,7.7,True
Tony Snell,3,3,0,5,-43,28,7.1,True
Tony Snell,4,1,1,25,99,230,6.4,False
Tony Snell,2,9,0,9,64,64,2.0,True
Tony Snell,2,2,1,20,95,183,1.6,True
Tony Snell,3,5,0,5,56,12,24.0,True
Tony Snell,4,7,1,20,-7,200,10.7,True
Tony Snell,4,6,1,25,59,249,10.5,False
Tony Snell,3,2,1,24,242,17,13.8,False
Tony Snell,4,9,1,25,-4,252,18.3,False
Tony Snell,4,8,1,22,-221,14,9.9,False
Tony Snell,4,0,1,23,-235,-16,13.5,False
Tony Snell,4,4,1,9,95,23,13.4,True
Tony Snell,2,7,1,24,-133,208,15.5,False
Tony Snell,2,3,1,23,231,-11,10.1,False
