name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Trevor Booker,2,6,1,0,0,1,24.0,True
Trevor Booker,4,9,1,0,0,1,20.2,True
Trevor Booker,1,0,0,0,0,1,20.0,True
Trevor Booker,4,6,1,0,0,1,24.0,True
Trevor Booker,4,11,1,3,29,20,24.0,True
Trevor Booker,1,3,1,2,-10,19,9.0,True
Trevor Booker,1,9,1,5,-56,15,3.9,True
Trevor Booker,3,5,0,4,-27,30,11.0,True
Trevor Booker,2,8,1,4,-2,41,2.6,True
Trevor Booker,2,9,1,3,-37,0,4.6,True
Trevor Booker,2,8,1,1,9,17,1.5,True
Trevor Booker,2,10,0,4,0,41,9.4,True
Trevor Booker,1,3,1,2,20,-13,15.3,True
Trevor Booker,1,0,1,1,-4,12,15.9,True
Trevor Booker,2,10,1,1,7,11,19.0,True
Trevor Booker,3,8,0,2,23,-3,19.0,True
Trevor Booker,2,1,1,2,-26,11,9.1,True
Trevor Booker,2,9,1,2,-19,7,0.0,True
Trevor Booker,1,0,0,2,1,25,9.0,True
Trevor Booker,2,7,1,2,21,1,8.4,True
Trevor Booker,2,3,1,2,18,14,7.9,True
Trevor Booker,1,3,1,0,-7,3,4.3,True
Trevor Booker,2,11,1,2,26,12,14.2,True
Trevor Booker,3,6,1,1,15,4,19.9,True
Trevor Booker,1,3,0,1,17,7,9.0,True
Trevor Booker,3,1,1,0,0,1,12.9,True
Trevor Booker,3,5,1,0,0,1,6.4,True
Trevor Booker,2,10,1,0,0,1,21.9,True
Trevor Booker,2,9,1,0,0,1,13.7,True
Trevor Booker,2,9,1,0,0,1,20.6,True
Trevor Booker,4,1,1,0,0,1,7.0,True
Trevor Booker,3,0,1,0,0,1,20.0,True
Trevor Booker,3,4,0,0,0,1,24.0,True
Trevor Booker,3,9,1,0,0,1,14.4,True
Trevor Booker,3,0,1,0,0,1,0.0,True
Trevor Booker,2,5,1,0,0,1,5.8,True
Trevor Booker,2,6,1,0,0,1,20.0,True
Trevor Booker,2,4,1,0,0,1,3.6,True
Trevor Booker,2,3,1,0,0,1,13.6,True
Trevor Booker,4,11,1,0,0,1,24.0,True
Trevor Booker,4,6,0,0,0,1,11.8,True
Trevor Booker,2,9,0,10,-67,75,9.4,True
Trevor Booker,2,11,1,11,-117,1,10.0,True
Trevor Booker,1,0,0,9,-65,71,6.7,True
Trevor Booker,3,2,1,1,-11,0,19.0,True
Trevor Booker,3,8,1,2,0,26,15.2,True
Trevor Booker,4,8,1,7,77,20,1.5,True
Trevor Booker,2,6,1,2,-19,20,14.3,True
Trevor Booker,4,7,0,6,0,67,13.5,True
Trevor Booker,2,7,0,9,-90,15,2.1,True
Trevor Booker,2,11,1,9,84,50,2.0,True
Trevor Booker,1,4,0,7,-62,50,4.3,True
Trevor Booker,1,3,0,5,-54,17,9.6,True
Trevor Booker,4,5,1,5,-48,17,6.7,True
