name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tristan Thompson,2,10,1,0,0,1,24.0,True
Tristan Thompson,4,8,1,0,0,1,14.6,True
Tristan Thompson,1,0,1,0,0,1,14.0,True
Tristan Thompson,4,9,1,0,0,1,8.8,True
Tristan Thompson,3,0,1,0,0,1,6.5,True
Tristan Thompson,1,1,0,0,0,1,10.2,True
Tristan Thompson,3,1,1,0,0,1,24.0,True
Tristan Thompson,3,2,1,0,0,1,15.0,True
Tristan Thompson,4,4,1,0,0,1,14.8,True
Tristan Thompson,3,5,1,0,0,1,24.0,True
Tristan Thompson,4,11,0,0,0,1,7.9,True
Tristan Thompson,3,4,1,0,0,1,14.2,True
Tristan Thompson,3,2,1,0,0,1,14.0,True
Tristan Thompson,2,7,1,0,0,1,16.0,True
Tristan Thompson,2,0,0,0,0,1,0.0,True
Tristan Thompson,1,3,1,0,0,1,10.3,True
Tristan Thompson,2,10,1,0,0,1,24.0,True
Tristan Thompson,1,4,1,0,0,1,8.6,True
Tristan Thompson,3,5,1,0,0,1,5.4,True
Tristan Thompson,3,0,1,0,0,1,0.0,True
Tristan Thompson,2,5,1,0,0,1,0.0,True
Tristan Thompson,2,10,1,0,0,1,20.3,True
Tristan Thompson,1,3,1,0,0,1,0.0,True
Tristan Thompson,4,2,1,0,0,1,13.9,True
Tristan Thompson,3,0,1,0,0,1,9.2,True
Tristan Thompson,4,9,1,0,0,1,14.9,True
Tristan Thompson,2,7,1,0,0,1,17.2,True
Tristan Thompson,2,2,0,2,-18,22,14.6,True
Tristan Thompson,1,8,1,0,0,1,19.3,True
Tristan Thompson,1,3,1,0,0,1,11.9,True
Tristan Thompson,2,6,1,0,0,1,13.3,True
Tristan Thompson,3,0,1,0,0,1,4.5,True
Tristan Thompson,4,5,1,0,0,1,10.0,True
Tristan Thompson,4,8,1,0,0,1,9.5,True
Tristan Thompson,4,4,1,0,0,1,6.0,True
Tristan Thompson,4,10,1,0,0,1,24.0,True
Tristan Thompson,4,7,1,0,0,1,10.7,True
Tristan Thompson,3,1,1,0,0,1,8.6,True
Tristan Thompson,3,2,1,0,0,1,8.0,True
Tristan Thompson,2,9,1,0,0,1,18.6,True
Tristan Thompson,4,2,1,0,0,1,14.1,True
Tristan Thompson,2,0,1,0,0,1,11.8,True
Tristan Thompson,2,11,1,0,0,1,5.0,True
Tristan Thompson,2,10,1,0,0,1,11.3,True
Tristan Thompson,1,3,1,0,0,1,24.0,True
Tristan Thompson,2,0,1,0,0,1,0.0,True
Tristan Thompson,4,11,1,0,0,1,15.4,True
Tristan Thompson,4,4,1,0,0,1,5.3,True
Tristan Thompson,1,2,1,0,0,1,15.4,True
Tristan Thompson,3,11,1,0,0,1,14.9,True
Tristan Thompson,1,0,0,0,0,1,0.0,True
Tristan Thompson,1,5,1,0,0,7,14.9,True
Tristan Thompson,3,6,1,0,-4,-5,16.2,True
Tristan Thompson,2,11,1,2,-19,20,6.4,True
Tristan Thompson,4,10,1,0,1,-5,24.0,True
