name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Ty Lawson,2,4,1,1,2,14,21.1,True
Ty Lawson,4,1,0,5,29,41,16.1,True
Ty Lawson,3,1,1,3,-34,0,7.8,True
Ty Lawson,4,9,0,1,10,-3,19.9,True
Ty Lawson,1,9,1,1,7,11,15.0,True
Ty Lawson,3,2,1,1,17,9,17.7,True
Ty Lawson,4,9,0,3,31,0,19.0,True
Ty Lawson,1,1,0,7,-4,75,8.0,True
Ty Lawson,1,9,1,2,21,0,16.2,True
Ty Lawson,4,4,0,7,70,34,13.3,True
Ty Lawson,2,7,1,4,0,42,15.3,True
Ty Lawson,4,2,0,2,28,7,16.3,True
Ty Lawson,1,1,1,2,26,-5,17.3,True
Ty Lawson,2,1,1,2,23,4,19.7,True
Ty Lawson,4,4,1,2,24,9,6.8,True
Ty Lawson,1,0,1,2,-8,27,3.9,True
Ty Lawson,1,6,1,1,18,1,20.7,True
Ty Lawson,2,0,0,1,2,15,17.6,True
Ty Lawson,3,11,1,2,1,26,4.5,True
Ty Lawson,4,4,1,4,39,11,17.2,True
Ty Lawson,3,7,1,2,18,14,17.8,True
Ty Lawson,4,1,1,2,-23,1,13.1,True
Ty Lawson,4,3,1,1,17,-6,18.1,True
Ty Lawson,3,10,0,1,18,-2,16.5,True
Ty Lawson,3,3,0,2,20,7,16.0,True
Ty Lawson,3,10,1,2,21,11,19.3,True
Ty Lawson,4,0,1,1,12,9,16.0,True
Ty Lawson,1,6,1,1,-11,4,15.4,True
Ty Lawson,1,4,1,1,12,11,17.0,True
Ty Lawson,4,7,1,1,12,7,16.4,True
Ty Lawson,1,1,1,2,15,14,16.5,True
Ty Lawson,2,0,1,1,17,4,10.6,True
Ty Lawson,3,2,1,1,12,7,8.2,True
Ty Lawson,3,1,1,2,7,22,11.8,True
Ty Lawson,4,8,1,2,23,3,17.9,True
Ty Lawson,3,10,1,2,20,1,16.3,True
Ty Lawson,1,6,0,2,23,-3,19.9,True
Ty Lawson,3,3,1,0,4,9,15.1,True
Ty Lawson,1,8,1,2,23,17,17.8,True
Ty Lawson,1,10,1,0,0,7,7.0,True
Ty Lawson,3,6,1,2,24,7,15.8,True
Ty Lawson,3,10,1,0,1,0,13.5,True
Ty Lawson,2,4,1,0,9,3,11.4,True
Ty Lawson,2,7,0,2,21,9,8.3,True
Ty Lawson,4,10,1,2,24,4,22.0,True
Ty Lawson,2,3,1,1,12,15,10.5,True
Ty Lawson,1,7,0,1,12,15,20.1,True
Ty Lawson,2,4,1,1,-11,11,13.5,True
Ty Lawson,1,8,0,0,-4,1,15.8,True
