name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tyreke Evans,2,1,1,0,6,0,20.8,True
Tyreke Evans,4,0,1,3,32,6,0.0,True
Tyreke Evans,4,0,0,6,59,14,0.0,True
Tyreke Evans,2,5,1,5,50,14,11.5,True
Tyreke Evans,4,0,0,6,-54,34,6.1,True
Tyreke Evans,1,9,1,4,47,7,7.4,True
Tyreke Evans,3,7,1,2,20,0,20.7,True
Tyreke Evans,4,3,1,1,-7,14,5.3,True
Tyreke Evans,1,0,1,3,2,30,19.0,True
Tyreke Evans,2,0,1,0,1,1,21.9,True
Tyreke Evans,1,3,1,3,17,26,1.3,True
Tyreke Evans,2,8,1,3,-21,30,8.3,True
Tyreke Evans,1,0,1,2,-18,19,7.8,True
Tyreke Evans,2,7,1,2,2,25,11.0,True
Tyreke Evans,3,8,0,1,9,9,8.0,True
Tyreke Evans,1,0,1,0,0,7,19.0,True
Tyreke Evans,2,3,1,2,-27,0,12.2,True
Tyreke Evans,1,5,1,2,29,0,18.8,True
Tyreke Evans,1,4,1,1,17,-3,9.9,True
Tyreke Evans,4,1,1,1,15,-2,18.8,True
Tyreke Evans,3,0,1,1,18,7,5.2,True
Tyreke Evans,1,11,1,1,-11,6,22.5,True
Tyreke Evans,4,1,1,0,-2,9,19.7,True
Tyreke Evans,2,11,1,0,1,0,20.8,True
Tyreke Evans,3,6,0,4,9,47,11.2,True
Tyreke Evans,4,0,0,5,56,20,9.9,True
Tyreke Evans,3,10,1,2,7,20,11.2,True
Tyreke Evans,4,0,0,4,37,23,18.0,True
Tyreke Evans,2,0,0,3,20,26,10.5,True
Tyreke Evans,3,11,1,6,51,33,10.5,True
Tyreke Evans,1,8,0,4,4,45,10.7,True
Tyreke Evans,4,1,0,6,15,60,17.8,True
Tyreke Evans,3,10,0,7,73,7,4.0,True
Tyreke Evans,4,3,0,4,23,39,8.2,True
Tyreke Evans,2,4,0,4,26,34,12.7,True
Tyreke Evans,1,0,0,6,61,22,16.0,True
Tyreke Evans,2,2,1,2,28,9,7.7,True
Tyreke Evans,4,8,0,4,1,47,3.3,True
Tyreke Evans,4,7,1,7,56,50,12.7,True
Tyreke Evans,5,0,0,3,29,9,17.3,True
Tyreke Evans,1,11,0,3,32,22,3.6,True
Tyreke Evans,4,0,0,7,70,14,2.5,True
Tyreke Evans,4,3,1,0,-4,3,16.2,True
Tyreke Evans,2,11,1,1,-16,0,17.6,True
Tyreke Evans,2,5,1,2,24,1,24.0,True
Tyreke Evans,3,4,1,2,-24,3,5.3,True
Tyreke Evans,1,9,1,2,23,6,6.7,True
Tyreke Evans,4,0,1,2,20,6,11.3,True
Tyreke Evans,4,1,1,1,-16,6,16.2,True
Tyreke Evans,1,8,1,2,23,17,14.4,True
Tyreke Evans,1,0,1,2,-19,7,11.2,True
Tyreke Evans,4,0,1,2,23,15,7.3,True
Tyreke Evans,1,4,0,2,20,-6,9.5,True
Tyreke Evans,3,11,1,1,-5,12,8.6,True
Tyreke Evans,3,10,1,3,34,15,18.2,True
Tyreke Evans,4,4,0,2,-23,6,9.0,True
Tyreke Evans,2,2,1,2,-20,0,0.0,True
Tyreke Evans,2,0,1,2,-16,15,4.4,True
Tyreke Evans,4,2,0,1,13,4,0.7,True
Tyreke Evans,1,1,0,0,7,7,4.1,True
Tyreke Evans,3,7,0,1,17,4,16.6,True
Tyreke Evans,3,6,0,2,-26,4,7.9,True
Tyreke Evans,4,3,1,1,13,14,7.4,True
Tyreke Evans,2,9,1,2,-26,3,10.0,True
Tyreke Evans,2,10,0,1,17,9,10.3,True
Tyreke Evans,2,0,1,2,-23,9,9.7,True
Tyreke Evans,4,8,1,2,-26,6,8.0,True
Tyreke Evans,2,2,1,1,17,3,13.0,True
Tyreke Evans,3,4,1,1,4,19,6.2,True
Tyreke Evans,4,9,1,2,-21,1,16.3,True
Tyreke Evans,3,5,0,2,23,0,19.9,True
Tyreke Evans,3,9,0,2,18,23,20.3,True
Tyreke Evans,2,2,1,1,12,14,12.6,True
Tyreke Evans,4,0,1,3,29,20,5.4,True
Tyreke Evans,1,4,1,3,-29,9,17.8,True
Tyreke Evans,3,7,1,1,-8,-8,10.0,True
Tyreke Evans,2,4,1,2,20,0,17.6,True
Tyreke Evans,2,7,0,1,7,15,1.9,True
Tyreke Evans,3,6,1,2,18,17,8.5,True
Tyreke Evans,4,1,1,3,0,34,4.5,True
Tyreke Evans,1,10,0,0,7,3,16.7,True
Tyreke Evans,2,5,0,2,15,22,17.9,True
Tyreke Evans,3,4,1,2,20,11,15.7,True
Tyreke Evans,1,6,1,1,9,9,3.8,True
Tyreke Evans,2,5,0,1,10,0,10.8,True
Tyreke Evans,1,1,1,1,9,7,17.4,True
Tyreke Evans,2,2,1,1,7,17,4.4,True
Tyreke Evans,2,3,0,1,10,3,13.0,True
Tyreke Evans,2,1,0,2,18,14,13.1,True
Tyreke Evans,2,2,0,2,15,17,12.4,True
Tyreke Evans,3,8,1,2,18,9,15.0,True
Tyreke Evans,4,10,1,3,-21,25,15.0,True
Tyreke Evans,2,6,1,1,-13,6,15.4,True
Tyreke Evans,4,6,1,3,28,12,14.9,True
Tyreke Evans,1,8,1,2,-23,0,18.9,True
Tyreke Evans,1,4,1,2,20,4,19.2,True
Tyreke Evans,2,7,1,1,6,17,18.1,True
Tyreke Evans,3,6,0,2,-19,15,11.8,True
Tyreke Evans,1,7,1,2,21,6,19.5,True
Tyreke Evans,2,8,1,1,15,7,1.7,True
Tyreke Evans,2,7,1,1,12,4,17.4,True
Tyreke Evans,2,1,1,2,21,12,11.9,True
Tyreke Evans,4,2,1,2,-18,12,12.6,True
Tyreke Evans,1,4,0,2,-21,4,7.9,True
Tyreke Evans,3,5,1,1,-10,3,19.0,True
Tyreke Evans,3,9,1,2,-18,14,3.0,True
Tyreke Evans,3,8,0,2,-10,20,19.1,True
Tyreke Evans,4,3,0,1,18,1,17.0,True
Tyreke Evans,1,8,1,1,17,3,6.0,True
Tyreke Evans,3,10,1,2,20,3,10.5,True
Tyreke Evans,1,0,1,0,1,1,5.7,True
Tyreke Evans,1,3,1,2,-24,-8,16.4,True
Tyreke Evans,4,2,0,1,-8,17,16.7,True
Tyreke Evans,4,2,1,1,-10,0,11.0,True
Tyreke Evans,1,10,1,2,-21,0,11.0,True
Tyreke Evans,1,1,1,0,9,0,21.3,True
Tyreke Evans,4,9,0,2,29,0,9.3,True
Tyreke Evans,1,0,1,1,-19,3,16.0,True
Tyreke Evans,3,4,0,1,-2,14,15.9,True
Tyreke Evans,3,9,1,2,21,11,5.4,True
Tyreke Evans,2,0,0,3,29,14,11.7,True
Tyreke Evans,4,5,1,0,9,1,14.1,True
Tyreke Evans,4,2,0,1,15,9,11.4,True
Tyreke Evans,3,3,1,1,9,14,19.7,True
Tyreke Evans,1,2,1,2,20,4,11.1,True
Tyreke Evans,1,6,1,2,24,7,8.0,True
Tyreke Evans,2,10,1,2,23,0,6.4,True
Tyreke Evans,1,5,1,1,13,4,12.8,True
Tyreke Evans,3,3,0,1,12,3,15.6,True
Tyreke Evans,4,2,0,2,-15,14,11.3,True
